arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831624552662016,1774831624552662016,1774831624564051590,0.000000,11.389574,11.389574,200
1774831624554318848,1774831624564051590,1774831624574914066,9.732742,10.862476,20.595218,200
1774831624566020096,1774831624574914066,1774831624586934364,8.893970,12.020298,20.914268,200
1774831624582369024,1774831624586934364,1774831624632725323,4.565340,45.790959,50.356299,200
1774831624585306880,1774831624632725323,1774831624644428219,47.418443,11.702896,59.121339,200
1774831624590732032,1774831624644428219,1774831624645658479,53.696187,1.230260,54.926447,200
1774831624600628992,1774831624645658479,1774831624670590760,45.029487,24.932281,69.961768,200
1774831624606048000,1774831624670590760,1774831624679890771,64.542760,9.300011,73.842771,200
1774831624624641024,1774831624679890771,1774831624689994097,55.249747,10.103326,65.353073,200
1774831624629755136,1774831624689994097,1774831624707459700,60.238961,17.465603,77.704564,200
1774831624636802816,1774831624707459700,1774831624728610489,70.656884,21.150789,91.807673,200
1774831624636972032,1774831624728610489,1774831624826433257,91.638457,97.822768,189.461225,200
1774831624647322880,1774831624826433257,1774831624868933599,179.110377,42.500342,221.610719,200
1774831624647553024,1774831624868933599,1774831624886245424,221.380575,17.311825,238.692400,200
1774831624647710208,1774831624886245424,1774831624890531927,238.535216,4.286503,242.821719,200
1774831624661526016,1774831624890531927,1774831624893252990,229.005911,2.721063,231.726974,200
1774831624674291968,1774831624893252990,1774831624914897972,218.961022,21.644982,240.606004,200
1774831624674430976,1774831624914897972,1774831625039579277,240.466996,124.681305,365.148301,200
1774831624677571072,1774831625039579277,1774831625055037852,362.008205,15.458575,377.466780,200
1774831624685111040,1774831625055037852,1774831625067157247,369.926812,12.119395,382.046207,200
1774831624700498176,1774831625067157247,1774831625101768418,366.659071,34.611171,401.270242,200
1774831624706660096,1774831625101768418,1774831625103090581,395.108322,1.322163,396.430485,200
1774831624714817024,1774831625103090581,1774831625111728062,388.273557,8.637481,396.911038,200
1774831624719436800,1774831625111728062,1774831625144060491,392.291262,32.332429,424.623691,200
1774831624721126144,1774831625144060491,1774831625204763417,422.934347,60.702926,483.637273,200
1774831624741060096,1774831625204763417,1774831625214481002,463.703321,9.717585,473.420906,200
1774831624744657152,1774831625214481002,1774831625241296644,469.823850,26.815642,496.639492,200
1774831624751770880,1774831625241296644,1774831625263008337,489.525764,21.711693,511.237457,200
1774831624755248896,1774831625263008337,1774831625315267368,507.759441,52.259031,560.018472,200
1774831624761656064,1774831625315267368,1774831625317581278,553.611304,2.313910,555.925214,200
1774831624764605952,1774831625317581278,1774831625354332063,552.975326,36.750785,589.726111,200
1774831624767126016,1774831625354332063,1774831625355528077,587.206047,1.196014,588.402061,200
1774831624777309952,1774831625355528077,1774831625355722270,578.218125,0.194193,578.412318,200
1774831624787652096,1774831625355722270,1774831625361043010,568.070174,5.320740,573.390914,200
1774831624792023808,1774831625361043010,1774831625364244407,569.019202,3.201397,572.220599,200
1774831624815602176,1774831625364244407,1774831625425208228,548.642231,60.963821,609.606052,200
