arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831233243812096,1774831233243812096,1774831233245992499,0.000000,2.180403,2.180403,200
1774831233272849152,1774831233272849152,1774831233275082356,0.000000,2.233204,2.233204,200
1774831233295970816,1774831233295970816,1774831233298188715,0.000000,2.217899,2.217899,200
1774831233318202112,1774831233318202112,1774831233320440140,0.000000,2.238028,2.238028,200
1774831233360187136,1774831233360187136,1774831233363005004,0.000000,2.817868,2.817868,200
1774831233484772864,1774831233484772864,1774831233487059218,0.000000,2.286354,2.286354,200
1774831233591273984,1774831233591273984,1774831233593473700,0.000000,2.199716,2.199716,200
1774831233809639936,1774831233809639936,1774831233812033070,0.000000,2.393134,2.393134,200
1774831233826364928,1774831233826364928,1774831233828694001,0.000000,2.329073,2.329073,200
1774831233864065792,1774831233864065792,1774831233866289877,0.000000,2.224085,2.224085,200
1774831233902108928,1774831233902108928,1774831233904634681,0.000000,2.525753,2.525753,200
1774831233911813888,1774831233911813888,1774831233913987043,0.000000,2.173155,2.173155,200
1774831233980745984,1774831233980745984,1774831233983098965,0.000000,2.352981,2.352981,200
1774831233985054976,1774831233985054976,1774831233996982959,0.000000,11.927983,11.927983,200
1774831234010938880,1774831234010938880,1774831234013293361,0.000000,2.354481,2.354481,200
1774831234091939072,1774831234091939072,1774831234094049345,0.000000,2.110273,2.110273,200
1774831234170660096,1774831234170660096,1774831234172909042,0.000000,2.248946,2.248946,200
1774831234194475776,1774831234194475776,1774831234197159059,0.000000,2.683283,2.683283,200
1774831234296071168,1774831234296071168,1774831234298285995,0.000000,2.214827,2.214827,200
1774831234450117120,1774831234450117120,1774831234452286520,0.000000,2.169400,2.169400,200
1774831234462651904,1774831234462651904,1774831234464893671,0.000000,2.241767,2.241767,200
1774831234613492992,1774831234613492992,1774831234615599250,0.000000,2.106258,2.106258,200
1774831234732772096,1774831234732772096,1774831234734970313,0.000000,2.198217,2.198217,200
1774831234773967872,1774831234773967872,1774831234776292247,0.000000,2.324375,2.324375,200
1774831234809134848,1774831234809134848,1774831234811255942,0.000000,2.121094,2.121094,200
1774831235112688896,1774831235112688896,1774831235114843104,0.000000,2.154208,2.154208,200
1774831235165835008,1774831235165835008,1774831235168315461,0.000000,2.480453,2.480453,200
1774831235186428928,1774831235186428928,1774831235188967550,0.000000,2.538622,2.538622,200
1774831235190778880,1774831235190778880,1774831235194203294,0.000000,3.424414,3.424414,200
1774831235355546880,1774831235355546880,1774831235357899861,0.000000,2.352981,2.352981,200
1774831235447683072,1774831235447683072,1774831235449994169,0.000000,2.311097,2.311097,200
1774831235611469056,1774831235611469056,1774831235613675627,0.000000,2.206571,2.206571,200
1774831235743817984,1774831235743817984,1774831235747284572,0.000000,3.466588,3.466588,200
1774831235830759168,1774831235830759168,1774831235833564005,0.000000,2.804837,2.804837,200
1774831236180880128,1774831236180880128,1774831236183101103,0.000000,2.220975,2.220975,200
1774831236227451136,1774831236227451136,1774831236229683451,0.000000,2.232315,2.232315,200
1774831236324503808,1774831236324503808,1774831236326764486,0.000000,2.260678,2.260678,200
1774831236485323008,1774831236485323008,1774831236487443211,0.000000,2.120203,2.120203,200
1774831236581142784,1774831236581142784,1774831236583472578,0.000000,2.329794,2.329794,200
1774831236779185920,1774831236779185920,1774831236783121056,0.000000,3.935136,3.935136,200
1774831236863652864,1774831236863652864,1774831236867570529,0.000000,3.917665,3.917665,200
1774831236984983040,1774831236984983040,1774831236987093313,0.000000,2.110273,2.110273,200
1774831237013164032,1774831237013164032,1774831237015375125,0.000000,2.211093,2.211093,200
1774831237039846912,1774831237039846912,1774831237042067887,0.000000,2.220975,2.220975,200
1774831237071380992,1774831237071380992,1774831237073684227,0.000000,2.303235,2.303235,200
1774831237082298880,1774831237082298880,1774831237084911909,0.000000,2.613029,2.613029,200
1774831237098962944,1774831237098962944,1774831237101165568,0.000000,2.202624,2.202624,200
1774831237113368064,1774831237113368064,1774831237115646765,0.000000,2.278701,2.278701,200
1774831237131987200,1774831237131987200,1774831237134211285,0.000000,2.224085,2.224085,200
1774831237228593152,1774831237228593152,1774831237230839333,0.000000,2.246181,2.246181,200
1774831237273804800,1774831237273804800,1774831237275961049,0.000000,2.156249,2.156249,200
1774831237319580160,1774831237319580160,1774831237321818032,0.000000,2.237872,2.237872,200
1774831237344075008,1774831237344075008,1774831237346275576,0.000000,2.200568,2.200568,200
1774831237375844096,1774831237375844096,1774831237377980329,0.000000,2.136233,2.136233,200
1774831237664627200,1774831237664627200,1774831237668914719,0.000000,4.287519,4.287519,200
1774831237754343936,1774831237754343936,1774831237757209372,0.000000,2.865436,2.865436,200
1774831237866960128,1774831237866960128,1774831237869178537,0.000000,2.218409,2.218409,200
1774831237898246912,1774831237898246912,1774831237902482239,0.000000,4.235327,4.235327,200
1774831237996568064,1774831237996568064,1774831237998939018,0.000000,2.370954,2.370954,200
1774831238017957888,1774831238017957888,1774831238021255172,0.000000,3.297284,3.297284,200
1774831238063457024,1774831238063457024,1774831238066166815,0.000000,2.709791,2.709791,200
1774831238519367936,1774831238519367936,1774831238521587942,0.000000,2.220006,2.220006,200
1774831238620220928,1774831238620220928,1774831238622505521,0.000000,2.284593,2.284593,200
1774831238701662976,1774831238701662976,1774831238705484857,0.000000,3.821881,3.821881,200
1774831238815996928,1774831238815996928,1774831238818223698,0.000000,2.226770,2.226770,200
1774831239008980992,1774831239008980992,1774831239011486627,0.000000,2.505635,2.505635,200
1774831239150309120,1774831239150309120,1774831239153208435,0.000000,2.899315,2.899315,200
1774831239176420864,1774831239176420864,1774831239178596730,0.000000,2.175866,2.175866,200
1774831239196993024,1774831239196993024,1774831239199880311,0.000000,2.887287,2.887287,200
1774831239216739840,1774831239216739840,1774831239219084946,0.000000,2.345106,2.345106,200
1774831239247764992,1774831239247764992,1774831239251577972,0.000000,3.812980,3.812980,200
1774831239288461824,1774831239288461824,1774831239290829124,0.000000,2.367300,2.367300,200
1774831239557661952,1774831239557661952,1774831239560046016,0.000000,2.384064,2.384064,200
1774831239766489856,1774831239766489856,1774831239768737017,0.000000,2.247161,2.247161,200
1774831239818448128,1774831239818448128,1774831239822275768,0.000000,3.827640,3.827640,200
1774831239938056960,1774831239938056960,1774831239941073957,0.000000,3.016997,3.016997,200
1774831239985624064,1774831239985624064,1774831239987873896,0.000000,2.249832,2.249832,200
1774831240217745920,1774831240217745920,1774831240220015030,0.000000,2.269110,2.269110,200
1774831240278925824,1774831240278925824,1774831240281041104,0.000000,2.115280,2.115280,200
1774831240317587968,1774831240317587968,1774831240319766170,0.000000,2.178202,2.178202,200
1774831240354774016,1774831240354774016,1774831240357015783,0.000000,2.241767,2.241767,200
1774831240428544000,1774831240428544000,1774831240430686999,0.000000,2.142999,2.142999,200
1774831240450074880,1774831240450074880,1774831240452231129,0.000000,2.156249,2.156249,200
1774831240538220032,1774831240538220032,1774831240540441007,0.000000,2.220975,2.220975,200
1774831240765752064,1774831240765752064,1774831240768756019,0.000000,3.003955,3.003955,200
1774831240829158912,1774831240829158912,1774831240831264713,0.000000,2.105801,2.105801,200
1774831240847537920,1774831240847537920,1774831240849936094,0.000000,2.398174,2.398174,200
1774831241453774080,1774831241453774080,1774831241456247366,0.000000,2.473286,2.473286,200
1774831241518866176,1774831241518866176,1774831241521087185,0.000000,2.221009,2.221009,200
1774831241545336064,1774831241545336064,1774831241548438137,0.000000,3.102073,3.102073,200
1774831241552274944,1774831241552274944,1774831241554430225,0.000000,2.155281,2.155281,200
1774831241572238080,1774831241572238080,1774831241574358791,0.000000,2.120711,2.120711,200
1774831241660621824,1774831241660621824,1774831241663386213,0.000000,2.764389,2.764389,200
1774831241821388032,1774831241821388032,1774831241823529107,0.000000,2.141075,2.141075,200
1774831241852953856,1774831241852953856,1774831241856378270,0.000000,3.424414,3.424414,200
1774831241892231936,1774831241892231936,1774831241894552598,0.000000,2.320662,2.320662,200
1774831241934277888,1774831241934277888,1774831241936402600,0.000000,2.124712,2.124712,200
1774831242479016192,1774831242479016192,1774831242481187492,0.000000,2.171300,2.171300,200
1774831242541233152,1774831242541233152,1774831242543338667,0.000000,2.105515,2.105515,200
1774831242896192000,1774831242896192000,1774831242898297801,0.000000,2.105801,2.105801,200
1774831243093971968,1774831243093971968,1774831243096290268,0.000000,2.318300,2.318300,200
1774831243120980992,1774831243120980992,1774831243123127153,0.000000,2.146161,2.146161,200
1774831243245521920,1774831243245521920,1774831243248518659,0.000000,2.996739,2.996739,200
1774831243338084864,1774831243338084864,1774831243340371218,0.000000,2.286354,2.286354,200
1774831243415554048,1774831243415554048,1774831243417693551,0.000000,2.139503,2.139503,200
1774831243447020032,1774831243447020032,1774831243449154500,0.000000,2.134468,2.134468,200
1774831243550362112,1774831243550362112,1774831243554444499,0.000000,4.082387,4.082387,200
1774831243570210816,1774831243570210816,1774831243575181419,0.000000,4.970603,4.970603,200
1774831243637310976,1774831243637310976,1774831243639479997,0.000000,2.169021,2.169021,200
1774831243680968960,1774831243680968960,1774831243683299873,0.000000,2.330913,2.330913,200
