arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831439748079104,1774831439748079104,1774831439750903509,0.000000,2.824405,2.824405,200
1774831439752347904,1774831439752347904,1774831439756989466,0.000000,4.641562,4.641562,200
1774831439765552896,1774831439765552896,1774831439768529449,0.000000,2.976553,2.976553,200
1774831439770190848,1774831439770190848,1774831439773722449,0.000000,3.531601,3.531601,200
1774831439778454016,1774831439778454016,1774831439784734638,0.000000,6.280622,6.280622,200
1774831439785317888,1774831439785317888,1774831439788791733,0.000000,3.473845,3.473845,200
1774831439790704896,1774831439790704896,1774831439799797807,0.000000,9.092911,9.092911,200
1774831439810700032,1774831439810700032,1774831439816091931,0.000000,5.391899,5.391899,200
1774831439820958976,1774831439820958976,1774831439823187844,0.000000,2.228868,2.228868,200
1774831439833504000,1774831439833504000,1774831439835776888,0.000000,2.272888,2.272888,200
1774831439833730048,1774831439835776888,1774831439838002625,2.046840,2.225737,4.272577,200
1774831439837854976,1774831439838002625,1774831439848403482,0.147649,10.400857,10.548506,200
1774831439857531904,1774831439857531904,1774831439863725377,0.000000,6.193473,6.193473,200
1774831439868408832,1774831439868408832,1774831439872015446,0.000000,3.606614,3.606614,200
1774831439869479936,1774831439872015446,1774831439876360432,2.535510,4.344986,6.880496,200
1774831439874274048,1774831439876360432,1774831439879886511,2.086384,3.526079,5.612463,200
1774831439874860032,1774831439879886511,1774831439885923814,5.026479,6.037303,11.063782,200
1774831439879460096,1774831439885923814,1774831439888598931,6.463718,2.675117,9.138835,200
1774831439922193152,1774831439922193152,1774831439926302905,0.000000,4.109753,4.109753,200
1774831439924644096,1774831439926302905,1774831439930246351,1.658809,3.943446,5.602255,200
1774831439931780096,1774831439931780096,1774831439934240628,0.000000,2.460532,2.460532,200
1774831439940359168,1774831439940359168,1774831439942526929,0.000000,2.167761,2.167761,200
1774831439974683136,1774831439974683136,1774831439977453607,0.000000,2.770471,2.770471,200
1774831439996236032,1774831439996236032,1774831440004428203,0.000000,8.192171,8.192171,200
1774831439997210112,1774831440004428203,1774831440008367874,7.218091,3.939671,11.157762,200
1774831440044361984,1774831440044361984,1774831440046827118,0.000000,2.465134,2.465134,200
1774831440045380096,1774831440046827118,1774831440049415954,1.447022,2.588836,4.035858,200
1774831440060084992,1774831440060084992,1774831440063275877,0.000000,3.190885,3.190885,200
1774831440071659008,1774831440071659008,1774831440073946279,0.000000,2.287271,2.287271,200
1774831440092192768,1774831440092192768,1774831440096107319,0.000000,3.914551,3.914551,200
1774831440117539840,1774831440117539840,1774831440120742350,0.000000,3.202510,3.202510,200
1774831440160495104,1774831440160495104,1774831440162761977,0.000000,2.266873,2.266873,200
1774831440191813888,1774831440191813888,1774831440193940978,0.000000,2.127090,2.127090,200
1774831440192125184,1774831440193940978,1774831440196050202,1.815794,2.109224,3.925018,200
1774831440248224000,1774831440248224000,1774831440250421777,0.000000,2.197777,2.197777,200
1774831440266146816,1774831440266146816,1774831440268718275,0.000000,2.571459,2.571459,200
1774831440301083136,1774831440301083136,1774831440303416945,0.000000,2.333809,2.333809,200
1774831440319932928,1774831440319932928,1774831440324145582,0.000000,4.212654,4.212654,200
1774831440344151040,1774831440344151040,1774831440346384791,0.000000,2.233751,2.233751,200
1774831440368647936,1774831440368647936,1774831440371384969,0.000000,2.737033,2.737033,200
1774831440395108096,1774831440395108096,1774831440397221722,0.000000,2.113626,2.113626,200
1774831440415462912,1774831440415462912,1774831440417636430,0.000000,2.173518,2.173518,200
1774831440430283008,1774831440430283008,1774831440432387700,0.000000,2.104692,2.104692,200
1774831440435223040,1774831440435223040,1774831440437348820,0.000000,2.125780,2.125780,200
1774831440455948032,1774831440455948032,1774831440458374276,0.000000,2.426244,2.426244,200
1774831440460680960,1774831440460680960,1774831440463421153,0.000000,2.740193,2.740193,200
1774831440462967040,1774831440463421153,1774831440469820160,0.454113,6.399007,6.853120,200
1774831440472040960,1774831440472040960,1774831440476167752,0.000000,4.126792,4.126792,200
1774831440476730112,1774831440476730112,1774831440479298730,0.000000,2.568618,2.568618,200
1774831440491172096,1774831440491172096,1774831440506895016,0.000000,15.722920,15.722920,200
1774831440509233920,1774831440509233920,1774831440514212317,0.000000,4.978397,4.978397,200
1774831440511130112,1774831440514212317,1774831440516406993,3.082205,2.194676,5.276881,200
1774831440512397056,1774831440516406993,1774831440518491818,4.009937,2.084825,6.094762,200
1774831440513138944,1774831440518491818,1774831440520598150,5.352874,2.106332,7.459206,200
1774831440546703104,1774831440546703104,1774831440548862167,0.000000,2.159063,2.159063,200
1774831440582987008,1774831440582987008,1774831440585141589,0.000000,2.154581,2.154581,200
1774831440583700992,1774831440585141589,1774831440587753043,1.440597,2.611454,4.052051,200
1774831440610595840,1774831440610595840,1774831440613302121,0.000000,2.706281,2.706281,200
1774831440615966976,1774831440615966976,1774831440618275686,0.000000,2.308710,2.308710,200
1774831440640787968,1774831440640787968,1774831440643058513,0.000000,2.270545,2.270545,200
1774831440655833856,1774831440655833856,1774831440658064705,0.000000,2.230849,2.230849,200
1774831440714071040,1774831440714071040,1774831440716452207,0.000000,2.381167,2.381167,200
1774831440748122880,1774831440748122880,1774831440750521824,0.000000,2.398944,2.398944,200
1774831440766816000,1774831440766816000,1774831440769041027,0.000000,2.225027,2.225027,200
1774831440810460160,1774831440810460160,1774831440812564061,0.000000,2.103901,2.103901,200
1774831440842138112,1774831440842138112,1774831440844252958,0.000000,2.114846,2.114846,200
1774831440860850944,1774831440860850944,1774831440863038978,0.000000,2.188034,2.188034,200
1774831440878371072,1774831440878371072,1774831440880544180,0.000000,2.173108,2.173108,200
1774831440880100864,1774831440880544180,1774831440883157395,0.443316,2.613215,3.056531,200
1774831440892301056,1774831440892301056,1774831440894921095,0.000000,2.620039,2.620039,200
1774831440904943104,1774831440904943104,1774831440907231196,0.000000,2.288092,2.288092,200
1774831440918906880,1774831440918906880,1774831440921027348,0.000000,2.120468,2.120468,200
1774831440939683840,1774831440939683840,1774831440942583025,0.000000,2.899185,2.899185,200
1774831440996953856,1774831440996953856,1774831440999151811,0.000000,2.197955,2.197955,200
1774831440997096960,1774831440999151811,1774831441001309006,2.054851,2.157195,4.212046,200
