arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1774347013506231040,1.141735,0.606344,1.748079,200
1774347013507813888,2.667149,0.747923,3.415072,200
1774347013515461888,0.664946,0.618633,1.283579,200
1774347013510363136,1.084723,17.984248,19.068971,201
1774347013512860928,0.971029,2.059887,3.030916,201
1774347013518588160,1.922581,1.116531,3.039112,200
1774347013546006016,9.195553,0.835068,10.030621,200
1774347013586055168,1.831306,9.417343,11.248649,200
1774347013592397824,2.040050,2.930889,4.970939,200
1774347013596601088,3.296772,6.202902,9.499674,201
1774347013526731008,2.680693,3.831420,6.512113,201
1774347013523063040,1.453808,1.550188,3.003996,200
1774347013585190144,4.757365,12.900338,17.657703,200
1774347013594428160,1.294140,4.005592,5.299732,200
1774347013616250880,2.430122,3.151555,5.581677,201
1774347013520324096,1.677082,0.947777,2.624859,200
1774347013655848960,1.402331,2.444552,3.846883,200
1774347013697794816,3.344855,0.633234,3.978089,200
1774347013728569088,1.556592,1.066157,2.622749,200
1774347013769798912,2.890620,1.073929,3.964549,200
1774347013806291968,1.853715,5.505893,7.359608,201
1774347013804862976,0.754265,1.124080,1.878345,200
1774347013828480000,1.868728,4.006399,5.875127,201
1774347013835009024,1.584902,5.022434,6.607336,201
1774347013853444096,2.811856,1.705689,4.517545,200
1774347013866864896,3.681146,0.938860,4.620006,200
1774347013876553984,2.009057,2.436840,4.445897,201
1774347014007230976,2.558867,0.656931,3.215798,200
1774347014031851008,0.904210,2.199495,3.103705,201
1774347014087197952,1.247148,2.348921,3.596069,201
1774347014122529024,2.220308,1.054060,3.274368,200
1774347014149869056,2.856138,0.830076,3.686214,200
1774347014200388864,1.442293,0.863919,2.306212,200
1774347014265958912,1.842010,0.842988,2.684998,200
1774347014265070080,1.287810,2.888837,4.176647,201
1774347014280436992,2.383258,5.657662,8.040920,201
1774347014397028096,2.041438,0.746536,2.787974,200
1774347014434051072,0.894858,0.939220,1.834078,200
1774347014434268928,1.952777,0.917284,2.870061,200
1774347014463735040,1.637990,3.471846,5.109836,201
1774347014485776896,1.731592,1.087373,2.818965,200
1774347014477782016,1.047041,0.958496,2.005537,200
1774347014581828096,2.492610,1.429231,3.921841,200
1774347014597913088,2.987810,1.270145,4.257955,200
1774347014624513024,1.854998,4.207401,6.062399,201
1774347014627496960,1.083769,2.401510,3.485279,201
1774347014667879936,1.938909,1.367320,3.306229,200
1774347014705847040,3.247499,3.016550,6.264049,201
1774347014711118080,3.614464,0.849022,4.463486,200
1774347014751197184,1.036374,0.841685,1.878059,200
1774347014827783936,1.468780,3.028115,4.496895,201
1774347014881661952,1.169556,0.853073,2.022629,200
1774347014913692928,6.080567,3.205756,9.286323,201
1774347014955461888,0.936337,3.058376,3.994713,201
1774347014981035008,1.793190,1.081365,2.874555,200
1774347015110212096,3.021331,0.954145,3.975476,200
1774347015133580032,2.309199,0.908171,3.217370,200
1774347015124457984,1.892891,0.870488,2.763379,200
1774347015217614848,3.514422,3.198808,6.713230,201
1774347015269148160,1.016354,0.808058,1.824412,200
1774347015272653056,1.468207,0.805721,2.273928,200
1774347015300183040,1.015360,0.711349,1.726709,200
1774347015331741952,2.632616,3.662835,6.295451,201
1774347015348903936,2.822273,2.771661,5.593934,201
1774347015460651008,1.278578,1.099260,2.377838,200
1774347015550173952,1.101428,0.693465,1.794893,200
1774347015549940992,2.813108,1.073011,3.886119,200
1774347015662558976,2.332572,2.216902,4.549474,201
1774347015714767104,2.200920,2.303584,4.504504,201
1774347015751895040,3.401309,1.233662,4.634971,200
1774347015756928000,4.028637,1.102856,5.131493,200
1774347015790232064,1.578114,3.382597,4.960711,201
1774347015876653056,3.366239,0.954187,4.320426,200
1774347015890853888,1.696693,0.712810,2.409503,200
1774347015945024000,1.217702,2.950005,4.167707,201
1774347015975152128,2.446202,0.888065,3.334267,200
1774347016003196928,6.717133,1.602545,8.319678,200
1774347016033870848,1.809393,4.474573,6.283966,201
1774347016049083904,1.955036,1.105627,3.060663,200
1774347016097332992,4.599054,2.328966,6.928020,201
1774347016083156992,0.916092,3.477955,4.394047,201
1774347016135073024,4.076689,2.978286,7.054975,201
1774347016234949120,0.926308,0.827697,1.754005,200
1774347016239239936,1.355921,3.117066,4.472987,201
1774347016290770944,1.508799,0.998247,2.507046,200
1774347016300619008,1.381790,3.328176,4.709966,201
1774347016327636992,3.561009,1.026549,4.587558,200
1774347016392211968,2.634689,0.987471,3.622160,200
1774347016403700224,4.207875,7.504186,11.712061,201
1774347016426157824,3.526768,1.393076,4.919844,200
1774347016455427840,1.111000,0.930792,2.041792,200
1774347016506333952,2.246197,0.935192,3.181389,200
1774347016530787072,9.466011,0.859468,10.325479,200
1774347016537559040,4.920404,6.680385,11.600789,201
1774347016502356992,1.393329,0.992685,2.386014,200
1774347016571072000,3.514876,6.012657,9.527533,201
1774347016562083072,2.473293,2.091817,4.565110,200
1774347016679009024,1.536381,0.824238,2.360619,200
1774347016762172928,1.651058,0.631278,2.282336,200
1774347016765038848,1.708159,0.954123,2.662282,200
1774347016841410048,1.292824,0.594631,1.887455,200
1774347016965789952,1.182663,0.959402,2.142065,200
1774347016976727040,2.405409,0.782601,3.188010,200
1774347016984983808,1.210880,1.069330,2.280210,200
1774347016979973120,0.602542,1.079145,1.681687,200
1774347017168153088,1.940177,4.045416,5.985593,201
1774347017214044928,0.470034,0.541445,1.011479,200
1774347017237003008,0.929228,0.553004,1.482232,200
1774347017464983040,3.626211,0.870138,4.496349,200
1774347017519613952,2.042860,4.040784,6.083644,201
1774347017536098048,1.831317,0.712111,2.543428,200
1774347017571192064,1.454289,0.900503,2.354792,200
1774347017632178944,1.438690,3.612810,5.051500,201
1774347017665550848,2.094493,1.079250,3.173743,200
1774347017757736960,1.931018,3.165198,5.096216,201
1774347017890659072,1.252762,0.569121,1.821883,200
1774347017904112128,1.045830,2.349726,3.395556,201
1774347017937426176,1.437156,2.895443,4.332599,201
1774347017944999936,0.913564,0.575246,1.488810,200
1774347017956162816,1.589125,0.697821,2.286946,200
1774347017997516032,0.544638,0.868119,1.412757,200
1774347018032613888,1.436395,0.765139,2.201534,200
1774347018148798976,1.667377,3.478981,5.146358,201
1774347018202331136,2.251453,3.054308,5.305761,201
1774347018223673088,2.084985,1.017930,3.102915,200
1774347018242459904,1.554096,0.580407,2.134503,200
1774347018312380928,1.177184,2.465387,3.642571,201
1774347018325922048,1.801323,0.552063,2.353386,200
1774347018558372864,2.381190,4.094981,6.476171,201
1774347018569276928,2.147817,3.975328,6.123145,201
1774347018705444096,1.763461,0.819331,2.582792,200
1774347018772147968,1.933588,0.993245,2.926833,200
1774347018779346944,2.724005,0.587841,3.311846,200
1774347018829029120,2.687136,0.653435,3.340571,200
1774347019015934976,4.097398,0.866976,4.964374,200
1774347019014672128,2.213981,1.160930,3.374911,200
1774347019049850880,1.969495,0.806894,2.776389,200
1774347019151732992,3.684727,3.851969,7.536696,201
1774347019157694208,1.435972,3.709465,5.145437,201
1774347019191881984,1.437515,3.711137,5.148652,201
1774347019228168960,4.008616,0.913819,4.922435,200
1774347019255727104,1.012325,0.984307,1.996632,200
1774347019243458048,2.675947,1.436564,4.112511,200
1774347019361586944,1.428865,0.907334,2.336199,200
1774347019371639040,0.961749,3.715198,4.676947,201
1774347019356077056,9.473447,1.965766,11.439213,200
1774347018724258816,2.305370,0.876559,3.181929,200
1774347018751719936,1.692866,0.967418,2.660284,200
1774347018768616960,3.212864,6.035074,9.247938,201
1774347018767750144,1.320587,0.696204,2.016791,200
1774347018861374976,1.711163,0.969840,2.681003,200
1774347018905057792,1.034916,0.921686,1.956602,200
1774347018935795968,0.604255,0.932644,1.536899,200
1774347018949528832,2.950038,5.679774,8.629812,201
1774347018134014976,2.112959,0.954409,3.067368,200
1774347018218535936,1.761674,0.887410,2.649084,200
1774347018227735040,1.068092,3.650493,4.718585,201
1774347018236742912,2.524391,0.849707,3.374098,200
1774347018367465984,1.839514,3.768183,5.607697,201
1774347018385072896,3.252704,1.119282,4.371986,200
1774347018491904000,1.295267,0.977318,2.272585,200
1774347018635155968,1.254698,0.997158,2.251856,200
1774347018760840960,3.667616,3.209967,6.877583,201
1774347018807406848,2.222464,0.884481,3.106945,200
1774347018900808192,0.399661,0.977221,1.376882,200
1774347018980238080,1.317593,0.933047,2.250640,200
1774347018996258048,1.395825,0.857637,2.253462,200
1774347018993762048,4.438815,0.822293,5.261108,200
1774347019083282944,2.339954,3.265713,5.605667,201
1774347019152396032,1.484379,0.978386,2.462765,200
1774347019191272960,0.497003,0.918599,1.415602,200
1774347019172359936,2.434822,1.089700,3.524522,200
1774347019179442944,1.776241,8.159969,9.936210,201
1774347019309953024,1.525213,1.248648,2.773861,200
1774347019271488000,0.738297,0.914400,1.652697,200
1774347019289897984,1.977214,0.871610,2.848824,200
1774347019337372160,1.233206,1.173854,2.407060,200
1774347019345793024,1.445913,0.912243,2.358156,200
1774347019377315072,6.391716,10.041792,16.433508,201
