arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774347013506231040,1774347013506231040,1774347013507728855,0.000000,1.497815,1.497815,200
1774347013507813888,1774347013507813888,1774347013510219297,0.000000,2.405409,2.405409,200
1774347013510363136,1774347013510363136,1774347013511440080,0.000000,1.076944,1.076944,200
1774347013512860928,1774347013512860928,1774347013516185163,0.000000,3.324235,3.324235,200
1774347013515461888,1774347013516185163,1774347013517165516,0.723275,0.980353,1.703628,200
1774347013518588160,1774347013518588160,1774347013520678130,0.000000,2.089970,2.089970,200
1774347013520324096,1774347013520678130,1774347013523265468,0.354034,2.587338,2.941372,200
1774347013523063040,1774347013523265468,1774347013524683047,0.202428,1.417579,1.620007,200
1774347013526731008,1774347013526731008,1774347013528936699,0.000000,2.205691,2.205691,200
1774347013546006016,1774347013546006016,1774347013547746036,0.000000,1.740020,1.740020,200
1774347013585190144,1774347013585190144,1774347013586367328,0.000000,1.177184,1.177184,200
1774347013586055168,1774347013586367328,1774347013588480287,0.312160,2.112959,2.425119,200
1774347013592397824,1774347013592397824,1774347013594330127,0.000000,1.932303,1.932303,200
1774347013594428160,1774347013594428160,1774347013597458720,0.000000,3.030560,3.030560,200
1774347013596601088,1774347013597458720,1774347013598499193,0.857632,1.040473,1.898105,200
1774347013616250880,1774347013616250880,1774347013617503823,0.000000,1.252943,1.252943,200
1774347013655848960,1774347013655848960,1774347013659475171,0.000000,3.626211,3.626211,200
1774347013697794816,1774347013697794816,1774347013699076017,0.000000,1.281201,1.281201,200
1774347013728569088,1774347013728569088,1774347013729947795,0.000000,1.378707,1.378707,200
1774347013769798912,1774347013769798912,1774347013771747758,0.000000,1.948846,1.948846,200
1774347013804862976,1774347013804862976,1774347013807558603,0.000000,2.695627,2.695627,200
1774347013806291968,1774347013807558603,1774347013810596451,1.266635,3.037848,4.304483,200
1774347013828480000,1774347013828480000,1774347013832325465,0.000000,3.845465,3.845465,200
1774347013835009024,1774347013835009024,1774347013837018081,0.000000,2.009057,2.009057,200
1774347013853444096,1774347013853444096,1774347013856146522,0.000000,2.702426,2.702426,200
1774347013866864896,1774347013866864896,1774347013868457614,0.000000,1.592718,1.592718,200
