arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346071604195670,1774346071604195670,1774346071606176670,0.000000,1.981000,1.981000,200
1774346071606446829,1774346071606446829,1774346071606942829,0.000000,0.496000,0.496000,200
1774346071610341083,1774346071610341083,1774346071611963083,0.000000,1.622000,1.622000,200
1774346071612420127,1774346071612420127,1774346071613124127,0.000000,0.704000,0.704000,200
1774346071615924554,1774346071615924554,1774346071618599554,0.000000,2.675000,2.675000,200
1774346071619060967,1774346071619060967,1774346071621171967,0.000000,2.111000,2.111000,200
1774346071626108349,1774346071626108349,1774346071627648349,0.000000,1.540000,1.540000,200
1774346071628278126,1774346071628278126,1774346071632312126,0.000000,4.034000,4.034000,200
1774346071633083168,1774346071633083168,1774346071634437168,0.000000,1.354000,1.354000,200
1774346071634777589,1774346071634777589,1774346071635864589,0.000000,1.087000,1.087000,200
1774346071636131469,1774346071636131469,1774346071638991469,0.000000,2.860000,2.860000,200
1774346071643180821,1774346071643180821,1774346071645778821,0.000000,2.598000,2.598000,200
1774346071646679226,1774346071646679226,1774346071647406226,0.000000,0.727000,0.727000,200
1774346071648675155,1774346071648675155,1774346071649085155,0.000000,0.410000,0.410000,200
1774346071653230394,1774346071653230394,1774346071655383394,0.000000,2.153000,2.153000,200
1774346071659261210,1774346071659261210,1774346071660034210,0.000000,0.773000,0.773000,200
1774346071663810568,1774346071663810568,1774346071665867568,0.000000,2.057000,2.057000,200
1774346071668105216,1774346071668105216,1774346071668845216,0.000000,0.740000,0.740000,200
1774346071672225472,1774346071672225472,1774346071672622472,0.000000,0.397000,0.397000,200
1774346071674718028,1774346071674718028,1774346071675774028,0.000000,1.056000,1.056000,200
1774346071681655796,1774346071681655796,1774346071682339796,0.000000,0.684000,0.684000,200
1774346071689591433,1774346071689591433,1774346071690462433,0.000000,0.871000,0.871000,200
1774346071692985934,1774346071692985934,1774346071693767934,0.000000,0.782000,0.782000,200
1774346071694444367,1774346071694444367,1774346071699108367,0.000000,4.664000,4.664000,200
1774346071702546735,1774346071702546735,1774346071702927735,0.000000,0.381000,0.381000,200
1774346071708830809,1774346071708830809,1774346071710359809,0.000000,1.529000,1.529000,200
1774346071719033730,1774346071719033730,1774346071721155730,0.000000,2.122000,2.122000,200
1774346071721665629,1774346071721665629,1774346071722339629,0.000000,0.674000,0.674000,200
1774346071724641926,1774346071724641926,1774346071726292926,0.000000,1.651000,1.651000,200
1774346071732408598,1774346071732408598,1774346071735109598,0.000000,2.701000,2.701000,200
1774346071738561148,1774346071738561148,1774346071740548148,0.000000,1.987000,1.987000,200
1774346071742805452,1774346071742805452,1774346071744319452,0.000000,1.514000,1.514000,200
1774346071745026656,1774346071745026656,1774346071745568656,0.000000,0.542000,0.542000,200
1774346071750106643,1774346071750106643,1774346071751630643,0.000000,1.524000,1.524000,200
1774346071753841537,1774346071753841537,1774346071754893537,0.000000,1.052000,1.052000,200
