arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346167223158746,1774346167223158746,1774346167224032746,0.000000,0.874000,0.874000,200
1774346167229300623,1774346167229300623,1774346167232906623,0.000000,3.606000,3.606000,200
1774346167242909611,1774346167242909611,1774346167245648611,0.000000,2.739000,2.739000,200
1774346167244141070,1774346167245648611,1774346167246705611,1.507541,1.057000,2.564541,200
1774346167248182271,1774346167248182271,1774346167249579271,0.000000,1.397000,1.397000,200
1774346167250625190,1774346167250625190,1774346167257466190,0.000000,6.841000,6.841000,200
1774346167254496899,1774346167257466190,1774346167258453190,2.969291,0.987000,3.956291,200
1774346167255664184,1774346167258453190,1774346167266089190,2.789006,7.636000,10.425006,200
1774346167267373313,1774346167267373313,1774346167268186313,0.000000,0.813000,0.813000,200
1774346167270626858,1774346167270626858,1774346167274155858,0.000000,3.529000,3.529000,200
1774346167272609993,1774346167274155858,1774346167275978858,1.545865,1.823000,3.368865,200
1774346167273713758,1774346167275978858,1774346167277190858,2.265100,1.212000,3.477100,200
1774346167276306791,1774346167277190858,1774346167278369858,0.884067,1.179000,2.063067,200
1774346167286675404,1774346167286675404,1774346167288375404,0.000000,1.700000,1.700000,200
1774346167288135501,1774346167288375404,1774346167289402404,0.239903,1.027000,1.266903,200
1774346167289075036,1774346167289402404,1774346167290887404,0.327368,1.485000,1.812368,200
1774346167291352499,1774346167291352499,1774346167293469499,0.000000,2.117000,2.117000,200
1774346167292867716,1774346167293469499,1774346167293930499,0.601783,0.461000,1.062783,200
1774346167311923884,1774346167311923884,1774346167314192884,0.000000,2.269000,2.269000,200
1774346167315483156,1774346167315483156,1774346167318398156,0.000000,2.915000,2.915000,200
1774346167321156555,1774346167321156555,1774346167325128555,0.000000,3.972000,3.972000,200
1774346167325011803,1774346167325128555,1774346167326325555,0.116752,1.197000,1.313752,200
1774346167338077244,1774346167338077244,1774346167338612244,0.000000,0.535000,0.535000,200
1774346167353295007,1774346167353295007,1774346167355469007,0.000000,2.174000,2.174000,200
1774346167355565317,1774346167355565317,1774346167356279317,0.000000,0.714000,0.714000,200
1774346167361722207,1774346167361722207,1774346167362714207,0.000000,0.992000,0.992000,200
1774346167371544680,1774346167371544680,1774346167372863680,0.000000,1.319000,1.319000,200
1774346167371633694,1774346167372863680,1774346167373556680,1.229986,0.693000,1.922986,200
1774346167371735513,1774346167373556680,1774346167375956680,1.821167,2.400000,4.221167,200
1774346167372002313,1774346167375956680,1774346167377352680,3.954367,1.396000,5.350367,200
1774346167392436120,1774346167392436120,1774346167394309120,0.000000,1.873000,1.873000,200
1774346167395386794,1774346167395386794,1774346167395758794,0.000000,0.372000,0.372000,200
1774346167403293037,1774346167403293037,1774346167405937037,0.000000,2.644000,2.644000,200
1774346167410639602,1774346167410639602,1774346167414324602,0.000000,3.685000,3.685000,200
