arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043511411566773,1775043511411566773,1775043511442643773,0.000000,31.077000,31.077000,200
1775043514249598283,1775043514249598283,1775043514296912283,0.000000,47.314000,47.314000,200
1775043517154413767,1775043517154413767,1775043517187881767,0.000000,33.468000,33.468000,200
1775043517209839310,1775043517209839310,1775043517226969310,0.000000,17.130000,17.130000,200
1775043517213110247,1775043517226969310,1775043517254401310,13.859063,27.432000,41.291063,200
1775043517218297050,1775043517254401310,1775043517281477310,36.104260,27.076000,63.180260,200
1775043517271725382,1775043517281477310,1775043517350953310,9.751928,69.476000,79.227928,200
1775043517272112364,1775043517350953310,1775043517386017310,78.840946,35.064000,113.904946,200
1775043517273985592,1775043517386017310,1775043517420190310,112.031718,34.173000,146.204718,200
1775043517274043007,1775043517420190310,1775043517456310310,146.147303,36.120000,182.267303,200
1775043517286061722,1775043517456310310,1775043517491497310,170.248588,35.187000,205.435588,200
1775043517305418795,1775043517491497310,1775043517518974310,186.078515,27.477000,213.555515,200
1775043517317733501,1775043517518974310,1775043517545301310,201.240809,26.327000,227.567809,200
1775043517328780278,1775043517545301310,1775043517570649310,216.521032,25.348000,241.869032,200
1775043517344610198,1775043517570649310,1775043517622033310,226.039112,51.384000,277.423112,200
1775043517344668865,1775043517622033310,1775043517661991310,277.364445,39.958000,317.322445,200
1775043517364125651,1775043517661991310,1775043517693339310,297.865659,31.348000,329.213659,200
1775043517364190791,1775043517693339310,1775043517708231310,329.148519,14.892000,344.040519,200
1775043517364277213,1775043517708231310,1775043517729297310,343.954097,21.066000,365.020097,200
1775043517364978693,1775043517729297310,1775043517800191310,364.318617,70.894000,435.212617,200
1775043517383614937,1775043517800191310,1775043517827838310,416.576373,27.647000,444.223373,200
1775043517392371053,1775043517827838310,1775043517861429310,435.467257,33.591000,469.058257,200
1775043517394765271,1775043517861429310,1775043517915959310,466.664039,54.530000,521.194039,200
1775043517406540837,1775043517915959310,1775043517943712310,509.418473,27.753000,537.171473,200
1775043517422930468,1775043517943712310,1775043517969349310,520.781842,25.637000,546.418842,200
1775043517435441678,1775043517969349310,1775043518046048310,533.907632,76.699000,610.606632,200
1775043517448239559,1775043518046048310,1775043518067757310,597.808751,21.709000,619.517751,200
1775043517473578808,1775043518067757310,1775043518101366310,594.178502,33.609000,627.787502,200
1775043517478199309,1775043518101366310,1775043518134550310,623.167001,33.184000,656.351001,200
1775043517482205414,1775043518134550310,1775043518168348310,652.344896,33.798000,686.142896,200
1775043517544329934,1775043518168348310,1775043518193696310,624.018376,25.348000,649.366376,200
1775043517554523937,1775043518193696310,1775043518225772310,639.172373,32.076000,671.248373,200
1775043517582696139,1775043518225772310,1775043518261213310,643.076171,35.441000,678.517171,200
1775043517597198993,1775043518261213310,1775043518320928310,664.014317,59.715000,723.729317,200
1775043517614613306,1775043518320928310,1775043518349813310,706.315004,28.885000,735.200004,200
1775043517616540268,1775043518349813310,1775043518380976310,733.273042,31.163000,764.436042,200
1775043517617754345,1775043518380976310,1775043518431845310,763.221965,50.869000,814.090965,200
1775043517619924346,1775043518431845310,1775043518458059310,811.920964,26.214000,838.134964,200
1775043517626124249,1775043518458059310,1775043518493420310,831.935061,35.361000,867.296061,200
1775043517717548089,1775043518493420310,1775043518508168310,775.872221,14.748000,790.620221,200
1775043517745066497,1775043518508168310,1775043518539460310,763.101813,31.292000,794.393813,200
1775043517745110305,1775043518539460310,1775043518597879310,794.350005,58.419000,852.769005,200
1775043517750323618,1775043518597879310,1775043518626451310,847.555692,28.572000,876.127692,200
1775043517781515318,1775043518626451310,1775043518657799310,844.935992,31.348000,876.283992,200
1775043517811411078,1775043518657799310,1775043518679821310,846.388232,22.022000,868.410232,200
