arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775039908795892529,13.223000,0.025000,13.248000,200
1775039908858740308,10.264000,0.031000,10.295000,200
1775039908938635491,9.829000,0.030000,9.859000,200
1775039908996488868,9.309000,0.024000,9.334000,200
1775039909054199593,8.994000,0.032000,9.026000,200
1775039909125592544,9.282000,0.027000,9.309000,200
1775039909202863943,9.194000,0.027000,9.221000,200
1775039909260421711,10.344000,0.050000,10.394000,200
1775039909326611411,9.312000,0.028000,9.341000,200
1775039909402957771,9.981000,0.036000,10.018000,200
1775039909483029172,9.802000,0.028000,9.830000,200
1775039909559547313,10.085000,0.028000,10.114000,200
1775039909636918149,9.385000,0.027000,9.413000,200
1775039909714265130,9.163000,0.027000,9.190000,200
1775039909792183786,11.447000,0.037000,11.484000,200
1775039909858864476,9.344000,0.033000,9.377000,200
1775039909925589211,9.207000,0.027000,9.234000,200
1775039909982621373,9.788000,0.025000,9.813000,200
1775039910050461092,9.012000,0.027000,9.040000,200
1775039910107141619,9.629000,0.051000,9.680000,200
1775039910169201879,9.579000,0.024000,9.604000,200
1775039910242187174,10.090000,0.035000,10.125000,200
1775039910299627670,7.976000,0.025000,8.001000,200
1775039910356333886,7.797000,0.025000,7.823000,200
1775039910413500145,9.538000,0.050000,9.588000,200
1775039910471189200,9.699000,0.056000,9.755000,200
1775039910529546143,11.434000,0.035000,11.469000,200
1775039910590994884,9.944000,0.031000,9.975000,200
1775039910648877647,10.098000,0.024000,10.123000,200
1775039910706432007,9.346000,0.050000,9.397000,200
1775039910763695244,8.203000,0.031000,8.235000,200
1775039910819727077,9.321000,0.029000,9.350000,200
1775039910884173652,7.833000,0.029000,7.862000,200
1775039910939853745,8.610000,0.049000,8.660000,200
1775039911009275678,9.243000,0.029000,9.272000,200
1775039911076006594,7.955000,0.028000,7.984000,200
1775039911142556945,11.840000,0.039000,11.880000,200
1775039911217608351,10.989000,0.038000,11.028000,200
1775039911292535680,10.303000,0.038000,10.341000,200
1775039911368553315,9.705000,0.027000,9.733000,200
1775039911428427340,8.479000,0.032000,8.511000,200
1775039911487293293,10.159000,0.029000,10.188000,200
1775039911547175936,9.838000,0.072000,9.911000,200
1775039911617558528,10.008000,0.027000,10.035000,200
1775039911684187174,8.312000,0.029000,8.341000,200
1775039911750632625,9.341000,0.028000,9.369000,200
1775039911809416110,9.342000,0.026000,9.368000,200
1775039911882075561,9.199000,0.034000,9.233000,200
1775039911961513800,11.852000,0.033000,11.886000,200
1775039912038685645,10.403000,0.026000,10.430000,200
1775039912117829145,10.155000,0.027000,10.183000,200
1775039912193898860,9.588000,0.032000,9.621000,200
1775039912272678707,10.780000,0.032000,10.813000,200
1775039912350021222,9.639000,0.028000,9.667000,200
1775039912427753029,8.415000,0.027000,8.442000,200
1775039912505018332,9.890000,0.026000,9.917000,200
1775039912563061394,9.595000,0.025000,9.621000,200
1775039912629902968,9.287000,0.027000,9.315000,200
1775039912686877958,9.264000,0.024000,9.289000,200
1775039912754606801,9.867000,0.027000,9.895000,200
1775039912833999697,11.025000,0.037000,11.062000,200
1775039912910679232,11.375000,0.038000,11.414000,200
1775039912988004996,8.503000,0.042000,8.545000,200
1775039913064212377,9.490000,0.089000,9.579000,200
1775039913122246610,9.566000,0.041000,9.608000,200
1775039913201705383,10.287000,0.029000,10.316000,200
1775039913261861525,10.266000,0.033000,10.300000,200
1775039913321347606,10.842000,0.032000,10.874000,200
1775039913402810519,10.509000,0.030000,10.540000,200
1775039913463268050,17.601000,0.029000,17.631000,200
1775039913538131835,13.767000,0.036000,13.804000,200
1775039913603378942,10.049000,0.025000,10.075000,200
1775039913661274172,9.633000,0.052000,9.685000,200
1775039913728721514,9.382000,0.026000,9.408000,200
1775039913884580262,9.790000,16.502000,26.293000,200
1775039913928740412,9.899000,0.814000,10.714000,200
1775039914000998439,10.284000,8.753000,19.037000,200
1775039914036181497,9.128000,2.218000,11.347000,200
1775039914084443747,8.739000,27.543000,36.282000,200
1775039914110716177,9.685000,0.045000,9.730000,200
1775039914113749454,9.674000,0.034000,9.709000,200
1775039914191331209,10.579000,18.574000,29.153000,200
1775039914210985656,10.532000,0.038000,10.571000,200
1775039914218787674,9.515000,0.033000,9.549000,200
1775039914226217033,11.280000,0.947000,12.228000,200
1775039914243498654,15.768000,0.050000,15.819000,200
1775039914251233876,16.090000,4.470000,20.561000,200
1775039914292915813,11.425000,9.175000,20.600000,200
1775039914309890733,9.056000,44.924000,53.981000,200
1775039914425932416,10.220000,1.180000,11.400000,200
1775039914427080930,9.925000,13.069000,22.994000,200
1775039914443681680,9.301000,23.940000,33.241000,200
1775039914500957790,10.696000,8.419000,19.116000,200
