arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044098268085070,1775044098268085070,1775044098284411419,0.000000,16.326349,16.326349,200
1775044098291676640,1775044098291676640,1775044098307780807,0.000000,16.104167,16.104167,200
1775044098314899210,1775044098314899210,1775044098331482015,0.000000,16.582805,16.582805,200
1775044098336233588,1775044098336233588,1775044098360647029,0.000000,24.413441,24.413441,200
1775044098358611295,1775044098360647029,1775044098377102005,2.035734,16.454976,18.490710,200
1775044098382327175,1775044098382327175,1775044098390905435,0.000000,8.578260,8.578260,200
1775044098406187968,1775044098406187968,1775044098426665702,0.000000,20.477734,20.477734,200
1775044098450785025,1775044098450785025,1775044098466181978,0.000000,15.396953,15.396953,200
1775044098474282696,1775044098474282696,1775044098490052981,0.000000,15.770285,15.770285,200
1775044098500136036,1775044098500136036,1775044098518610924,0.000000,18.474888,18.474888,200
1775044098544281441,1775044098544281441,1775044098563807950,0.000000,19.526509,19.526509,200
1775044098567070095,1775044098567070095,1775044098597476020,0.000000,30.405925,30.405925,200
1775044098594357462,1775044098597476020,1775044098621368621,3.118558,23.892601,27.011159,200
1775044098618666901,1775044098621368621,1775044098639796323,2.701720,18.427702,21.129422,200
1775044098652614131,1775044098652614131,1775044098664921417,0.000000,12.307286,12.307286,200
1775044098674790163,1775044098674790163,1775044098685581855,0.000000,10.791692,10.791692,200
1775044098700295386,1775044098700295386,1775044098719952747,0.000000,19.657361,19.657361,200
1775044098726574038,1775044098726574038,1775044098759189686,0.000000,32.615648,32.615648,200
1775044098753364517,1775044098759189686,1775044098777023798,5.825169,17.834112,23.659281,200
1775044098785142726,1775044098785142726,1775044098801764949,0.000000,16.622223,16.622223,200
1775044098819564303,1775044098819564303,1775044098842079513,0.000000,22.515210,22.515210,200
1775044098863915112,1775044098863915112,1775044098872673959,0.000000,8.758847,8.758847,200
1775044098932694996,1775044098932694996,1775044098947766388,0.000000,15.071392,15.071392,200
1775044098972104738,1775044098972104738,1775044098994180861,0.000000,22.076123,22.076123,200
1775044099006680466,1775044099006680466,1775044099033167453,0.000000,26.486987,26.486987,200
1775044099037747470,1775044099037747470,1775044099053341227,0.000000,15.593757,15.593757,200
1775044099077583313,1775044099077583313,1775044099098496844,0.000000,20.913531,20.913531,200
1775044099104960128,1775044099104960128,1775044099124634990,0.000000,19.674862,19.674862,200
1775044099148964870,1775044099148964870,1775044099174329135,0.000000,25.364265,25.364265,200
1775044099171638755,1775044099174329135,1775044099184626686,2.690380,10.297551,12.987931,200
1775044099195901973,1775044099195901973,1775044099218811128,0.000000,22.909155,22.909155,200
1775044099226385282,1775044099226385282,1775044099234893796,0.000000,8.508514,8.508514,200
1775044099249210023,1775044099249210023,1775044099254239814,0.000000,5.029791,5.029791,200
1775044099271084510,1775044099271084510,1775044099284185580,0.000000,13.101070,13.101070,200
1775044099293406530,1775044099293406530,1775044099304717649,0.000000,11.311119,11.311119,200
1775044099314229709,1775044099314229709,1775044099340749565,0.000000,26.519856,26.519856,200
1775044099348863474,1775044099348863474,1775044099372842919,0.000000,23.979445,23.979445,200
1775044099371850029,1775044099372842919,1775044099382634937,0.992890,9.792018,10.784908,200
1775044099394742919,1775044099394742919,1775044099420903893,0.000000,26.160974,26.160974,200
1775044099422330724,1775044099422330724,1775044099433186549,0.000000,10.855825,10.855825,200
