arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775040104280023069,1775040104280023069,1775040104305026069,0.000000,25.003000,25.003000,200
1775040104328052812,1775040104328052812,1775040104337780812,0.000000,9.728000,9.728000,200
1775040104359615991,1775040104359615991,1775040104372748991,0.000000,13.133000,13.133000,200
1775040104394152872,1775040104394152872,1775040104404456872,0.000000,10.304000,10.304000,200
1775040104425481128,1775040104425481128,1775040104435608128,0.000000,10.127000,10.127000,200
1775040104457018530,1775040104457018530,1775040104467320530,0.000000,10.302000,10.302000,200
1775040104508715362,1775040104508715362,1775040104518191362,0.000000,9.476000,9.476000,200
1775040104540959360,1775040104540959360,1775040104551358360,0.000000,10.399000,10.399000,200
1775040104572992642,1775040104572992642,1775040104582250642,0.000000,9.258000,9.258000,200
1775040104604396080,1775040104604396080,1775040104614148080,0.000000,9.752000,9.752000,200
1775040104646227034,1775040104646227034,1775040104656735034,0.000000,10.508000,10.508000,200
1775040104692441250,1775040104692441250,1775040104703438250,0.000000,10.997000,10.997000,200
1775040104726073416,1775040104726073416,1775040104736434416,0.000000,10.361000,10.361000,200
1775040104758875380,1775040104758875380,1775040104769379380,0.000000,10.504000,10.504000,200
1775040104800717262,1775040104800717262,1775040104811453262,0.000000,10.736000,10.736000,200
1775040104833987589,1775040104833987589,1775040104844441589,0.000000,10.454000,10.454000,200
1775040104878902183,1775040104878902183,1775040104886948183,0.000000,8.046000,8.046000,200
1775040104908459869,1775040104908459869,1775040104919202869,0.000000,10.743000,10.743000,200
1775040104941506522,1775040104941506522,1775040104951989522,0.000000,10.483000,10.483000,200
1775040104973713875,1775040104973713875,1775040104983213875,0.000000,9.500000,9.500000,200
1775040105018017131,1775040105018017131,1775040105028352131,0.000000,10.335000,10.335000,200
1775040105050711483,1775040105050711483,1775040105063596483,0.000000,12.885000,12.885000,200
1775040105086544821,1775040105086544821,1775040105095560821,0.000000,9.016000,9.016000,200
1775040105117180649,1775040105117180649,1775040105128039649,0.000000,10.859000,10.859000,200
1775040105151850492,1775040105151850492,1775040105163510492,0.000000,11.660000,11.660000,200
1775040105187623647,1775040105187623647,1775040105197780647,0.000000,10.157000,10.157000,200
1775040105221123456,1775040105221123456,1775040105230385456,0.000000,9.262000,9.262000,200
1775040105263900172,1775040105263900172,1775040105273837172,0.000000,9.937000,9.937000,200
1775040105311179108,1775040105311179108,1775040105320825108,0.000000,9.646000,9.646000,200
1775040105342653200,1775040105342653200,1775040105350930200,0.000000,8.277000,8.277000,200
1775040105388613651,1775040105388613651,1775040105398033651,0.000000,9.420000,9.420000,200
1775040105435492200,1775040105435492200,1775040105446561200,0.000000,11.069000,11.069000,200
1775040105481918006,1775040105481918006,1775040105496136006,0.000000,14.218000,14.218000,200
1775040105528747653,1775040105528747653,1775040105538382653,0.000000,9.635000,9.635000,200
1775040105560197446,1775040105560197446,1775040105571076446,0.000000,10.879000,10.879000,200
1775040105592838023,1775040105592838023,1775040105602458023,0.000000,9.620000,9.620000,200
1775040105636328105,1775040105636328105,1775040105646862105,0.000000,10.534000,10.534000,200
1775040105671281475,1775040105671281475,1775040105681578475,0.000000,10.297000,10.297000,200
1775040105703509542,1775040105703509542,1775040105713684542,0.000000,10.175000,10.175000,200
1775040105735956545,1775040105735956545,1775040105744722545,0.000000,8.766000,8.766000,200
1775040105768117173,1775040105768117173,1775040105777957173,0.000000,9.840000,9.840000,200
1775040105802467641,1775040105802467641,1775040105813943641,0.000000,11.476000,11.476000,200
1775040105838133679,1775040105838133679,1775040105847707679,0.000000,9.574000,9.574000,200
1775040105870350878,1775040105870350878,1775040105879673878,0.000000,9.323000,9.323000,200
1775040105902761606,1775040105902761606,1775040105914558606,0.000000,11.797000,11.797000,200
1775040105936737622,1775040105936737622,1775040105947414622,0.000000,10.677000,10.677000,200
1775040105968739997,1775040105968739997,1775040105978940997,0.000000,10.201000,10.201000,200
1775040106011492993,1775040106011492993,1775040106024278993,0.000000,12.786000,12.786000,200
1775040106053186112,1775040106053186112,1775040106062660112,0.000000,9.474000,9.474000,200
1775040106083859672,1775040106083859672,1775040106093568672,0.000000,9.709000,9.709000,200
1775040106135176950,1775040106135176950,1775040106142694950,0.000000,7.518000,7.518000,200
1775040106174714893,1775040106174714893,1775040106183260893,0.000000,8.546000,8.546000,200
1775040106204689100,1775040106204689100,1775040106213777100,0.000000,9.088000,9.088000,200
1775040106234460935,1775040106234460935,1775040106242914935,0.000000,8.454000,8.454000,200
1775040106264363398,1775040106264363398,1775040106277251398,0.000000,12.888000,12.888000,200
1775040106298516347,1775040106298516347,1775040106306540347,0.000000,8.024000,8.024000,200
1775040106327496623,1775040106327496623,1775040106337306623,0.000000,9.810000,9.810000,200
1775040106358489837,1775040106358489837,1775040106366655837,0.000000,8.166000,8.166000,200
1775040106389054327,1775040106389054327,1775040106397059327,0.000000,8.005000,8.005000,200
1775040106418151128,1775040106418151128,1775040106427745128,0.000000,9.594000,9.594000,200
