arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775046547448113418,6.832000,0.024000,6.856000,200
1775046547474460654,3.988000,0.032000,4.020000,200
1775046547497512669,3.464000,0.031000,3.496000,200
1775046547519967286,5.277000,0.034000,5.312000,200
1775046547564993122,3.315000,0.027000,3.342000,200
1775046547586588734,3.564000,0.023000,3.587000,200
1775046547608807335,3.535000,0.036000,3.571000,200
1775046547631172973,3.759000,0.030000,3.790000,200
1775046547653600425,3.471000,0.028000,3.499000,200
1775046547676104784,3.622000,0.024000,3.646000,200
1775046547697856029,3.553000,0.032000,3.585000,200
1775046547736447610,3.657000,0.063000,3.720000,200
1775046547760840627,3.054000,0.033000,3.088000,200
1775046547781818711,3.813000,0.032000,3.845000,200
1775046547814685455,4.237000,0.042000,4.279000,200
1775046547839143576,4.247000,0.029000,4.277000,200
1775046547862821554,4.285000,0.030000,4.316000,200
1775046547886342326,3.555000,0.032000,3.587000,200
1775046547908851067,4.224000,0.034000,4.258000,200
1775046547931948955,3.891000,0.031000,3.922000,200
1775046547969663981,3.843000,0.041000,3.884000,200
1775046547992390754,4.090000,0.025000,4.115000,200
1775046548015777480,4.146000,0.023000,4.170000,200
1775046548038639199,3.503000,0.036000,3.539000,200
1775046548061183756,3.485000,0.023000,3.508000,200
1775046548083295596,3.441000,0.023000,3.465000,200
1775046548105212241,3.778000,0.024000,3.802000,200
1775046548127480290,3.719000,0.024000,3.743000,200
1775046548157571154,3.793000,0.035000,3.829000,200
1775046548180023503,3.451000,0.032000,3.484000,200
1775046548201699423,4.375000,0.024000,4.400000,200
1775046548225146517,3.970000,0.025000,3.995000,200
1775046548247788166,3.615000,0.024000,3.640000,200
1775046548269807444,3.216000,0.029000,3.245000,200
1775046548291432564,4.020000,0.025000,4.045000,200
1775046548315396244,4.129000,0.031000,4.161000,200
1775046548339817703,4.437000,0.034000,4.471000,200
1775046548364925865,4.939000,0.036000,4.976000,200
1775046548390419427,4.100000,0.035000,4.135000,200
1775046548416489652,4.217000,0.042000,4.260000,200
1775046548453470106,4.702000,0.035000,4.738000,200
1775046548485806665,4.241000,0.038000,4.280000,200
1775046548531239411,5.308000,0.708000,6.017000,200
1775046548557714542,3.736000,0.024000,3.760000,200
1775046548581057030,4.412000,0.034000,4.446000,200
1775046548604634371,3.932000,0.025000,3.958000,200
1775046548627037897,3.691000,0.030000,3.721000,200
1775046548649513635,3.905000,0.030000,3.935000,200
1775046548672382209,3.621000,0.033000,3.654000,200
1775046548695443222,4.482000,0.024000,4.507000,200
1775046548719450251,4.012000,0.023000,4.036000,200
1775046548761627280,7.914000,0.026000,7.940000,200
1775046548792223984,4.577000,0.036000,4.613000,200
1775046548817887685,4.463000,0.034000,4.497000,200
