arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046645799227131,1775046645799227131,1775046645805139131,0.000000,5.912000,5.912000,200
1775046645827175477,1775046645827175477,1775046645831282477,0.000000,4.107000,4.107000,200
1775046645858488666,1775046645858488666,1775046645863412666,0.000000,4.924000,4.924000,200
1775046645877628105,1775046645877628105,1775046645882242105,0.000000,4.614000,4.614000,200
1775046645896215638,1775046645896215638,1775046645900368638,0.000000,4.153000,4.153000,200
1775046645914161767,1775046645914161767,1775046645918016767,0.000000,3.855000,3.855000,200
1775046645931581823,1775046645931581823,1775046645935827823,0.000000,4.246000,4.246000,200
1775046645950388000,1775046645950388000,1775046645955072000,0.000000,4.684000,4.684000,200
1775046645982697853,1775046645982697853,1775046645987365853,0.000000,4.668000,4.668000,200
1775046646002652838,1775046646002652838,1775046646006433838,0.000000,3.781000,3.781000,200
1775046646019864433,1775046646019864433,1775046646023613433,0.000000,3.749000,3.749000,200
1775046646036640491,1775046646036640491,1775046646040191491,0.000000,3.551000,3.551000,200
1775046646053395053,1775046646053395053,1775046646058740053,0.000000,5.345000,5.345000,200
1775046646072029819,1775046646072029819,1775046646076638819,0.000000,4.609000,4.609000,200
1775046646092464205,1775046646092464205,1775046646096465205,0.000000,4.001000,4.001000,200
1775046646110802036,1775046646110802036,1775046646115431036,0.000000,4.629000,4.629000,200
1775046646128534104,1775046646128534104,1775046646132261104,0.000000,3.727000,3.727000,200
1775046646145654604,1775046646145654604,1775046646149358604,0.000000,3.704000,3.704000,200
1775046646163227742,1775046646163227742,1775046646166853742,0.000000,3.626000,3.626000,200
1775046646197318312,1775046646197318312,1775046646201327312,0.000000,4.009000,4.009000,200
1775046646215661573,1775046646215661573,1775046646219921573,0.000000,4.260000,4.260000,200
1775046646233591192,1775046646233591192,1775046646237462192,0.000000,3.871000,3.871000,200
1775046646262918532,1775046646262918532,1775046646266578532,0.000000,3.660000,3.660000,200
1775046646280327707,1775046646280327707,1775046646284500707,0.000000,4.173000,4.173000,200
1775046646298576213,1775046646298576213,1775046646302711213,0.000000,4.135000,4.135000,200
1775046646316867299,1775046646316867299,1775046646322796299,0.000000,5.929000,5.929000,200
1775046646338825597,1775046646338825597,1775046646346427597,0.000000,7.602000,7.602000,200
1775046646360797977,1775046646360797977,1775046646364599977,0.000000,3.802000,3.802000,200
1775046646386588957,1775046646386588957,1775046646390455957,0.000000,3.867000,3.867000,200
1775046646404657649,1775046646404657649,1775046646408170649,0.000000,3.513000,3.513000,200
1775046646423217989,1775046646423217989,1775046646426930989,0.000000,3.713000,3.713000,200
1775046646440357524,1775046646440357524,1775046646443798524,0.000000,3.441000,3.441000,200
1775046646458141580,1775046646458141580,1775046646462096580,0.000000,3.955000,3.955000,200
1775046646475331883,1775046646475331883,1775046646478958883,0.000000,3.627000,3.627000,200
1775046646511346068,1775046646511346068,1775046646516905068,0.000000,5.559000,5.559000,200
1775046646532422984,1775046646532422984,1775046646536760984,0.000000,4.338000,4.338000,200
1775046646551680859,1775046646551680859,1775046646555994859,0.000000,4.314000,4.314000,200
1775046646588491449,1775046646588491449,1775046646592902449,0.000000,4.411000,4.411000,200
1775046646607393551,1775046646607393551,1775046646611990551,0.000000,4.597000,4.597000,200
1775046646635498356,1775046646635498356,1775046646640168356,0.000000,4.670000,4.670000,200
1775046646666765861,1775046646666765861,1775046646671339861,0.000000,4.574000,4.574000,200
1775046646686079408,1775046646686079408,1775046646689884408,0.000000,3.805000,3.805000,200
1775046646703075264,1775046646703075264,1775046646706594264,0.000000,3.519000,3.519000,200
1775046646719424805,1775046646719424805,1775046646722847805,0.000000,3.423000,3.423000,200
1775046646736072221,1775046646736072221,1775046646739828221,0.000000,3.756000,3.756000,200
1775046646752762082,1775046646752762082,1775046646757883082,0.000000,5.121000,5.121000,200
1775046646772056695,1775046646772056695,1775046646776520695,0.000000,4.464000,4.464000,200
1775046646790850963,1775046646790850963,1775046646794332963,0.000000,3.482000,3.482000,200
1775046646809024645,1775046646809024645,1775046646813091645,0.000000,4.067000,4.067000,200
1775046646826167456,1775046646826167456,1775046646829969456,0.000000,3.802000,3.802000,200
1775046646842764373,1775046646842764373,1775046646846328373,0.000000,3.564000,3.564000,200
1775046646859452781,1775046646859452781,1775046646862818781,0.000000,3.366000,3.366000,200
1775046646876542084,1775046646876542084,1775046646879909084,0.000000,3.367000,3.367000,200
1775046646893250794,1775046646893250794,1775046646896942794,0.000000,3.692000,3.692000,200
1775046646909851525,1775046646909851525,1775046646913594525,0.000000,3.743000,3.743000,200
1775046646926909132,1775046646926909132,1775046646931036132,0.000000,4.127000,4.127000,200
1775046646944406521,1775046646944406521,1775046646948034521,0.000000,3.628000,3.628000,200
1775046646961605223,1775046646961605223,1775046646964907223,0.000000,3.302000,3.302000,200
1775046646977755108,1775046646977755108,1775046646981240108,0.000000,3.485000,3.485000,200
1775046646994521448,1775046646994521448,1775046646997997448,0.000000,3.476000,3.476000,200
1775046647021971818,1775046647021971818,1775046647025324818,0.000000,3.353000,3.353000,200
1775046647038539569,1775046647038539569,1775046647042538569,0.000000,3.999000,3.999000,200
1775046647055260009,1775046647055260009,1775046647059192009,0.000000,3.932000,3.932000,200
1775046647072587019,1775046647072587019,1775046647076834019,0.000000,4.247000,4.247000,200
1775046647092372672,1775046647092372672,1775046647097297672,0.000000,4.925000,4.925000,200
1775046647111995552,1775046647111995552,1775046647116822552,0.000000,4.827000,4.827000,200
1775046647131044009,1775046647131044009,1775046647135262009,0.000000,4.218000,4.218000,200
1775046647149130099,1775046647149130099,1775046647152937099,0.000000,3.807000,3.807000,200
1775046647169550747,1775046647169550747,1775046647173324747,0.000000,3.774000,3.774000,200
1775046647187056369,1775046647187056369,1775046647190510369,0.000000,3.454000,3.454000,200
1775046647203526428,1775046647203526428,1775046647207445428,0.000000,3.919000,3.919000,200
1775046647221600681,1775046647221600681,1775046647226289681,0.000000,4.689000,4.689000,200
1775046647239427069,1775046647239427069,1775046647243339069,0.000000,3.912000,3.912000,200
1775046647256700654,1775046647256700654,1775046647260326654,0.000000,3.626000,3.626000,200
1775046647274736726,1775046647274736726,1775046647278174726,0.000000,3.438000,3.438000,200
1775046647302790380,1775046647302790380,1775046647306198380,0.000000,3.408000,3.408000,200
1775046647333653901,1775046647333653901,1775046647336927901,0.000000,3.274000,3.274000,200
1775046647350293503,1775046647350293503,1775046647358536503,0.000000,8.243000,8.243000,200
1775046647371983095,1775046647371983095,1775046647375440095,0.000000,3.457000,3.457000,200
1775046647388527517,1775046647388527517,1775046647391817517,0.000000,3.290000,3.290000,200
1775046647405275173,1775046647405275173,1775046647409524173,0.000000,4.249000,4.249000,200
1775046647422589434,1775046647422589434,1775046647426038434,0.000000,3.449000,3.449000,200
1775046647459112435,1775046647459112435,1775046647462290435,0.000000,3.178000,3.178000,200
1775046647476183347,1775046647476183347,1775046647479986347,0.000000,3.803000,3.803000,200
1775046647493957450,1775046647493957450,1775046647497466450,0.000000,3.509000,3.509000,200
1775046647511179103,1775046647511179103,1775046647514926103,0.000000,3.747000,3.747000,200
1775046647538562322,1775046647538562322,1775046647541945322,0.000000,3.383000,3.383000,200
1775046647554812096,1775046647554812096,1775046647558499096,0.000000,3.687000,3.687000,200
1775046647571749082,1775046647571749082,1775046647575082082,0.000000,3.333000,3.333000,200
1775046647588824752,1775046647588824752,1775046647592131752,0.000000,3.307000,3.307000,200
