arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046449317859137,1775046449317859137,1775046449322096137,0.000000,4.237000,4.237000,200
1775046449428895559,1775046449428895559,1775046449433718559,0.000000,4.823000,4.823000,200
1775046449466741711,1775046449466741711,1775046449471666711,0.000000,4.925000,4.925000,200
1775046449501583417,1775046449501583417,1775046449505683417,0.000000,4.100000,4.100000,200
1775046449549102611,1775046449549102611,1775046449553459611,0.000000,4.357000,4.357000,200
1775046449582756270,1775046449582756270,1775046449587604270,0.000000,4.848000,4.848000,200
1775046449625888609,1775046449625888609,1775046449630408609,0.000000,4.520000,4.520000,200
1775046449662433232,1775046449662433232,1775046449666349232,0.000000,3.916000,3.916000,200
1775046449695188388,1775046449695188388,1775046449699566388,0.000000,4.378000,4.378000,200
1775046449727917517,1775046449727917517,1775046449733226517,0.000000,5.309000,5.309000,200
1775046449760950168,1775046449760950168,1775046449764501168,0.000000,3.551000,3.551000,200
1775046449813372474,1775046449813372474,1775046449819696474,0.000000,6.324000,6.324000,200
1775046449847038791,1775046449847038791,1775046449851630791,0.000000,4.592000,4.592000,200
1775046449882577379,1775046449882577379,1775046449887000379,0.000000,4.423000,4.423000,200
1775046449937462557,1775046449937462557,1775046449945277557,0.000000,7.815000,7.815000,200
1775046449975163856,1775046449975163856,1775046449980152856,0.000000,4.989000,4.989000,200
1775046450010795739,1775046450010795739,1775046450014610739,0.000000,3.815000,3.815000,200
1775046450061423777,1775046450061423777,1775046450066100777,0.000000,4.677000,4.677000,200
1775046450108552745,1775046450108552745,1775046450113372745,0.000000,4.820000,4.820000,200
1775046450142637385,1775046450142637385,1775046450146971385,0.000000,4.334000,4.334000,200
1775046450175882826,1775046450175882826,1775046450181117826,0.000000,5.235000,5.235000,200
1775046450208823778,1775046450208823778,1775046450212742778,0.000000,3.919000,3.919000,200
1775046450243030187,1775046450243030187,1775046450251142187,0.000000,8.112000,8.112000,200
1775046450279842955,1775046450279842955,1775046450283829955,0.000000,3.987000,3.987000,200
1775046450317340797,1775046450317340797,1775046450321783797,0.000000,4.443000,4.443000,200
1775046450353325768,1775046450353325768,1775046450357737768,0.000000,4.412000,4.412000,200
1775046450390433816,1775046450390433816,1775046450394669816,0.000000,4.236000,4.236000,200
1775046450427072039,1775046450427072039,1775046450432825039,0.000000,5.753000,5.753000,200
1775046450482380075,1775046450482380075,1775046450487955075,0.000000,5.575000,5.575000,200
1775046450522729657,1775046450522729657,1775046450528338657,0.000000,5.609000,5.609000,200
1775046450559756360,1775046450559756360,1775046450564716360,0.000000,4.960000,4.960000,200
1775046450600814702,1775046450600814702,1775046450606335702,0.000000,5.521000,5.521000,200
1775046450635594169,1775046450635594169,1775046450639585169,0.000000,3.991000,3.991000,200
1775046450668256956,1775046450668256956,1775046450672131956,0.000000,3.875000,3.875000,200
1775046450702325058,1775046450702325058,1775046450707320058,0.000000,4.995000,4.995000,200
1775046450746931184,1775046450746931184,1775046450752285184,0.000000,5.354000,5.354000,200
1775046450779687185,1775046450779687185,1775046450783241185,0.000000,3.554000,3.554000,200
1775046450812143900,1775046450812143900,1775046450819807900,0.000000,7.664000,7.664000,200
1775046450845994194,1775046450845994194,1775046450850113194,0.000000,4.119000,4.119000,200
1775046450882006156,1775046450882006156,1775046450888811156,0.000000,6.805000,6.805000,200
1775046450921391182,1775046450921391182,1775046450926419182,0.000000,5.028000,5.028000,200
1775046450960093891,1775046450960093891,1775046450967700891,0.000000,7.607000,7.607000,200
1775046450995341330,1775046450995341330,1775046450999873330,0.000000,4.532000,4.532000,200
1775046451029029142,1775046451029029142,1775046451033584142,0.000000,4.555000,4.555000,200
1775046451073593146,1775046451073593146,1775046451077620146,0.000000,4.027000,4.027000,200
1775046451106432950,1775046451106432950,1775046451111625950,0.000000,5.193000,5.193000,200
1775046451139863187,1775046451139863187,1775046451146125187,0.000000,6.262000,6.262000,200
1775046451182268554,1775046451182268554,1775046451187897554,0.000000,5.629000,5.629000,200
1775046451217675343,1775046451217675343,1775046451222329343,0.000000,4.654000,4.654000,200
1775046451249987017,1775046451249987017,1775046451254543017,0.000000,4.556000,4.556000,200
1775046451283331897,1775046451283331897,1775046451286949897,0.000000,3.618000,3.618000,200
1775046451316787162,1775046451316787162,1775046451320749162,0.000000,3.962000,3.962000,200
1775046451369931588,1775046451369931588,1775046451374997588,0.000000,5.066000,5.066000,200
1775046451417364657,1775046451417364657,1775046451421737657,0.000000,4.373000,4.373000,200
