arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046449317859137,1775046449317859137,1775046449322630829,0.000000,4.771692,4.771692,200
1775046449428895559,1775046449428895559,1775046449433628685,0.000000,4.733126,4.733126,200
1775046449466741711,1775046449466741711,1775046449471557653,0.000000,4.815942,4.815942,200
1775046449501583417,1775046449501583417,1775046449507639063,0.000000,6.055646,6.055646,200
1775046449549102611,1775046449549102611,1775046449553896532,0.000000,4.793921,4.793921,200
1775046449582756270,1775046449582756270,1775046449586015741,0.000000,3.259471,3.259471,200
1775046449625888609,1775046449625888609,1775046449631345492,0.000000,5.456883,5.456883,200
1775046449662433232,1775046449662433232,1775046449667042133,0.000000,4.608901,4.608901,200
1775046449695188388,1775046449695188388,1775046449699863149,0.000000,4.674761,4.674761,200
1775046449727917517,1775046449727917517,1775046449733051701,0.000000,5.134184,5.134184,200
1775046449760950168,1775046449760950168,1775046449766255475,0.000000,5.305307,5.305307,200
1775046449813372474,1775046449813372474,1775046449820268809,0.000000,6.896335,6.896335,200
1775046449847038791,1775046449847038791,1775046449853017588,0.000000,5.978797,5.978797,200
1775046449882577379,1775046449882577379,1775046449887703793,0.000000,5.126414,5.126414,200
1775046449937462557,1775046449937462557,1775046449941498905,0.000000,4.036348,4.036348,200
1775046449975163856,1775046449975163856,1775046449978897972,0.000000,3.734116,3.734116,200
1775046450010795739,1775046450010795739,1775046450016122073,0.000000,5.326334,5.326334,200
1775046450061423777,1775046450061423777,1775046450068612680,0.000000,7.188903,7.188903,200
1775046450108552745,1775046450108552745,1775046450113580709,0.000000,5.027964,5.027964,200
1775046450142637385,1775046450142637385,1775046450147460103,0.000000,4.822718,4.822718,200
1775046450175882826,1775046450175882826,1775046450181655027,0.000000,5.772201,5.772201,200
1775046450208823778,1775046450208823778,1775046450212123714,0.000000,3.299936,3.299936,200
1775046450243030187,1775046450243030187,1775046450247581121,0.000000,4.550934,4.550934,200
1775046450279842955,1775046450279842955,1775046450285548221,0.000000,5.705266,5.705266,200
1775046450317340797,1775046450317340797,1775046450323695978,0.000000,6.355181,6.355181,200
1775046450353325768,1775046450353325768,1775046450357969468,0.000000,4.643700,4.643700,200
1775046450390433816,1775046450390433816,1775046450395959181,0.000000,5.525365,5.525365,200
1775046450427072039,1775046450427072039,1775046450432401181,0.000000,5.329142,5.329142,200
1775046450482380075,1775046450482380075,1775046450488574311,0.000000,6.194236,6.194236,200
1775046450522729657,1775046450522729657,1775046450526361545,0.000000,3.631888,3.631888,200
1775046450559756360,1775046450559756360,1775046450565588163,0.000000,5.831803,5.831803,200
1775046450600814702,1775046450600814702,1775046450604058452,0.000000,3.243750,3.243750,200
1775046450635594169,1775046450635594169,1775046450637970115,0.000000,2.375946,2.375946,200
1775046450668256956,1775046450668256956,1775046450672445515,0.000000,4.188559,4.188559,200
1775046450702325058,1775046450702325058,1775046450706164596,0.000000,3.839538,3.839538,200
1775046450746931184,1775046450746931184,1775046450753291035,0.000000,6.359851,6.359851,200
1775046450779687185,1775046450779687185,1775046450785678843,0.000000,5.991658,5.991658,200
1775046450812143900,1775046450812143900,1775046450815669110,0.000000,3.525210,3.525210,200
1775046450845994194,1775046450845994194,1775046450852302932,0.000000,6.308738,6.308738,200
1775046450882006156,1775046450882006156,1775046450885753398,0.000000,3.747242,3.747242,200
1775046450921391182,1775046450921391182,1775046450926241251,0.000000,4.850069,4.850069,200
1775046450960093891,1775046450960093891,1775046450964668441,0.000000,4.574550,4.574550,200
1775046450995341330,1775046450995341330,1775046451000473396,0.000000,5.132066,5.132066,200
1775046451029029142,1775046451029029142,1775046451035287047,0.000000,6.257905,6.257905,200
1775046451073593146,1775046451073593146,1775046451079541337,0.000000,5.948191,5.948191,200
1775046451106432950,1775046451106432950,1775046451111916898,0.000000,5.483948,5.483948,200
1775046451139863187,1775046451139863187,1775046451145830732,0.000000,5.967545,5.967545,200
1775046451182268554,1775046451182268554,1775046451187954778,0.000000,5.686224,5.686224,200
1775046451217675343,1775046451217675343,1775046451221840264,0.000000,4.164921,4.164921,200
1775046451249987017,1775046451249987017,1775046451254047252,0.000000,4.060235,4.060235,200
1775046451283331897,1775046451283331897,1775046451287685135,0.000000,4.353238,4.353238,200
1775046451316787162,1775046451316787162,1775046451322506850,0.000000,5.719688,5.719688,200
1775046451369931588,1775046451369931588,1775046451374562898,0.000000,4.631310,4.631310,200
1775046451417364657,1775046451417364657,1775046451426958580,0.000000,9.593923,9.593923,200
1775046451451318386,1775046451451318386,1775046451455263727,0.000000,3.945341,3.945341,200
1775046451486553835,1775046451486553835,1775046451490200428,0.000000,3.646593,3.646593,200
1775046451527285137,1775046451527285137,1775046451533455252,0.000000,6.170115,6.170115,200
1775046451563062937,1775046451563062937,1775046451570479649,0.000000,7.416712,7.416712,200
1775046451597251397,1775046451597251397,1775046451602981350,0.000000,5.729953,5.729953,200
1775046451631112973,1775046451631112973,1775046451637401233,0.000000,6.288260,6.288260,200
1775046451681493907,1775046451681493907,1775046451688920015,0.000000,7.426108,7.426108,200
1775046451716245216,1775046451716245216,1775046451721084664,0.000000,4.839448,4.839448,200
1775046451751195250,1775046451751195250,1775046451754523736,0.000000,3.328486,3.328486,200
1775046451787613876,1775046451787613876,1775046451791891628,0.000000,4.277752,4.277752,200
1775046451837066756,1775046451837066756,1775046451843565822,0.000000,6.499066,6.499066,200
1775046451871551095,1775046451871551095,1775046451874860214,0.000000,3.309119,3.309119,200
1775046451914935557,1775046451914935557,1775046451919952028,0.000000,5.016471,5.016471,200
1775046451961990876,1775046451961990876,1775046451967327564,0.000000,5.336688,5.336688,200
1775046451995056730,1775046451995056730,1775046451999603417,0.000000,4.546687,4.546687,200
1775046452029233936,1775046452029233936,1775046452035326617,0.000000,6.092681,6.092681,200
1775046452062582760,1775046452062582760,1775046452068435178,0.000000,5.852418,5.852418,200
1775046452095011728,1775046452095011728,1775046452104566966,0.000000,9.555238,9.555238,200
1775046452145460364,1775046452145460364,1775046452151377733,0.000000,5.917369,5.917369,200
1775046452181929047,1775046452181929047,1775046452186114643,0.000000,4.185596,4.185596,200
1775046452217868982,1775046452217868982,1775046452222111076,0.000000,4.242094,4.242094,200
1775046452253773778,1775046452253773778,1775046452257705488,0.000000,3.931710,3.931710,200
1775046452303371071,1775046452303371071,1775046452309868999,0.000000,6.497928,6.497928,200
1775046452337994056,1775046452337994056,1775046452342230138,0.000000,4.236082,4.236082,200
1775046452372374817,1775046452372374817,1775046452377246768,0.000000,4.871951,4.871951,200
1775046452406393931,1775046452406393931,1775046452412530821,0.000000,6.136890,6.136890,200
1775046452459688980,1775046452459688980,1775046452463742255,0.000000,4.053275,4.053275,200
1775046452492183071,1775046452492183071,1775046452496757932,0.000000,4.574861,4.574861,200
1775046452525476578,1775046452525476578,1775046452528435127,0.000000,2.958549,2.958549,200
1775046452558456793,1775046452558456793,1775046452562120264,0.000000,3.663471,3.663471,200
1775046452591899011,1775046452591899011,1775046452596134015,0.000000,4.235004,4.235004,200
1775046452624159813,1775046452624159813,1775046452629746457,0.000000,5.586644,5.586644,200
1775046452658160825,1775046452658160825,1775046452665115548,0.000000,6.954723,6.954723,200
1775046452710275100,1775046452710275100,1775046452715218641,0.000000,4.943541,4.943541,200
1775046452746040598,1775046452746040598,1775046452751389515,0.000000,5.348917,5.348917,200
1775046452780567519,1775046452780567519,1775046452785777573,0.000000,5.210054,5.210054,200
1775046452813697445,1775046452813697445,1775046452820442379,0.000000,6.744934,6.744934,200
1775046452847318503,1775046452847318503,1775046452853709494,0.000000,6.390991,6.390991,200
1775046452879948065,1775046452879948065,1775046452885315588,0.000000,5.367523,5.367523,200
1775046452927091717,1775046452927091717,1775046452930829745,0.000000,3.738028,3.738028,200
1775046452959639515,1775046452959639515,1775046452966048586,0.000000,6.409071,6.409071,200
1775046452992498532,1775046452992498532,1775046452998030822,0.000000,5.532290,5.532290,200
1775046453025295877,1775046453025295877,1775046453032316426,0.000000,7.020549,7.020549,200
1775046453057805207,1775046453057805207,1775046453062732846,0.000000,4.927639,4.927639,200
1775046453090427369,1775046453090427369,1775046453099041109,0.000000,8.613740,8.613740,200
1775046453122982007,1775046453122982007,1775046453127473603,0.000000,4.491596,4.491596,200
1775046453155174804,1775046453155174804,1775046453162957914,0.000000,7.783110,7.783110,200
1775046453209232737,1775046453209232737,1775046453214365814,0.000000,5.133077,5.133077,200
1775046453244455772,1775046453244455772,1775046453248752611,0.000000,4.296839,4.296839,200
1775046453294750680,1775046453294750680,1775046453298367027,0.000000,3.616347,3.616347,200
1775046453327819948,1775046453327819948,1775046453332582322,0.000000,4.762374,4.762374,200
1775046453361225960,1775046453361225960,1775046453368645746,0.000000,7.419786,7.419786,200
1775046453404382360,1775046453404382360,1775046453410636280,0.000000,6.253920,6.253920,200
1775046453451532626,1775046453451532626,1775046453457565971,0.000000,6.033345,6.033345,200
1775046453498625433,1775046453498625433,1775046453501170449,0.000000,2.545016,2.545016,200
1775046453531264137,1775046453531264137,1775046453537335119,0.000000,6.070982,6.070982,200
1775046453564216532,1775046453564216532,1775046453570028007,0.000000,5.811475,5.811475,200
1775046453597193477,1775046453597193477,1775046453601449778,0.000000,4.256301,4.256301,200
1775046453633905529,1775046453633905529,1775046453638069982,0.000000,4.164453,4.164453,200
1775046453674726117,1775046453674726117,1775046453679692204,0.000000,4.966087,4.966087,200
1775046453710309358,1775046453710309358,1775046453718386845,0.000000,8.077487,8.077487,200
1775046453749146103,1775046453749146103,1775046453752837932,0.000000,3.691829,3.691829,200
1775046453792492663,1775046453792492663,1775046453796897904,0.000000,4.405241,4.405241,200
1775046453825135104,1775046453825135104,1775046453832427404,0.000000,7.292300,7.292300,200
1775046453869222515,1775046453869222515,1775046453873605053,0.000000,4.382538,4.382538,200
1775046453902500108,1775046453902500108,1775046453906984910,0.000000,4.484802,4.484802,200
