arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045861450000000,1775045861450000000,1775045861450187992,0.000000,0.187992,0.187992,200
1775045862087000000,1775045862087000000,1775045862087360835,0.000000,0.360835,0.360835,200
1775045862126000000,1775045862126000000,1775045862126856051,0.000000,0.856051,0.856051,200
1775045862174000000,1775045862174000000,1775045862174267951,0.000000,0.267951,0.267951,200
1775045862246000000,1775045862246000000,1775045862246276728,0.000000,0.276728,0.276728,200
1775045862293000000,1775045862293000000,1775045862293218764,0.000000,0.218764,0.218764,200
1775045862331000000,1775045862331000000,1775045862331490031,0.000000,0.490031,0.490031,200
1775045862381000000,1775045862381000000,1775045862381337078,0.000000,0.337078,0.337078,200
1775045862427000000,1775045862427000000,1775045862427231829,0.000000,0.231829,0.231829,200
1775045862480000000,1775045862480000000,1775045862480174396,0.000000,0.174396,0.174396,200
1775045862516000000,1775045862516000000,1775045862516313561,0.000000,0.313561,0.313561,200
1775045862554000000,1775045862554000000,1775045862554197350,0.000000,0.197350,0.197350,200
1775045862586000000,1775045862586000000,1775045862586235186,0.000000,0.235186,0.235186,200
1775045862621000000,1775045862621000000,1775045862621507974,0.000000,0.507974,0.507974,200
1775045862656000000,1775045862656000000,1775045862656526752,0.000000,0.526752,0.526752,200
1775045862692000000,1775045862692000000,1775045862692363591,0.000000,0.363591,0.363591,200
1775045862722000000,1775045862722000000,1775045862722328361,0.000000,0.328361,0.328361,200
1775045862755000000,1775045862755000000,1775045862755333691,0.000000,0.333691,0.333691,200
1775045862805000000,1775045862805000000,1775045862805256719,0.000000,0.256719,0.256719,200
1775045862838000000,1775045862838000000,1775045862838235396,0.000000,0.235396,0.235396,200
1775045862873000000,1775045862873000000,1775045862873490400,0.000000,0.490400,0.490400,200
1775045862928000000,1775045862928000000,1775045862928221629,0.000000,0.221629,0.221629,200
1775045862967000000,1775045862967000000,1775045862967736749,0.000000,0.736749,0.736749,200
1775045863001000000,1775045863001000000,1775045863001173203,0.000000,0.173203,0.173203,200
1775045863053000000,1775045863053000000,1775045863053197421,0.000000,0.197421,0.197421,200
1775045863093000000,1775045863093000000,1775045863093367007,0.000000,0.367007,0.367007,200
1775045863139000000,1775045863139000000,1775045863139248001,0.000000,0.248001,0.248001,200
1775045863175000000,1775045863175000000,1775045863175300575,0.000000,0.300575,0.300575,200
1775045863222000000,1775045863222000000,1775045863222243212,0.000000,0.243212,0.243212,200
1775045863272000000,1775045863272000000,1775045863272220226,0.000000,0.220226,0.220226,200
1775045863329000000,1775045863329000000,1775045863329239074,0.000000,0.239074,0.239074,200
1775045863374000000,1775045863374000000,1775045863374626704,0.000000,0.626704,0.626704,200
1775045863425000000,1775045863425000000,1775045863425332458,0.000000,0.332458,0.332458,200
1775045863467000000,1775045863467000000,1775045863467217852,0.000000,0.217852,0.217852,200
1775045863514000000,1775045863514000000,1775045863514170217,0.000000,0.170217,0.170217,200
1775045863544000000,1775045863544000000,1775045863544313722,0.000000,0.313722,0.313722,200
1775045863579000000,1775045863579000000,1775045863579343180,0.000000,0.343180,0.343180,200
1775045863619000000,1775045863619000000,1775045863619448999,0.000000,0.448999,0.448999,200
1775045863668000000,1775045863668000000,1775045863668307980,0.000000,0.307980,0.307980,200
1775045863710000000,1775045863710000000,1775045863710225326,0.000000,0.225326,0.225326,200
1775045863763000000,1775045863763000000,1775045863763321517,0.000000,0.321517,0.321517,200
1775045863802000000,1775045863802000000,1775045863802215507,0.000000,0.215507,0.215507,200
1775045863840000000,1775045863840000000,1775045863840280105,0.000000,0.280105,0.280105,200
1775045863896000000,1775045863896000000,1775045863896475081,0.000000,0.475081,0.475081,200
1775045863950000000,1775045863950000000,1775045863950283021,0.000000,0.283021,0.283021,200
1775045863993000000,1775045863993000000,1775045863993370294,0.000000,0.370294,0.370294,200
1775045864025000000,1775045864025000000,1775045864025195487,0.000000,0.195487,0.195487,200
1775045864056000000,1775045864056000000,1775045864056195858,0.000000,0.195858,0.195858,200
1775045864088000000,1775045864088000000,1775045864088510741,0.000000,0.510741,0.510741,200
1775045864120000000,1775045864120000000,1775045864120268951,0.000000,0.268951,0.268951,200
1775045864150000000,1775045864150000000,1775045864150159597,0.000000,0.159597,0.159597,200
1775045864183000000,1775045864183000000,1775045864183322880,0.000000,0.322880,0.322880,200
1775045864227000000,1775045864227000000,1775045864227362519,0.000000,0.362519,0.362519,200
1775045864263000000,1775045864263000000,1775045864263571519,0.000000,0.571519,0.571519,200
1775045864299000000,1775045864299000000,1775045864299230467,0.000000,0.230467,0.230467,200
1775045864338000000,1775045864338000000,1775045864338552243,0.000000,0.552243,0.552243,200
1775045864379000000,1775045864379000000,1775045864379163032,0.000000,0.163032,0.163032,200
1775045864407000000,1775045864407000000,1775045864407203292,0.000000,0.203292,0.203292,200
1775045864458000000,1775045864458000000,1775045864458212712,0.000000,0.212712,0.212712,200
1775045864489000000,1775045864489000000,1775045864489213352,0.000000,0.213352,0.213352,200
1775045864522000000,1775045864522000000,1775045864522265947,0.000000,0.265947,0.265947,200
1775045864556000000,1775045864556000000,1775045864556359010,0.000000,0.359010,0.359010,200
1775045864609000000,1775045864609000000,1775045864609420322,0.000000,0.420322,0.420322,200
1775045864647000000,1775045864647000000,1775045864647152142,0.000000,0.152142,0.152142,200
1775045864684000000,1775045864684000000,1775045864684296166,0.000000,0.296166,0.296166,200
1775045864719000000,1775045864719000000,1775045864719297620,0.000000,0.297620,0.297620,200
1775045864767000000,1775045864767000000,1775045864768487427,0.000000,1.487427,1.487427,200
1775045864801000000,1775045864801000000,1775045864801410604,0.000000,0.410604,0.410604,200
1775045864829000000,1775045864829000000,1775045864829280717,0.000000,0.280717,0.280717,200
1775045864857000000,1775045864857000000,1775045864857409731,0.000000,0.409731,0.409731,200
1775045864887000000,1775045864887000000,1775045864887257921,0.000000,0.257921,0.257921,200
1775045864939000000,1775045864939000000,1775045864939255694,0.000000,0.255694,0.255694,200
1775045864972000000,1775045864972000000,1775045864972200296,0.000000,0.200296,0.200296,200
1775045865001000000,1775045865001000000,1775045865001216770,0.000000,0.216770,0.216770,200
1775045865031000000,1775045865031000000,1775045865031291397,0.000000,0.291397,0.291397,200
1775045865080000000,1775045865080000000,1775045865080258983,0.000000,0.258983,0.258983,200
1775045865121000000,1775045865121000000,1775045865121305686,0.000000,0.305686,0.305686,200
1775045865162000000,1775045865162000000,1775045865162254624,0.000000,0.254624,0.254624,200
1775045865220000000,1775045865220000000,1775045865220258683,0.000000,0.258683,0.258683,200
1775045865248000000,1775045865248000000,1775045865248326457,0.000000,0.326457,0.326457,200
1775045865278000000,1775045865278000000,1775045865278140879,0.000000,0.140879,0.140879,200
1775045865310000000,1775045865310000000,1775045865310210467,0.000000,0.210467,0.210467,200
1775045865340000000,1775045865340000000,1775045865340154966,0.000000,0.154966,0.154966,200
1775045865371000000,1775045865371000000,1775045865371233993,0.000000,0.233993,0.233993,200
1775045865414000000,1775045865414000000,1775045865414196919,0.000000,0.196919,0.196919,200
1775045865453000000,1775045865453000000,1775045865453192921,0.000000,0.192921,0.192921,200
1775045865496000000,1775045865496000000,1775045865496357840,0.000000,0.357840,0.357840,200
1775045865546000000,1775045865546000000,1775045865546200136,0.000000,0.200136,0.200136,200
1775045865587000000,1775045865587000000,1775045865587299723,0.000000,0.299723,0.299723,200
1775045865631000000,1775045865631000000,1775045865631459129,0.000000,0.459129,0.459129,200
1775045865673000000,1775045865673000000,1775045865673212900,0.000000,0.212900,0.212900,200
1775045865711000000,1775045865711000000,1775045865711181390,0.000000,0.181390,0.181390,200
1775045865752000000,1775045865752000000,1775045865752313751,0.000000,0.313751,0.313751,200
1775045865791000000,1775045865791000000,1775045865791245736,0.000000,0.245736,0.245736,200
1775045865837000000,1775045865837000000,1775045865837189796,0.000000,0.189796,0.189796,200
1775045865871000000,1775045865871000000,1775045865871228293,0.000000,0.228293,0.228293,200
1775045865905000000,1775045865905000000,1775045865905300856,0.000000,0.300856,0.300856,200
1775045865955000000,1775045865955000000,1775045865955208784,0.000000,0.208784,0.208784,200
1775045865989000000,1775045865989000000,1775045865989200838,0.000000,0.200838,0.200838,200
1775045866028000000,1775045866028000000,1775045866028416074,0.000000,0.416074,0.416074,200
1775045866065000000,1775045866065000000,1775045866065355875,0.000000,0.355875,0.355875,200
1775045866120000000,1775045866120000000,1775045866120483897,0.000000,0.483897,0.483897,200
1775045866133000000,1775045866133000000,1775045866133329623,0.000000,0.329623,0.329623,200
1775045866146000000,1775045866146000000,1775045866146263121,0.000000,0.263121,0.263121,200
1775045866162000000,1775045866162000000,1775045866162248713,0.000000,0.248713,0.248713,200
1775045866203000000,1775045866203000000,1775045866203337097,0.000000,0.337097,0.337097,200
1775045866228000000,1775045866228000000,1775045866228294143,0.000000,0.294143,0.294143,200
1775045866248000000,1775045866248000000,1775045866248193052,0.000000,0.193052,0.193052,200
1775045866268000000,1775045866268000000,1775045866268250045,0.000000,0.250045,0.250045,200
1775045866289000000,1775045866289000000,1775045866289262380,0.000000,0.262380,0.262380,200
1775045866313000000,1775045866313000000,1775045866313202972,0.000000,0.202972,0.202972,200
1775045866336000000,1775045866336000000,1775045866336163114,0.000000,0.163114,0.163114,200
1775045866374000000,1775045866374000000,1775045866374277149,0.000000,0.277149,0.277149,200
1775045866401000000,1775045866401000000,1775045866401143644,0.000000,0.143644,0.143644,200
1775045866442000000,1775045866442000000,1775045866442278510,0.000000,0.278510,0.278510,200
1775045866481000000,1775045866481000000,1775045866481327127,0.000000,0.327127,0.327127,200
1775045866518000000,1775045866518000000,1775045866518183734,0.000000,0.183734,0.183734,200
1775045866541000000,1775045866541000000,1775045866541490031,0.000000,0.490031,0.490031,200
1775045866578000000,1775045866578000000,1775045866578419962,0.000000,0.419962,0.419962,200
1775045866614000000,1775045866614000000,1775045866614227511,0.000000,0.227511,0.227511,200
1775045866646000000,1775045866646000000,1775045866646210517,0.000000,0.210517,0.210517,200
1775045866666000000,1775045866666000000,1775045866666266478,0.000000,0.266478,0.266478,200
1775045866696000000,1775045866696000000,1775045866696457434,0.000000,0.457434,0.457434,200
1775045866716000000,1775045866716000000,1775045866716217130,0.000000,0.217130,0.217130,200
1775045866756000000,1775045866756000000,1775045866756209134,0.000000,0.209134,0.209134,200
1775045866788000000,1775045866788000000,1775045866788266097,0.000000,0.266097,0.266097,200
1775045866825000000,1775045866825000000,1775045866825211799,0.000000,0.211799,0.211799,200
1775045866845000000,1775045866845000000,1775045866845352979,0.000000,0.352979,0.352979,200
1775045866891000000,1775045866891000000,1775045866891333470,0.000000,0.333470,0.333470,200
1775045866972000000,1775045866972000000,1775045866972237761,0.000000,0.237761,0.237761,200
1775045867024000000,1775045867024000000,1775045867024208724,0.000000,0.208724,0.208724,200
1775045867084000000,1775045867084000000,1775045867084466605,0.000000,0.466605,0.466605,200
1775045867117000000,1775045867117000000,1775045867117290104,0.000000,0.290104,0.290104,200
1775045867144000000,1775045867144000000,1775045867144296658,0.000000,0.296658,0.296658,200
1775045867181000000,1775045867181000000,1775045867181340234,0.000000,0.340234,0.340234,200
1775045867209000000,1775045867209000000,1775045867209186679,0.000000,0.186679,0.186679,200
1775045867235000000,1775045867235000000,1775045867235336686,0.000000,0.336686,0.336686,200
1775045867276000000,1775045867276000000,1775045867276218743,0.000000,0.218743,0.218743,200
1775045867354000000,1775045867354000000,1775045867354183133,0.000000,0.183133,0.183133,200
1775045867435000000,1775045867435000000,1775045867435199725,0.000000,0.199725,0.199725,200
1775045867510000000,1775045867510000000,1775045867510453658,0.000000,0.453658,0.453658,200
1775045867569000000,1775045867569000000,1775045867569265176,0.000000,0.265176,0.265176,200
1775045867625000000,1775045867625000000,1775045867625287159,0.000000,0.287159,0.287159,200
1775045867665000000,1775045867665000000,1775045867665148785,0.000000,0.148785,0.148785,200
1775045867700000000,1775045867700000000,1775045867700173101,0.000000,0.173101,0.173101,200
1775045867755000000,1775045867755000000,1775045867755243924,0.000000,0.243924,0.243924,200
1775045867780000000,1775045867780000000,1775045867780294433,0.000000,0.294433,0.294433,200
1775045867812000000,1775045867812000000,1775045867812205537,0.000000,0.205537,0.205537,200
1775045867885000000,1775045867885000000,1775045867885433989,0.000000,0.433989,0.433989,200
1775045867931000000,1775045867931000000,1775045867931200878,0.000000,0.200878,0.200878,200
1775045867968000000,1775045867968000000,1775045867968237661,0.000000,0.237661,0.237661,200
1775045868072000000,1775045868072000000,1775045868072254504,0.000000,0.254504,0.254504,200
1775045868103000000,1775045868103000000,1775045868103201168,0.000000,0.201168,0.201168,200
1775045868148000000,1775045868148000000,1775045868148220707,0.000000,0.220707,0.220707,200
1775045868225000000,1775045868225000000,1775045868225197530,0.000000,0.197530,0.197530,200
