arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775046121223000000,0.188913,0.035280,0.224193,200
1775046121205000000,0.187510,0.014899,0.202409,200
1775046121271000000,0.147982,0.011953,0.159935,200
1775046121247000000,0.157381,0.010019,0.167400,200
1775046121305000000,0.130788,0.010080,0.140868,200
1775046121289000000,0.161278,0.010401,0.171679,200
1775046121334000000,0.137672,0.025139,0.162811,200
1775046121319000000,0.143042,0.014178,0.157220,200
1775046121365000000,0.128062,0.012816,0.140878,200
1775046121349000000,0.149625,0.014529,0.164154,200
1775046121396000000,0.173342,0.010160,0.183502,200
1775046121382000000,0.142422,0.008156,0.150578,200
1775046121429000000,0.127642,0.009288,0.136930,200
1775046121412000000,0.131860,0.014699,0.146559,200
1775046121458000000,0.136510,0.010921,0.147431,200
1775046121444000000,0.147341,0.008707,0.156048,200
1775046121491000000,0.215035,0.038125,0.253160,200
1775046121474000000,0.162160,0.013797,0.175957,200
1775046121528000000,0.186849,0.016613,0.203462,200
1775046121510000000,0.205165,0.023587,0.228752,200
1775046121562000000,0.201348,0.010971,0.212319,200
1775046121545000000,0.198432,0.013597,0.212029,200
1775046121581000000,0.214223,0.012966,0.227189,200
1775046122494000000,0.138805,0.008156,0.146961,200
1775046122512000000,0.135047,0.008908,0.143955,200
1775046122551000000,0.135107,0.008958,0.144065,200
1775046122569000000,0.138945,0.009008,0.147953,200
1775046122587000000,0.150478,0.019539,0.170017,200
1775046122628000000,0.157843,0.025079,0.182922,200
1775046122649000000,0.182922,0.010591,0.193513,200
1775046122667000000,0.188122,0.011202,0.199324,200
1775046122686000000,0.217901,0.027806,0.245707,200
1775046122719000000,0.154496,0.009128,0.163624,200
1775046122750000000,0.134967,0.021764,0.156731,200
1775046122770000000,0.183243,0.010872,0.194115,200
1775046122791000000,0.207441,0.012575,0.220016,200
1775046122827000000,0.143254,0.011773,0.155027,200
1775046122858000000,0.143023,0.030100,0.173123,200
1775046122877000000,0.177502,0.022394,0.199896,200
1775046122898000000,0.192742,0.022955,0.215697,200
1775046122917000000,0.181400,0.026322,0.207722,200
1775046122937000000,0.190918,0.012175,0.203093,200
