arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046344642000000,1775046344642000000,1775046344642200717,0.000000,0.200717,0.200717,200
1775046344658000000,1775046344658000000,1775046344658198419,0.000000,0.198419,0.198419,200
1775046344674000000,1775046344674000000,1775046344674203362,0.000000,0.203362,0.203362,200
1775046344692000000,1775046344692000000,1775046344692281441,0.000000,0.281441,0.281441,200
1775046344712000000,1775046344712000000,1775046344712202044,0.000000,0.202044,0.202044,200
1775046344731000000,1775046344731000000,1775046344731116889,0.000000,0.116889,0.116889,200
1775046344761000000,1775046344761000000,1775046344761242799,0.000000,0.242799,0.242799,200
1775046344780000000,1775046344780000000,1775046344780191072,0.000000,0.191072,0.191072,200
1775046344797000000,1775046344797000000,1775046344797194957,0.000000,0.194957,0.194957,200
1775046344816000000,1775046344816000000,1775046344816222686,0.000000,0.222686,0.222686,200
1775046344836000000,1775046344836000000,1775046344836233287,0.000000,0.233287,0.233287,200
1775046344852000000,1775046344852000000,1775046344852338437,0.000000,0.338437,0.338437,200
1775046344869000000,1775046344869000000,1775046344869276388,0.000000,0.276388,0.276388,200
1775046344901000000,1775046344901000000,1775046344901222208,0.000000,0.222208,0.222208,200
1775046344932000000,1775046344932000000,1775046344932158298,0.000000,0.158298,0.158298,200
1775046344949000000,1775046344949000000,1775046344949141751,0.000000,0.141751,0.141751,200
1775046344969000000,1775046344969000000,1775046344969234600,0.000000,0.234600,0.234600,200
1775046344988000000,1775046344988000000,1775046344988358984,0.000000,0.358984,0.358984,200
1775046345013000000,1775046345013000000,1775046345013216179,0.000000,0.216179,0.216179,200
1775046345033000000,1775046345033000000,1775046345033203768,0.000000,0.203768,0.203768,200
1775046345072000000,1775046345072000000,1775046345072262939,0.000000,0.262939,0.262939,200
1775046345089000000,1775046345089000000,1775046345089118953,0.000000,0.118953,0.118953,200
1775046345110000000,1775046345110000000,1775046345110187672,0.000000,0.187672,0.187672,200
1775046345149000000,1775046345149000000,1775046345149258624,0.000000,0.258624,0.258624,200
1775046345167000000,1775046345167000000,1775046345167301392,0.000000,0.301392,0.301392,200
1775046345188000000,1775046345188000000,1775046345188193122,0.000000,0.193122,0.193122,200
