arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043725755285496,1775043725755285496,1775043725756233383,0.000000,0.947887,0.947887,200
1775043725766898069,1775043725766898069,1775043725767660893,0.000000,0.762824,0.762824,200
1775043725795752134,1775043725795752134,1775043725796342049,0.000000,0.589915,0.589915,200
1775043725828590368,1775043725828590368,1775043725829396182,0.000000,0.805814,0.805814,200
1775043725839033557,1775043725839033557,1775043725839749306,0.000000,0.715749,0.715749,200
1775043725849237048,1775043725849237048,1775043725863217068,0.000000,13.980020,13.980020,200
1775043725860012998,1775043725863217068,1775043725867872903,3.204070,4.655835,7.859905,200
1775043725872917308,1775043725872917308,1775043725873478263,0.000000,0.560955,0.560955,200
1775043725903258661,1775043725903258661,1775043725904026419,0.000000,0.767758,0.767758,200
1775043725915325664,1775043725915325664,1775043725918621506,0.000000,3.295842,3.295842,200
1775043725934815504,1775043725934815504,1775043725935449536,0.000000,0.634032,0.634032,200
1775043725949603861,1775043725949603861,1775043725950280257,0.000000,0.676396,0.676396,200
1775043725961665834,1775043725961665834,1775043725962236178,0.000000,0.570344,0.570344,200
1775043725975704453,1775043725975704453,1775043725976525274,0.000000,0.820821,0.820821,200
1775043725988212565,1775043725988212565,1775043725988912166,0.000000,0.699601,0.699601,200
1775043726001070154,1775043726001070154,1775043726001697300,0.000000,0.627146,0.627146,200
1775043726027142756,1775043726027142756,1775043726027493876,0.000000,0.351120,0.351120,200
1775043726040322234,1775043726040322234,1775043726040806087,0.000000,0.483853,0.483853,200
1775043726053031649,1775043726053031649,1775043726053768767,0.000000,0.737118,0.737118,200
1775043726064665118,1775043726064665118,1775043726065267726,0.000000,0.602608,0.602608,200
1775043726075934894,1775043726075934894,1775043726076584523,0.000000,0.649629,0.649629,200
1775043726088333201,1775043726088333201,1775043726090000118,0.000000,1.666917,1.666917,200
1775043726098795311,1775043726098795311,1775043726109685502,0.000000,10.890191,10.890191,200
1775043726121306550,1775043726121306550,1775043726122404683,0.000000,1.098133,1.098133,200
1775043726133656791,1775043726133656791,1775043726134186486,0.000000,0.529695,0.529695,200
1775043726145661385,1775043726145661385,1775043726146057884,0.000000,0.396499,0.396499,200
1775043726158679251,1775043726158679251,1775043726160197969,0.000000,1.518718,1.518718,200
1775043726171548735,1775043726171548735,1775043726172254209,0.000000,0.705474,0.705474,200
1775043726184324265,1775043726184324265,1775043726184961604,0.000000,0.637339,0.637339,200
1775043726197547284,1775043726197547284,1775043726197973753,0.000000,0.426469,0.426469,200
1775043726210952477,1775043726210952477,1775043726211531338,0.000000,0.578861,0.578861,200
