arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043725755285496,1775043725755285496,1775043725756245139,0.000000,0.959643,0.959643,200
1775043725766898069,1775043725766898069,1775043725767836821,0.000000,0.938752,0.938752,200
1775043725795752134,1775043725795752134,1775043725796736106,0.000000,0.983972,0.983972,200
1775043725828590368,1775043725828590368,1775043725830421828,0.000000,1.831460,1.831460,200
1775043725839033557,1775043725839033557,1775043725840005373,0.000000,0.971816,0.971816,200
1775043725849237048,1775043725849237048,1775043725849578367,0.000000,0.341319,0.341319,200
1775043725860012998,1775043725860012998,1775043725861393890,0.000000,1.380892,1.380892,200
1775043725872917308,1775043725872917308,1775043725873790726,0.000000,0.873418,0.873418,200
1775043725903258661,1775043725903258661,1775043725904166346,0.000000,0.907685,0.907685,200
1775043725915325664,1775043725915325664,1775043725916496126,0.000000,1.170462,1.170462,200
1775043725934815504,1775043725934815504,1775043725936094819,0.000000,1.279315,1.279315,200
1775043725949603861,1775043725949603861,1775043725952209573,0.000000,2.605712,2.605712,200
1775043725961665834,1775043725961665834,1775043725963434938,0.000000,1.769104,1.769104,200
1775043725975704453,1775043725975704453,1775043725976870117,0.000000,1.165664,1.165664,200
1775043725988212565,1775043725988212565,1775043725988822062,0.000000,0.609497,0.609497,200
1775043726001070154,1775043726001070154,1775043726001563662,0.000000,0.493508,0.493508,200
1775043726027142756,1775043726027142756,1775043726028435870,0.000000,1.293114,1.293114,200
1775043726040322234,1775043726040322234,1775043726043238771,0.000000,2.916537,2.916537,200
1775043726053031649,1775043726053031649,1775043726054137590,0.000000,1.105941,1.105941,200
1775043726064665118,1775043726064665118,1775043726065652850,0.000000,0.987732,0.987732,200
1775043726075934894,1775043726075934894,1775043726077543059,0.000000,1.608165,1.608165,200
1775043726088333201,1775043726088333201,1775043726088686135,0.000000,0.352934,0.352934,200
1775043726098795311,1775043726098795311,1775043726099639254,0.000000,0.843943,0.843943,200
1775043726121306550,1775043726121306550,1775043726122864636,0.000000,1.558086,1.558086,200
1775043726133656791,1775043726133656791,1775043726135744485,0.000000,2.087694,2.087694,200
1775043726145661385,1775043726145661385,1775043726146552805,0.000000,0.891420,0.891420,200
1775043726158679251,1775043726158679251,1775043726160107653,0.000000,1.428402,1.428402,200
1775043726171548735,1775043726171548735,1775043726172843699,0.000000,1.294964,1.294964,200
1775043726184324265,1775043726184324265,1775043726186271649,0.000000,1.947384,1.947384,200
1775043726197547284,1775043726197547284,1775043726198005001,0.000000,0.457717,0.457717,200
1775043726210952477,1775043726210952477,1775043726212606079,0.000000,1.653602,1.653602,200
1775043726244335393,1775043726244335393,1775043726244672265,0.000000,0.336872,0.336872,200
1775043726259340014,1775043726259340014,1775043726259484803,0.000000,0.144789,0.144789,200
1775043726271642990,1775043726271642990,1775043726272316857,0.000000,0.673867,0.673867,200
1775043726284092896,1775043726284092896,1775043726284625113,0.000000,0.532217,0.532217,200
1775043726298813250,1775043726298813250,1775043726300905107,0.000000,2.091857,2.091857,200
1775043726311234601,1775043726311234601,1775043726313014046,0.000000,1.779445,1.779445,200
1775043726323141784,1775043726323141784,1775043726323563947,0.000000,0.422163,0.422163,200
1775043726334590652,1775043726334590652,1775043726336637224,0.000000,2.046572,2.046572,200
1775043726367507889,1775043726367507889,1775043726368006117,0.000000,0.498228,0.498228,200
1775043726398026083,1775043726398026083,1775043726399029082,0.000000,1.002999,1.002999,200
1775043726409276988,1775043726409276988,1775043726410132862,0.000000,0.855874,0.855874,200
1775043726420434798,1775043726420434798,1775043726421603951,0.000000,1.169153,1.169153,200
1775043726444415558,1775043726444415558,1775043726446417711,0.000000,2.002153,2.002153,200
1775043726457556171,1775043726457556171,1775043726459300820,0.000000,1.744649,1.744649,200
1775043726490816792,1775043726490816792,1775043726492216339,0.000000,1.399547,1.399547,200
1775043726502886470,1775043726502886470,1775043726504646558,0.000000,1.760088,1.760088,200
1775043726516297749,1775043726516297749,1775043726517841771,0.000000,1.544022,1.544022,200
1775043726530521383,1775043726530521383,1775043726531184985,0.000000,0.663602,0.663602,200
1775043726542482809,1775043726542482809,1775043726543102139,0.000000,0.619330,0.619330,200
1775043726553263908,1775043726553263908,1775043726554012075,0.000000,0.748167,0.748167,200
1775043726564978958,1775043726564978958,1775043726566547750,0.000000,1.568792,1.568792,200
1775043726578230890,1775043726578230890,1775043726579115874,0.000000,0.884984,0.884984,200
1775043726590936113,1775043726590936113,1775043726597315900,0.000000,6.379787,6.379787,200
1775043726604102136,1775043726604102136,1775043726604675076,0.000000,0.572940,0.572940,200
1775043726616666790,1775043726616666790,1775043726617129551,0.000000,0.462761,0.462761,200
1775043726626832258,1775043726626832258,1775043726628759143,0.000000,1.926885,1.926885,200
1775043726637419713,1775043726637419713,1775043726640593775,0.000000,3.174062,3.174062,200
1775043726650032669,1775043726650032669,1775043726651609108,0.000000,1.576439,1.576439,200
1775043726661641750,1775043726661641750,1775043726663670354,0.000000,2.028604,2.028604,200
1775043726690186991,1775043726690186991,1775043726693371971,0.000000,3.184980,3.184980,200
1775043726702968274,1775043726702968274,1775043726703965327,0.000000,0.997053,0.997053,200
1775043726714659289,1775043726714659289,1775043726715020566,0.000000,0.361277,0.361277,200
1775043726725930930,1775043726725930930,1775043726726644430,0.000000,0.713500,0.713500,200
1775043726751483139,1775043726751483139,1775043726753701531,0.000000,2.218392,2.218392,200
1775043726767814039,1775043726767814039,1775043726768169643,0.000000,0.355604,0.355604,200
1775043726781814706,1775043726781814706,1775043726782913803,0.000000,1.099097,1.099097,200
1775043726797045229,1775043726797045229,1775043726798345172,0.000000,1.299943,1.299943,200
1775043726815199432,1775043726815199432,1775043726816041241,0.000000,0.841809,0.841809,200
1775043726831164119,1775043726831164119,1775043726833026118,0.000000,1.861999,1.861999,200
1775043726846966561,1775043726846966561,1775043726848636066,0.000000,1.669505,1.669505,200
1775043726874567617,1775043726874567617,1775043726880877873,0.000000,6.310256,6.310256,200
1775043726892861775,1775043726892861775,1775043726894582013,0.000000,1.720238,1.720238,200
1775043726908788391,1775043726908788391,1775043726909460966,0.000000,0.672575,0.672575,200
1775043726922794690,1775043726922794690,1775043726923492173,0.000000,0.697483,0.697483,200
1775043726934897579,1775043726934897579,1775043726935465166,0.000000,0.567587,0.567587,200
1775043726949575132,1775043726949575132,1775043726951792470,0.000000,2.217338,2.217338,200
1775043726965924281,1775043726965924281,1775043726966619087,0.000000,0.694806,0.694806,200
1775043726978194603,1775043726978194603,1775043726979209923,0.000000,1.015320,1.015320,200
1775043726990443096,1775043726990443096,1775043726992341968,0.000000,1.898872,1.898872,200
1775043727011510153,1775043727011510153,1775043727012126607,0.000000,0.616454,0.616454,200
1775043727022717083,1775043727022717083,1775043727023573115,0.000000,0.856032,0.856032,200
1775043727033384728,1775043727033384728,1775043727033647186,0.000000,0.262458,0.262458,200
1775043727057345736,1775043727057345736,1775043727057814330,0.000000,0.468594,0.468594,200
1775043727067508117,1775043727067508117,1775043727068202443,0.000000,0.694326,0.694326,200
1775043727078458847,1775043727078458847,1775043727079930625,0.000000,1.471778,1.471778,200
1775043727088776716,1775043727088776716,1775043727091442699,0.000000,2.665983,2.665983,200
1775043727097989078,1775043727097989078,1775043727099045374,0.000000,1.056296,1.056296,200
