arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043725755285496,1775043725755285496,1775043725755930501,0.000000,0.645005,0.645005,200
1775043725766898069,1775043725766898069,1775043725767620648,0.000000,0.722579,0.722579,200
1775043725795752134,1775043725795752134,1775043725796624471,0.000000,0.872337,0.872337,200
1775043725828590368,1775043725828590368,1775043725829186756,0.000000,0.596388,0.596388,200
1775043725839033557,1775043725839033557,1775043725839641538,0.000000,0.607981,0.607981,200
1775043725849237048,1775043725849237048,1775043725849875821,0.000000,0.638773,0.638773,200
1775043725860012998,1775043725860012998,1775043725860637472,0.000000,0.624474,0.624474,200
1775043725872917308,1775043725872917308,1775043725873505489,0.000000,0.588181,0.588181,200
1775043725903258661,1775043725903258661,1775043725903955108,0.000000,0.696447,0.696447,200
1775043725915325664,1775043725915325664,1775043725916142541,0.000000,0.816877,0.816877,200
1775043725934815504,1775043725934815504,1775043725935477011,0.000000,0.661507,0.661507,200
1775043725949603861,1775043725949603861,1775043725950475858,0.000000,0.871997,0.871997,200
1775043725961665834,1775043725961665834,1775043725962679287,0.000000,1.013453,1.013453,200
1775043725975704453,1775043725975704453,1775043725976417934,0.000000,0.713481,0.713481,200
1775043725988212565,1775043725988212565,1775043725988833421,0.000000,0.620856,0.620856,200
1775043726001070154,1775043726001070154,1775043726001947582,0.000000,0.877428,0.877428,200
1775043726027142756,1775043726027142756,1775043726027804184,0.000000,0.661428,0.661428,200
1775043726040322234,1775043726040322234,1775043726041006336,0.000000,0.684102,0.684102,200
1775043726053031649,1775043726053031649,1775043726053889378,0.000000,0.857729,0.857729,200
1775043726064665118,1775043726064665118,1775043726065216697,0.000000,0.551579,0.551579,200
1775043726075934894,1775043726075934894,1775043726076755448,0.000000,0.820554,0.820554,200
1775043726088333201,1775043726088333201,1775043726089149948,0.000000,0.816747,0.816747,200
1775043726098795311,1775043726098795311,1775043726099284034,0.000000,0.488723,0.488723,200
1775043726121306550,1775043726121306550,1775043726122002426,0.000000,0.695876,0.695876,200
1775043726133656791,1775043726133656791,1775043726134386204,0.000000,0.729413,0.729413,200
1775043726145661385,1775043726145661385,1775043726146503031,0.000000,0.841646,0.841646,200
1775043726158679251,1775043726158679251,1775043726159378333,0.000000,0.699082,0.699082,200
1775043726171548735,1775043726171548735,1775043726172152808,0.000000,0.604073,0.604073,200
1775043726184324265,1775043726184324265,1775043726185295128,0.000000,0.970863,0.970863,200
1775043726197547284,1775043726197547284,1775043726198416184,0.000000,0.868900,0.868900,200
1775043726210952477,1775043726210952477,1775043726211705176,0.000000,0.752699,0.752699,200
1775043726244335393,1775043726244335393,1775043726245163162,0.000000,0.827769,0.827769,200
1775043726259340014,1775043726259340014,1775043726260308754,0.000000,0.968740,0.968740,200
1775043726271642990,1775043726271642990,1775043726272447031,0.000000,0.804041,0.804041,200
1775043726284092896,1775043726284092896,1775043726284836236,0.000000,0.743340,0.743340,200
1775043726298813250,1775043726298813250,1775043726299559626,0.000000,0.746376,0.746376,200
1775043726311234601,1775043726311234601,1775043726311813604,0.000000,0.579003,0.579003,200
1775043726323141784,1775043726323141784,1775043726323792961,0.000000,0.651177,0.651177,200
1775043726334590652,1775043726334590652,1775043726335290866,0.000000,0.700214,0.700214,200
1775043726367507889,1775043726367507889,1775043726368002113,0.000000,0.494224,0.494224,200
1775043726398026083,1775043726398026083,1775043726398906766,0.000000,0.880683,0.880683,200
1775043726409276988,1775043726409276988,1775043726409987944,0.000000,0.710956,0.710956,200
1775043726420434798,1775043726420434798,1775043726421062878,0.000000,0.628080,0.628080,200
1775043726444415558,1775043726444415558,1775043726445536050,0.000000,1.120492,1.120492,200
1775043726457556171,1775043726457556171,1775043726458033562,0.000000,0.477391,0.477391,200
1775043726490816792,1775043726490816792,1775043726491564701,0.000000,0.747909,0.747909,200
1775043726502886470,1775043726502886470,1775043726503708677,0.000000,0.822207,0.822207,200
1775043726516297749,1775043726516297749,1775043726517089105,0.000000,0.791356,0.791356,200
1775043726530521383,1775043726530521383,1775043726531300926,0.000000,0.779543,0.779543,200
1775043726542482809,1775043726542482809,1775043726543145970,0.000000,0.663161,0.663161,200
1775043726553263908,1775043726553263908,1775043726553906507,0.000000,0.642599,0.642599,200
1775043726564978958,1775043726564978958,1775043726565688021,0.000000,0.709063,0.709063,200
1775043726578230890,1775043726578230890,1775043726578878890,0.000000,0.648000,0.648000,200
1775043726590936113,1775043726590936113,1775043726591603573,0.000000,0.667460,0.667460,200
1775043726604102136,1775043726604102136,1775043726604968992,0.000000,0.866856,0.866856,200
1775043726616666790,1775043726616666790,1775043726617362055,0.000000,0.695265,0.695265,200
