arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044430452716620,1775044430452716620,1775044430453390718,0.000000,0.674098,0.674098,200
1775044430674489786,1775044430674489786,1775044430675045584,0.000000,0.555798,0.555798,200
1775044430792257956,1775044430792257956,1775044430793031073,0.000000,0.773117,0.773117,200
1775044430865389442,1775044430865389442,1775044430866092620,0.000000,0.703178,0.703178,200
1775044430905581357,1775044430905581357,1775044430906877870,0.000000,1.296513,1.296513,200
1775044430930775753,1775044430930775753,1775044430931428541,0.000000,0.652788,0.652788,200
1775044430940071910,1775044430940071910,1775044430940751785,0.000000,0.679875,0.679875,200
1775044430989922986,1775044430989922986,1775044430990793441,0.000000,0.870455,0.870455,200
1775044431014273341,1775044431014273341,1775044431015134981,0.000000,0.861640,0.861640,200
1775044431021534056,1775044431021534056,1775044431022171606,0.000000,0.637550,0.637550,200
1775044431058647621,1775044431058647621,1775044431059481072,0.000000,0.833451,0.833451,200
1775044431077515431,1775044431077515431,1775044431078272198,0.000000,0.756767,0.756767,200
1775044431081043586,1775044431081043586,1775044431082022052,0.000000,0.978466,0.978466,200
1775044431116879446,1775044431116879446,1775044431117826198,0.000000,0.946752,0.946752,200
1775044431145463672,1775044431145463672,1775044431146303030,0.000000,0.839358,0.839358,200
1775044431145758151,1775044431145758151,1775044431146664697,0.000000,0.906546,0.906546,200
1775044431177503762,1775044431177503762,1775044431178450454,0.000000,0.946692,0.946692,200
1775044431195105366,1775044431195105366,1775044431195867391,0.000000,0.762025,0.762025,200
1775044431198556198,1775044431198556198,1775044431201481968,0.000000,2.925770,2.925770,200
1775044431232407157,1775044431232407157,1775044431233232401,0.000000,0.825244,0.825244,200
1775044431250678832,1775044431250678832,1775044431251463993,0.000000,0.785161,0.785161,200
1775044431252432190,1775044431252432190,1775044431253217565,0.000000,0.785375,0.785375,200
1775044431287724631,1775044431287724631,1775044431288591324,0.000000,0.866693,0.866693,200
1775044431305975793,1775044431305975793,1775044431306485755,0.000000,0.509962,0.509962,200
1775044431307012669,1775044431307012669,1775044431307742884,0.000000,0.730215,0.730215,200
1775044431340578814,1775044431340578814,1775044431341404235,0.000000,0.825421,0.825421,200
1775044431359229647,1775044431359229647,1775044431360357454,0.000000,1.127807,1.127807,200
1775044431363590562,1775044431363590562,1775044431364292989,0.000000,0.702427,0.702427,200
1775044431399827449,1775044431399827449,1775044431400602763,0.000000,0.775314,0.775314,200
1775044431437308914,1775044431437308914,1775044431437729581,0.000000,0.420667,0.420667,200
1775044431437544138,1775044431437544138,1775044431438513384,0.000000,0.969246,0.969246,200
1775044431483264203,1775044431483264203,1775044431484079775,0.000000,0.815572,0.815572,200
1775044431502321278,1775044431502321278,1775044431502969798,0.000000,0.648520,0.648520,200
1775044431513086830,1775044431513086830,1775044431513793006,0.000000,0.706176,0.706176,200
1775044431547381486,1775044431547381486,1775044431548065767,0.000000,0.684281,0.684281,200
1775044431575775325,1775044431575775325,1775044431576431132,0.000000,0.655807,0.655807,200
1775044431576492387,1775044431576492387,1775044431577200234,0.000000,0.707847,0.707847,200
1775044431608976184,1775044431608976184,1775044431609691298,0.000000,0.715114,0.715114,200
1775044431625022571,1775044431625022571,1775044431625867775,0.000000,0.845204,0.845204,200
1775044431625073475,1775044431625073475,1775044431625962176,0.000000,0.888701,0.888701,200
1775044431658016069,1775044431658016069,1775044431658741463,0.000000,0.725394,0.725394,200
1775044431674311734,1775044431674311734,1775044431677255735,0.000000,2.944001,2.944001,200
