arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044824953239491,1775044824953239491,1775044824954015452,0.000000,0.775961,0.775961,200
1775044824994778459,1775044824994778459,1775044824995543333,0.000000,0.764874,0.764874,200
1775044824997901697,1775044824997901697,1775044824998690463,0.000000,0.788766,0.788766,200
1775044825004941492,1775044825004941492,1775044825006125493,0.000000,1.184001,1.184001,200
1775044825023767443,1775044825023767443,1775044825024549825,0.000000,0.782382,0.782382,200
1775044825026561200,1775044825026561200,1775044825026955947,0.000000,0.394747,0.394747,200
1775044825033340036,1775044825033340036,1775044825034324437,0.000000,0.984401,0.984401,200
1775044825072328461,1775044825072328461,1775044825073058099,0.000000,0.729638,0.729638,200
1775044825082346176,1775044825082346176,1775044825083094405,0.000000,0.748229,0.748229,200
1775044825086793933,1775044825086793933,1775044825087677477,0.000000,0.883544,0.883544,200
1775044825134488017,1775044825134488017,1775044825135424452,0.000000,0.936435,0.936435,200
1775044825136716954,1775044825136716954,1775044825138207919,0.000000,1.490965,1.490965,200
1775044825144180816,1775044825144180816,1775044825145338304,0.000000,1.157488,1.157488,200
1775044825162564171,1775044825162564171,1775044825163445345,0.000000,0.881174,0.881174,200
1775044825165071956,1775044825165071956,1775044825165648658,0.000000,0.576702,0.576702,200
1775044825172133155,1775044825172133155,1775044825172635513,0.000000,0.502358,0.502358,200
1775044825191391137,1775044825191391137,1775044825192334164,0.000000,0.943027,0.943027,200
1775044825194862947,1775044825194862947,1775044825196467909,0.000000,1.604962,1.604962,200
1775044825201170818,1775044825201170818,1775044825202022207,0.000000,0.851389,0.851389,200
1775044825222782733,1775044825222782733,1775044825223573469,0.000000,0.790736,0.790736,200
1775044825231455663,1775044825231455663,1775044825232543176,0.000000,1.087513,1.087513,200
1775044825234201781,1775044825234201781,1775044825234605259,0.000000,0.403478,0.403478,200
1775044825259820450,1775044825259820450,1775044825260533894,0.000000,0.713444,0.713444,200
1775044825267392184,1775044825267392184,1775044825268457435,0.000000,1.065251,1.065251,200
1775044825271634231,1775044825271634231,1775044825272924063,0.000000,1.289832,1.289832,200
1775044825297610291,1775044825297610291,1775044825298349727,0.000000,0.739436,0.739436,200
1775044825306471666,1775044825306471666,1775044825307478080,0.000000,1.006414,1.006414,200
1775044825309827152,1775044825309827152,1775044825310771061,0.000000,0.943909,0.943909,200
1775044825333726177,1775044825333726177,1775044825334958653,0.000000,1.232476,1.232476,200
1775044825366054539,1775044825366054539,1775044825366532768,0.000000,0.478229,0.478229,200
1775044825407622968,1775044825407622968,1775044825408730473,0.000000,1.107505,1.107505,200
1775044825436757994,1775044825436757994,1775044825437149371,0.000000,0.391377,0.391377,200
1775044825440544179,1775044825440544179,1775044825440769514,0.000000,0.225335,0.225335,200
1775044825447309356,1775044825447309356,1775044825447925183,0.000000,0.615827,0.615827,200
1775044825477192926,1775044825477192926,1775044825477720708,0.000000,0.527782,0.527782,200
1775044825482509683,1775044825482509683,1775044825483801196,0.000000,1.291513,1.291513,200
1775044825487817015,1775044825487817015,1775044825488978922,0.000000,1.161907,1.161907,200
1775044825508812401,1775044825508812401,1775044825509266005,0.000000,0.453604,0.453604,200
1775044825512205363,1775044825512205363,1775044825513478527,0.000000,1.273164,1.273164,200
1775044825518256928,1775044825518256928,1775044825518762422,0.000000,0.505494,0.505494,200
