arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044627326822673,1775044627326822673,1775044627329314186,0.000000,2.491513,2.491513,200
1775044627362122057,1775044627362122057,1775044627362846026,0.000000,0.723969,0.723969,200
1775044627437343389,1775044627437343389,1775044627438367906,0.000000,1.024517,1.024517,200
1775044627451492028,1775044627451492028,1775044627452041370,0.000000,0.549342,0.549342,200
1775044627481805056,1775044627481805056,1775044627482486240,0.000000,0.681184,0.681184,200
1775044627514017966,1775044627514017966,1775044627514639281,0.000000,0.621315,0.621315,200
1775044627528075143,1775044627528075143,1775044627528898089,0.000000,0.822946,0.822946,200
1775044627560098071,1775044627560098071,1775044627561314240,0.000000,1.216169,1.216169,200
1775044627573027823,1775044627573027823,1775044627573845809,0.000000,0.817986,0.817986,200
1775044627575472986,1775044627575472986,1775044627576066786,0.000000,0.593800,0.593800,200
1775044627603508087,1775044627603508087,1775044627604221134,0.000000,0.713047,0.713047,200
1775044627618307014,1775044627618307014,1775044627619121071,0.000000,0.814057,0.814057,200
1775044627619561748,1775044627619561748,1775044627620353271,0.000000,0.791523,0.791523,200
1775044627650346894,1775044627650346894,1775044627651013629,0.000000,0.666735,0.666735,200
1775044627669172678,1775044627669172678,1775044627669891788,0.000000,0.719110,0.719110,200
1775044627670363175,1775044627670363175,1775044627671180129,0.000000,0.816954,0.816954,200
1775044627700461491,1775044627700461491,1775044627701198506,0.000000,0.737015,0.737015,200
1775044627713194124,1775044627713194124,1775044627713817644,0.000000,0.623520,0.623520,200
1775044627717191956,1775044627717191956,1775044627717912289,0.000000,0.720333,0.720333,200
1775044627742201483,1775044627742201483,1775044627742698552,0.000000,0.497069,0.497069,200
1775044627750441675,1775044627750441675,1775044627751159262,0.000000,0.717587,0.717587,200
1775044627755289849,1775044627755289849,1775044627755754413,0.000000,0.464564,0.464564,200
1775044627778763412,1775044627778763412,1775044627779318054,0.000000,0.554642,0.554642,200
1775044627790311015,1775044627790311015,1775044627790860207,0.000000,0.549192,0.549192,200
1775044627806961687,1775044627806961687,1775044627807475960,0.000000,0.514273,0.514273,200
1775044627834710450,1775044627834710450,1775044627835096227,0.000000,0.385777,0.385777,200
1775044627842037170,1775044627842037170,1775044627842553737,0.000000,0.516567,0.516567,200
1775044627846849550,1775044627846849550,1775044627847339473,0.000000,0.489923,0.489923,200
1775044627869477280,1775044627869477280,1775044627870211059,0.000000,0.733779,0.733779,200
1775044627877061780,1775044627877061780,1775044627877743285,0.000000,0.681505,0.681505,200
1775044627880677237,1775044627880677237,1775044627881383962,0.000000,0.706725,0.706725,200
1775044627906842536,1775044627906842536,1775044627907540995,0.000000,0.698459,0.698459,200
1775044627915260453,1775044627915260453,1775044627915789835,0.000000,0.529382,0.529382,200
1775044627918186080,1775044627918186080,1775044627918918917,0.000000,0.732837,0.732837,200
1775044627962896016,1775044627962896016,1775044627963368125,0.000000,0.472109,0.472109,200
1775044627969590138,1775044627969590138,1775044627970288947,0.000000,0.698809,0.698809,200
1775044627973796780,1775044627973796780,1775044627974269520,0.000000,0.472740,0.472740,200
1775044627997948812,1775044627997948812,1775044627998655647,0.000000,0.706835,0.706835,200
1775044628024223446,1775044628024223446,1775044628025086692,0.000000,0.863246,0.863246,200
1775044628025425154,1775044628025425154,1775044628026384621,0.000000,0.959467,0.959467,200
1775044628058099587,1775044628058099587,1775044628058904036,0.000000,0.804449,0.804449,200
1775044628071164620,1775044628071164620,1775044628071939430,0.000000,0.774810,0.774810,200
1775044628074502576,1775044628074502576,1775044628075225163,0.000000,0.722587,0.722587,200
1775044628102819735,1775044628102819735,1775044628103650738,0.000000,0.831003,0.831003,200
1775044628113494706,1775044628113494706,1775044628114261831,0.000000,0.767125,0.767125,200
1775044628116747673,1775044628116747673,1775044628117411783,0.000000,0.664110,0.664110,200
1775044628143189097,1775044628143189097,1775044628143889499,0.000000,0.700402,0.700402,200
1775044628157218703,1775044628157218703,1775044628157606714,0.000000,0.388011,0.388011,200
1775044628162217952,1775044628162217952,1775044628162990378,0.000000,0.772426,0.772426,200
1775044628191544742,1775044628191544742,1775044628192225315,0.000000,0.680573,0.680573,200
1775044628199571372,1775044628199571372,1775044628200027308,0.000000,0.455936,0.455936,200
1775044628204279665,1775044628204279665,1775044628204977102,0.000000,0.697437,0.697437,200
1775044628228319745,1775044628228319745,1775044628229006620,0.000000,0.686875,0.686875,200
1775044628249568924,1775044628249568924,1775044628250136162,0.000000,0.567238,0.567238,200
1775044628255914828,1775044628255914828,1775044628256393350,0.000000,0.478522,0.478522,200
1775044628287915386,1775044628287915386,1775044628288441642,0.000000,0.526256,0.526256,200
1775044628293560872,1775044628293560872,1775044628294057419,0.000000,0.496547,0.496547,200
1775044628299267969,1775044628299267969,1775044628299714928,0.000000,0.446959,0.446959,200
1775044628321255648,1775044628321255648,1775044628321738057,0.000000,0.482409,0.482409,200
1775044628327160702,1775044628327160702,1775044628327678250,0.000000,0.517548,0.517548,200
1775044628332434547,1775044628332434547,1775044628332893499,0.000000,0.458952,0.458952,200
1775044628356049181,1775044628356049181,1775044628356486550,0.000000,0.437369,0.437369,200
1775044628392051351,1775044628392051351,1775044628392489963,0.000000,0.438612,0.438612,200
1775044628397430238,1775044628397430238,1775044628397882146,0.000000,0.451908,0.451908,200
1775044628420535480,1775044628420535480,1775044628421197547,0.000000,0.662067,0.662067,200
1775044628435037021,1775044628435037021,1775044628435794407,0.000000,0.757386,0.757386,200
1775044628442349819,1775044628442349819,1775044628442856066,0.000000,0.506247,0.506247,200
1775044628470011387,1775044628470011387,1775044628470885344,0.000000,0.873957,0.873957,200
1775044628478601254,1775044628478601254,1775044628479265795,0.000000,0.664541,0.664541,200
1775044628481925673,1775044628481925673,1775044628482518873,0.000000,0.593200,0.593200,200
1775044628507467960,1775044628507467960,1775044628507990850,0.000000,0.522890,0.522890,200
1775044628514499513,1775044628514499513,1775044628514948565,0.000000,0.449052,0.449052,200
1775044628518821215,1775044628518821215,1775044628519479754,0.000000,0.658539,0.658539,200
1775044628551564855,1775044628551564855,1775044628552288814,0.000000,0.723959,0.723959,200
1775044628580154172,1775044628580154172,1775044628580882269,0.000000,0.728097,0.728097,200
1775044628582474121,1775044628582474121,1775044628583165315,0.000000,0.691194,0.691194,200
1775044628609954995,1775044628609954995,1775044628610629435,0.000000,0.674440,0.674440,200
1775044628618979750,1775044628618979750,1775044628619794790,0.000000,0.815040,0.815040,200
1775044628623255679,1775044628623255679,1775044628623814250,0.000000,0.558571,0.558571,200
1775044628648888197,1775044628648888197,1775044628649618940,0.000000,0.730743,0.730743,200
1775044628662489179,1775044628662489179,1775044628663186766,0.000000,0.697587,0.697587,200
1775044628675987176,1775044628675987176,1775044628676496138,0.000000,0.508962,0.508962,200
1775044628704316393,1775044628704316393,1775044628705002858,0.000000,0.686465,0.686465,200
1775044628720789165,1775044628720789165,1775044628721548234,0.000000,0.759069,0.759069,200
1775044628720972829,1775044628720972829,1775044628721728341,0.000000,0.755512,0.755512,200
1775044628750736041,1775044628750736041,1775044628751461133,0.000000,0.725092,0.725092,200
1775044628762495480,1775044628762495480,1775044628763282425,0.000000,0.786945,0.786945,200
1775044628764931747,1775044628764931747,1775044628765701688,0.000000,0.769941,0.769941,200
1775044628792371495,1775044628792371495,1775044628793030175,0.000000,0.658680,0.658680,200
1775044628802960050,1775044628802960050,1775044628803689891,0.000000,0.729841,0.729841,200
1775044628805853404,1775044628805853404,1775044628806621230,0.000000,0.767826,0.767826,200
1775044628832978895,1775044628832978895,1775044628833475933,0.000000,0.497038,0.497038,200
1775044628845073627,1775044628845073627,1775044628845948776,0.000000,0.875149,0.875149,200
1775044628847032311,1775044628847032311,1775044628847787312,0.000000,0.755001,0.755001,200
1775044628874867684,1775044628874867684,1775044628875456825,0.000000,0.589141,0.589141,200
1775044628888407218,1775044628888407218,1775044628888984446,0.000000,0.577228,0.577228,200
1775044628892286020,1775044628892286020,1775044628892838157,0.000000,0.552137,0.552137,200
1775044628922977514,1775044628922977514,1775044628923723296,0.000000,0.745782,0.745782,200
1775044628935720904,1775044628935720904,1775044628936472227,0.000000,0.751323,0.751323,200
1775044628937405592,1775044628937405592,1775044628938135132,0.000000,0.729540,0.729540,200
1775044628966256937,1775044628966256937,1775044628966853994,0.000000,0.597057,0.597057,200
1775044628978668845,1775044628978668845,1775044628979399277,0.000000,0.730432,0.730432,200
1775044628980340469,1775044628980340469,1775044628981098296,0.000000,0.757827,0.757827,200
1775044629008756711,1775044629008756711,1775044629009524668,0.000000,0.767957,0.767957,200
1775044629031996825,1775044629031996825,1775044629032753309,0.000000,0.756484,0.756484,200
1775044629033764540,1775044629033764540,1775044629034501776,0.000000,0.737236,0.737236,200
1775044629064876809,1775044629064876809,1775044629065683383,0.000000,0.806574,0.806574,200
1775044629077178362,1775044629077178362,1775044629078030526,0.000000,0.852164,0.852164,200
1775044629079373675,1775044629079373675,1775044629080102665,0.000000,0.728990,0.728990,200
1775044629107468370,1775044629107468370,1775044629108140035,0.000000,0.671665,0.671665,200
1775044629116900904,1775044629116900904,1775044629117722488,0.000000,0.821584,0.821584,200
1775044629120260023,1775044629120260023,1775044629120900917,0.000000,0.640894,0.640894,200
1775044629146787449,1775044629146787449,1775044629147253736,0.000000,0.466287,0.466287,200
1775044629155960258,1775044629155960258,1775044629156612995,0.000000,0.652737,0.652737,200
1775044629160109526,1775044629160109526,1775044629160729910,0.000000,0.620384,0.620384,200
1775044629185317117,1775044629185317117,1775044629186223008,0.000000,0.905891,0.905891,200
1775044629194555337,1775044629194555337,1775044629195346851,0.000000,0.791514,0.791514,200
1775044629198375834,1775044629198375834,1775044629198952109,0.000000,0.576275,0.576275,200
1775044629224774844,1775044629224774844,1775044629225607439,0.000000,0.832595,0.832595,200
1775044629232652069,1775044629232652069,1775044629233162043,0.000000,0.509974,0.509974,200
1775044629237411444,1775044629237411444,1775044629238062289,0.000000,0.650845,0.650845,200
1775044629283312665,1775044629283312665,1775044629283800264,0.000000,0.487599,0.487599,200
1775044629309203884,1775044629309203884,1775044629309892262,0.000000,0.688378,0.688378,200
1775044629314017575,1775044629314017575,1775044629314852464,0.000000,0.834889,0.834889,200
1775044629338417650,1775044629338417650,1775044629338969237,0.000000,0.551587,0.551587,200
1775044629354945639,1775044629354945639,1775044629355452627,0.000000,0.506988,0.506988,200
1775044629359768398,1775044629359768398,1775044629360270537,0.000000,0.502139,0.502139,200
