arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039036239327838,1775039036239327838,1775039036246888822,0.000000,7.560984,7.560984,200
1775039036281436556,1775039036281436556,1775039036288955921,0.000000,7.519365,7.519365,200
1775039036340791952,1775039036340791952,1775039036348400556,0.000000,7.608604,7.608604,200
1775039036381976308,1775039036381976308,1775039036390867657,0.000000,8.891349,8.891349,200
1775039036422505285,1775039036422505285,1775039036430090208,0.000000,7.584923,7.584923,200
1775039036479559546,1775039036479559546,1775039036485393905,0.000000,5.834359,5.834359,200
1775039036526628548,1775039036526628548,1775039036534912036,0.000000,8.283488,8.283488,200
1775039036565129239,1775039036565129239,1775039036572513800,0.000000,7.384561,7.384561,200
1775039036603608903,1775039036603608903,1775039036611065076,0.000000,7.456173,7.456173,200
1775039036666204727,1775039036666204727,1775039036674151796,0.000000,7.947069,7.947069,200
1775039036703702638,1775039036703702638,1775039036711828922,0.000000,8.126284,8.126284,200
1775039036743508009,1775039036743508009,1775039036753221348,0.000000,9.713339,9.713339,200
1775039036805680031,1775039036805680031,1775039036814494477,0.000000,8.814446,8.814446,200
1775039036853521440,1775039036853521440,1775039036861460327,0.000000,7.938887,7.938887,200
1775039036893487146,1775039036893487146,1775039036900234617,0.000000,6.747471,6.747471,200
1775039036932479426,1775039036932479426,1775039036938878996,0.000000,6.399570,6.399570,200
1775039036993655913,1775039036993655913,1775039037001804090,0.000000,8.148177,8.148177,200
1775039037054632104,1775039037054632104,1775039037064623857,0.000000,9.991753,9.991753,200
1775039037101988466,1775039037101988466,1775039037109823332,0.000000,7.834866,7.834866,200
1775039037148154324,1775039037148154324,1775039037155770208,0.000000,7.615884,7.615884,200
1775039037195931850,1775039037195931850,1775039037204537966,0.000000,8.606116,8.606116,200
1775039037234050506,1775039037234050506,1775039037239934033,0.000000,5.883527,5.883527,200
1775039037288072556,1775039037288072556,1775039037295393818,0.000000,7.321262,7.321262,200
1775039037327137550,1775039037327137550,1775039037335675661,0.000000,8.538111,8.538111,200
1775039037368016105,1775039037368016105,1775039037377204276,0.000000,9.188171,9.188171,200
1775039037414075021,1775039037414075021,1775039037421497461,0.000000,7.422440,7.422440,200
1775039037453228056,1775039037453228056,1775039037461582110,0.000000,8.354054,8.354054,200
1775039037491994459,1775039037491994459,1775039037500145557,0.000000,8.151098,8.151098,200
1775039037529927511,1775039037529927511,1775039037538956765,0.000000,9.029254,9.029254,200
1775039037568162801,1775039037568162801,1775039037574442677,0.000000,6.279876,6.279876,200
1775039037607265610,1775039037607265610,1775039037615932070,0.000000,8.666460,8.666460,200
1775039037648069277,1775039037648069277,1775039037653884481,0.000000,5.815204,5.815204,200
1775039037689421851,1775039037689421851,1775039037694127275,0.000000,4.705424,4.705424,200
1775039037729389843,1775039037729389843,1775039037736309355,0.000000,6.919512,6.919512,200
1775039037770183840,1775039037770183840,1775039037776705750,0.000000,6.521910,6.521910,200
1775039037810679506,1775039037810679506,1775039037819872268,0.000000,9.192762,9.192762,200
1775039037858396426,1775039037858396426,1775039037867223764,0.000000,8.827338,8.827338,200
1775039037907299496,1775039037907299496,1775039037913453314,0.000000,6.153818,6.153818,200
1775039037962863074,1775039037962863074,1775039037972005520,0.000000,9.142446,9.142446,200
1775039038002623661,1775039038002623661,1775039038009038524,0.000000,6.414863,6.414863,200
1775039038062538289,1775039038062538289,1775039038070183524,0.000000,7.645235,7.645235,200
1775039038113002559,1775039038113002559,1775039038120349640,0.000000,7.347081,7.347081,200
1775039038162911655,1775039038162911655,1775039038170856494,0.000000,7.944839,7.944839,200
1775039038203848854,1775039038203848854,1775039038212941130,0.000000,9.092276,9.092276,200
1775039038254361264,1775039038254361264,1775039038263144994,0.000000,8.783730,8.783730,200
1775039038293883904,1775039038293883904,1775039038302195314,0.000000,8.311410,8.311410,200
1775039038332742188,1775039038332742188,1775039038341545347,0.000000,8.803159,8.803159,200
1775039038370738049,1775039038370738049,1775039038379256767,0.000000,8.518718,8.518718,200
1775039038428049549,1775039038428049549,1775039038434942476,0.000000,6.892927,6.892927,200
1775039038467913910,1775039038467913910,1775039038474688516,0.000000,6.774606,6.774606,200
1775039038508141502,1775039038508141502,1775039038515244910,0.000000,7.103408,7.103408,200
1775039038570788922,1775039038570788922,1775039038579341707,0.000000,8.552785,8.552785,200
1775039038621239555,1775039038621239555,1775039038628648519,0.000000,7.408964,7.408964,200
1775039038671354804,1775039038671354804,1775039038683513576,0.000000,12.158772,12.158772,200
1775039038709927373,1775039038709927373,1775039038716570991,0.000000,6.643618,6.643618,200
1775039038750573438,1775039038750573438,1775039038756870598,0.000000,6.297160,6.297160,200
1775039038790846257,1775039038790846257,1775039038799851581,0.000000,9.005324,9.005324,200
1775039038837794767,1775039038837794767,1775039038848000805,0.000000,10.206038,10.206038,200
1775039038878041656,1775039038878041656,1775039038886604878,0.000000,8.563222,8.563222,200
1775039038917749883,1775039038917749883,1775039038926872134,0.000000,9.122251,9.122251,200
1775039038959006252,1775039038959006252,1775039038969221082,0.000000,10.214830,10.214830,200
1775039038998847473,1775039038998847473,1775039039006481317,0.000000,7.633844,7.633844,200
1775039039054454555,1775039039054454555,1775039039060372657,0.000000,5.918102,5.918102,200
1775039039112755475,1775039039112755475,1775039039119774870,0.000000,7.019395,7.019395,200
1775039039169509359,1775039039169509359,1775039039178838516,0.000000,9.329157,9.329157,200
1775039039221382474,1775039039221382474,1775039039227277133,0.000000,5.894659,5.894659,200
1775039039263264312,1775039039263264312,1775039039271086992,0.000000,7.822680,7.822680,200
1775039039313036007,1775039039313036007,1775039039321194954,0.000000,8.158947,8.158947,200
1775039039352029669,1775039039352029669,1775039039359346283,0.000000,7.316614,7.316614,200
1775039039392221678,1775039039392221678,1775039039401149977,0.000000,8.928299,8.928299,200
1775039039437852650,1775039039437852650,1775039039446539935,0.000000,8.687285,8.687285,200
1775039039477260065,1775039039477260065,1775039039489385469,0.000000,12.125404,12.125404,200
1775039039516826633,1775039039516826633,1775039039525579379,0.000000,8.752746,8.752746,200
1775039039555258440,1775039039555258440,1775039039562174622,0.000000,6.916182,6.916182,200
1775039039598074260,1775039039598074260,1775039039605053803,0.000000,6.979543,6.979543,200
1775039039637331207,1775039039637331207,1775039039643959204,0.000000,6.627997,6.627997,200
1775039039678399835,1775039039678399835,1775039039687727880,0.000000,9.328045,9.328045,200
1775039039718022957,1775039039718022957,1775039039724995771,0.000000,6.972814,6.972814,200
1775039039758005628,1775039039758005628,1775039039765674307,0.000000,7.668679,7.668679,200
1775039039812222552,1775039039812222552,1775039039821194864,0.000000,8.972312,8.972312,200
1775039039873524327,1775039039873524327,1775039039880291031,0.000000,6.766704,6.766704,200
1775039039919731663,1775039039919731663,1775039039927079085,0.000000,7.347422,7.347422,200
1775039039959775736,1775039039959775736,1775039039965238086,0.000000,5.462350,5.462350,200
1775039040012582123,1775039040012582123,1775039040018899093,0.000000,6.316970,6.316970,200
1775039040052067705,1775039040052067705,1775039040059039312,0.000000,6.971607,6.971607,200
1775039040090573452,1775039040090573452,1775039040098990413,0.000000,8.416961,8.416961,200
1775039040128602585,1775039040128602585,1775039040138371784,0.000000,9.769199,9.769199,200
1775039040167565156,1775039040167565156,1775039040175310301,0.000000,7.745145,7.745145,200
1775039040205726730,1775039040205726730,1775039040213898389,0.000000,8.171659,8.171659,200
1775039040243772556,1775039040243772556,1775039040251799314,0.000000,8.026758,8.026758,200
1775039040282721450,1775039040282721450,1775039040292289233,0.000000,9.567783,9.567783,200
1775039040338378288,1775039040338378288,1775039040347601642,0.000000,9.223354,9.223354,200
1775039040385453463,1775039040385453463,1775039040393644444,0.000000,8.190981,8.190981,200
1775039040424228015,1775039040424228015,1775039040430632145,0.000000,6.404130,6.404130,200
1775039040462068290,1775039040462068290,1775039040471309383,0.000000,9.241093,9.241093,200
1775039040502787489,1775039040502787489,1775039040511148663,0.000000,8.361174,8.361174,200
1775039040544029207,1775039040544029207,1775039040553861203,0.000000,9.831996,9.831996,200
1775039040584765937,1775039040584765937,1775039040592494128,0.000000,7.728191,7.728191,200
1775039040634670054,1775039040634670054,1775039040645969438,0.000000,11.299384,11.299384,200
1775039040676640655,1775039040676640655,1775039040683896853,0.000000,7.256198,7.256198,200
1775039040720359961,1775039040720359961,1775039040730906284,0.000000,10.546323,10.546323,200
1775039040760166714,1775039040760166714,1775039040768112618,0.000000,7.945904,7.945904,200
1775039040800817061,1775039040800817061,1775039040807857744,0.000000,7.040683,7.040683,200
1775039040851452155,1775039040851452155,1775039040857713741,0.000000,6.261586,6.261586,200
1775039040913302647,1775039040913302647,1775039040920853585,0.000000,7.550938,7.550938,200
1775039040950895521,1775039040950895521,1775039040961104435,0.000000,10.208914,10.208914,200
1775039041006147067,1775039041006147067,1775039041015235405,0.000000,9.088338,9.088338,200
1775039041043894902,1775039041043894902,1775039041052763967,0.000000,8.869065,8.869065,200
1775039041081712245,1775039041081712245,1775039041086642898,0.000000,4.930653,4.930653,200
1775039041119296667,1775039041119296667,1775039041128203326,0.000000,8.906659,8.906659,200
1775039041179592962,1775039041179592962,1775039041188238863,0.000000,8.645901,8.645901,200
1775039041227007609,1775039041227007609,1775039041234003043,0.000000,6.995434,6.995434,200
1775039041322039735,1775039041322039735,1775039041328932135,0.000000,6.892400,6.892400,200
1775039041359344477,1775039041359344477,1775039041367113631,0.000000,7.769154,7.769154,200
1775039041375773115,1775039041375773115,1775039041386589136,0.000000,10.816021,10.816021,200
1775039041396798497,1775039041396798497,1775039041403148684,0.000000,6.350187,6.350187,200
1775039041438060341,1775039041438060341,1775039041445221356,0.000000,7.161015,7.161015,200
1775039041471903054,1775039041471903054,1775039041481992331,0.000000,10.089277,10.089277,200
1775039041502954483,1775039041502954483,1775039041510090375,0.000000,7.135892,7.135892,200
1775039041526055202,1775039041526055202,1775039041533303932,0.000000,7.248730,7.248730,200
1775039041548116460,1775039041548116460,1775039041556036009,0.000000,7.919549,7.919549,200
1775039041568073203,1775039041568073203,1775039041574200889,0.000000,6.127686,6.127686,200
1775039041589955022,1775039041589955022,1775039041598062100,0.000000,8.107078,8.107078,200
1775039041632855454,1775039041632855454,1775039041639020430,0.000000,6.164976,6.164976,200
1775039041719417037,1775039041719417037,1775039041728625990,0.000000,9.208953,9.208953,200
1775039041735939941,1775039041735939941,1775039041743717272,0.000000,7.777331,7.777331,200
1775039041793199346,1775039041793199346,1775039041805236857,0.000000,12.037511,12.037511,200
