arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039141326469233,1775039141326469233,1775039141335969518,0.000000,9.500285,9.500285,200
1775039141359900805,1775039141359900805,1775039141366606331,0.000000,6.705526,6.705526,200
1775039141391549996,1775039141391549996,1775039141398750736,0.000000,7.200740,7.200740,200
1775039141441511254,1775039141441511254,1775039141450177676,0.000000,8.666422,8.666422,200
1775039141474586495,1775039141474586495,1775039141493521952,0.000000,18.935457,18.935457,200
1775039141508518852,1775039141508518852,1775039141515568360,0.000000,7.049508,7.049508,200
1775039141543316984,1775039141543316984,1775039141555495516,0.000000,12.178532,12.178532,200
1775039141584898975,1775039141584898975,1775039141591930384,0.000000,7.031409,7.031409,200
1775039141628184852,1775039141628184852,1775039141636453489,0.000000,8.268637,8.268637,200
1775039141666317588,1775039141666317588,1775039141676870983,0.000000,10.553395,10.553395,200
1775039141700837178,1775039141700837178,1775039141708980988,0.000000,8.143810,8.143810,200
1775039141737864019,1775039141737864019,1775039141748123192,0.000000,10.259173,10.259173,200
1775039141775032775,1775039141775032775,1775039141786738031,0.000000,11.705256,11.705256,200
1775039141830420437,1775039141830420437,1775039141839098753,0.000000,8.678316,8.678316,200
1775039141863271013,1775039141863271013,1775039141871002385,0.000000,7.731372,7.731372,200
1775039141900765994,1775039141900765994,1775039141907651375,0.000000,6.885381,6.885381,200
1775039141936040559,1775039141936040559,1775039141942451353,0.000000,6.410794,6.410794,200
1775039141973137612,1775039141973137612,1775039141980237403,0.000000,7.099791,7.099791,200
1775039142018933256,1775039142018933256,1775039142030436923,0.000000,11.503667,11.503667,200
1775039142053961563,1775039142053961563,1775039142064100194,0.000000,10.138631,10.138631,200
1775039142088653555,1775039142088653555,1775039142096632446,0.000000,7.978891,7.978891,200
1775039142126484385,1775039142126484385,1775039142133961700,0.000000,7.477315,7.477315,200
1775039142161763006,1775039142161763006,1775039142170757153,0.000000,8.994147,8.994147,200
1775039142197883187,1775039142197883187,1775039142205354128,0.000000,7.470941,7.470941,200
1775039142234450948,1775039142234450948,1775039142241913049,0.000000,7.462101,7.462101,200
1775039142271739103,1775039142271739103,1775039142281107924,0.000000,9.368821,9.368821,200
1775039142313190556,1775039142313190556,1775039142320731781,0.000000,7.541225,7.541225,200
1775039142361996259,1775039142361996259,1775039142368848313,0.000000,6.852054,6.852054,200
1775039142397398247,1775039142397398247,1775039142405344644,0.000000,7.946397,7.946397,200
1775039142454185481,1775039142454185481,1775039142462211358,0.000000,8.025877,8.025877,200
1775039142500438911,1775039142500438911,1775039142507347348,0.000000,6.908437,6.908437,200
1775039142538720246,1775039142538720246,1775039142545341076,0.000000,6.620830,6.620830,200
