arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045248620591130,1775045248620591130,1775045248631158302,0.000000,10.567172,10.567172,200
1775045248651748047,1775045248651748047,1775045248662221474,0.000000,10.473427,10.473427,200
1775045248678995964,1775045248678995964,1775045248689670788,0.000000,10.674824,10.674824,200
1775045248704606355,1775045248704606355,1775045248718333993,0.000000,13.727638,13.727638,200
1775045248731995707,1775045248731995707,1775045248742616946,0.000000,10.621239,10.621239,200
1775045248760901884,1775045248760901884,1775045248767855339,0.000000,6.953455,6.953455,200
1775045248788174481,1775045248788174481,1775045248800419111,0.000000,12.244630,12.244630,200
1775045248815264837,1775045248815264837,1775045248825436813,0.000000,10.171976,10.171976,200
1775045248848311135,1775045248848311135,1775045248858642834,0.000000,10.331699,10.331699,200
1775045248880999664,1775045248880999664,1775045248892451531,0.000000,11.451867,11.451867,200
1775045248925110313,1775045248925110313,1775045248936981983,0.000000,11.871670,11.871670,200
1775045248952969711,1775045248952969711,1775045248968803702,0.000000,15.833991,15.833991,200
1775045248980074669,1775045248980074669,1775045248993611131,0.000000,13.536462,13.536462,200
1775045249013993097,1775045249013993097,1775045249025425934,0.000000,11.432837,11.432837,200
1775045249045729176,1775045249045729176,1775045249054522377,0.000000,8.793201,8.793201,200
1775045249078672890,1775045249078672890,1775045249086745824,0.000000,8.072934,8.072934,200
1775045249124111041,1775045249124111041,1775045249136034387,0.000000,11.923346,11.923346,200
1775045249163969761,1775045249163969761,1775045249180542879,0.000000,16.573118,16.573118,200
1775045249191970272,1775045249191970272,1775045249203162245,0.000000,11.191973,11.191973,200
1775045249219112290,1775045249219112290,1775045249229803609,0.000000,10.691319,10.691319,200
1775045249246280869,1775045249246280869,1775045249259304589,0.000000,13.023720,13.023720,200
1775045249275549864,1775045249275549864,1775045249282598167,0.000000,7.048303,7.048303,200
1775045249302626748,1775045249302626748,1775045249312658329,0.000000,10.031581,10.031581,200
1775045249328882978,1775045249328882978,1775045249341740958,0.000000,12.857980,12.857980,200
1775045249365528063,1775045249365528063,1775045249380003093,0.000000,14.475030,14.475030,200
1775045249396762014,1775045249396762014,1775045249407018355,0.000000,10.256341,10.256341,200
1775045249425375293,1775045249425375293,1775045249437788762,0.000000,12.413469,12.413469,200
1775045249452663070,1775045249452663070,1775045249464593318,0.000000,11.930248,11.930248,200
1775045249480840920,1775045249480840920,1775045249494913922,0.000000,14.073002,14.073002,200
1775045249514450457,1775045249514450457,1775045249522281033,0.000000,7.830576,7.830576,200
1775045249540246192,1775045249540246192,1775045249553417654,0.000000,13.171462,13.171462,200
1775045249568511377,1775045249568511377,1775045249575428014,0.000000,6.916637,6.916637,200
1775045249616070791,1775045249616070791,1775045249620984667,0.000000,4.913876,4.913876,200
1775045249644441563,1775045249644441563,1775045249653599541,0.000000,9.157978,9.157978,200
1775045249682104786,1775045249682104786,1775045249690428331,0.000000,8.323545,8.323545,200
1775045249711996921,1775045249711996921,1775045249726483630,0.000000,14.486709,14.486709,200
1775045249742061257,1775045249742061257,1775045249755629696,0.000000,13.568439,13.568439,200
1775045249773329177,1775045249773329177,1775045249780907560,0.000000,7.578383,7.578383,200
1775045249801871893,1775045249801871893,1775045249816230808,0.000000,14.358915,14.358915,200
1775045249837463679,1775045249837463679,1775045249845567780,0.000000,8.104101,8.104101,200
1775045249867106274,1775045249867106274,1775045249877864191,0.000000,10.757917,10.757917,200
1775045249915088302,1775045249915088302,1775045249925177060,0.000000,10.088758,10.088758,200
1775045249951831491,1775045249951831491,1775045249963278170,0.000000,11.446679,11.446679,200
1775045249992909380,1775045249992909380,1775045250007141301,0.000000,14.231921,14.231921,200
1775045250019232223,1775045250019232223,1775045250032692614,0.000000,13.460391,13.460391,200
1775045250070612942,1775045250070612942,1775045250082924275,0.000000,12.311333,12.311333,200
1775045250117488326,1775045250117488326,1775045250130996817,0.000000,13.508491,13.508491,200
1775045250146826389,1775045250146826389,1775045250159637253,0.000000,12.810864,12.810864,200
