arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045248620591130,1775045248620591130,1775045248628572999,0.000000,7.981869,7.981869,200
1775045248651748047,1775045248651748047,1775045248658444467,0.000000,6.696420,6.696420,200
1775045248678995964,1775045248678995964,1775045248685349776,0.000000,6.353812,6.353812,200
1775045248704606355,1775045248704606355,1775045248711704483,0.000000,7.098128,7.098128,200
1775045248731995707,1775045248731995707,1775045248739095137,0.000000,7.099430,7.099430,200
1775045248760901884,1775045248760901884,1775045248767996384,0.000000,7.094500,7.094500,200
1775045248788174481,1775045248788174481,1775045248794826824,0.000000,6.652343,6.652343,200
1775045248815264837,1775045248815264837,1775045248824276058,0.000000,9.011221,9.011221,200
1775045248848311135,1775045248848311135,1775045248857595668,0.000000,9.284533,9.284533,200
1775045248880999664,1775045248880999664,1775045248889628597,0.000000,8.628933,8.628933,200
1775045248925110313,1775045248925110313,1775045248931578961,0.000000,6.468648,6.468648,200
1775045248952969711,1775045248952969711,1775045248959856760,0.000000,6.887049,6.887049,200
1775045248980074669,1775045248980074669,1775045248987906441,0.000000,7.831772,7.831772,200
1775045249013993097,1775045249013993097,1775045249022658422,0.000000,8.665325,8.665325,200
1775045249045729176,1775045249045729176,1775045249054834644,0.000000,9.105468,9.105468,200
1775045249078672890,1775045249078672890,1775045249087221824,0.000000,8.548934,8.548934,200
1775045249124111041,1775045249124111041,1775045249131444475,0.000000,7.333434,7.333434,200
1775045249163969761,1775045249163969761,1775045249170594780,0.000000,6.625019,6.625019,200
1775045249191970272,1775045249191970272,1775045249198421355,0.000000,6.451083,6.451083,200
1775045249219112290,1775045249219112290,1775045249225570719,0.000000,6.458429,6.458429,200
1775045249246280869,1775045249246280869,1775045249254116569,0.000000,7.835700,7.835700,200
1775045249275549864,1775045249275549864,1775045249281952381,0.000000,6.402517,6.402517,200
1775045249302626748,1775045249302626748,1775045249309097020,0.000000,6.470272,6.470272,200
1775045249328882978,1775045249328882978,1775045249336696454,0.000000,7.813476,7.813476,200
1775045249365528063,1775045249365528063,1775045249374194020,0.000000,8.665957,8.665957,200
1775045249396762014,1775045249396762014,1775045249403169721,0.000000,6.407707,6.407707,200
1775045249425375293,1775045249425375293,1775045249431658464,0.000000,6.283171,6.283171,200
1775045249452663070,1775045249452663070,1775045249458971311,0.000000,6.308241,6.308241,200
1775045249480840920,1775045249480840920,1775045249487963325,0.000000,7.122405,7.122405,200
1775045249514450457,1775045249514450457,1775045249520758808,0.000000,6.308351,6.308351,200
1775045249540246192,1775045249540246192,1775045249547634836,0.000000,7.388644,7.388644,200
1775045249568511377,1775045249568511377,1775045249576012954,0.000000,7.501577,7.501577,200
1775045249616070791,1775045249616070791,1775045249622647705,0.000000,6.576914,6.576914,200
1775045249644441563,1775045249644441563,1775045249651313181,0.000000,6.871618,6.871618,200
1775045249682104786,1775045249682104786,1775045249689657705,0.000000,7.552919,7.552919,200
1775045249711996921,1775045249711996921,1775045249719481474,0.000000,7.484553,7.484553,200
1775045249742061257,1775045249742061257,1775045249749482014,0.000000,7.420757,7.420757,200
1775045249773329177,1775045249773329177,1775045249780066007,0.000000,6.736830,6.736830,200
1775045249801871893,1775045249801871893,1775045249809876949,0.000000,8.005056,8.005056,200
1775045249837463679,1775045249837463679,1775045249845351352,0.000000,7.887673,7.887673,200
1775045249867106274,1775045249867106274,1775045249873961339,0.000000,6.855065,6.855065,200
1775045249915088302,1775045249915088302,1775045249925060152,0.000000,9.971850,9.971850,200
1775045249951831491,1775045249951831491,1775045249958318897,0.000000,6.487406,6.487406,200
1775045249992909380,1775045249992909380,1775045249999446956,0.000000,6.537576,6.537576,200
1775045250019232223,1775045250019232223,1775045250025910036,0.000000,6.677813,6.677813,200
1775045250070612942,1775045250070612942,1775045250077882550,0.000000,7.269608,7.269608,200
1775045250117488326,1775045250117488326,1775045250124224635,0.000000,6.736309,6.736309,200
1775045250146826389,1775045250146826389,1775045250154975740,0.000000,8.149351,8.149351,200
1775045250177903872,1775045250177903872,1775045250185614554,0.000000,7.710682,7.710682,200
1775045250227583067,1775045250227583067,1775045250234820179,0.000000,7.237112,7.237112,200
1775045250261241425,1775045250261241425,1775045250278264048,0.000000,17.022623,17.022623,200
1775045250307541882,1775045250307541882,1775045250323780377,0.000000,16.238495,16.238495,200
1775045250358875173,1775045250358875173,1775045250367539305,0.000000,8.664132,8.664132,200
1775045250392527706,1775045250392527706,1775045250401671991,0.000000,9.144285,9.144285,200
1775045250436748324,1775045250436748324,1775045250444510759,0.000000,7.762435,7.762435,200
1775045250472666746,1775045250472666746,1775045250481712025,0.000000,9.045279,9.045279,200
1775045250524497861,1775045250524497861,1775045250533867763,0.000000,9.369902,9.369902,200
1775045250572022141,1775045250572022141,1775045250581137018,0.000000,9.114877,9.114877,200
1775045250620907161,1775045250620907161,1775045250630198438,0.000000,9.291277,9.291277,200
1775045250661979291,1775045250661979291,1775045250669569955,0.000000,7.590664,7.590664,200
1775045250707969273,1775045250707969273,1775045250715417515,0.000000,7.448242,7.448242,200
1775045250738414512,1775045250738414512,1775045250746711006,0.000000,8.296494,8.296494,200
1775045250776176392,1775045250776176392,1775045250784528126,0.000000,8.351734,8.351734,200
1775045250809630528,1775045250809630528,1775045250819544259,0.000000,9.913731,9.913731,200
1775045250844379503,1775045250844379503,1775045250853600922,0.000000,9.221419,9.221419,200
1775045250877583625,1775045250877583625,1775045250885523070,0.000000,7.939445,7.939445,200
1775045250909125177,1775045250909125177,1775045250916247318,0.000000,7.122141,7.122141,200
1775045250940508707,1775045250940508707,1775045250947333592,0.000000,6.824885,6.824885,200
1775045250975132293,1775045250975132293,1775045250982395888,0.000000,7.263595,7.263595,200
1775045251014261351,1775045251014261351,1775045251022227499,0.000000,7.966148,7.966148,200
1775045251044382558,1775045251044382558,1775045251052433575,0.000000,8.051017,8.051017,200
1775045251093674634,1775045251093674634,1775045251102634683,0.000000,8.960049,8.960049,200
1775045251128339851,1775045251128339851,1775045251135054007,0.000000,6.714156,6.714156,200
1775045251156544675,1775045251156544675,1775045251164085610,0.000000,7.540935,7.540935,200
1775045251202480067,1775045251202480067,1775045251209547132,0.000000,7.067065,7.067065,200
1775045251250172190,1775045251250172190,1775045251256486814,0.000000,6.314624,6.314624,200
1775045251278500127,1775045251278500127,1775045251286218805,0.000000,7.718678,7.718678,200
1775045251306969533,1775045251306969533,1775045251315177771,0.000000,8.208238,8.208238,200
1775045251336749728,1775045251336749728,1775045251346282153,0.000000,9.532425,9.532425,200
1775045251368006911,1775045251368006911,1775045251375988460,0.000000,7.981549,7.981549,200
