arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045400089813261,1775045400089813261,1775045400099615803,0.000000,9.802542,9.802542,200
1775045400089892656,1775045400089892656,1775045400105452742,0.000000,15.560086,15.560086,200
1775045400100855271,1775045400100855271,1775045400110186214,0.000000,9.330943,9.330943,200
1775045400120211669,1775045400120211669,1775045400136979127,0.000000,16.767458,16.767458,200
1775045400122231437,1775045400122231437,1775045400130532008,0.000000,8.300571,8.300571,200
1775045400122816068,1775045400122816068,1775045400147137179,0.000000,24.321111,24.321111,200
1775045400155882354,1775045400155882354,1775045400170278341,0.000000,14.395987,14.395987,200
1775045400160899778,1775045400160899778,1775045400174126378,0.000000,13.226600,13.226600,200
1775045400167085245,1775045400167085245,1775045400176503623,0.000000,9.418378,9.418378,200
1775045400174572588,1775045400174572588,1775045400190181424,0.000000,15.608836,15.608836,200
1775045400176579252,1775045400176579252,1775045400186386912,0.000000,9.807660,9.807660,200
1775045400203127526,1775045400203127526,1775045400223033975,0.000000,19.906449,19.906449,200
1775045400203201753,1775045400203201753,1775045400219765271,0.000000,16.563518,16.563518,200
1775045400209202059,1775045400209202059,1775045400221971043,0.000000,12.768984,12.768984,200
1775045400222000165,1775045400222000165,1775045400230192893,0.000000,8.192728,8.192728,200
1775045400222046697,1775045400222046697,1775045400231629975,0.000000,9.583278,9.583278,200
1775045400222438413,1775045400223033975,1775045400248491580,0.595562,25.457605,26.053167,200
1775045400255601055,1775045400255601055,1775045400264623349,0.000000,9.022294,9.022294,200
1775045400259160332,1775045400259160332,1775045400272858623,0.000000,13.698291,13.698291,200
1775045400259488983,1775045400259488983,1775045400279619777,0.000000,20.130794,20.130794,200
1775045400274782486,1775045400274782486,1775045400284300723,0.000000,9.518237,9.518237,200
1775045400275189959,1775045400275189959,1775045400284183346,0.000000,8.993387,8.993387,200
1775045400280512885,1775045400280512885,1775045400303422381,0.000000,22.909496,22.909496,200
1775045400308898627,1775045400308898627,1775045400316108283,0.000000,7.209656,7.209656,200
1775045400309027484,1775045400309027484,1775045400318514201,0.000000,9.486717,9.486717,200
1775045400317180475,1775045400317180475,1775045400334914680,0.000000,17.734205,17.734205,200
1775045400343640911,1775045400343640911,1775045400352657244,0.000000,9.016333,9.016333,200
1775045400349153970,1775045400349153970,1775045400358529165,0.000000,9.375195,9.375195,200
1775045400349184016,1775045400349184016,1775045400360157947,0.000000,10.973931,10.973931,200
1775045400366419509,1775045400366419509,1775045400376915098,0.000000,10.495589,10.495589,200
1775045400366429063,1775045400366429063,1775045400376913830,0.000000,10.484767,10.484767,200
1775045400373927371,1775045400373927371,1775045400389102427,0.000000,15.175056,15.175056,200
1775045400410056314,1775045400410056314,1775045400418338687,0.000000,8.282373,8.282373,200
1775045400410167694,1775045400410167694,1775045400422828043,0.000000,12.660349,12.660349,200
1775045400417171990,1775045400417171990,1775045400442540244,0.000000,25.368254,25.368254,200
1775045400447803084,1775045400447803084,1775045400465436394,0.000000,17.633310,17.633310,200
1775045400448140012,1775045400448140012,1775045400457585963,0.000000,9.445951,9.445951,200
1775045400452867162,1775045400452867162,1775045400476682019,0.000000,23.814857,23.814857,200
1775045400487800160,1775045400487800160,1775045400496401020,0.000000,8.600860,8.600860,200
1775045400492844064,1775045400492844064,1775045400501152789,0.000000,8.308725,8.308725,200
1775045400492916136,1775045400492916136,1775045400503385313,0.000000,10.469177,10.469177,200
1775045400509424743,1775045400509424743,1775045400521062230,0.000000,11.637487,11.637487,200
1775045400509428458,1775045400509428458,1775045400518092912,0.000000,8.664454,8.664454,200
1775045400517420451,1775045400517420451,1775045400531043673,0.000000,13.623222,13.623222,200
1775045400545029065,1775045400545029065,1775045400554486073,0.000000,9.457008,9.457008,200
1775045400545141459,1775045400545141459,1775045400553871564,0.000000,8.730105,8.730105,200
1775045400545727777,1775045400545727777,1775045400554856376,0.000000,9.128599,9.128599,200
1775045400583866856,1775045400583866856,1775045400601103343,0.000000,17.236487,17.236487,200
1775045400584026552,1775045400584026552,1775045400591594755,0.000000,7.568203,7.568203,200
1775045400593855389,1775045400593855389,1775045400606593257,0.000000,12.737868,12.737868,200
1775045400602282385,1775045400602282385,1775045400621039440,0.000000,18.757055,18.757055,200
1775045400602313603,1775045400602313603,1775045400609822763,0.000000,7.509160,7.509160,200
1775045400620481464,1775045400620481464,1775045400636455989,0.000000,15.974525,15.974525,200
1775045400620834910,1775045400620834910,1775045400630466444,0.000000,9.631534,9.631534,200
1775045400624923146,1775045400624923146,1775045400636261968,0.000000,11.338822,11.338822,200
1775045400657030749,1775045400657030749,1775045400667307287,0.000000,10.276538,10.276538,200
1775045400657168913,1775045400657168913,1775045400666748472,0.000000,9.579559,9.579559,200
1775045400660767747,1775045400660767747,1775045400703813109,0.000000,43.045362,43.045362,200
1775045400681864560,1775045400681864560,1775045400692357671,0.000000,10.493111,10.493111,200
1775045400682114722,1775045400682114722,1775045400693989771,0.000000,11.875049,11.875049,200
1775045400703513874,1775045400703513874,1775045400712750549,0.000000,9.236675,9.236675,200
1775045400709029372,1775045400709029372,1775045400717722601,0.000000,8.693229,8.693229,200
1775045400710773178,1775045400710773178,1775045400720013181,0.000000,9.240003,9.240003,200
1775045400757692311,1775045400757692311,1775045400768302134,0.000000,10.609823,10.609823,200
1775045400768448966,1775045400768448966,1775045400784661800,0.000000,16.212834,16.212834,200
1775045400773524204,1775045400773524204,1775045400785846380,0.000000,12.322176,12.322176,200
1775045400805215833,1775045400805215833,1775045400817011028,0.000000,11.795195,11.795195,200
1775045400805316209,1775045400805316209,1775045400824900987,0.000000,19.584778,19.584778,200
1775045400809203459,1775045400809203459,1775045400818790456,0.000000,9.586997,9.586997,200
1775045400846862921,1775045400846862921,1775045400855555469,0.000000,8.692548,8.692548,200
1775045400852814413,1775045400852814413,1775045400868307813,0.000000,15.493400,15.493400,200
1775045400852948013,1775045400852948013,1775045400860369169,0.000000,7.421156,7.421156,200
1775045400868775245,1775045400868775245,1775045400876728625,0.000000,7.953380,7.953380,200
1775045400868932024,1775045400868932024,1775045400882280902,0.000000,13.348878,13.348878,200
1775045400873075846,1775045400873075846,1775045400885337151,0.000000,12.261305,12.261305,200
