arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775044924150283283,87.737528,48.568947,136.306475,200
1775044924369744878,11.413398,0.181264,11.594662,200
1775044924513132689,52.288008,9.597003,61.885011,200
1775044924656116096,6.852497,0.187707,7.040204,200
1775044924726345106,9.267272,0.258829,9.526101,200
1775044924896553196,33.897577,3.744852,37.642429,200
1775044925008090019,7.531230,0.142035,7.673265,200
1775044925074717216,7.043890,0.182546,7.226436,200
1775044925142100222,7.036296,0.129711,7.166007,200
1775044925258656853,7.473303,0.146053,7.619356,200
1775044925324621723,6.533948,0.126835,6.660783,200
1775044925389278365,6.501273,0.426526,6.927799,200
1775044925464619251,6.819831,0.126163,6.945994,200
1775044925528328221,7.105494,0.114690,7.220184,200
1775044925594292996,8.624478,0.283248,8.907726,200
1775044925661846259,7.251317,0.113819,7.365136,200
1775044925739476336,7.804607,0.150082,7.954689,200
1775044925805264870,6.820953,0.202977,7.023930,200
1775044925870858837,6.585897,0.164670,6.750567,200
1775044925933561844,6.332264,0.142425,6.474689,200
1775044925996768927,6.528617,0.552699,7.081316,200
1775044926061265002,6.328527,0.116183,6.444710,200
1775044926127331041,6.417134,0.113628,6.530762,200
1775044926223515706,7.408232,0.143819,7.552051,200
1775044926310954041,6.350881,0.145833,6.496714,200
1775044926374725222,6.386764,0.123648,6.510412,200
1775044926437963478,6.600452,0.173748,6.774200,200
1775044926501469314,6.588999,0.112115,6.701114,200
1775044926565189172,6.631414,0.122536,6.753950,200
1775044926629648858,8.038686,0.153999,8.192685,200
1775044926719330924,8.269504,0.196644,8.466148,200
1775044926787111592,6.561483,0.123758,6.685241,200
1775044926853363970,6.770102,0.120823,6.890925,200
1775044926917072504,6.721846,0.117896,6.839742,200
1775044926981463021,7.412171,0.188257,7.600428,200
1775044927047810617,6.585245,0.228037,6.813282,200
1775044927110522457,6.387804,0.119229,6.507033,200
1775044927236125007,8.624773,0.149059,8.773832,200
1775044927305174611,7.374665,0.169140,7.543805,200
1775044927372231789,8.084239,0.183869,8.268108,200
1775044927438697477,6.527325,0.166143,6.693468,200
1775044927503626808,7.030258,0.115151,7.145409,200
1775044927588454610,7.867605,0.218657,8.086262,200
1775044927665386847,10.035392,0.162956,10.198348,200
1775044927735109638,8.723393,0.135812,8.859205,200
1775044927800938287,6.546791,0.113627,6.660418,200
1775044927865551801,8.120741,0.146864,8.267605,200
1775044927934792698,7.728364,0.155852,7.884216,200
1775044928020939155,6.938204,0.165732,7.103936,200
1775044928086119919,6.303033,0.105411,6.408444,200
1775044928219126514,7.327012,0.258628,7.585640,200
1775044928283703281,6.663765,0.116494,6.780259,200
1775044928346819768,6.394827,0.183938,6.578765,200
1775044928411793953,7.723155,0.159810,7.882965,200
1775044928477619567,6.824466,0.111123,6.935589,200
1775044928542814330,8.717725,0.109018,8.826743,200
1775044928608876583,6.560719,0.110831,6.671550,200
1775044928672623565,7.811211,0.173717,7.984928,200
1775044928742283731,8.805220,0.183016,8.988236,200
1775044928809396834,6.568354,0.110320,6.678674,200
1775044928890705127,6.518223,0.110601,6.628824,200
1775044929060524591,7.871883,0.493506,8.365389,200
1775044929061491843,8.865550,32.117092,40.982642,200
1775044929151852574,9.319880,0.152315,9.472195,200
1775044929242917633,6.637413,38.799988,45.437401,200
1775044929374744837,6.727091,0.744130,7.471221,200
1775044929373980817,10.465121,16.252764,26.717885,200
1775044929389653064,7.497573,0.591434,8.089007,200
1775044929435518834,7.674486,1.106272,8.780758,200
1775044929437006130,8.575450,15.145799,23.721249,200
1775044929452688222,6.867202,29.153357,36.020559,200
1775044929607118164,8.366071,76.074512,84.440583,200
1775044929683686156,8.517996,0.740643,9.258639,200
1775044929701279803,16.449523,0.176173,16.625696,200
1775044929708147836,18.041900,0.153778,18.195678,200
1775044929700274477,12.518360,17.003199,29.521559,200
