arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775044824953239491,0.553308,0.060631,0.613939,200
1775044824994778459,0.593047,0.166611,0.759658,200
1775044825004941492,0.497578,0.103215,0.600793,200
1775044824997901697,0.447448,0.060571,0.508019,200
1775044825023767443,0.533499,0.077644,0.611143,200
1775044825033340036,0.623117,0.086392,0.709509,200
1775044825026561200,0.459092,0.060420,0.519512,200
1775044825072328461,0.518910,0.124648,0.643558,200
1775044825082346176,0.495093,0.163355,0.658448,200
1775044825086793933,0.450916,0.103225,0.554141,200
1775044825134488017,0.464743,0.109848,0.574591,200
1775044825144180816,0.426016,0.068205,0.494221,200
1775044825136716954,0.541745,0.083185,0.624930,200
1775044825162564171,0.479112,0.063746,0.542858,200
1775044825172133155,0.442939,0.065150,0.508089,200
1775044825165071956,0.453942,0.060299,0.514241,200
1775044825191391137,0.473280,0.061502,0.534782,200
1775044825201170818,0.440124,0.066001,0.506125,200
1775044825194862947,0.675381,0.102955,0.778336,200
1775044825222782733,0.692615,0.087965,0.780580,200
1775044825234201781,0.699750,0.085259,0.785009,200
1775044825231455663,0.681313,0.079788,0.761101,200
1775044825259820450,0.710581,0.082303,0.792884,200
1775044825271634231,0.713076,0.082614,0.795690,200
1775044825267392184,0.680280,0.086332,0.766612,200
1775044825297610291,0.719979,0.091422,0.811401,200
1775044825309827152,0.734118,0.086141,0.820259,200
1775044825306471666,0.785099,0.087594,0.872693,200
1775044825333726177,0.865969,0.106311,0.972280,200
1775044825366054539,0.707565,0.104698,0.812263,200
1775044825407622968,0.817533,0.154637,0.972170,200
1775044825436757994,0.544742,0.090840,0.635582,200
1775044825447309356,0.465735,0.074288,0.540023,200
1775044825440544179,0.444673,0.059679,0.504352,200
1775044825477192926,0.826992,0.128325,0.955317,200
1775044825487817015,0.729779,0.092534,0.822313,200
1775044825482509683,0.478270,0.063396,0.541666,200
1775044825508812401,0.487989,0.099468,0.587457,200
1775044825518256928,0.700110,0.293793,0.993903,200
1775044825512205363,0.446787,0.061402,0.508189,200
1775044825538541431,0.497577,0.093246,0.590823,200
1775044825565914651,0.614229,0.163244,0.777473,200
1775044825559100761,0.561976,0.095610,0.657586,200
1775044825585061471,0.610903,0.103756,0.714659,200
1775044825595207304,0.493641,0.087243,0.580884,200
1775044825588587642,0.625953,0.079648,0.705601,200
1775044825614785217,0.445474,0.082745,0.528219,200
1775044825644037545,0.715070,0.190418,0.905488,200
1775044825658353290,0.525734,0.129447,0.655181,200
1775044825685076160,0.501185,0.116371,0.617556,200
1775044825696914962,0.861711,0.126260,0.987971,200
1775044825698727293,0.723206,0.107713,0.830919,200
1775044825737948848,0.806742,0.893634,1.700376,200
1775044825749407720,0.463149,0.083957,0.547106,200
1775044825752022118,0.793014,0.139487,0.932501,200
1775044825799434832,0.798235,0.157533,0.955768,200
1775044825809772212,0.676924,0.129657,0.806581,200
1775044825814234597,0.456255,0.108967,0.565222,200
1775044825840493527,0.514051,0.086452,0.600503,200
1775044825852451169,0.727975,0.140229,0.868204,200
1775044825846191890,0.688758,0.093696,0.782454,200
1775044825874815051,0.511185,0.087844,0.599029,200
1775044825886032855,0.981569,0.122483,1.104052,200
1775044825880298015,0.548499,0.073295,0.621794,200
1775044825907733600,0.470604,0.089739,0.560343,200
1775044825919547982,0.794848,0.164978,0.959826,200
1775044825914948432,0.696954,0.124647,0.821601,200
1775044825944882067,0.699108,0.109167,0.808275,200
1775044825958315173,0.695711,0.228945,0.924656,200
1775044825953987436,0.642836,0.109117,0.751953,200
1775044825984321903,0.831150,0.149427,0.980577,200
1775044826006250302,0.816591,0.133505,0.950096,200
1775044826001418205,0.824917,0.119728,0.944645,200
1775044826029836878,0.662035,0.140388,0.802423,200
1775044826040779644,0.774307,0.183274,0.957581,200
1775044826050054333,0.491185,0.118175,0.609360,200
1775044826076408608,0.545773,0.113546,0.659319,200
1775044826098598206,0.523029,0.168043,0.691072,200
1775044826113005861,0.631334,0.151661,0.782995,200
1775044826139618570,0.567637,0.114998,0.682635,200
1775044826150534734,0.512658,0.138555,0.651213,200
1775044826144465824,0.733777,0.129928,0.863705,200
1775044826191234801,0.460775,0.145028,0.605803,200
1775044826222236940,0.468860,0.217643,0.686503,200
1775044826215009847,0.480203,0.100980,0.581183,200
1775044826253659874,0.658387,0.138184,0.796571,200
1775044826264397649,0.474723,0.086521,0.561244,200
1775044826257791517,0.467208,0.094327,0.561535,200
1775044826284206352,0.500523,0.081923,0.582446,200
1775044826294028771,0.555182,0.093476,0.648658,200
1775044826286904098,0.488009,0.126321,0.614330,200
1775044826312723701,0.489932,0.079679,0.569611,200
1775044826330230325,0.650131,0.139226,0.789357,200
1775044826344989406,1.081508,0.170799,1.252307,200
1775044826372568625,0.738146,0.115800,0.853946,200
1775044826383133633,0.488319,0.081131,0.569450,200
1775044826375621052,0.617305,0.079819,0.697124,200
1775044826424842712,0.489943,0.141561,0.631504,200
1775044826455804721,0.492779,0.125459,0.618238,200
1775044826448518600,0.584089,0.080640,0.664729,200
1775044826476184701,0.696402,0.103285,0.799687,200
1775044826487651339,0.628568,0.112974,0.741542,200
1775044826482610486,0.723336,0.137643,0.860979,200
1775044826512670982,0.705461,0.092293,0.797754,200
1775044826525243690,0.650742,0.124247,0.774989,200
1775044826531350771,0.490504,0.120229,0.610733,200
1775044826558006545,0.989304,0.112904,1.102208,200
1775044826570059277,0.874967,0.114698,0.989665,200
1775044826563624379,0.684599,0.108015,0.792614,200
1775044826590826817,0.803114,0.131972,0.935086,200
1775044826603531248,0.617296,0.103465,0.720761,200
1775044826596845438,0.471376,0.080019,0.551395,200
1775044826622871358,0.492548,0.094668,0.587216,200
1775044826633108452,0.484632,0.113475,0.598107,200
1775044826639736707,0.522267,0.157623,0.679890,200
1775044826666612388,0.590903,0.098566,0.689469,200
1775044826687515661,0.580252,0.148846,0.729098,200
1775044826681007549,0.479171,0.079719,0.558890,200
1775044826718189703,0.572486,0.213414,0.785900,200
1775044826729424203,0.445314,0.095740,0.541054,200
1775044826723675873,0.618899,0.106521,0.725420,200
1775044826751806418,0.752875,0.112143,0.865018,200
1775044826762786683,0.478370,0.085790,0.564160,200
1775044826763524913,0.491075,0.137433,0.628508,200
1775044826789566154,0.490183,0.082143,0.572326,200
1775044826799517993,0.464933,0.084878,0.549811,200
1775044826792116158,0.477629,0.080810,0.558439,200
1775044826818352579,0.744769,0.120399,0.865168,200
1775044826842483468,0.761392,0.203895,0.965287,200
1775044826836584833,0.604380,0.112874,0.717254,200
1775044826863263147,0.471155,0.082133,0.553288,200
1775044826889518355,0.603638,0.179276,0.782914,200
1775044826882458483,0.529982,0.079127,0.609109,200
1775044826908785139,0.490273,0.079468,0.569741,200
1775044826918324147,0.526175,0.184035,0.710210,200
1775044826911158251,0.664860,0.085710,0.750570,200
1775044826937497016,0.467138,0.086782,0.553920,200
1775044826947405594,0.461546,0.089348,0.550894,200
1775044826941061603,0.692735,0.172803,0.865538,200
1775044826968011091,0.736943,0.103316,0.840259,200
1775044826997387311,0.493099,0.123415,0.616514,200
1775044826989916934,0.562737,0.134187,0.696924,200
1775044827016375115,0.563058,0.079648,0.642706,200
1775044827025789386,0.493971,0.083666,0.577637,200
1775044827027536277,0.582607,0.138084,0.720691,200
1775044827054058866,0.580733,0.111331,0.692064,200
1775044827075130501,0.557166,0.134768,0.691934,200
1775044827089983326,0.710130,0.150569,0.860699,200
1775044827137136364,0.506375,0.133105,0.639480,200
1775044827146736148,0.645081,0.194105,0.839186,200
1775044827140992002,0.733566,0.112915,0.846481,200
1775044827168542302,0.735019,0.143615,0.878634,200
1775044827179309184,0.510363,0.103566,0.613929,200
1775044827181777701,0.504942,0.157683,0.662625,200
1775044827208373273,0.440214,0.088095,0.528309,200
1775044827218560486,0.662786,0.126732,0.789518,200
1775044827212038022,0.482598,0.093927,0.576525,200
1775044827259801995,0.860919,0.202542,1.063461,200
1775044827270877911,0.481877,0.122634,0.604511,200
1775044827264772524,0.466707,0.086070,0.552777,200
1775044827291300465,0.543128,0.082304,0.625432,200
1775044827322563518,0.490003,0.120690,0.610693,200
1775044827315004175,0.475354,0.086472,0.561826,200
1775044827341344405,0.474642,0.085991,0.560633,200
1775044827350893189,0.476035,0.086452,0.562487,200
1775044827343826539,0.510273,0.091692,0.601965,200
1775044827370454642,0.480935,0.123185,0.604120,200
1775044827380001551,0.489512,0.086181,0.575693,200
1775044827373085677,0.584030,0.080700,0.664730,200
1775044827399983769,0.654259,0.130008,0.784267,200
1775044827429360089,0.750901,0.139307,0.890208,200
1775044827422546806,0.561916,0.079618,0.641534,200
1775044827448592071,0.483580,0.089207,0.572787,200
1775044827458162709,0.578058,0.122143,0.700201,200
1775044827451528902,0.505694,0.114057,0.619751,200
1775044827478675552,0.525153,0.102974,0.628127,200
1775044827507330727,0.495784,0.121562,0.617346,200
1775044827500468891,0.706343,0.153394,0.859737,200
1775044827530367453,0.604741,0.111712,0.716453,200
1775044827541259301,0.523299,0.122914,0.646213,200
1775044827534923246,0.816781,0.127323,0.944104,200
1775044827564231200,0.612336,0.169767,0.782103,200
1775044827575408906,0.773526,0.124076,0.897602,200
1775044827569138841,0.711092,0.104378,0.815470,200
1775044827615839414,0.540874,0.141701,0.682575,200
1775044827626908438,0.529982,0.126902,0.656884,200
1775044827620435220,0.579009,0.119698,0.698707,200
1775044827648473480,0.726032,0.108325,0.834357,200
1775044827658963950,0.819387,0.113606,0.932993,200
1775044827653050954,0.590162,0.083856,0.674018,200
1775044827680983436,0.740380,0.122974,0.863354,200
1775044827709240976,0.676803,0.183625,0.860428,200
1775044827705381634,0.832844,0.126531,0.959375,200
1775044827736080760,0.815460,0.126300,0.941760,200
1775044827754462392,0.780079,0.120469,0.900548,200
1775044827752621732,1.401137,0.239627,1.640764,200
1775044827784390304,0.740190,0.117123,0.857313,200
1775044827801323349,0.798746,0.144416,0.943162,200
1775044827798777894,0.572116,0.154987,0.727103,200
1775044827833080266,2.565164,0.614063,3.179227,200
1775044827848540059,0.709719,0.124357,0.834076,200
1775044827844168626,0.725009,0.125379,0.850388,200
1775044827889739143,0.800520,0.147823,0.948343,200
1775044827902924927,0.758035,0.123465,0.881500,200
1775044827898377335,0.689649,0.107714,0.797363,200
1775044827925446165,0.478550,0.080009,0.558559,200
1775044827937007648,0.642737,0.109046,0.751783,200
1775044827931329631,0.555903,0.080029,0.635932,200
1775044827958616326,0.479822,0.094277,0.574099,200
1775044827968686111,0.565924,0.141741,0.707665,200
1775044827963468181,0.499081,0.115179,0.614260,200
1775044827991318202,0.708477,0.124768,0.833245,200
1775044828018056729,0.677785,0.124497,0.802282,200
1775044828012749614,0.846000,0.128475,0.974475,200
1775044828043014696,0.627736,0.094137,0.721873,200
1775044828053893060,0.762905,0.126942,0.889847,200
1775044828063350992,0.788706,0.243934,1.032640,200
1775044828111352667,0.828275,0.235537,1.063812,200
1775044828122876516,0.518840,0.106913,0.625753,200
1775044828125132309,0.670411,0.149036,0.819447,200
1775044828152054993,0.660622,0.098185,0.758807,200
1775044828162768370,0.551836,0.120168,0.672004,200
1775044828156097199,0.621043,0.135509,0.756552,200
1775044828185256491,1.022460,0.151140,1.173600,200
1775044828197481951,0.762534,0.136471,0.899005,200
1775044828191778834,0.682054,0.100580,0.782634,200
1775044828220359896,0.575703,0.092754,0.668457,200
1775044828231287100,0.518420,0.110950,0.629370,200
1775044828224336191,0.475214,0.084758,0.559972,200
1775044828251734491,0.785751,0.112974,0.898725,200
1775044828263072617,0.536826,0.115319,0.652145,200
1775044828256919364,0.539291,0.102153,0.641444,200
1775044828295615724,0.494562,0.118476,0.613038,200
1775044828305164788,0.465024,0.084668,0.549692,200
1775044828298483347,0.576605,0.113315,0.689920,200
1775044828324866535,0.541204,0.094879,0.636083,200
1775044828334529946,0.474783,0.111050,0.585833,200
1775044828327411126,0.497839,0.105870,0.603709,200
1775044828353740299,0.535934,0.095760,0.631694,200
1775044828365054300,0.743206,0.120900,0.864106,200
1775044828394854534,0.729889,0.233434,0.963323,200
1775044828421855503,0.612776,0.126281,0.739057,200
1775044828432136688,0.525814,0.107594,0.633408,200
1775044828425878089,0.563699,0.083967,0.647666,200
1775044828468495185,0.726993,0.139297,0.866290,200
1775044828478963253,0.479201,0.128996,0.608197,200
1775044828482884664,0.544441,0.169236,0.713677,200
1775044828509684324,0.656704,0.120279,0.776983,200
1775044828520357641,0.661013,0.124397,0.785410,200
1775044828515597925,0.561355,0.097613,0.658968,200
1775044828543517508,0.849136,0.105619,0.954755,200
1775044828558334241,0.722625,0.181761,0.904386,200
1775044828553461609,0.774327,0.105961,0.880288,200
1775044828583191139,0.790259,0.145659,0.935918,200
1775044828608960875,0.537708,0.148264,0.685972,200
1775044828623789121,0.494402,0.120279,0.614681,200
1775044828671228043,0.581595,0.185167,0.766762,200
1775044828701989764,0.867923,0.240237,1.108160,200
1775044828696840263,0.600803,0.112303,0.713106,200
1775044828733306465,0.852122,0.191951,1.044073,200
1775044828745487644,0.895257,0.157563,1.052820,200
1775044828747567693,0.669178,0.158465,0.827643,200
1775044828795341185,0.511996,0.126231,0.638227,200
1775044828805525628,0.864807,0.159497,1.024304,200
1775044828810587597,0.579000,0.195888,0.774888,200
1775044828858007457,0.602887,0.135579,0.738466,200
1775044828868493151,0.449051,0.093165,0.542216,200
1775044828862278996,0.767775,0.119076,0.886851,200
1775044828890750114,0.699539,0.116872,0.816411,200
1775044828920841116,0.496626,0.142724,0.639350,200
1775044828934645399,0.519892,0.119517,0.639409,200
1775044828982476145,0.528960,0.142282,0.671242,200
1775044829013012560,0.484021,0.127262,0.611283,200
1775044829028060331,0.493519,0.138756,0.632275,200
1775044829053855404,0.498991,0.084969,0.583960,200
1775044829076462146,0.510613,0.133265,0.643878,200
1775044829071208371,0.676724,0.107143,0.783867,200
1775044829100171927,0.574882,0.098706,0.673588,200
1775044829112664275,0.733046,0.104547,0.837593,200
1775044829122444414,0.745801,0.168565,0.914366,200
1775044829150428256,0.601585,0.109347,0.710932,200
1775044829161793639,0.842132,0.120319,0.962451,200
