server,c,rate_rps,rho,s_eff_ms,ks_std,ks_ld,delta,improved
Apache DSP (1c),1,10,0.025,2.989,0.6317,0.6258,0.0058,True
Apache DSP (1c),1,25,0.066,3.12,0.6122,0.5898,0.0224,True
Apache DSP (1c),1,50,0.167,3.496,0.5684,0.4983,0.07,True
Apache DSP (1c),1,75,0.435,5.156,0.5269,0.2901,0.2367,True
Apache MSG (1c),1,10,0.02,2.082,0.4572,0.4392,0.018,True
Apache MSG (1c),1,25,0.053,2.154,0.4399,0.3995,0.0404,True
Apache MSG (1c),1,50,0.123,2.328,0.4555,0.365,0.0906,True
Go lognormal (1c),1,100,0.163,1.5,0.2208,0.149,0.0718,True
Go lognormal (1c),1,200,0.435,2.192,0.2378,0.155,0.0828,True
Go lognormal (1c),1,50,0.061,1.341,0.2014,0.1769,0.0245,True
Go SQLite (1c),1,10,0.113,10.786,0.54,0.54,0.0,False
Go SQLite (1c),1,25,0.266,10.786,0.2056,0.2056,0.0,False
Go SQLite (1c),1,50,0.523,10.786,0.4734,0.4734,0.0,False
Go SQLite (1c),1,75,0.803,10.786,0.7089,0.7089,0.0,False
Java DSP (1c),4,100,0.006,0.403,0.5854,0.5838,0.0016,False
Java DSP (1c),4,200,0.012,0.406,0.5866,0.5842,0.0023,False
Java DSP (1c),4,25,0.003,0.402,0.7477,0.7475,0.0002,False
Java DSP (1c),4,400,0.068,0.43,0.5904,0.5746,0.0157,True
Java DSP (1c),4,50,0.004,0.403,0.594,0.5933,0.0007,False
Java DSP (1c),4,600,0.067,0.43,0.592,0.5763,0.0157,True
Node DSP (1c),1,100,0.058,0.749,0.1811,0.137,0.0441,True
Node DSP (1c),1,200,0.236,0.902,0.7751,0.7671,0.008,True
Node DSP (1c),1,400,0.564,1.449,0.6354,0.59,0.0454,True
Node DSP (1c),1,50,0.032,0.731,0.2159,0.1923,0.0236,True
Python DSP (1c),1,10,0.085,8.186,0.5599,0.5599,0.0,False
Python DSP (1c),1,25,0.204,8.186,0.2867,0.2867,0.0,False
Python DSP (1c),1,50,0.397,8.186,0.2772,0.2772,0.0,False
Python DSP (1c),1,75,0.613,8.186,0.2984,0.2984,0.0,False
Python DSP (3c),3,100,0.389,10.86,0.2644,0.1621,0.1023,True
Python DSP (3c),3,150,0.582,11.497,0.2689,0.1237,0.1452,True
Python DSP (3c),3,200,0.794,12.288,0.2864,0.1168,0.1696,True
Python DSP (3c),3,25,0.078,9.97,0.6253,0.6182,0.007,True
Python DSP (3c),3,50,0.171,10.221,0.3194,0.3048,0.0146,True
Node DSP (3c),3,1600,0.61,1.09,0.6746,0.6737,0.0009,False
Node DSP (3c),3,200,0.071,1.067,0.7751,0.775,0.0001,False
Node DSP (3c),3,2400,0.843,1.1,0.7385,0.7375,0.001,False
Node DSP (3c),3,400,0.134,1.07,0.7702,0.7699,0.0003,False
Node DSP (3c),3,800,0.301,1.077,0.7063,0.706,0.0004,False
