arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831439748079104,1774831439748079104,1774831439750827705,0.000000,2.748601,2.748601,200
1774831439752347904,1774831439752347904,1774831439755063657,0.000000,2.715753,2.715753,200
1774831439765552896,1774831439765552896,1774831439768339345,0.000000,2.786449,2.786449,200
1774831439770190848,1774831439770190848,1774831439774103171,0.000000,3.912323,3.912323,200
1774831439778454016,1774831439778454016,1774831439781221609,0.000000,2.767593,2.767593,200
1774831439785317888,1774831439785317888,1774831439786880596,0.000000,1.562708,1.562708,200
1774831439790704896,1774831439790704896,1774831439794057985,0.000000,3.353089,3.353089,200
1774831439810700032,1774831439810700032,1774831439813310854,0.000000,2.610822,2.610822,200
1774831439820958976,1774831439820958976,1774831439823625262,0.000000,2.666286,2.666286,200
1774831439833504000,1774831439833504000,1774831439836567541,0.000000,3.063541,3.063541,200
1774831439833730048,1774831439836567541,1774831439839783568,2.837493,3.216027,6.053520,200
1774831439837854976,1774831439839783568,1774831439844526859,1.928592,4.743291,6.671883,200
1774831439857531904,1774831439857531904,1774831439861370894,0.000000,3.838990,3.838990,200
1774831439868408832,1774831439868408832,1774831439871465506,0.000000,3.056674,3.056674,200
1774831439869479936,1774831439871465506,1774831439873610505,1.985570,2.144999,4.130569,200
1774831439874274048,1774831439874274048,1774831439876185439,0.000000,1.911391,1.911391,200
1774831439874860032,1774831439876185439,1774831439879420368,1.325407,3.234929,4.560336,200
1774831439879460096,1774831439879460096,1774831439884504540,0.000000,5.044444,5.044444,200
1774831439922193152,1774831439922193152,1774831439925163260,0.000000,2.970108,2.970108,200
1774831439924644096,1774831439925163260,1774831439927955520,0.519164,2.792260,3.311424,200
1774831439931780096,1774831439931780096,1774831439935424195,0.000000,3.644099,3.644099,200
1774831439940359168,1774831439940359168,1774831439941950704,0.000000,1.591536,1.591536,200
1774831439974683136,1774831439974683136,1774831439977245457,0.000000,2.562321,2.562321,200
1774831439996236032,1774831439996236032,1774831439999817700,0.000000,3.581668,3.581668,200
1774831439997210112,1774831439999817700,1774831440004020115,2.607588,4.202415,6.810003,200
1774831440044361984,1774831440044361984,1774831440047002065,0.000000,2.640081,2.640081,200
1774831440045380096,1774831440047002065,1774831440050417686,1.621969,3.415621,5.037590,200
1774831440060084992,1774831440060084992,1774831440063322448,0.000000,3.237456,3.237456,200
1774831440071659008,1774831440071659008,1774831440075704713,0.000000,4.045705,4.045705,200
1774831440092192768,1774831440092192768,1774831440094027146,0.000000,1.834378,1.834378,200
1774831440117539840,1774831440117539840,1774831440121239825,0.000000,3.699985,3.699985,200
1774831440160495104,1774831440160495104,1774831440162046657,0.000000,1.551553,1.551553,200
1774831440191813888,1774831440191813888,1774831440192792127,0.000000,0.978239,0.978239,200
1774831440192125184,1774831440192792127,1774831440195058047,0.666943,2.265920,2.932863,200
1774831440248224000,1774831440248224000,1774831440250215880,0.000000,1.991880,1.991880,200
1774831440266146816,1774831440266146816,1774831440270353807,0.000000,4.206991,4.206991,200
1774831440301083136,1774831440301083136,1774831440304934367,0.000000,3.851231,3.851231,200
1774831440319932928,1774831440319932928,1774831440321688047,0.000000,1.755119,1.755119,200
1774831440344151040,1774831440344151040,1774831440348308035,0.000000,4.156995,4.156995,200
1774831440368647936,1774831440368647936,1774831440370569290,0.000000,1.921354,1.921354,200
1774831440395108096,1774831440395108096,1774831440397923849,0.000000,2.815753,2.815753,200
1774831440415462912,1774831440415462912,1774831440418044957,0.000000,2.582045,2.582045,200
1774831440430283008,1774831440430283008,1774831440433344677,0.000000,3.061669,3.061669,200
1774831440435223040,1774831440435223040,1774831440439330507,0.000000,4.107467,4.107467,200
1774831440455948032,1774831440455948032,1774831440459757942,0.000000,3.809910,3.809910,200
1774831440460680960,1774831440460680960,1774831440464058717,0.000000,3.377757,3.377757,200
1774831440462967040,1774831440464058717,1774831440467887008,1.091677,3.828291,4.919968,200
1774831440472040960,1774831440472040960,1774831440475604931,0.000000,3.563971,3.563971,200
1774831440476730112,1774831440476730112,1774831440478977112,0.000000,2.247000,2.247000,200
1774831440491172096,1774831440491172096,1774831440493335928,0.000000,2.163832,2.163832,200
1774831440509233920,1774831440509233920,1774831440511633069,0.000000,2.399149,2.399149,200
1774831440511130112,1774831440511633069,1774831440515228159,0.502957,3.595090,4.098047,200
1774831440512397056,1774831440515228159,1774831440517857811,2.831103,2.629652,5.460755,200
1774831440513138944,1774831440517857811,1774831440525593543,4.718867,7.735732,12.454599,200
1774831440546703104,1774831440546703104,1774831440548776841,0.000000,2.073737,2.073737,200
1774831440582987008,1774831440582987008,1774831440584832401,0.000000,1.845393,1.845393,200
1774831440583700992,1774831440584832401,1774831440588854787,1.131409,4.022386,5.153795,200
1774831440610595840,1774831440610595840,1774831440615878912,0.000000,5.283072,5.283072,200
1774831440615966976,1774831440615966976,1774831440619571629,0.000000,3.604653,3.604653,200
1774831440640787968,1774831440640787968,1774831440644924987,0.000000,4.137019,4.137019,200
1774831440655833856,1774831440655833856,1774831440661126847,0.000000,5.292991,5.292991,200
1774831440714071040,1774831440714071040,1774831440716877663,0.000000,2.806623,2.806623,200
1774831440748122880,1774831440748122880,1774831440749734858,0.000000,1.611978,1.611978,200
1774831440766816000,1774831440766816000,1774831440769153772,0.000000,2.337772,2.337772,200
1774831440810460160,1774831440810460160,1774831440814804303,0.000000,4.344143,4.344143,200
1774831440842138112,1774831440842138112,1774831440843736214,0.000000,1.598102,1.598102,200
1774831440860850944,1774831440860850944,1774831440863810999,0.000000,2.960055,2.960055,200
1774831440878371072,1774831440878371072,1774831440881615322,0.000000,3.244250,3.244250,200
1774831440880100864,1774831440881615322,1774831440884174101,1.514458,2.558779,4.073237,200
1774831440892301056,1774831440892301056,1774831440896248879,0.000000,3.947823,3.947823,200
1774831440904943104,1774831440904943104,1774831440908662483,0.000000,3.719379,3.719379,200
1774831440918906880,1774831440918906880,1774831440926596444,0.000000,7.689564,7.689564,200
1774831440939683840,1774831440939683840,1774831440943464538,0.000000,3.780698,3.780698,200
1774831440996953856,1774831440996953856,1774831440999217401,0.000000,2.263545,2.263545,200
1774831440997096960,1774831440999217401,1774831441001526360,2.120441,2.308959,4.429400,200
1774831441017585152,1774831441017585152,1774831441019648283,0.000000,2.063131,2.063131,200
1774831441018553088,1774831441019648283,1774831441023991299,1.095195,4.343016,5.438211,200
