arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774347106466908928,1774347106466908928,1774347106468971397,0.000000,2.062469,2.062469,200
1774347106470211072,1774347106470211072,1774347106471172817,0.000000,0.961745,0.961745,200
1774347106472090112,1774347106472090112,1774347106473367460,0.000000,1.277348,1.277348,200
1774347106474041088,1774347106474041088,1774347106476354633,0.000000,2.313545,2.313545,200
1774347106481780992,1774347106481780992,1774347106483553412,0.000000,1.772420,1.772420,200
1774347106483758080,1774347106483758080,1774347106495570099,0.000000,11.812019,11.812019,200
1774347106483977984,1774347106495570099,1774347106497525955,11.592115,1.955856,13.547971,200
1774347106488212224,1774347106497525955,1774347106499365151,9.313731,1.839196,11.152927,200
1774347106491777792,1774347106499365151,1774347106501522923,7.587359,2.157772,9.745131,200
1774347106495172864,1774347106501522923,1774347106502612545,6.350059,1.089622,7.439681,200
1774347106613688064,1774347106613688064,1774347106614748294,0.000000,1.060230,1.060230,200
1774347106631289856,1774347106631289856,1774347106632907446,0.000000,1.617590,1.617590,200
1774347106634507008,1774347106634507008,1774347106635733448,0.000000,1.226440,1.226440,200
1774347106635873024,1774347106635873024,1774347106637259304,0.000000,1.386280,1.386280,200
1774347106656382208,1774347106656382208,1774347106658980216,0.000000,2.598008,2.598008,200
1774347106673779968,1774347106673779968,1774347106676395048,0.000000,2.615080,2.615080,200
1774347106693989120,1774347106693989120,1774347106707031035,0.000000,13.041915,13.041915,200
1774347106746804992,1774347106746804992,1774347106748357804,0.000000,1.552812,1.552812,200
1774347106750909184,1774347106750909184,1774347106752568082,0.000000,1.658898,1.658898,200
1774347106753937920,1774347106753937920,1774347106755117285,0.000000,1.179365,1.179365,200
1774347106760164096,1774347106760164096,1774347106761246611,0.000000,1.082515,1.082515,200
1774347106765590016,1774347106765590016,1774347106767024488,0.000000,1.434472,1.434472,200
1774347106774108928,1774347106774108928,1774347106775256085,0.000000,1.147157,1.147157,200
1774347106780975104,1774347106780975104,1774347106782887565,0.000000,1.912461,1.912461,200
1774347106781441024,1774347106782887565,1774347106788367930,1.446541,5.480365,6.926906,200
1774347106784655104,1774347106788367930,1774347106789340489,3.712826,0.972559,4.685385,200
1774347106788086016,1774347106789340489,1774347106793255390,1.254473,3.914901,5.169374,200
1774347106841458176,1774347106841458176,1774347106842698295,0.000000,1.240119,1.240119,200
1774347106844145920,1774347106844145920,1774347106848242031,0.000000,4.096111,4.096111,200
1774347106847963136,1774347106848242031,1774347106849739084,0.278895,1.497053,1.775948,200
1774347106849286144,1774347106849739084,1774347106853273026,0.452940,3.533942,3.986882,200
1774347106855710976,1774347106855710976,1774347106857882985,0.000000,2.172009,2.172009,200
1774347106859396864,1774347106859396864,1774347106862211404,0.000000,2.814540,2.814540,200
1774347106881819136,1774347106881819136,1774347106883904321,0.000000,2.085185,2.085185,200
1774347106882203136,1774347106883904321,1774347106886426647,1.701185,2.522326,4.223511,200
1774347106889432064,1774347106889432064,1774347106891055162,0.000000,1.623098,1.623098,200
1774347106895975168,1774347106895975168,1774347106897212615,0.000000,1.237447,1.237447,200
1774347106928828928,1774347106928828928,1774347106935318815,0.000000,6.489887,6.489887,200
1774347106931951104,1774347106935318815,1774347106937618749,3.367711,2.299934,5.667645,200
1774347106934196992,1774347106937618749,1774347106939071493,3.421757,1.452744,4.874501,200
1774347106938544128,1774347106939071493,1774347106942880683,0.527365,3.809190,4.336555,200
1774347106942196992,1774347106942880683,1774347106952194214,0.683691,9.313531,9.997222,200
1774347106946464000,1774347106952194214,1774347106952946063,5.730214,0.751849,6.482063,200
1774347106963156992,1774347106963156992,1774347106966314566,0.000000,3.157574,3.157574,200
1774347106966403072,1774347106966403072,1774347106968005068,0.000000,1.601996,1.601996,200
1774347106968941824,1774347106968941824,1774347106971709522,0.000000,2.767698,2.767698,200
