id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
13689,7,1774346167223158746,1774346167223172650,1774346167226797650,1774346167226832749,0.014,3.625,3.674,200,3
13690,25,1774346167229300623,1774346167229345484,1774346167232998245,1774346167233094803,0.045,3.653,3.794,200,3
13691,29,1774346167242909611,1774346167242918813,1774346167243646352,1774346167243662665,0.009,0.728,0.785,200,3
13692,30,1774346167244141070,1774346167244146237,1774346167247125692,1774346167247157441,0.005,2.979,3.016,200,3
13693,16,1774346167248182271,1774346167248189414,1774346167250136431,1774346167250200542,0.007,1.947,2.018,200,3
13694,8,1774346167250625190,1774346167250629944,1774346167254110108,1774346167254143611,0.005,3.480,3.518,200,3
13695,24,1774346167254496899,1774346167254502531,1774346167255385572,1774346167255458886,0.006,0.883,0.962,200,3
13696,34,1774346167255664184,1774346167255667575,1774346167256488640,1774346167256502766,0.003,0.821,0.839,200,3
13697,13,1774346167267373313,1774346167267386774,1774346167270317078,1774346167270349799,0.013,2.930,2.977,200,3
13698,32,1774346167270626858,1774346167270632088,1774346167272065158,1774346167272094466,0.005,1.433,1.468,200,3
13699,1,1774346167272609993,1774346167272614758,1774346167273355746,1774346167273372165,0.005,0.741,0.762,200,3
13700,14,1774346167273713758,1774346167273717709,1774346167275826019,1774346167275855592,0.004,2.108,2.142,200,3
13701,31,1774346167276306791,1774346167276310531,1774346167286296114,1774346167286339623,0.004,9.986,10.033,200,3
13702,26,1774346167286675404,1774346167286680803,1774346167287841231,1774346167287858812,0.005,1.160,1.183,200,3
13703,23,1774346167288135501,1774346167288139801,1774346167288797196,1774346167288809589,0.004,0.657,0.674,200,3
13704,11,1774346167289075036,1774346167289078766,1774346167289847563,1774346167289863009,0.004,0.769,0.788,200,3
13705,35,1774346167291352499,1774346167291358278,1774346167292492123,1774346167292514977,0.006,1.134,1.162,200,3
13706,12,1774346167292867716,1774346167292871889,1774346167294232459,1774346167294250409,0.004,1.361,1.383,200,3
13707,3,1774346167311923884,1774346167311933457,1774346167313196961,1774346167313210052,0.010,1.264,1.286,200,3
13708,9,1774346167315483156,1774346167315490689,1774346167316328585,1774346167316493998,0.008,0.838,1.011,200,3
13709,18,1774346167321156555,1774346167321167627,1774346167322636261,1774346167322653557,0.011,1.469,1.497,200,3
13710,17,1774346167325011803,1774346167325021449,1774346167325720229,1774346167325737514,0.010,0.699,0.726,200,3
13711,20,1774346167338077244,1774346167338479609,1774346167339647782,1774346167339669335,0.402,1.168,1.592,200,3
13712,2,1774346167353295007,1774346167353303248,1774346167355056526,1774346167355075776,0.008,1.753,1.781,200,3
13713,19,1774346167355565317,1774346167355569913,1774346167360166034,1774346167360199146,0.005,4.596,4.660,200,3
13716,5,1774346167371633694,1774346167374008402,1774346167377582577,1774346167391647385,2.375,3.574,20.014,200,3
13714,22,1774346167361722207,1774346167362100098,1774346167372753814,1774346167391988460,0.378,10.654,30.266,200,3
13715,36,1774346167371544680,1774346167372759773,1774346167374000171,1774346167392135246,1.215,1.240,20.591,200,3
13719,6,1774346167392436120,1774346167394155672,1774346167394749548,1774346167394762606,1.720,0.594,2.327,200,3
13717,33,1774346167371735513,1774346167377599090,1774346167393065653,1774346167395012649,5.864,15.467,23.277,200,3
13718,21,1774346167372002313,1774346167393069340,1774346167394151816,1774346167395137026,21.067,1.082,23.135,200,3
13720,15,1774346167395386794,1774346167395390196,1774346167397311349,1774346167397341228,0.003,1.921,1.955,200,3
13721,28,1774346167403293037,1774346167403301891,1774346167404454839,1774346167404481168,0.009,1.153,1.188,200,3
13722,10,1774346167410639602,1774346167410646913,1774346167412212844,1774346167412239606,0.007,1.566,1.600,200,3
13723,4,1774346167414551201,1774346167414559199,1774346167415379767,1774346167415403042,0.008,0.821,0.852,200,3
13724,27,1774346167415860401,1774346167415864542,1774346167416503606,1774346167416515165,0.004,0.639,0.655,200,3
13725,37,1774346167419033601,1774346167419041166,1774346167419731514,1774346167419747352,0.008,0.690,0.714,200,3
13726,39,1774346167427824391,1774346167427900801,1774346167429390502,1774346167429441121,0.076,1.490,1.617,200,3
13727,38,1774346167430315351,1774346167430322673,1774346167431103757,1774346167431121328,0.007,0.781,0.806,200,3
13728,40,1774346167444182327,1774346167444190557,1774346167445501385,1774346167445518120,0.008,1.311,1.336,200,3
13729,41,1774346167447680821,1774346167447692348,1774346167451823561,1774346167452381830,0.011,4.132,4.701,200,3
13730,42,1774346167456325776,1774346167456341202,1774346167462932730,1774346167463008685,0.015,6.592,6.683,200,3
13731,47,1774346167463662276,1774346167463667263,1774346167467151014,1774346167467183756,0.005,3.484,3.522,200,3
13732,43,1774346167467566829,1774346167467572724,1774346167468264124,1774346167468281039,0.006,0.691,0.715,200,3
13733,44,1774346167468814142,1774346167468818939,1774346167471401374,1774346167471426911,0.005,2.582,2.613,200,3
13734,48,1774346167480480851,1774346167480487845,1774346167481757626,1774346167481784737,0.007,1.270,1.304,200,3
13735,49,1774346167487224696,1774346167487232779,1774346167488288366,1774346167488311684,0.008,1.056,1.087,200,3
13736,46,1774346167489596742,1774346167489602278,1774346167490002012,1774346167490022488,0.006,0.400,0.426,200,3
13737,45,1774346167500954939,1774346167500962503,1774346167502932606,1774346167502962591,0.008,1.970,2.008,200,3
13738,51,1774346167504657991,1774346167504663306,1774346167508990229,1774346167509171231,0.005,4.327,4.513,200,3
13739,50,1774346167509562069,1774346167509567162,1774346167510687250,1774346167510712322,0.005,1.120,1.150,200,3
13740,53,1774346167515806215,1774346167515814826,1774346167516741820,1774346167516758830,0.009,0.927,0.953,200,3
13741,54,1774346167520180699,1774346167520188148,1774346167521114022,1774346167521134064,0.007,0.926,0.953,200,3
13742,52,1774346167521547164,1774346167521550904,1774346167522146586,1774346167522304836,0.004,0.596,0.758,200,3
13743,55,1774346167526897740,1774346167526906013,1774346167527333724,1774346167527345568,0.008,0.428,0.448,200,3
13744,56,1774346167528083863,1774346167528088195,1774346167530432131,1774346167530466637,0.004,2.344,2.383,200,3
13745,58,1774346167540279887,1774346167540287430,1774346167542115142,1774346167542157858,0.008,1.828,1.878,200,3
13746,57,1774346167551842315,1774346167551850598,1774346167553916021,1774346167553951511,0.008,2.066,2.109,200,3
13747,61,1774346167554533474,1774346167554537584,1774346167555415517,1774346167555432348,0.004,0.878,0.899,200,3
13748,59,1774346167555799742,1774346167555803683,1774346167557476029,1774346167557493980,0.004,1.672,1.694,200,3
13749,62,1774346167557986046,1774346167557990166,1774346167564977879,1774346167565024927,0.004,6.988,7.039,200,3
13750,64,1774346167571389910,1774346167571397845,1774346167572669231,1774346167572690636,0.008,1.271,1.301,200,3
13751,60,1774346167573730026,1774346167573734982,1774346167577379115,1774346167577411234,0.005,3.644,3.681,200,3
13752,63,1774346167578637084,1774346167578644944,1774346167580832337,1774346167580909296,0.008,2.187,2.272,200,3
13753,65,1774346167582636181,1774346167582642404,1774346167585850259,1774346167585872150,0.006,3.208,3.236,200,3
13754,66,1774346167609119042,1774346167609127548,1774346167611502974,1774346167613742507,0.009,2.375,4.624,200,3
13755,67,1774346167614414366,1774346167614420303,1774346167615022515,1774346167615040814,0.006,0.602,0.627,200,3
13756,69,1774346167620493114,1774346167620502148,1774346167621291759,1774346167621323054,0.009,0.790,0.830,200,3
13757,70,1774346167623053235,1774346167623059786,1774346167624614692,1774346167624649653,0.007,1.555,1.596,200,3
13758,72,1774346167625045288,1774346167625049081,1774346167631526888,1774346167631596208,0.004,6.478,6.551,200,3
13759,73,1774346167632556441,1774346167632562167,1774346167633439842,1774346167633482336,0.006,0.878,0.926,200,3
13760,71,1774346167645555832,1774346167645562974,1774346167646820763,1774346167646829099,0.007,1.258,1.273,200,3
13761,68,1774346167648872621,1774346167648879573,1774346167649775441,1774346167649795219,0.007,0.896,0.923,200,3
13762,75,1774346167653181060,1774346167653191425,1774346167654031307,1774346167654047250,0.010,0.840,0.866,200,3
13763,74,1774346167654530695,1774346167654534974,1774346167654930661,1774346167654943551,0.004,0.396,0.413,200,3
13764,76,1774346167660605840,1774346167660613954,1774346167661194939,1774346167661213894,0.008,0.581,0.608,200,3
13765,77,1774346167663711531,1774346167663716930,1774346167664724317,1774346167664742595,0.005,1.007,1.031,200,3
13766,78,1774346167667932208,1774346167667942034,1774346167668859265,1774346167668876445,0.010,0.917,0.944,200,3
13767,79,1774346167671607061,1774346167671612154,1774346167672698866,1774346167672718740,0.005,1.087,1.112,200,3
13768,83,1774346167673068045,1774346167673071204,1774346167674219582,1774346167674238875,0.003,1.148,1.171,200,3
