arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346272348716104,1774346272348716104,1774346272349920104,0.000000,1.204000,1.204000,200
1774346272385380822,1774346272385380822,1774346272387127822,0.000000,1.747000,1.747000,200
1774346272395195192,1774346272395195192,1774346272398150192,0.000000,2.955000,2.955000,200
1774346272407921578,1774346272407921578,1774346272416319578,0.000000,8.398000,8.398000,200
1774346272416237809,1774346272416319578,1774346272417352578,0.081769,1.033000,1.114769,200
1774346272420982758,1774346272420982758,1774346272424884758,0.000000,3.902000,3.902000,200
1774346272424922039,1774346272424922039,1774346272433961039,0.000000,9.039000,9.039000,200
1774346272431687118,1774346272433961039,1774346272435526039,2.273921,1.565000,3.838921,200
1774346272438567698,1774346272438567698,1774346272439665698,0.000000,1.098000,1.098000,200
1774346272449671065,1774346272449671065,1774346272452093065,0.000000,2.422000,2.422000,200
1774346272452030741,1774346272452093065,1774346272453170065,0.062324,1.077000,1.139324,200
1774346272456857516,1774346272456857516,1774346272457778516,0.000000,0.921000,0.921000,200
1774346272465280954,1774346272465280954,1774346272466354954,0.000000,1.074000,1.074000,200
1774346272472121046,1774346272472121046,1774346272473098046,0.000000,0.977000,0.977000,200
1774346272486349518,1774346272486349518,1774346272487859518,0.000000,1.510000,1.510000,200
1774346272490992068,1774346272490992068,1774346272493089068,0.000000,2.097000,2.097000,200
1774346272504218267,1774346272504218267,1774346272513319267,0.000000,9.101000,9.101000,200
1774346272516981536,1774346272516981536,1774346272519538536,0.000000,2.557000,2.557000,200
1774346272520664727,1774346272520664727,1774346272522620727,0.000000,1.956000,1.956000,200
1774346272538931854,1774346272538931854,1774346272539506854,0.000000,0.575000,0.575000,200
1774346272560007242,1774346272560007242,1774346272561038242,0.000000,1.031000,1.031000,200
1774346272566843093,1774346272566843093,1774346272575584093,0.000000,8.741000,8.741000,200
1774346272571445070,1774346272575584093,1774346272578187093,4.139023,2.603000,6.742023,200
1774346272579296262,1774346272579296262,1774346272580043262,0.000000,0.747000,0.747000,200
1774346272596111230,1774346272596111230,1774346272597365230,0.000000,1.254000,1.254000,200
1774346272608428094,1774346272608428094,1774346272610581094,0.000000,2.153000,2.153000,200
1774346272626450758,1774346272626450758,1774346272627486758,0.000000,1.036000,1.036000,200
1774346272638185181,1774346272638185181,1774346272639045181,0.000000,0.860000,0.860000,200
1774346272649003592,1774346272649003592,1774346272649861592,0.000000,0.858000,0.858000,200
1774346272656552331,1774346272656552331,1774346272664080331,0.000000,7.528000,7.528000,200
1774346272659416395,1774346272664080331,1774346272666880331,4.663936,2.800000,7.463936,200
1774346272668826514,1774346272668826514,1774346272670295514,0.000000,1.469000,1.469000,200
1774346272673670777,1774346272673670777,1774346272677535777,0.000000,3.865000,3.865000,200
1774346272687900146,1774346272687900146,1774346272693861146,0.000000,5.961000,5.961000,200
1774346272698385360,1774346272698385360,1774346272699409360,0.000000,1.024000,1.024000,200
1774346272725942470,1774346272725942470,1774346272726843470,0.000000,0.901000,0.901000,200
1774346272734679390,1774346272734679390,1774346272737619390,0.000000,2.940000,2.940000,200
1774346272736200684,1774346272737619390,1774346272739174390,1.418706,1.555000,2.973706,200
1774346272760554693,1774346272760554693,1774346272762761693,0.000000,2.207000,2.207000,200
1774346272764185874,1774346272764185874,1774346272766883874,0.000000,2.698000,2.698000,200
1774346272777564124,1774346272777564124,1774346272779091124,0.000000,1.527000,1.527000,200
1774346272779664075,1774346272779664075,1774346272780890075,0.000000,1.226000,1.226000,200
1774346272785687448,1774346272785687448,1774346272789153448,0.000000,3.466000,3.466000,200
1774346272801227129,1774346272801227129,1774346272809658129,0.000000,8.431000,8.431000,200
1774346272808322058,1774346272809658129,1774346272812539129,1.336071,2.881000,4.217071,200
1774346272821284878,1774346272821284878,1774346272822127878,0.000000,0.843000,0.843000,200
1774346272823915700,1774346272823915700,1774346272826475700,0.000000,2.560000,2.560000,200
1774346272825851648,1774346272826475700,1774346272827242700,0.624052,0.767000,1.391052,200
1774346272848507804,1774346272848507804,1774346272849652804,0.000000,1.145000,1.145000,200
1774346272860644402,1774346272860644402,1774346272861568402,0.000000,0.924000,0.924000,200
1774346272861510743,1774346272861568402,1774346272863107402,0.057659,1.539000,1.596659,200
1774346272879334619,1774346272879334619,1774346272885155619,0.000000,5.821000,5.821000,200
1774346272882723025,1774346272885155619,1774346272888569619,2.432594,3.414000,5.846594,200
1774346272885436343,1774346272888569619,1774346272889631619,3.133276,1.062000,4.195276,200
1774346272886700598,1774346272889631619,1774346272890153619,2.931021,0.522000,3.453021,200
1774346272901210067,1774346272901210067,1774346272902208067,0.000000,0.998000,0.998000,200
1774346272905868195,1774346272905868195,1774346272908688195,0.000000,2.820000,2.820000,200
1774346272907013929,1774346272908688195,1774346272912693195,1.674266,4.005000,5.679266,200
1774346272916936073,1774346272916936073,1774346272918090073,0.000000,1.154000,1.154000,200
1774346272918725222,1774346272918725222,1774346272921945222,0.000000,3.220000,3.220000,200
1774346272947554059,1774346272947554059,1774346272948131059,0.000000,0.577000,0.577000,200
1774346272962887648,1774346272962887648,1774346272963784648,0.000000,0.897000,0.897000,200
1774346272964296716,1774346272964296716,1774346272965757716,0.000000,1.461000,1.461000,200
1774346272980595880,1774346272980595880,1774346272984629880,0.000000,4.034000,4.034000,200
1774346272996705302,1774346272996705302,1774346272997319302,0.000000,0.614000,0.614000,200
1774346273006909737,1774346273006909737,1774346273009419737,0.000000,2.510000,2.510000,200
1774346273021882946,1774346273021882946,1774346273022589946,0.000000,0.707000,0.707000,200
1774346273030718011,1774346273030718011,1774346273034181011,0.000000,3.463000,3.463000,200
1774346273035078367,1774346273035078367,1774346273038847367,0.000000,3.769000,3.769000,200
1774346273039017791,1774346273039017791,1774346273049252791,0.000000,10.235000,10.235000,200
1774346273048309877,1774346273049252791,1774346273050248791,0.942914,0.996000,1.938914,200
1774346273055777558,1774346273055777558,1774346273060289558,0.000000,4.512000,4.512000,200
1774346273058091561,1774346273060289558,1774346273063686558,2.197997,3.397000,5.594997,200
1774346273059313283,1774346273063686558,1774346273065388558,4.373275,1.702000,6.075275,200
1774346273093436977,1774346273093436977,1774346273094337977,0.000000,0.901000,0.901000,200
1774346273110429875,1774346273110429875,1774346273115207875,0.000000,4.778000,4.778000,200
1774346273114885623,1774346273115207875,1774346273116070875,0.322252,0.863000,1.185252,200
1774346273119148649,1774346273119148649,1774346273119664649,0.000000,0.516000,0.516000,200
1774346273129657098,1774346273129657098,1774346273130703098,0.000000,1.046000,1.046000,200
1774346273133361375,1774346273133361375,1774346273140052375,0.000000,6.691000,6.691000,200
1774346273151073476,1774346273151073476,1774346273152828476,0.000000,1.755000,1.755000,200
1774346273163729095,1774346273163729095,1774346273168470095,0.000000,4.741000,4.741000,200
1774346273169743409,1774346273169743409,1774346273173956409,0.000000,4.213000,4.213000,200
1774346273179213728,1774346273179213728,1774346273179856728,0.000000,0.643000,0.643000,200
1774346273188737872,1774346273188737872,1774346273191617872,0.000000,2.880000,2.880000,200
1774346273192985864,1774346273192985864,1774346273194944864,0.000000,1.959000,1.959000,200
1774346273195626154,1774346273195626154,1774346273196591154,0.000000,0.965000,0.965000,200
1774346273202204181,1774346273202204181,1774346273207032181,0.000000,4.828000,4.828000,200
1774346273212784648,1774346273212784648,1774346273215438648,0.000000,2.654000,2.654000,200
1774346273229568855,1774346273229568855,1774346273237622855,0.000000,8.054000,8.054000,200
1774346273234698053,1774346273237622855,1774346273239584855,2.924802,1.962000,4.886802,200
1774346273237343703,1774346273239584855,1774346273239835855,2.241152,0.251000,2.492152,200
1774346273250151007,1774346273250151007,1774346273251162007,0.000000,1.011000,1.011000,200
1774346273254523829,1774346273254523829,1774346273254836829,0.000000,0.313000,0.313000,200
1774346273257670158,1774346273257670158,1774346273260083158,0.000000,2.413000,2.413000,200
1774346273277935452,1774346273277935452,1774346273278489452,0.000000,0.554000,0.554000,200
1774346273283240397,1774346273283240397,1774346273284662397,0.000000,1.422000,1.422000,200
1774346273287144826,1774346273287144826,1774346273288160826,0.000000,1.016000,1.016000,200
1774346273290128493,1774346273290128493,1774346273291202493,0.000000,1.074000,1.074000,200
1774346273311566466,1774346273311566466,1774346273312670466,0.000000,1.104000,1.104000,200
1774346273313723374,1774346273313723374,1774346273314861374,0.000000,1.138000,1.138000,200
1774346273316862671,1774346273316862671,1774346273327649671,0.000000,10.787000,10.787000,200
1774346273329569414,1774346273329569414,1774346273330329414,0.000000,0.760000,0.760000,200
1774346273331678016,1774346273331678016,1774346273333973016,0.000000,2.295000,2.295000,200
1774346273352389897,1774346273352389897,1774346273355464897,0.000000,3.075000,3.075000,200
1774346273353480892,1774346273355464897,1774346273357014897,1.984005,1.550000,3.534005,200
1774346273360383094,1774346273360383094,1774346273363021094,0.000000,2.638000,2.638000,200
1774346273372295589,1774346273372295589,1774346273373200589,0.000000,0.905000,0.905000,200
1774346273376867900,1774346273376867900,1774346273380441900,0.000000,3.574000,3.574000,200
1774346273380635008,1774346273380635008,1774346273381226008,0.000000,0.591000,0.591000,200
1774346273390669491,1774346273390669491,1774346273391659491,0.000000,0.990000,0.990000,200
1774346273395476428,1774346273395476428,1774346273396067428,0.000000,0.591000,0.591000,200
1774346273414084611,1774346273414084611,1774346273415050611,0.000000,0.966000,0.966000,200
1774346273417250109,1774346273417250109,1774346273417860109,0.000000,0.610000,0.610000,200
1774346273442713833,1774346273442713833,1774346273444194833,0.000000,1.481000,1.481000,200
1774346273443492816,1774346273444194833,1774346273450220833,0.702017,6.026000,6.728017,200
1774346273448392412,1774346273450220833,1774346273451295833,1.828421,1.075000,2.903421,200
1774346273459049347,1774346273459049347,1774346273459689347,0.000000,0.640000,0.640000,200
1774346273470009754,1774346273470009754,1774346273471559754,0.000000,1.550000,1.550000,200
1774346273470849176,1774346273471559754,1774346273472349754,0.710578,0.790000,1.500578,200
1774346273473413116,1774346273473413116,1774346273474884116,0.000000,1.471000,1.471000,200
1774346273475135777,1774346273475135777,1774346273475688777,0.000000,0.553000,0.553000,200
1774346273482637338,1774346273482637338,1774346273483634338,0.000000,0.997000,0.997000,200
1774346273493645281,1774346273493645281,1774346273498361281,0.000000,4.716000,4.716000,200
1774346273502680515,1774346273502680515,1774346273503807515,0.000000,1.127000,1.127000,200
1774346273506741389,1774346273506741389,1774346273508512389,0.000000,1.771000,1.771000,200
1774346273518364812,1774346273518364812,1774346273522128812,0.000000,3.764000,3.764000,200
1774346273583046319,1774346273583046319,1774346273583668319,0.000000,0.622000,0.622000,200
1774346273594004279,1774346273594004279,1774346273595249279,0.000000,1.245000,1.245000,200
1774346273604449917,1774346273604449917,1774346273610320917,0.000000,5.871000,5.871000,200
1774346273619557218,1774346273619557218,1774346273620816218,0.000000,1.259000,1.259000,200
1774346273628850605,1774346273628850605,1774346273634253605,0.000000,5.403000,5.403000,200
1774346273646358383,1774346273646358383,1774346273648653383,0.000000,2.295000,2.295000,200
1774346273673973538,1774346273673973538,1774346273674270538,0.000000,0.297000,0.297000,200
1774346273706222102,1774346273706222102,1774346273706667102,0.000000,0.445000,0.445000,200
1774346273706278783,1774346273706667102,1774346273716255102,0.388319,9.588000,9.976319,200
1774346273706462529,1774346273716255102,1774346273716683102,9.792573,0.428000,10.220573,200
1774346273719750566,1774346273719750566,1774346273720808566,0.000000,1.058000,1.058000,200
1774346273774805160,1774346273774805160,1774346273778355160,0.000000,3.550000,3.550000,200
1774346273781940289,1774346273781940289,1774346273783083289,0.000000,1.143000,1.143000,200
1774346273784466251,1774346273784466251,1774346273785273251,0.000000,0.807000,0.807000,200
1774346273792826347,1774346273792826347,1774346273793955347,0.000000,1.129000,1.129000,200
1774346273804191913,1774346273804191913,1774346273804629913,0.000000,0.438000,0.438000,200
1774346273805940766,1774346273805940766,1774346273808733766,0.000000,2.793000,2.793000,200
1774346273818263436,1774346273818263436,1774346273819387436,0.000000,1.124000,1.124000,200
1774346273822354943,1774346273822354943,1774346273823338943,0.000000,0.984000,0.984000,200
1774346273823844872,1774346273823844872,1774346273824854872,0.000000,1.010000,1.010000,200
1774346273855856795,1774346273855856795,1774346273857941795,0.000000,2.085000,2.085000,200
1774346273857898378,1774346273857941795,1774346273858575795,0.043417,0.634000,0.677417,200
1774346273861577068,1774346273861577068,1774346273862307068,0.000000,0.730000,0.730000,200
1774346273875625700,1774346273875625700,1774346273878533700,0.000000,2.908000,2.908000,200
1774346273878332107,1774346273878533700,1774346273880136700,0.201593,1.603000,1.804593,200
1774346273892694920,1774346273892694920,1774346273895306920,0.000000,2.612000,2.612000,200
1774346273903312757,1774346273903312757,1774346273906261757,0.000000,2.949000,2.949000,200
1774346273906758567,1774346273906758567,1774346273915575567,0.000000,8.817000,8.817000,200
1774346273914780485,1774346273915575567,1774346273916756567,0.795082,1.181000,1.976082,200
1774346273917172679,1774346273917172679,1774346273917902679,0.000000,0.730000,0.730000,200
1774346273923889632,1774346273923889632,1774346273924330632,0.000000,0.441000,0.441000,200
1774346273928120799,1774346273928120799,1774346273933276799,0.000000,5.156000,5.156000,200
1774346273929365636,1774346273933276799,1774346273939164799,3.911163,5.888000,9.799163,200
1774346273966651580,1774346273966651580,1774346273967232580,0.000000,0.581000,0.581000,200
1774346273970805818,1774346273970805818,1774346273971243818,0.000000,0.438000,0.438000,200
1774346273979368124,1774346273979368124,1774346273980387124,0.000000,1.019000,1.019000,200
1774346273984446870,1774346273984446870,1774346273985989870,0.000000,1.543000,1.543000,200
1774346273989138360,1774346273989138360,1774346273990033360,0.000000,0.895000,0.895000,200
1774346274000166763,1774346274000166763,1774346274000523763,0.000000,0.357000,0.357000,200
1774346274006125882,1774346274006125882,1774346274009522882,0.000000,3.397000,3.397000,200
1774346274009121883,1774346274009522882,1774346274010435882,0.400999,0.913000,1.313999,200
1774346274023728569,1774346274023728569,1774346274027715569,0.000000,3.987000,3.987000,200
1774346274027812020,1774346274027812020,1774346274032000020,0.000000,4.188000,4.188000,200
1774346274041286702,1774346274041286702,1774346274045963702,0.000000,4.677000,4.677000,200
1774346274054963897,1774346274054963897,1774346274055590897,0.000000,0.627000,0.627000,200
1774346274058135535,1774346274058135535,1774346274058926535,0.000000,0.791000,0.791000,200
1774346274061546100,1774346274061546100,1774346274063588100,0.000000,2.042000,2.042000,200
1774346274066088775,1774346274066088775,1774346274066893775,0.000000,0.805000,0.805000,200
1774346274081243622,1774346274081243622,1774346274088509622,0.000000,7.266000,7.266000,200
1774346274084334926,1774346274088509622,1774346274093287622,4.174696,4.778000,8.952696,200
1774346274086531383,1774346274093287622,1774346274095876622,6.756239,2.589000,9.345239,200
1774346274093810828,1774346274095876622,1774346274096678622,2.065794,0.802000,2.867794,200
1774346274101791198,1774346274101791198,1774346274105086198,0.000000,3.295000,3.295000,200
1774346274115892757,1774346274115892757,1774346274116680757,0.000000,0.788000,0.788000,200
1774346274116870884,1774346274116870884,1774346274118078884,0.000000,1.208000,1.208000,200
1774346274129034194,1774346274129034194,1774346274129591194,0.000000,0.557000,0.557000,200
1774346274134362131,1774346274134362131,1774346274143912131,0.000000,9.550000,9.550000,200
1774346274136542242,1774346274143912131,1774346274145451131,7.369889,1.539000,8.908889,200
1774346274148644752,1774346274148644752,1774346274151845752,0.000000,3.201000,3.201000,200
1774346274153360198,1774346274153360198,1774346274154378198,0.000000,1.018000,1.018000,200
1774346274171638474,1774346274171638474,1774346274172951474,0.000000,1.313000,1.313000,200
1774346274173882612,1774346274173882612,1774346274175481612,0.000000,1.599000,1.599000,200
1774346274176794929,1774346274176794929,1774346274177340929,0.000000,0.546000,0.546000,200
1774346274180643015,1774346274180643015,1774346274181618015,0.000000,0.975000,0.975000,200
1774346274193802162,1774346274193802162,1774346274194497162,0.000000,0.695000,0.695000,200
1774346274200542367,1774346274200542367,1774346274201869367,0.000000,1.327000,1.327000,200
1774346274203055634,1774346274203055634,1774346274203538634,0.000000,0.483000,0.483000,200
1774346274206179316,1774346274206179316,1774346274207358316,0.000000,1.179000,1.179000,200
1774346274221498842,1774346274221498842,1774346274226701842,0.000000,5.203000,5.203000,200
