arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346272348716104,1774346272348716104,1774346272350213268,0.000000,1.497164,1.497164,200
1774346272385380822,1774346272385380822,1774346272386842936,0.000000,1.462114,1.462114,200
1774346272395195192,1774346272395195192,1774346272396733248,0.000000,1.538056,1.538056,200
1774346272407921578,1774346272407921578,1774346272410923300,0.000000,3.001722,3.001722,200
1774346272416237809,1774346272416237809,1774346272417755425,0.000000,1.517616,1.517616,200
1774346272420982758,1774346272420982758,1774346272421474878,0.000000,0.492120,0.492120,200
1774346272424922039,1774346272424922039,1774346272427137056,0.000000,2.215017,2.215017,200
1774346272431687118,1774346272431687118,1774346272433040008,0.000000,1.352890,1.352890,200
1774346272438567698,1774346272438567698,1774346272439977801,0.000000,1.410103,1.410103,200
1774346272449671065,1774346272449671065,1774346272451525010,0.000000,1.853945,1.853945,200
1774346272452030741,1774346272452030741,1774346272454070897,0.000000,2.040156,2.040156,200
1774346272456857516,1774346272456857516,1774346272461244655,0.000000,4.387139,4.387139,200
1774346272465280954,1774346272465280954,1774346272468172823,0.000000,2.891869,2.891869,200
1774346272472121046,1774346272472121046,1774346272473966812,0.000000,1.845766,1.845766,200
1774346272486349518,1774346272486349518,1774346272487268045,0.000000,0.918527,0.918527,200
1774346272490992068,1774346272490992068,1774346272491723917,0.000000,0.731849,0.731849,200
1774346272504218267,1774346272504218267,1774346272506282117,0.000000,2.063850,2.063850,200
1774346272516981536,1774346272516981536,1774346272521934394,0.000000,4.952858,4.952858,200
1774346272520664727,1774346272521934394,1774346272523678580,1.269667,1.744186,3.013853,200
1774346272538931854,1774346272538931854,1774346272540476236,0.000000,1.544382,1.544382,200
1774346272560007242,1774346272560007242,1774346272562616973,0.000000,2.609731,2.609731,200
1774346272566843093,1774346272566843093,1774346272567353261,0.000000,0.510168,0.510168,200
1774346272571445070,1774346272571445070,1774346272572748886,0.000000,1.303816,1.303816,200
1774346272579296262,1774346272579296262,1774346272581818631,0.000000,2.522369,2.522369,200
1774346272596111230,1774346272596111230,1774346272599567266,0.000000,3.456036,3.456036,200
1774346272608428094,1774346272608428094,1774346272609811020,0.000000,1.382926,1.382926,200
1774346272626450758,1774346272626450758,1774346272628747902,0.000000,2.297144,2.297144,200
1774346272638185181,1774346272638185181,1774346272640252209,0.000000,2.067028,2.067028,200
1774346272649003592,1774346272649003592,1774346272652210289,0.000000,3.206697,3.206697,200
1774346272656552331,1774346272656552331,1774346272657227215,0.000000,0.674884,0.674884,200
1774346272659416395,1774346272659416395,1774346272662105572,0.000000,2.689177,2.689177,200
1774346272668826514,1774346272668826514,1774346272669311737,0.000000,0.485223,0.485223,200
1774346272673670777,1774346272673670777,1774346272673866317,0.000000,0.195540,0.195540,200
1774346272687900146,1774346272687900146,1774346272688923489,0.000000,1.023343,1.023343,200
1774346272698385360,1774346272698385360,1774346272699179172,0.000000,0.793812,0.793812,200
1774346272725942470,1774346272725942470,1774346272729405924,0.000000,3.463454,3.463454,200
1774346272734679390,1774346272734679390,1774346272737589456,0.000000,2.910066,2.910066,200
