arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346272348716104,1774346272348716104,1774346272350255104,0.000000,1.539000,1.539000,200
1774346272385380822,1774346272385380822,1774346272386478822,0.000000,1.098000,1.098000,200
1774346272395195192,1774346272395195192,1774346272396482192,0.000000,1.287000,1.287000,200
1774346272407921578,1774346272407921578,1774346272408519578,0.000000,0.598000,0.598000,200
1774346272416237809,1774346272416237809,1774346272416988809,0.000000,0.751000,0.751000,200
1774346272420982758,1774346272420982758,1774346272422403758,0.000000,1.421000,1.421000,200
1774346272424922039,1774346272424922039,1774346272425960039,0.000000,1.038000,1.038000,200
1774346272431687118,1774346272431687118,1774346272432566118,0.000000,0.879000,0.879000,200
1774346272438567698,1774346272438567698,1774346272439569698,0.000000,1.002000,1.002000,200
1774346272449671065,1774346272449671065,1774346272450884065,0.000000,1.213000,1.213000,200
1774346272452030741,1774346272452030741,1774346272455962741,0.000000,3.932000,3.932000,200
1774346272456857516,1774346272456857516,1774346272457538516,0.000000,0.681000,0.681000,200
1774346272465280954,1774346272465280954,1774346272470379954,0.000000,5.099000,5.099000,200
1774346272472121046,1774346272472121046,1774346272473028046,0.000000,0.907000,0.907000,200
1774346272486349518,1774346272486349518,1774346272487043518,0.000000,0.694000,0.694000,200
1774346272490992068,1774346272490992068,1774346272491901068,0.000000,0.909000,0.909000,200
1774346272504218267,1774346272504218267,1774346272506356267,0.000000,2.138000,2.138000,200
1774346272516981536,1774346272516981536,1774346272517862536,0.000000,0.881000,0.881000,200
1774346272520664727,1774346272520664727,1774346272521484727,0.000000,0.820000,0.820000,200
1774346272538931854,1774346272538931854,1774346272539679854,0.000000,0.748000,0.748000,200
1774346272560007242,1774346272560007242,1774346272561503242,0.000000,1.496000,1.496000,200
1774346272566843093,1774346272566843093,1774346272567644093,0.000000,0.801000,0.801000,200
1774346272571445070,1774346272571445070,1774346272576730070,0.000000,5.285000,5.285000,200
1774346272579296262,1774346272579296262,1774346272581252262,0.000000,1.956000,1.956000,200
1774346272596111230,1774346272596111230,1774346272604938230,0.000000,8.827000,8.827000,200
1774346272608428094,1774346272608428094,1774346272609407094,0.000000,0.979000,0.979000,200
1774346272626450758,1774346272626450758,1774346272628299758,0.000000,1.849000,1.849000,200
1774346272638185181,1774346272638185181,1774346272646270181,0.000000,8.085000,8.085000,200
1774346272649003592,1774346272649003592,1774346272655612592,0.000000,6.609000,6.609000,200
