arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043511411566773,1775043511411566773,1775043511759097773,0.000000,347.531000,347.531000,200
1775043514249598283,1775043514249598283,1775043514268567283,0.000000,18.969000,18.969000,200
1775043517154413767,1775043517154413767,1775043517228802767,0.000000,74.389000,74.389000,200
1775043517209839310,1775043517228802767,1775043517301380767,18.963457,72.578000,91.541457,200
1775043517213110247,1775043517301380767,1775043517334937767,88.270520,33.557000,121.827520,200
1775043517218297050,1775043517334937767,1775043517360057767,116.640717,25.120000,141.760717,200
1775043517271725382,1775043517360057767,1775043517395418767,88.332385,35.361000,123.693385,200
1775043517272112364,1775043517395418767,1775043517453132767,123.306403,57.714000,181.020403,200
1775043517273985592,1775043517453132767,1775043517481949767,179.147175,28.817000,207.964175,200
1775043517274043007,1775043517481949767,1775043517513589767,207.906760,31.640000,239.546760,200
1775043517286061722,1775043517513589767,1775043517543778767,227.528045,30.189000,257.717045,200
1775043517305418795,1775043517543778767,1775043517593300767,238.359972,49.522000,287.881972,200
1775043517317733501,1775043517593300767,1775043517624624767,275.567266,31.324000,306.891266,200
1775043517328780278,1775043517624624767,1775043517658644767,295.844489,34.020000,329.864489,200
1775043517344610198,1775043517658644767,1775043517689910767,314.034569,31.266000,345.300569,200
1775043517344668865,1775043517689910767,1775043517717872767,345.241902,27.962000,373.203902,200
1775043517364125651,1775043517717872767,1775043517738595767,353.747116,20.723000,374.470116,200
1775043517364190791,1775043517738595767,1775043517769945767,374.404976,31.350000,405.754976,200
1775043517364277213,1775043517769945767,1775043517826192767,405.668554,56.247000,461.915554,200
1775043517364978693,1775043517826192767,1775043517908827767,461.214074,82.635000,543.849074,200
1775043517383614937,1775043517908827767,1775043517961238767,525.212830,52.411000,577.623830,200
1775043517392371053,1775043517961238767,1775043517997002767,568.867714,35.764000,604.631714,200
1775043517394765271,1775043517997002767,1775043518020840767,602.237496,23.838000,626.075496,200
1775043517406540837,1775043518020840767,1775043518057617767,614.299930,36.777000,651.076930,200
1775043517422930468,1775043518057617767,1775043518083419767,634.687299,25.802000,660.489299,200
1775043517435441678,1775043518083419767,1775043518116887767,647.978089,33.468000,681.446089,200
1775043517448239559,1775043518116887767,1775043518140320767,668.648208,23.433000,692.081208,200
1775043517473578808,1775043518140320767,1775043518165957767,666.741959,25.637000,692.378959,200
1775043517478199309,1775043518165957767,1775043518194252767,687.758458,28.295000,716.053458,200
1775043517482205414,1775043518194252767,1775043518221760767,712.047353,27.508000,739.555353,200
1775043517544329934,1775043518221760767,1775043518242826767,677.430833,21.066000,698.496833,200
1775043517554523937,1775043518242826767,1775043518265087767,688.302830,22.261000,710.563830,200
1775043517582696139,1775043518265087767,1775043518279979767,682.391628,14.892000,697.283628,200
1775043517597198993,1775043518279979767,1775043518329506767,682.780774,49.527000,732.307774,200
1775043517614613306,1775043518329506767,1775043518354929767,714.893461,25.423000,740.316461,200
1775043517616540268,1775043518354929767,1775043518471791767,738.389499,116.862000,855.251499,200
1775043517617754345,1775043518471791767,1775043518557023767,854.037422,85.232000,939.269422,200
1775043517619924346,1775043518557023767,1775043518588908767,937.099421,31.885000,968.984421,200
1775043517626124249,1775043518588908767,1775043518618504767,962.784518,29.596000,992.380518,200
1775043517717548089,1775043518618504767,1775043518660152767,900.956678,41.648000,942.604678,200
1775043517745066497,1775043518660152767,1775043518709266767,915.086270,49.114000,964.200270,200
1775043517745110305,1775043518709266767,1775043518762117767,964.156462,52.851000,1017.007462,200
1775043517750323618,1775043518762117767,1775043518805494767,1011.794149,43.377000,1055.171149,200
1775043517781515318,1775043518805494767,1775043518834056767,1023.979449,28.562000,1052.541449,200
