arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043967542246537,1775043967542246537,1775043967558735808,0.000000,16.489271,16.489271,200
1775043967556712915,1775043967558735808,1775043967574977202,2.022893,16.241394,18.264287,200
1775043967575702868,1775043967575702868,1775043967592478694,0.000000,16.775826,16.775826,200
1775043967589784153,1775043967592478694,1775043967618204081,2.694541,25.725387,28.419928,200
1775043967605149638,1775043967618204081,1775043967634837016,13.054443,16.632935,29.687378,200
1775043967618833694,1775043967634837016,1775043967642932609,16.003322,8.095593,24.098915,200
1775043967630722097,1775043967642932609,1775043967664114588,12.210512,21.181979,33.392491,200
1775043967658072939,1775043967664114588,1775043967679569405,6.041649,15.454817,21.496466,200
1775043967658635492,1775043967679569405,1775043967695438986,20.933913,15.869581,36.803494,200
1775043967672948370,1775043967695438986,1775043967714343012,22.490616,18.904026,41.394642,200
1775043967687061083,1775043967714343012,1775043967734440030,27.281929,20.097018,47.378947,200
1775043967702000344,1775043967734440030,1775043967767229957,32.439686,32.789927,65.229613,200
1775043967720717112,1775043967767229957,1775043967792349345,46.512845,25.119388,71.632233,200
1775043967739002946,1775043967792349345,1775043967811200006,53.346399,18.850661,72.197060,200
1775043967766435387,1775043967811200006,1775043967823265280,44.764619,12.065274,56.829893,200
1775043967798408927,1775043967823265280,1775043967833699213,24.856353,10.433933,35.290286,200
1775043967816310298,1775043967833699213,1775043967853945156,17.388915,20.245943,37.634858,200
1775043967837604840,1775043967853945156,1775043967889379146,16.340316,35.433990,51.774306,200
1775043967858642696,1775043967889379146,1775043967907559734,30.736450,18.180588,48.917038,200
1775043967877047971,1775043967907559734,1775043967924379647,30.511763,16.819913,47.331676,200
1775043967892302871,1775043967924379647,1775043967947903215,32.076776,23.523568,55.600344,200
1775043967907859407,1775043967947903215,1775043967956187407,40.043808,8.284192,48.328000,200
1775043967935955820,1775043967956187407,1775043967971281395,20.231587,15.093988,35.325575,200
1775043967945713456,1775043967971281395,1775043967994298376,25.567939,23.016981,48.584920,200
1775043967961870881,1775043967994298376,1775043968022449622,32.427495,28.151246,60.578741,200
1775043967990326062,1775043968022449622,1775043968038122953,32.123560,15.673331,47.796891,200
1775043967997543176,1775043968038122953,1775043968059803793,40.579777,21.680840,62.260617,200
1775043968007943496,1775043968059803793,1775043968080069661,51.860297,20.265868,72.126165,200
1775043968021781892,1775043968080069661,1775043968106904835,58.287769,26.835174,85.122943,200
1775043968037263418,1775043968106904835,1775043968116811936,69.641417,9.907101,79.548518,200
1775043968054010523,1775043968116811936,1775043968140790899,62.801413,23.978963,86.780376,200
1775043968068645754,1775043968140790899,1775043968148813762,72.145145,8.022863,80.168008,200
1775043968083256862,1775043968148813762,1775043968153300788,65.556900,4.487026,70.043926,200
1775043968096494906,1775043968153300788,1775043968166229139,56.805882,12.928351,69.734233,200
1775043968110131939,1775043968166229139,1775043968177219608,56.097200,10.990469,67.087669,200
1775043968134037313,1775043968177219608,1775043968205409473,43.182295,28.189865,71.372160,200
1775043968150287166,1775043968205409473,1775043968230629809,55.122307,25.220336,80.342643,200
1775043968155285272,1775043968230629809,1775043968240000686,75.344537,9.370877,84.715414,200
1775043968185533410,1775043968240000686,1775043968267769156,54.467276,27.768470,82.235746,200
1775043968185755822,1775043968267769156,1775043968278271653,82.013334,10.502497,92.515831,200
1775043968200123715,1775043968278271653,1775043968295270048,78.147938,16.998395,95.146333,200
1775043968225938005,1775043968295270048,1775043968310510563,69.332043,15.240515,84.572558,200
1775043968245988751,1775043968310510563,1775043968329400037,64.521812,18.889474,83.411286,200
1775043968252205402,1775043968329400037,1775043968356752343,77.194635,27.352306,104.546941,200
1775043968258262664,1775043968356752343,1775043968381632251,98.489679,24.879908,123.369587,200
1775043968275067660,1775043968381632251,1775043968403010743,106.564591,21.378492,127.943083,200
1775043968289385391,1775043968403010743,1775043968428041967,113.625352,25.031224,138.656576,200
1775043968305017551,1775043968428041967,1775043968450915766,123.024416,22.873799,145.898215,200
1775043968319022025,1775043968450915766,1775043968463708267,131.893741,12.792501,144.686242,200
1775043968332392756,1775043968463708267,1775043968475907155,131.315511,12.198888,143.514399,200
1775043968346310818,1775043968475907155,1775043968489800372,129.596337,13.893217,143.489554,200
1775043968367383718,1775043968489800372,1775043968512926069,122.416654,23.125697,145.542351,200
1775043968373861031,1775043968512926069,1775043968528521438,139.065038,15.595369,154.660407,200
1775043968383934198,1775043968528521438,1775043968589244707,144.587240,60.723269,205.310509,200
1775043968398484986,1775043968589244707,1775043968600807197,190.759721,11.562490,202.322211,200
1775043968413813758,1775043968600807197,1775043968610789304,186.993439,9.982107,196.975546,200
1775043968427996227,1775043968610789304,1775043968637429762,182.793077,26.640458,209.433535,200
1775043968451333870,1775043968637429762,1775043968674988318,186.095892,37.558556,223.654448,200
1775043968451562525,1775043968674988318,1775043968698191539,223.425793,23.203221,246.629014,200
1775043968466807324,1775043968698191539,1775043968725792005,231.384215,27.600466,258.984681,200
1775043968479693167,1775043968725792005,1775043968763439415,246.098838,37.647410,283.746248,200
1775043968493103773,1775043968763439415,1775043968780368399,270.335642,16.928984,287.264626,200
1775043968506703626,1775043968780368399,1775043968788786867,273.664773,8.418468,282.083241,200
1775043968519469139,1775043968788786867,1775043968802233804,269.317728,13.446937,282.764665,200
1775043968531309061,1775043968802233804,1775043968831586342,270.924743,29.352538,300.277281,200
1775043968542968374,1775043968831586342,1775043968839913614,288.617968,8.327272,296.945240,200
1775043968568174252,1775043968839913614,1775043968858016709,271.739362,18.103095,289.842457,200
1775043968568621961,1775043968858016709,1775043968878336170,289.394748,20.319461,309.714209,200
1775043968592213363,1775043968878336170,1775043968893403879,286.122807,15.067709,301.190516,200
1775043968593775636,1775043968893403879,1775043968919423698,299.628243,26.019819,325.648062,200
1775043968606587883,1775043968919423698,1775043968943561115,312.835815,24.137417,336.973232,200
1775043968627184636,1775043968943561115,1775043969003828172,316.376479,60.267057,376.643536,200
1775043968642474148,1775043969003828172,1775043969028467991,361.354024,24.639819,385.993843,200
1775043968652121398,1775043969028467991,1775043969041379276,376.346593,12.911285,389.257878,200
1775043968658425027,1775043969041379276,1775043969054617752,382.954249,13.238476,396.192725,200
1775043968674555214,1775043969054617752,1775043969066105790,380.062538,11.488038,391.550576,200
1775043968687193043,1775043969066105790,1775043969095448729,378.912747,29.342939,408.255686,200
1775043968702028808,1775043969095448729,1775043969108652210,393.419921,13.203481,406.623402,200
1775043968719847460,1775043969108652210,1775043969125794028,388.804750,17.141818,405.946568,200
1775043968750955865,1775043969125794028,1775043969152167355,374.838163,26.373327,401.211490,200
1775043968772181206,1775043969152167355,1775043969164327240,379.986149,12.159885,392.146034,200
1775043968785265329,1775043969164327240,1775043969179569692,379.061911,15.242452,394.304363,200
1775043968799887276,1775043969179569692,1775043969186326290,379.682416,6.756598,386.439014,200
1775043968814097393,1775043969186326290,1775043969196394805,372.228897,10.068515,382.297412,200
1775043968835624985,1775043969196394805,1775043969209592016,360.769820,13.197211,373.967031,200
1775043968851945211,1775043969209592016,1775043969231723813,357.646805,22.131797,379.778602,200
1775043968855782655,1775043969231723813,1775043969265033809,375.941158,33.309996,409.251154,200
1775043968871089501,1775043969265033809,1775043969282648765,393.944308,17.614956,411.559264,200
1775043968891267153,1775043969282648765,1775043969303055221,391.381612,20.406456,411.788068,200
1775043968896205795,1775043969303055221,1775043969322483992,406.849426,19.428771,426.278197,200
1775043968909726984,1775043969322483992,1775043969353943088,412.757008,31.459096,444.216104,200
1775043968923284131,1775043969353943088,1775043969382391133,430.658957,28.448045,459.107002,200
1775043968947729604,1775043969382391133,1775043969402930276,434.661529,20.539143,455.200672,200
1775043968951914693,1775043969402930276,1775043969413384622,451.015583,10.454346,461.469929,200
1775043968976136183,1775043969413384622,1775043969441983061,437.248439,28.598439,465.846878,200
1775043968978682690,1775043969441983061,1775043969463714647,463.300371,21.731586,485.031957,200
1775043968991033730,1775043969463714647,1775043969497615521,472.680917,33.900874,506.581791,200
1775043969005083042,1775043969497615521,1775043969515124863,492.532479,17.509342,510.041821,200
1775043969018849301,1775043969515124863,1775043969564783477,496.275562,49.658614,545.934176,200
1775043969032783143,1775043969564783477,1775043969579512209,532.000334,14.728732,546.729066,200
1775043969047163549,1775043969579512209,1775043969620607929,532.348660,41.095720,573.444380,200
