arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046645799227131,1775046645799227131,1775046645806299131,0.000000,7.072000,7.072000,200
1775046645827175477,1775046645827175477,1775046645831777477,0.000000,4.602000,4.602000,200
1775046645858488666,1775046645858488666,1775046645861741666,0.000000,3.253000,3.253000,200
1775046645877628105,1775046645877628105,1775046645882138105,0.000000,4.510000,4.510000,200
1775046645896215638,1775046645896215638,1775046645901474638,0.000000,5.259000,5.259000,200
1775046645914161767,1775046645914161767,1775046645918457767,0.000000,4.296000,4.296000,200
1775046645931581823,1775046645931581823,1775046645936470823,0.000000,4.889000,4.889000,200
1775046645950388000,1775046645950388000,1775046645956284000,0.000000,5.896000,5.896000,200
1775046645982697853,1775046645982697853,1775046645988020853,0.000000,5.323000,5.323000,200
1775046646002652838,1775046646002652838,1775046646009929838,0.000000,7.277000,7.277000,200
1775046646019864433,1775046646019864433,1775046646027143433,0.000000,7.279000,7.279000,200
1775046646036640491,1775046646036640491,1775046646041042491,0.000000,4.402000,4.402000,200
1775046646053395053,1775046646053395053,1775046646058194053,0.000000,4.799000,4.799000,200
1775046646072029819,1775046646072029819,1775046646077108819,0.000000,5.079000,5.079000,200
1775046646092464205,1775046646092464205,1775046646096971205,0.000000,4.507000,4.507000,200
1775046646110802036,1775046646110802036,1775046646114411036,0.000000,3.609000,3.609000,200
1775046646128534104,1775046646128534104,1775046646132276104,0.000000,3.742000,3.742000,200
1775046646145654604,1775046646145654604,1775046646150105604,0.000000,4.451000,4.451000,200
1775046646163227742,1775046646163227742,1775046646167648742,0.000000,4.421000,4.421000,200
1775046646197318312,1775046646197318312,1775046646200947312,0.000000,3.629000,3.629000,200
1775046646215661573,1775046646215661573,1775046646219786573,0.000000,4.125000,4.125000,200
1775046646233591192,1775046646233591192,1775046646238584192,0.000000,4.993000,4.993000,200
1775046646262918532,1775046646262918532,1775046646266698532,0.000000,3.780000,3.780000,200
1775046646280327707,1775046646280327707,1775046646284880707,0.000000,4.553000,4.553000,200
1775046646298576213,1775046646298576213,1775046646303087213,0.000000,4.511000,4.511000,200
1775046646316867299,1775046646316867299,1775046646321172299,0.000000,4.305000,4.305000,200
1775046646338825597,1775046646338825597,1775046646345772597,0.000000,6.947000,6.947000,200
1775046646360797977,1775046646360797977,1775046646365164977,0.000000,4.367000,4.367000,200
1775046646386588957,1775046646386588957,1775046646391747957,0.000000,5.159000,5.159000,200
1775046646404657649,1775046646404657649,1775046646439605649,0.000000,34.948000,34.948000,200
1775046646423217989,1775046646423217989,1775046646427985989,0.000000,4.768000,4.768000,200
1775046646440357524,1775046646440357524,1775046646444758524,0.000000,4.401000,4.401000,200
1775046646458141580,1775046646458141580,1775046646462510580,0.000000,4.369000,4.369000,200
