arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046645799227131,1775046645799227131,1775046645804084851,0.000000,4.857720,4.857720,200
1775046645827175477,1775046645827175477,1775046645831982844,0.000000,4.807367,4.807367,200
1775046645858488666,1775046645858488666,1775046645863404303,0.000000,4.915637,4.915637,200
1775046645877628105,1775046645877628105,1775046645884224568,0.000000,6.596463,6.596463,200
1775046645896215638,1775046645896215638,1775046645901102434,0.000000,4.886796,4.886796,200
1775046645914161767,1775046645914161767,1775046645917139586,0.000000,2.977819,2.977819,200
1775046645931581823,1775046645931581823,1775046645937352862,0.000000,5.771039,5.771039,200
1775046645950388000,1775046645950388000,1775046645955033967,0.000000,4.645967,4.645967,200
1775046645982697853,1775046645982697853,1775046645987429238,0.000000,4.731385,4.731385,200
1775046646002652838,1775046646002652838,1775046646007989411,0.000000,5.336573,5.336573,200
1775046646019864433,1775046646019864433,1775046646025430462,0.000000,5.566029,5.566029,200
1775046646036640491,1775046646036640491,1775046646044435254,0.000000,7.794763,7.794763,200
1775046646053395053,1775046646053395053,1775046646059884224,0.000000,6.489171,6.489171,200
1775046646072029819,1775046646072029819,1775046646077356024,0.000000,5.326205,5.326205,200
1775046646092464205,1775046646092464205,1775046646096382585,0.000000,3.918380,3.918380,200
1775046646110802036,1775046646110802036,1775046646114347772,0.000000,3.545736,3.545736,200
1775046646128534104,1775046646128534104,1775046646134128474,0.000000,5.594370,5.594370,200
1775046646145654604,1775046646145654604,1775046646153876496,0.000000,8.221892,8.221892,200
1775046646163227742,1775046646163227742,1775046646168422971,0.000000,5.195229,5.195229,200
1775046646197318312,1775046646197318312,1775046646202242832,0.000000,4.924520,4.924520,200
1775046646215661573,1775046646215661573,1775046646221864255,0.000000,6.202682,6.202682,200
1775046646233591192,1775046646233591192,1775046646236616562,0.000000,3.025370,3.025370,200
1775046646262918532,1775046646262918532,1775046646267489606,0.000000,4.571074,4.571074,200
1775046646280327707,1775046646280327707,1775046646286438187,0.000000,6.110480,6.110480,200
1775046646298576213,1775046646298576213,1775046646305594535,0.000000,7.018322,7.018322,200
1775046646316867299,1775046646316867299,1775046646321558356,0.000000,4.691057,4.691057,200
1775046646338825597,1775046646338825597,1775046646344689794,0.000000,5.864197,5.864197,200
1775046646360797977,1775046646360797977,1775046646366396134,0.000000,5.598157,5.598157,200
1775046646386588957,1775046646386588957,1775046646393379887,0.000000,6.790930,6.790930,200
1775046646404657649,1775046646404657649,1775046646408079233,0.000000,3.421584,3.421584,200
1775046646423217989,1775046646423217989,1775046646429503027,0.000000,6.285038,6.285038,200
1775046646440357524,1775046646440357524,1775046646443316913,0.000000,2.959389,2.959389,200
1775046646458141580,1775046646458141580,1775046646460125808,0.000000,1.984228,1.984228,200
1775046646475331883,1775046646475331883,1775046646479440997,0.000000,4.109114,4.109114,200
1775046646511346068,1775046646511346068,1775046646515020849,0.000000,3.674781,3.674781,200
1775046646532422984,1775046646532422984,1775046646539447928,0.000000,7.024944,7.024944,200
1775046646551680859,1775046646551680859,1775046646558187958,0.000000,6.507099,6.507099,200
1775046646588491449,1775046646588491449,1775046646591784533,0.000000,3.293084,3.293084,200
