arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775046842911448478,4.305000,0.024000,4.329000,200
1775046842926674694,3.452000,0.024000,3.477000,200
1775046842944557377,4.394000,0.033000,4.428000,200
1775046842959240146,3.599000,0.033000,3.633000,200
1775046842973563885,3.828000,0.022000,3.851000,200
1775046842987860298,3.361000,0.024000,3.386000,200
1775046843002124238,3.482000,0.035000,3.517000,200
1775046843015970168,3.542000,0.029000,3.572000,200
1775046843031174982,3.341000,0.034000,3.375000,200
1775046843045958238,3.429000,0.023000,3.453000,200
1775046843060070291,3.587000,0.025000,3.613000,200
1775046843073831312,3.805000,0.057000,3.863000,200
1775046843104903110,3.349000,0.030000,3.380000,200
1775046843135919465,3.441000,0.031000,3.472000,200
1775046843149807878,3.654000,0.031000,3.686000,200
1775046843165224546,40.313000,0.029000,40.343000,200
1775046843217246562,3.799000,0.033000,3.832000,200
1775046843232639098,4.048000,0.033000,4.082000,200
1775046843247986750,3.434000,0.025000,3.459000,200
1775046843276582219,3.432000,0.029000,3.462000,200
1775046843291210588,3.720000,0.034000,3.755000,200
1775046843304908351,3.606000,0.021000,3.628000,200
1775046843318762727,3.783000,0.034000,3.818000,200
1775046843333146494,3.879000,0.031000,3.911000,200
1775046843349184571,4.107000,0.031000,4.138000,200
1775046843386309389,4.179000,0.037000,4.216000,200
1775046843401921267,3.724000,0.023000,3.748000,200
1775046843419489053,3.764000,0.036000,3.800000,200
1775046843435541082,3.704000,0.029000,3.733000,200
1775046843451713692,4.277000,0.025000,4.303000,200
1775046843468193666,4.080000,0.031000,4.111000,200
1775046843483118723,3.500000,0.024000,3.525000,200
1775046843510288360,3.551000,0.028000,3.579000,200
1775046843524713912,3.799000,0.035000,3.834000,200
1775046843557482660,3.712000,0.042000,3.755000,200
1775046843572076653,3.649000,0.037000,3.686000,200
1775046843603392591,4.310000,0.028000,4.338000,200
1775046843618100837,3.845000,0.033000,3.879000,200
1775046843633686115,4.022000,0.035000,4.058000,200
1775046843665037408,3.528000,0.030000,3.559000,200
1775046843679010173,4.024000,0.036000,4.060000,200
1775046843693501635,4.439000,0.037000,4.476000,200
1775046843726481809,4.412000,0.031000,4.444000,200
1775046843742311637,3.966000,0.037000,4.004000,200
1775046843772991519,4.270000,0.042000,4.313000,200
1775046843803177616,3.865000,0.036000,3.902000,200
1775046843819741364,5.114000,0.039000,5.153000,200
1775046843838732438,4.189000,0.083000,4.272000,200
1775046843855765675,4.727000,0.032000,4.760000,200
1775046843872944508,4.283000,0.033000,4.317000,200
1775046843890241190,3.944000,0.033000,3.978000,200
1775046843905889743,4.356000,0.044000,4.400000,200
1775046843921671276,4.185000,0.035000,4.220000,200
1775046843957300536,4.706000,0.032000,4.739000,200
1775046843987911554,5.624000,0.039000,5.663000,200
1775046844008329954,5.233000,0.034000,5.267000,200
1775046844028538953,4.647000,0.039000,4.687000,200
1775046844047375783,4.695000,0.032000,4.727000,200
1775046844069546011,4.528000,0.030000,4.558000,200
1775046844095625872,4.545000,0.039000,4.584000,200
1775046844115806713,4.301000,0.031000,4.333000,200
1775046844131772288,3.759000,0.031000,3.791000,200
1775046844146741328,3.914000,0.078000,3.993000,200
1775046844199901749,4.135000,0.034000,4.170000,200
1775046844215610274,4.252000,0.023000,4.276000,200
1775046844230318802,3.451000,0.026000,3.477000,200
1775046844266633576,3.591000,0.034000,3.626000,200
1775046844280808111,3.606000,0.025000,3.631000,200
1775046844294210071,3.822000,0.034000,3.856000,200
1775046844330143560,3.406000,0.028000,3.435000,200
1775046844343950484,4.338000,0.028000,4.367000,200
1775046844377002778,3.378000,0.027000,3.406000,200
1775046844390439392,3.736000,0.024000,3.760000,200
1775046844404846729,3.764000,0.033000,3.798000,200
1775046844419251921,3.625000,0.032000,3.658000,200
1775046844433275841,3.933000,0.023000,3.956000,200
1775046844455855714,3.577000,0.034000,3.612000,200
1775046844469371380,3.425000,0.023000,3.449000,200
1775046844482703613,3.685000,0.025000,3.710000,200
1775046844498937712,4.193000,0.023000,4.217000,200
1775046844515805084,3.717000,0.035000,3.752000,200
1775046844530159017,4.317000,0.033000,4.351000,200
1775046844563526955,4.289000,0.037000,4.327000,200
1775046844594444103,3.956000,0.027000,3.984000,200
1775046844609587509,3.843000,0.024000,3.868000,200
1775046844625560092,4.093000,0.033000,4.127000,200
1775046844656498000,4.359000,0.029000,4.388000,200
1775046844672431275,3.918000,0.031000,3.949000,200
1775046844687146278,3.552000,0.024000,3.577000,200
1775046844701046802,3.934000,0.027000,3.962000,200
1775046844735678482,3.487000,0.034000,3.521000,200
1775046844766960001,3.684000,0.027000,3.711000,200
1775046844781944240,3.656000,0.034000,3.690000,200
1775046844796929929,3.672000,0.033000,3.705000,200
1775046844811538758,4.003000,0.033000,4.036000,200
1775046844828301747,3.796000,0.025000,3.821000,200
1775046844842654676,3.883000,0.026000,3.909000,200
1775046844856943148,3.795000,0.023000,3.818000,200
1775046844871103936,3.330000,0.033000,3.364000,200
1775046844884827166,3.341000,0.033000,3.375000,200
1775046844899070980,3.557000,0.024000,3.582000,200
1775046844913180182,3.263000,0.024000,3.287000,200
1775046844926892266,3.720000,0.030000,3.750000,200
1775046844941861263,3.517000,0.029000,3.547000,200
1775046844956362911,3.555000,0.024000,3.579000,200
1775046844970243633,3.350000,0.023000,3.374000,200
1775046844983995169,3.621000,0.023000,3.644000,200
1775046844997817564,3.473000,0.047000,3.520000,200
1775046845012024475,3.343000,0.024000,3.367000,200
1775046845026207958,3.678000,0.024000,3.703000,200
1775046845040502182,3.138000,0.023000,3.161000,200
1775046845054457811,3.622000,0.034000,3.656000,200
1775046845069475099,3.447000,0.023000,3.471000,200
1775046845083230552,3.684000,0.024000,3.709000,200
1775046845109877366,3.941000,0.033000,3.975000,200
1775046845130041117,4.311000,0.046000,4.358000,200
1775046845150011301,4.012000,0.033000,4.046000,200
1775046845199849351,4.484000,0.033000,4.518000,200
1775046845215822488,4.454000,0.033000,4.487000,200
1775046845232207260,3.914000,0.040000,3.954000,200
1775046845246504610,4.087000,0.035000,4.122000,200
1775046845261299339,4.545000,0.040000,4.585000,200
1775046845279566372,4.364000,0.037000,4.401000,200
1775046845295546308,3.813000,0.034000,3.847000,200
1775046845310899533,3.735000,0.041000,3.776000,200
1775046845325647944,3.665000,0.029000,3.695000,200
1775046845339807172,4.166000,0.028000,4.194000,200
1775046845354548111,4.014000,0.024000,4.038000,200
1775046845369064654,4.126000,0.031000,4.158000,200
1775046845383509918,3.617000,0.023000,3.641000,200
1775046845397730061,4.902000,0.034000,4.936000,200
1775046845414428771,3.753000,0.034000,3.788000,200
1775046845428593883,3.833000,0.022000,3.856000,200
1775046845442604919,3.456000,0.024000,3.480000,200
1775046845479701325,3.731000,0.028000,3.760000,200
1775046845493754929,3.804000,0.027000,3.831000,200
1775046845508011033,3.844000,0.028000,3.872000,200
1775046845522401980,3.613000,0.024000,3.638000,200
1775046845538360597,3.411000,0.030000,3.441000,200
1775046845552523326,4.012000,0.023000,4.036000,200
1775046845566680886,3.459000,0.024000,3.483000,200
1775046845580849396,3.423000,0.024000,3.447000,200
1775046845594473791,3.642000,0.025000,3.668000,200
1775046845609007867,3.310000,0.024000,3.335000,200
1775046845623379543,3.980000,0.034000,4.014000,200
1775046845638898950,5.519000,0.023000,5.543000,200
1775046845656206363,3.602000,0.036000,3.638000,200
1775046845683176474,3.793000,0.038000,3.832000,200
1775046845698901016,3.764000,0.024000,3.788000,200
1775046845728869728,3.417000,0.026000,3.443000,200
1775046845742550940,4.066000,0.026000,4.092000,200
1775046845775664533,4.059000,0.034000,4.093000,200
1775046845791141027,4.168000,0.037000,4.205000,200
1775046845810148307,3.983000,0.051000,4.034000,200
1775046845826109613,4.111000,0.055000,4.167000,200
1775046845842965433,4.037000,0.030000,4.068000,200
1775046845859285896,4.004000,0.034000,4.038000,200
1775046845875159968,4.071000,0.030000,4.101000,200
1775046845891120214,3.845000,0.023000,3.869000,200
1775046845906221187,4.159000,0.032000,4.192000,200
1775046845921893935,3.968000,0.034000,4.002000,200
1775046845947131935,3.900000,0.037000,3.937000,200
1775046845961847668,4.028000,0.028000,4.057000,200
1775046845976261537,3.995000,0.028000,4.024000,200
1775046846009710304,3.683000,0.034000,3.718000,200
1775046846024108292,4.316000,0.032000,4.349000,200
1775046846039431141,3.953000,0.037000,3.990000,200
1775046846053715075,4.104000,0.023000,4.128000,200
1775046846069222373,3.852000,0.027000,3.879000,200
1775046846083943338,3.751000,0.031000,3.782000,200
1775046846118208676,3.456000,0.031000,3.487000,200
1775046846148534714,4.020000,0.028000,4.049000,200
1775046846202311464,3.620000,0.036000,3.657000,200
1775046846217068408,3.475000,0.032000,3.507000,200
1775046846231543609,3.459000,0.027000,3.487000,200
1775046846246155744,3.559000,0.076000,3.635000,200
