arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039495895000000,1775039495895000000,1775039495895187531,0.000000,0.187531,0.187531,200
1775039495920000000,1775039495920000000,1775039495920183163,0.000000,0.183163,0.183163,200
1775039495944000000,1775039495944000000,1775039495944142532,0.000000,0.142532,0.142532,200
1775039495969000000,1775039495969000000,1775039495969190477,0.000000,0.190477,0.190477,200
1775039496003000000,1775039496003000000,1775039496003128965,0.000000,0.128965,0.128965,200
1775039496026000000,1775039496026000000,1775039496026177509,0.000000,0.177509,0.177509,200
1775039496049000000,1775039496049000000,1775039496049195667,0.000000,0.195667,0.195667,200
1775039496072000000,1775039496072000000,1775039496072137072,0.000000,0.137072,0.137072,200
1775039496097000000,1775039496097000000,1775039496097132532,0.000000,0.132532,0.132532,200
1775039496120000000,1775039496120000000,1775039496120201008,0.000000,0.201008,0.201008,200
1775039496143000000,1775039496143000000,1775039496143129336,0.000000,0.129336,0.129336,200
1775039496189000000,1775039496189000000,1775039496189252811,0.000000,0.252811,0.252811,200
1775039496214000000,1775039496214000000,1775039496214222710,0.000000,0.222710,0.222710,200
1775039496240000000,1775039496240000000,1775039496240198562,0.000000,0.198562,0.198562,200
1775039496268000000,1775039496268000000,1775039496268143173,0.000000,0.143173,0.143173,200
1775039496313000000,1775039496313000000,1775039496313134056,0.000000,0.134056,0.134056,200
1775039496337000000,1775039496337000000,1775039496337304703,0.000000,0.304703,0.304703,200
1775039496361000000,1775039496361000000,1775039496361135588,0.000000,0.135588,0.135588,200
1775039496384000000,1775039496384000000,1775039496384208151,0.000000,0.208151,0.208151,200
1775039496407000000,1775039496407000000,1775039496407166168,0.000000,0.166168,0.166168,200
1775039496439000000,1775039496439000000,1775039496439209785,0.000000,0.209785,0.209785,200
1775039496462000000,1775039496462000000,1775039496462129165,0.000000,0.129165,0.129165,200
1775039496500000000,1775039496500000000,1775039496500190849,0.000000,0.190849,0.190849,200
1775039496523000000,1775039496523000000,1775039496523169084,0.000000,0.169084,0.169084,200
1775039496546000000,1775039496546000000,1775039496546148774,0.000000,0.148774,0.148774,200
1775039496592000000,1775039496592000000,1775039496592128555,0.000000,0.128555,0.128555,200
1775039496618000000,1775039496618000000,1775039496618151291,0.000000,0.151291,0.151291,200
1775039496654000000,1775039496654000000,1775039496654171459,0.000000,0.171459,0.171459,200
1775039496678000000,1775039496678000000,1775039496678145097,0.000000,0.145097,0.145097,200
1775039496704000000,1775039496704000000,1775039496704185668,0.000000,0.185668,0.185668,200
1775039496728000000,1775039496728000000,1775039496728149075,0.000000,0.149075,0.149075,200
1775039496753000000,1775039496753000000,1775039496753130709,0.000000,0.130709,0.130709,200
1775039496776000000,1775039496776000000,1775039496776389459,0.000000,0.389459,0.389459,200
1775039496801000000,1775039496801000000,1775039496801182822,0.000000,0.182822,0.182822,200
1775039496825000000,1775039496825000000,1775039496825138204,0.000000,0.138204,0.138204,200
1775039496851000000,1775039496851000000,1775039496851142873,0.000000,0.142873,0.142873,200
