arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039495895000000,1775039495895000000,1775039495895152091,0.000000,0.152091,0.152091,200
1775039495920000000,1775039495920000000,1775039495920133495,0.000000,0.133495,0.133495,200
1775039495944000000,1775039495944000000,1775039495944193613,0.000000,0.193613,0.193613,200
1775039495969000000,1775039495969000000,1775039495969131931,0.000000,0.131931,0.131931,200
1775039496003000000,1775039496003000000,1775039496003147702,0.000000,0.147702,0.147702,200
1775039496026000000,1775039496026000000,1775039496026132011,0.000000,0.132011,0.132011,200
1775039496049000000,1775039496049000000,1775039496049128805,0.000000,0.128805,0.128805,200
1775039496072000000,1775039496072000000,1775039496072131941,0.000000,0.131941,0.131941,200
1775039496097000000,1775039496097000000,1775039496097146700,0.000000,0.146700,0.146700,200
1775039496120000000,1775039496120000000,1775039496120130448,0.000000,0.130448,0.130448,200
1775039496143000000,1775039496143000000,1775039496143138965,0.000000,0.138965,0.138965,200
1775039496189000000,1775039496189000000,1775039496189195517,0.000000,0.195517,0.195517,200
1775039496214000000,1775039496214000000,1775039496214183543,0.000000,0.183543,0.183543,200
1775039496240000000,1775039496240000000,1775039496240138444,0.000000,0.138444,0.138444,200
1775039496268000000,1775039496268000000,1775039496268215016,0.000000,0.215016,0.215016,200
1775039496313000000,1775039496313000000,1775039496313154486,0.000000,0.154486,0.154486,200
1775039496337000000,1775039496337000000,1775039496337127222,0.000000,0.127222,0.127222,200
1775039496361000000,1775039496361000000,1775039496361132382,0.000000,0.132382,0.132382,200
1775039496384000000,1775039496384000000,1775039496384135218,0.000000,0.135218,0.135218,200
1775039496407000000,1775039496407000000,1775039496407190407,0.000000,0.190407,0.190407,200
1775039496439000000,1775039496439000000,1775039496439130379,0.000000,0.130379,0.130379,200
1775039496462000000,1775039496462000000,1775039496462127693,0.000000,0.127693,0.127693,200
1775039496500000000,1775039496500000000,1775039496500132572,0.000000,0.132572,0.132572,200
1775039496523000000,1775039496523000000,1775039496523233122,0.000000,0.233122,0.233122,200
1775039496546000000,1775039496546000000,1775039496546127402,0.000000,0.127402,0.127402,200
1775039496592000000,1775039496592000000,1775039496592133064,0.000000,0.133064,0.133064,200
1775039496618000000,1775039496618000000,1775039496618170738,0.000000,0.170738,0.170738,200
1775039496654000000,1775039496654000000,1775039496654147231,0.000000,0.147231,0.147231,200
1775039496678000000,1775039496678000000,1775039496678146981,0.000000,0.146981,0.146981,200
1775039496704000000,1775039496704000000,1775039496704174646,0.000000,0.174646,0.174646,200
1775039496728000000,1775039496728000000,1775039496728149215,0.000000,0.149215,0.149215,200
1775039496753000000,1775039496753000000,1775039496753187681,0.000000,0.187681,0.187681,200
1775039496776000000,1775039496776000000,1775039496776129005,0.000000,0.129005,0.129005,200
1775039496801000000,1775039496801000000,1775039496801139526,0.000000,0.139526,0.139526,200
1775039496825000000,1775039496825000000,1775039496825192912,0.000000,0.192912,0.192912,200
1775039496851000000,1775039496851000000,1775039496851244544,0.000000,0.244544,0.244544,200
1775039496873000000,1775039496873000000,1775039496873174846,0.000000,0.174846,0.174846,200
1775039496904000000,1775039496904000000,1775039496904140227,0.000000,0.140227,0.140227,200
1775039496927000000,1775039496927000000,1775039496927185808,0.000000,0.185808,0.185808,200
1775039496953000000,1775039496953000000,1775039496954096010,0.000000,1.096010,1.096010,200
1775039496978000000,1775039496978000000,1775039496978130168,0.000000,0.130168,0.130168,200
1775039497003000000,1775039497003000000,1775039497003129286,0.000000,0.129286,0.129286,200
1775039497028000000,1775039497028000000,1775039497028258773,0.000000,0.258773,0.258773,200
1775039497076000000,1775039497076000000,1775039497076146380,0.000000,0.146380,0.146380,200
1775039497107000000,1775039497107000000,1775039497107464752,0.000000,0.464752,0.464752,200
1775039497132000000,1775039497132000000,1775039497132205748,0.000000,0.205748,0.205748,200
1775039497155000000,1775039497155000000,1775039497155131881,0.000000,0.131881,0.131881,200
1775039497180000000,1775039497180000000,1775039497180162602,0.000000,0.162602,0.162602,200
1775039497205000000,1775039497205000000,1775039497205139326,0.000000,0.139326,0.139326,200
1775039497247000000,1775039497247000000,1775039497247145288,0.000000,0.145288,0.145288,200
1775039497272000000,1775039497272000000,1775039497272129136,0.000000,0.129136,0.129136,200
1775039497296000000,1775039497296000000,1775039497296170788,0.000000,0.170788,0.170788,200
1775039497341000000,1775039497341000000,1775039497341131741,0.000000,0.131741,0.131741,200
1775039497365000000,1775039497365000000,1775039497365186860,0.000000,0.186860,0.186860,200
1775039497390000000,1775039497390000000,1775039497390203132,0.000000,0.203132,0.203132,200
1775039497434000000,1775039497434000000,1775039497434173574,0.000000,0.173574,0.173574,200
1775039497459000000,1775039497459000000,1775039497459127271,0.000000,0.127271,0.127271,200
