arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775039381808000000,0.181088,0.021483,0.202571,200
1775039381843000000,0.176719,0.019078,0.195797,200
1775039381876000000,0.175107,0.021041,0.196148,200
1775039381920000000,0.189384,0.018737,0.208121,200
1775039381953000000,0.176128,0.019138,0.195266,200
1775039381986000000,0.639796,0.019959,0.659755,200
1775039382020000000,0.185848,0.021132,0.206980,200
1775039382052000000,0.177521,0.018126,0.195647,200
1775039382083000000,0.176900,0.020811,0.197711,200
1775039382137000000,0.230135,0.026192,0.256327,200
1775039382170000000,0.169395,0.021663,0.191058,200
1775039382205000000,0.176820,0.018827,0.195647,200
1775039382239000000,0.286256,0.030000,0.316256,200
1775039382275000000,0.173584,0.020791,0.194375,200
1775039382324000000,0.203513,0.021903,0.225416,200
1775039382358000000,0.278631,0.018096,0.296727,200
1775039382391000000,1.061386,0.028256,1.089642,200
1775039382428000000,0.184755,0.019138,0.203893,200
1775039382461000000,0.191378,0.028637,0.220015,200
1775039382509000000,0.178083,0.019078,0.197161,200
1775039382557000000,0.188022,0.022044,0.210066,200
1775039382589000000,0.265275,0.024318,0.289593,200
1775039382621000000,0.173934,0.020911,0.194845,200
1775039382655000000,0.177210,0.018497,0.195707,200
1775039382689000000,0.262930,0.026693,0.289623,200
1775039382723000000,0.195347,0.021131,0.216478,200
1775039382775000000,0.176359,0.018416,0.194775,200
1775039382808000000,0.627541,0.019719,0.647260,200
1775039382841000000,0.174405,0.021032,0.195437,200
1775039382874000000,0.174395,0.020330,0.194725,200
1775039382908000000,0.171739,0.018677,0.190416,200
1775039382941000000,0.188793,0.021333,0.210126,200
1775039382975000000,0.260475,0.025050,0.285525,200
1775039383011000000,0.231428,0.032875,0.264303,200
1775039383045000000,0.241498,0.031232,0.272730,200
1775039383083000000,0.258020,0.032224,0.290244,200
1775039383134000000,0.275355,0.027264,0.302619,200
1775039383175000000,0.281917,0.053807,0.335724,200
1775039383219000000,1.026611,0.026292,1.052903,200
1775039383267000000,0.290194,0.066341,0.356535,200
1775039383302000000,0.179265,0.017845,0.197110,200
1775039383350000000,0.259042,0.020300,0.279342,200
1775039383382000000,0.174816,0.021282,0.196098,200
1775039383415000000,0.198272,0.025090,0.223362,200
1775039383448000000,0.246077,0.030741,0.276818,200
1775039383480000000,0.170256,0.017866,0.188122,200
1775039383512000000,0.175257,0.018296,0.193553,200
1775039383545000000,0.191298,0.018607,0.209905,200
1775039383598000000,0.177952,0.021623,0.199575,200
1775039383630000000,0.689113,0.019289,0.708402,200
1775039383663000000,0.248302,0.023817,0.272119,200
1775039383697000000,0.177782,0.019489,0.197271,200
1775039383730000000,0.251939,0.021943,0.273882,200
1775039383763000000,0.186589,0.019529,0.206118,200
1775039383796000000,0.257539,0.025631,0.283170,200
1775039383831000000,0.306426,0.035551,0.341977,200
1775039383866000000,0.290445,0.030350,0.320795,200
1775039383903000000,0.259123,0.027474,0.286597,200
1775039383957000000,0.262319,0.027965,0.290284,200
1775039384003000000,0.191399,0.022695,0.214094,200
1775039384037000000,0.851865,0.027514,0.879379,200
1775039384081000000,0.205046,0.021021,0.226067,200
1775039384112000000,0.186900,0.019669,0.206569,200
1775039384146000000,0.174506,0.018927,0.193433,200
1775039384181000000,0.230346,0.024007,0.254353,200
1775039384217000000,0.180557,0.022074,0.202631,200
1775039384267000000,0.174966,0.022395,0.197361,200
1775039384315000000,0.235446,0.030360,0.265806,200
1775039384361000000,0.190016,0.019228,0.209244,200
1775039384407000000,0.174345,0.021914,0.196259,200
1775039384453000000,0.170898,0.019278,0.190176,200
1775039384500000000,0.647942,0.024017,0.671959,200
1775039384547000000,0.207741,0.030541,0.238282,200
1775039384593000000,0.212040,0.026742,0.238782,200
1775039384627000000,0.186188,0.021683,0.207871,200
1775039384670000000,0.263191,0.019098,0.282289,200
1775039384703000000,0.177521,0.019098,0.196619,200
1775039384747000000,0.244844,0.022184,0.267028,200
1775039384794000000,0.175067,0.022234,0.197301,200
1775039384828000000,0.174926,0.021212,0.196138,200
1775039384872000000,0.185136,0.019479,0.204615,200
1775039384920000000,0.179475,0.024037,0.203512,200
1775039384966000000,0.623503,0.022034,0.645537,200
1775039385000000000,0.204675,0.017825,0.222500,200
1775039385045000000,0.178253,0.022805,0.201058,200
1775039385079000000,0.168363,0.018186,0.186549,200
1775039385123000000,0.234093,0.033737,0.267830,200
1775039385169000000,0.176159,0.018727,0.194886,200
1775039385206000000,0.205226,0.021452,0.226678,200
1775039385261000000,0.188383,0.021493,0.209876,200
1775039385293000000,0.190056,0.021232,0.211288,200
1775039385325000000,0.174135,0.018266,0.192401,200
1775039385359000000,0.178523,0.021482,0.200005,200
1775039385399000000,0.663503,0.021562,0.685065,200
1775039385434000000,0.233843,0.020451,0.254294,200
1775039385477000000,0.226859,0.023587,0.250446,200
1775039385509000000,0.184986,0.020942,0.205928,200
1775039385556000000,0.184184,0.020771,0.204955,200
1775039385590000000,0.384631,0.026733,0.411364,200
1775039385635000000,0.189044,0.019208,0.208252,200
1775039385667000000,0.171029,0.021112,0.192141,200
1775039385701000000,0.174365,0.020511,0.194876,200
1775039385734000000,0.252620,0.026964,0.279584,200
1775039385790000000,0.193513,0.020420,0.213933,200
1775039385840000000,0.647852,0.022163,0.670015,200
1775039385882000000,0.171429,0.019419,0.190848,200
1775039385916000000,0.295064,0.029258,0.324322,200
1775039385953000000,0.196509,0.030159,0.226668,200
1775039385990000000,0.202852,0.029047,0.231899,200
1775039386026000000,0.269964,0.030020,0.299984,200
1775039386063000000,0.169706,0.021553,0.191259,200
1775039386099000000,0.239644,0.022624,0.262268,200
1775039386136000000,0.276057,0.030209,0.306266,200
1775039386174000000,0.376054,0.035290,0.411344,200
1775039386210000000,0.249864,0.031512,0.281376,200
1775039386257000000,0.854341,0.035670,0.890011,200
1775039386307000000,0.179595,0.022996,0.202591,200
1775039386342000000,0.178092,0.018126,0.196218,200
1775039386391000000,0.215145,0.025270,0.240415,200
1775039386430000000,0.410071,0.020100,0.430171,200
1775039386466000000,0.172581,0.018897,0.191478,200
1775039386503000000,0.220697,0.032925,0.253622,200
1775039386539000000,0.247600,0.027735,0.275335,200
1775039386574000000,0.237109,0.024098,0.261207,200
1775039386610000000,0.384500,0.029699,0.414199,200
