arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045861450000000,1775045861450000000,1775045861896697067,0.000000,446.697067,446.697067,200
1775045862087000000,1775045862087000000,1775045862094966578,0.000000,7.966578,7.966578,200
1775045862126000000,1775045862126000000,1775045862129772872,0.000000,3.772872,3.772872,200
1775045862174000000,1775045862174000000,1775045862182534284,0.000000,8.534284,8.534284,200
1775045862246000000,1775045862246000000,1775045862253382718,0.000000,7.382718,7.382718,200
1775045862293000000,1775045862293000000,1775045862295764359,0.000000,2.764359,2.764359,200
1775045862331000000,1775045862331000000,1775045862336050540,0.000000,5.050540,5.050540,200
1775045862381000000,1775045862381000000,1775045862388954434,0.000000,7.954434,7.954434,200
1775045862427000000,1775045862427000000,1775045862430981627,0.000000,3.981627,3.981627,200
1775045862480000000,1775045862480000000,1775045862483608422,0.000000,3.608422,3.608422,200
1775045862516000000,1775045862516000000,1775045862518711013,0.000000,2.711013,2.711013,200
1775045862554000000,1775045862554000000,1775045862556291981,0.000000,2.291981,2.291981,200
1775045862586000000,1775045862586000000,1775045862590145852,0.000000,4.145852,4.145852,200
1775045862621000000,1775045862621000000,1775045862623002867,0.000000,2.002867,2.002867,200
1775045862656000000,1775045862656000000,1775045862657508505,0.000000,1.508505,1.508505,200
1775045862692000000,1775045862692000000,1775045862693539087,0.000000,1.539087,1.539087,200
1775045862722000000,1775045862722000000,1775045862723088221,0.000000,1.088221,1.088221,200
1775045862755000000,1775045862755000000,1775045862756277908,0.000000,1.277908,1.277908,200
1775045862805000000,1775045862805000000,1775045862806209712,0.000000,1.209712,1.209712,200
1775045862838000000,1775045862838000000,1775045862839359770,0.000000,1.359770,1.359770,200
1775045862873000000,1775045862873000000,1775045862874591360,0.000000,1.591360,1.591360,200
1775045862928000000,1775045862928000000,1775045862929649395,0.000000,1.649395,1.649395,200
1775045862967000000,1775045862967000000,1775045862968330532,0.000000,1.330532,1.330532,200
1775045863001000000,1775045863001000000,1775045863006790590,0.000000,5.790590,5.790590,200
1775045863053000000,1775045863053000000,1775045863054264110,0.000000,1.264110,1.264110,200
1775045863093000000,1775045863093000000,1775045863095781098,0.000000,2.781098,2.781098,200
1775045863139000000,1775045863139000000,1775045863140325072,0.000000,1.325072,1.325072,200
1775045863175000000,1775045863175000000,1775045863176475149,0.000000,1.475149,1.475149,200
1775045863222000000,1775045863222000000,1775045863223549158,0.000000,1.549158,1.549158,200
1775045863272000000,1775045863272000000,1775045863273365281,0.000000,1.365281,1.365281,200
1775045863329000000,1775045863329000000,1775045863330479658,0.000000,1.479658,1.479658,200
1775045863374000000,1775045863374000000,1775045863378608039,0.000000,4.608039,4.608039,200
1775045863425000000,1775045863425000000,1775045863426899953,0.000000,1.899953,1.899953,200
1775045863467000000,1775045863467000000,1775045863468099433,0.000000,1.099433,1.099433,200
1775045863514000000,1775045863514000000,1775045863515145094,0.000000,1.145094,1.145094,200
1775045863544000000,1775045863544000000,1775045863545156637,0.000000,1.156637,1.156637,200
1775045863579000000,1775045863579000000,1775045863580260303,0.000000,1.260303,1.260303,200
1775045863619000000,1775045863619000000,1775045863620193690,0.000000,1.193690,1.193690,200
1775045863668000000,1775045863668000000,1775045863669208649,0.000000,1.208649,1.208649,200
1775045863710000000,1775045863710000000,1775045863711805534,0.000000,1.805534,1.805534,200
