arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043481009978991,1775043481009978991,1775043481010629337,0.000000,0.650346,0.650346,200
1775043481024238206,1775043481024238206,1775043481025226664,0.000000,0.988458,0.988458,200
1775043481051988697,1775043481051988697,1775043481056864798,0.000000,4.876101,4.876101,200
1775043481082372421,1775043481082372421,1775043481083042367,0.000000,0.669946,0.669946,200
1775043481113750707,1775043481113750707,1775043481117697313,0.000000,3.946606,3.946606,200
1775043481126353404,1775043481126353404,1775043481126879578,0.000000,0.526174,0.526174,200
1775043481138495306,1775043481138495306,1775043481139053584,0.000000,0.558278,0.558278,200
1775043481150780055,1775043481150780055,1775043481151513787,0.000000,0.733732,0.733732,200
1775043481175428753,1775043481175428753,1775043481176125493,0.000000,0.696740,0.696740,200
1775043481206563373,1775043481206563373,1775043481207201073,0.000000,0.637700,0.637700,200
1775043481218789021,1775043481218789021,1775043481219662891,0.000000,0.873870,0.873870,200
1775043481230773489,1775043481230773489,1775043481231714057,0.000000,0.940568,0.940568,200
1775043481243920580,1775043481243920580,1775043481244461961,0.000000,0.541381,0.541381,200
1775043481296663312,1775043481296663312,1775043481297368789,0.000000,0.705477,0.705477,200
1775043481310522040,1775043481310522040,1775043481311300350,0.000000,0.778310,0.778310,200
1775043481324806175,1775043481324806175,1775043481325960838,0.000000,1.154663,1.154663,200
1775043481338826983,1775043481338826983,1775043481339610365,0.000000,0.783382,0.783382,200
1775043481353557409,1775043481353557409,1775043481354342423,0.000000,0.785014,0.785014,200
1775043481374869794,1775043481374869794,1775043481376352848,0.000000,1.483054,1.483054,200
1775043481387333289,1775043481387333289,1775043481388639836,0.000000,1.306547,1.306547,200
1775043481400010031,1775043481400010031,1775043481400543980,0.000000,0.533949,0.533949,200
1775043481413323904,1775043481413323904,1775043481414014134,0.000000,0.690230,0.690230,200
1775043481440258019,1775043481440258019,1775043481441010309,0.000000,0.752290,0.752290,200
1775043481453503887,1775043481453503887,1775043481454264193,0.000000,0.760306,0.760306,200
1775043481499084482,1775043481499084482,1775043481501138543,0.000000,2.054061,2.054061,200
1775043481515741363,1775043481515741363,1775043481516675590,0.000000,0.934227,0.934227,200
1775043481532405743,1775043481532405743,1775043481533124079,0.000000,0.718336,0.718336,200
1775043481551451643,1775043481551451643,1775043481551890081,0.000000,0.438438,0.438438,200
1775043481568465498,1775043481568465498,1775043481570169756,0.000000,1.704258,1.704258,200
1775043481584643032,1775043481584643032,1775043481585360282,0.000000,0.717250,0.717250,200
1775043481598842415,1775043481598842415,1775043481599588413,0.000000,0.745998,0.745998,200
1775043481617829509,1775043481617829509,1775043481620827757,0.000000,2.998248,2.998248,200
1775043481640232937,1775043481640232937,1775043481643019543,0.000000,2.786606,2.786606,200
1775043481656366373,1775043481656366373,1775043481657825963,0.000000,1.459590,1.459590,200
1775043481670339558,1775043481670339558,1775043481670971879,0.000000,0.632321,0.632321,200
1775043481705156081,1775043481705156081,1775043481706086856,0.000000,0.930775,0.930775,200
1775043481734962228,1775043481734962228,1775043481736099739,0.000000,1.137511,1.137511,200
1775043481765616947,1775043481765616947,1775043481766259050,0.000000,0.642103,0.642103,200
1775043481778897233,1775043481778897233,1775043481779453159,0.000000,0.555926,0.555926,200
1775043481793138693,1775043481793138693,1775043481794631025,0.000000,1.492332,1.492332,200
1775043481808394020,1775043481808394020,1775043481809427323,0.000000,1.033303,1.033303,200
1775043481824573595,1775043481824573595,1775043481825554364,0.000000,0.980769,0.980769,200
1775043481853374498,1775043481853374498,1775043481855261684,0.000000,1.887186,1.887186,200
1775043481868650786,1775043481868650786,1775043481877228207,0.000000,8.577421,8.577421,200
1775043481886120819,1775043481886120819,1775043481886731657,0.000000,0.610838,0.610838,200
1775043481903915156,1775043481903915156,1775043481904494280,0.000000,0.579124,0.579124,200
1775043481917037648,1775043481917037648,1775043481917593725,0.000000,0.556077,0.556077,200
1775043481931920662,1775043481931920662,1775043481932682884,0.000000,0.762222,0.762222,200
1775043481946905002,1775043481946905002,1775043481953979691,0.000000,7.074689,7.074689,200
1775043481960377913,1775043481960377913,1775043481961092608,0.000000,0.714695,0.714695,200
1775043481982253639,1775043481982253639,1775043481982851840,0.000000,0.598201,0.598201,200
1775043481992595238,1775043481992595238,1775043481993246983,0.000000,0.651745,0.651745,200
1775043482012960257,1775043482012960257,1775043482013984111,0.000000,1.023854,1.023854,200
1775043482023787321,1775043482023787321,1775043482024587644,0.000000,0.800323,0.800323,200
1775043482034519092,1775043482034519092,1775043482035192906,0.000000,0.673814,0.673814,200
1775043482045294444,1775043482045294444,1775043482045826787,0.000000,0.532343,0.532343,200
1775043482054837072,1775043482054837072,1775043482055467298,0.000000,0.630226,0.630226,200
1775043482065130505,1775043482065130505,1775043482065868005,0.000000,0.737500,0.737500,200
