arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775042526767651026,1775042526767651026,1775042526768467450,0.000000,0.816424,0.816424,200
1775042526785268805,1775042526785268805,1775042526786071282,0.000000,0.802477,0.802477,200
1775042526801981390,1775042526801981390,1775042526802813974,0.000000,0.832584,0.832584,200
1775042526824114012,1775042526824114012,1775042526825468142,0.000000,1.354130,1.354130,200
1775042526843747587,1775042526843747587,1775042526844572108,0.000000,0.824521,0.824521,200
1775042526867032244,1775042526867032244,1775042526867395693,0.000000,0.363449,0.363449,200
1775042526883855365,1775042526883855365,1775042526884940915,0.000000,1.085550,1.085550,200
1775042526899159840,1775042526899159840,1775042526899918253,0.000000,0.758413,0.758413,200
1775042526916721665,1775042526916721665,1775042526917503276,0.000000,0.781611,0.781611,200
1775042526933120554,1775042526933120554,1775042526934074310,0.000000,0.953756,0.953756,200
1775042526959844911,1775042526959844911,1775042526960867432,0.000000,1.022521,1.022521,200
1775042526975628211,1775042526975628211,1775042526977412813,0.000000,1.784602,1.784602,200
1775042526993149872,1775042526993149872,1775042526994467772,0.000000,1.317900,1.317900,200
1775042527011530570,1775042527011530570,1775042527012481264,0.000000,0.950694,0.950694,200
1775042527033103588,1775042527033103588,1775042527033675832,0.000000,0.572244,0.572244,200
1775042527051441358,1775042527051441358,1775042527051926433,0.000000,0.485075,0.485075,200
1775042527067699880,1775042527067699880,1775042527068731026,0.000000,1.031146,1.031146,200
1775042527099849148,1775042527099849148,1775042527101798347,0.000000,1.949199,1.949199,200
1775042527131880164,1775042527131880164,1775042527132792508,0.000000,0.912344,0.912344,200
1775042527162149452,1775042527162149452,1775042527162984526,0.000000,0.835074,0.835074,200
1775042527177105936,1775042527177105936,1775042527178329012,0.000000,1.223076,1.223076,200
1775042527191848853,1775042527191848853,1775042527192221950,0.000000,0.373097,0.373097,200
1775042527207568614,1775042527207568614,1775042527208306916,0.000000,0.738302,0.738302,200
1775042527221875602,1775042527221875602,1775042527223068759,0.000000,1.193157,1.193157,200
1775042527236111050,1775042527236111050,1775042527237611363,0.000000,1.500313,1.500313,200
1775042527250311704,1775042527250311704,1775042527251082328,0.000000,0.770624,0.770624,200
1775042527264345681,1775042527264345681,1775042527265460362,0.000000,1.114681,1.114681,200
1775042527278981985,1775042527278981985,1775042527280014285,0.000000,1.032300,1.032300,200
1775042527293194152,1775042527293194152,1775042527294614933,0.000000,1.420781,1.420781,200
1775042527316115905,1775042527316115905,1775042527316573215,0.000000,0.457310,0.457310,200
1775042527329186808,1775042527329186808,1775042527330436856,0.000000,1.250048,1.250048,200
1775042527344508375,1775042527344508375,1775042527344868112,0.000000,0.359737,0.359737,200
1775042527359976293,1775042527359976293,1775042527360162023,0.000000,0.185730,0.185730,200
1775042527373830361,1775042527373830361,1775042527374449398,0.000000,0.619037,0.619037,200
1775042527388117068,1775042527388117068,1775042527388631684,0.000000,0.514616,0.514616,200
1775042527424203115,1775042527424203115,1775042527425705770,0.000000,1.502655,1.502655,200
1775042527438051909,1775042527438051909,1775042527439375836,0.000000,1.323927,1.323927,200
1775042527453562319,1775042527453562319,1775042527453991577,0.000000,0.429258,0.429258,200
1775042527468200630,1775042527468200630,1775042527469677758,0.000000,1.477128,1.477128,200
1775042527481868947,1775042527481868947,1775042527482357650,0.000000,0.488703,0.488703,200
1775042527496678430,1775042527496678430,1775042527497523592,0.000000,0.845162,0.845162,200
1775042527511051622,1775042527511051622,1775042527511798083,0.000000,0.746461,0.746461,200
1775042527548140173,1775042527548140173,1775042527549093094,0.000000,0.952921,0.952921,200
1775042527563436884,1775042527563436884,1775042527564888853,0.000000,1.451969,1.451969,200
1775042527580365892,1775042527580365892,1775042527581669508,0.000000,1.303616,1.303616,200
1775042527595683532,1775042527595683532,1775042527596780547,0.000000,1.097015,1.097015,200
1775042527617387481,1775042527617387481,1775042527618700120,0.000000,1.312639,1.312639,200
1775042527631932486,1775042527631932486,1775042527633117203,0.000000,1.184717,1.184717,200
1775042527646770122,1775042527646770122,1775042527647381764,0.000000,0.611642,0.611642,200
1775042527662485243,1775042527662485243,1775042527663064701,0.000000,0.579458,0.579458,200
1775042527686697325,1775042527686697325,1775042527687369184,0.000000,0.671859,0.671859,200
1775042527703237937,1775042527703237937,1775042527704437507,0.000000,1.199570,1.199570,200
