arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775043349304031821,0.820935,0.381345,1.202280,200
1775043349329126764,0.829813,0.154055,0.983868,200
1775043349342912259,1.157265,0.136189,1.293454,200
1775043349356027593,0.790986,0.138815,0.929801,200
1775043349369263917,0.709565,0.263341,0.972906,200
1775043349383621465,0.927036,0.245747,1.172783,200
1775043349398213869,1.531770,0.650558,2.182328,200
1775043349433307417,0.781487,0.138273,0.919760,200
1775043349446318580,0.696008,0.267790,0.963798,200
1775043349459970551,0.734163,0.123395,0.857558,200
1775043349473898360,0.940211,0.154997,1.095208,200
1775043349498243744,7.903423,0.905953,8.809376,200
1775043349527855549,0.702580,0.251228,0.953808,200
1775043349541357118,1.444930,0.219384,1.664314,200
1775043349555675689,0.913218,0.194154,1.107372,200
1775043349571620952,0.824763,0.226689,1.051452,200
1775043349586780043,0.721418,0.179355,0.900773,200
1775043349609803926,0.875694,0.242961,1.118655,200
1775043349624585591,2.876405,0.163754,3.040159,200
1775043349641206017,0.966222,1.903091,2.869313,200
1775043349660823039,0.841696,0.139306,0.981002,200
1775043349675228762,0.767609,0.144817,0.912426,200
1775043349688512071,0.693563,0.255937,0.949500,200
1775043349701975808,1.195771,0.181510,1.377281,200
1775043349716298631,0.678443,0.157852,0.836295,200
1775043349729580247,0.777729,0.149105,0.926834,200
1775043349749843161,0.795114,0.222119,1.017233,200
1775043349764152945,0.765866,0.152061,0.917927,200
1775043349779182913,0.805104,0.187481,0.992585,200
1775043349792568437,0.845404,0.175998,1.021402,200
1775043349805810226,0.808690,0.221980,1.030670,200
1775043349828126687,0.851425,0.194355,1.045780,200
1775043349852088943,0.708101,0.191329,0.899430,200
1775043349865729651,1.023455,0.146891,1.170346,200
1775043349883061195,0.735095,0.166569,0.901664,200
1775043349899370069,1.173350,0.138224,1.311574,200
1775043349913201221,0.753561,0.189816,0.943377,200
1775043349932415445,0.577203,0.141129,0.718332,200
1775043349950871823,0.637312,0.220716,0.858028,200
1775043349963473278,0.645287,0.151880,0.797167,200
1775043349984534239,1.294973,0.200537,1.495510,200
1775043349999641943,0.754193,0.195507,0.949700,200
1775043350013275209,0.520019,0.148785,0.668804,200
1775043350025427459,0.928348,0.240476,1.168824,200
1775043350038734428,0.520410,0.139717,0.660127,200
1775043350050713070,0.735656,0.174085,0.909741,200
1775043350064024974,0.759524,0.154275,0.913799,200
1775043350092263027,0.778672,0.254704,1.033376,200
1775043350106460746,0.826436,0.270114,1.096550,200
1775043350120853836,0.763111,0.162772,0.925883,200
1775043350136214051,0.739093,0.162822,0.901915,200
1775043350148474948,0.795705,0.179987,0.975692,200
1775043350163075628,0.485461,0.181119,0.666580,200
1775043350185989250,0.776838,0.200898,0.977736,200
1775043350197945050,0.813400,0.133855,0.947255,200
1775043350218752768,0.510331,0.236888,0.747219,200
1775043350230517290,0.535099,0.148243,0.683342,200
1775043350243729851,0.491954,0.129566,0.621520,200
1775043350255131572,0.479819,0.110629,0.590448,200
1775043350265715106,0.509388,0.117873,0.627261,200
1775043350292459645,0.502835,0.147693,0.650528,200
1775043350307967435,0.760395,0.174255,0.934650,200
1775043350342601309,0.503066,0.148394,0.651460,200
1775043350353971114,0.834261,0.158383,0.992644,200
1775043350365493776,0.687941,0.112112,0.800053,200
1775043350377136531,0.474098,0.196389,0.670487,200
1775043350388635905,0.668763,0.160999,0.829762,200
