arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044726148401141,1775044726148401141,1775044726148924501,0.000000,0.523360,0.523360,200
1775044726154600412,1775044726154600412,1775044726155120526,0.000000,0.520114,0.520114,200
1775044726175696162,1775044726175696162,1775044726176328959,0.000000,0.632797,0.632797,200
1775044726185547003,1775044726185547003,1775044726185993941,0.000000,0.446938,0.446938,200
1775044726191883056,1775044726191883056,1775044726192569210,0.000000,0.686154,0.686154,200
1775044726218997234,1775044726218997234,1775044726219601404,0.000000,0.604170,0.604170,200
1775044726229758631,1775044726229758631,1775044726230351419,0.000000,0.592788,0.592788,200
1775044726238142920,1775044726238142920,1775044726238657532,0.000000,0.514612,0.514612,200
1775044726286117425,1775044726286117425,1775044726286645244,0.000000,0.527819,0.527819,200
1775044726295095989,1775044726295095989,1775044726295577275,0.000000,0.481286,0.481286,200
1775044726297732841,1775044726297732841,1775044726298165120,0.000000,0.432279,0.432279,200
1775044726322664343,1775044726322664343,1775044726323134277,0.000000,0.469934,0.469934,200
1775044726333907502,1775044726333907502,1775044726334745067,0.000000,0.837565,0.837565,200
1775044726346740798,1775044726346740798,1775044726347337915,0.000000,0.597117,0.597117,200
1775044726374534424,1775044726374534424,1775044726375178765,0.000000,0.644341,0.644341,200
1775044726442357334,1775044726442357334,1775044726443017956,0.000000,0.660622,0.660622,200
1775044726447137736,1775044726447137736,1775044726447876865,0.000000,0.739129,0.739129,200
1775044726488583371,1775044726488583371,1775044726489213593,0.000000,0.630222,0.630222,200
1775044726499106850,1775044726499106850,1775044726499811260,0.000000,0.704410,0.704410,200
1775044726502575668,1775044726502575668,1775044726503251110,0.000000,0.675442,0.675442,200
1775044726550020267,1775044726550020267,1775044726550785227,0.000000,0.764960,0.764960,200
1775044726554586216,1775044726554586216,1775044726555134175,0.000000,0.547959,0.547959,200
1775044726560525288,1775044726560525288,1775044726560975162,0.000000,0.449874,0.449874,200
1775044726595784206,1775044726595784206,1775044726596508725,0.000000,0.724519,0.724519,200
1775044726600443774,1775044726600443774,1775044726601246600,0.000000,0.802826,0.802826,200
1775044726606510652,1775044726606510652,1775044726607050926,0.000000,0.540274,0.540274,200
1775044726628181090,1775044726628181090,1775044726628865610,0.000000,0.684520,0.684520,200
1775044726651447534,1775044726651447534,1775044726652173006,0.000000,0.725472,0.725472,200
1775044726657085129,1775044726657085129,1775044726657603710,0.000000,0.518581,0.518581,200
1775044726687270249,1775044726687270249,1775044726687739522,0.000000,0.469273,0.469273,200
1775044726718676872,1775044726718676872,1775044726719233828,0.000000,0.556956,0.556956,200
1775044726734045108,1775044726734045108,1775044726734773816,0.000000,0.728708,0.728708,200
1775044726762729053,1775044726762729053,1775044726763396029,0.000000,0.666976,0.666976,200
1775044726770148668,1775044726770148668,1775044726770847036,0.000000,0.698368,0.698368,200
1775044726774684962,1775044726774684962,1775044726775268060,0.000000,0.583098,0.583098,200
1775044726798352535,1775044726798352535,1775044726799225470,0.000000,0.872935,0.872935,200
1775044726805586812,1775044726805586812,1775044726806341853,0.000000,0.755041,0.755041,200
1775044726810432273,1775044726810432273,1775044726811112114,0.000000,0.679841,0.679841,200
1775044726834184866,1775044726834184866,1775044726835059424,0.000000,0.874558,0.874558,200
1775044726847535863,1775044726847535863,1775044726848186777,0.000000,0.650914,0.650914,200
1775044726858384066,1775044726858384066,1775044726859290067,0.000000,0.906001,0.906001,200
1775044726906031541,1775044726906031541,1775044726906975206,0.000000,0.943665,0.943665,200
1775044726915788390,1775044726915788390,1775044726916554132,0.000000,0.765742,0.765742,200
1775044726919758880,1775044726919758880,1775044726920588999,0.000000,0.830119,0.830119,200
1775044726945223506,1775044726945223506,1775044726945844269,0.000000,0.620763,0.620763,200
1775044726956074374,1775044726956074374,1775044726956610690,0.000000,0.536316,0.536316,200
1775044726967158665,1775044726967158665,1775044726968142380,0.000000,0.983715,0.983715,200
1775044726994994605,1775044726994994605,1775044726995477795,0.000000,0.483190,0.483190,200
1775044726999146953,1775044726999146953,1775044726999913726,0.000000,0.766773,0.766773,200
1775044727005543487,1775044727005543487,1775044727006008301,0.000000,0.464814,0.464814,200
1775044727026662395,1775044727026662395,1775044727027209773,0.000000,0.547378,0.547378,200
1775044727035539907,1775044727035539907,1775044727036068899,0.000000,0.528992,0.528992,200
