arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044627326822673,1775044627326822673,1775044627327511937,0.000000,0.689264,0.689264,200
1775044627362122057,1775044627362122057,1775044627362819871,0.000000,0.697814,0.697814,200
1775044627437343389,1775044627437343389,1775044627438003161,0.000000,0.659772,0.659772,200
1775044627451492028,1775044627451492028,1775044627452355939,0.000000,0.863911,0.863911,200
1775044627481805056,1775044627481805056,1775044627482456260,0.000000,0.651204,0.651204,200
1775044627514017966,1775044627514017966,1775044627514840331,0.000000,0.822365,0.822365,200
1775044627528075143,1775044627528075143,1775044627528808842,0.000000,0.733699,0.733699,200
1775044627560098071,1775044627560098071,1775044627560678102,0.000000,0.580031,0.580031,200
1775044627573027823,1775044627573027823,1775044627573936324,0.000000,0.908501,0.908501,200
1775044627575472986,1775044627575472986,1775044627576321842,0.000000,0.848856,0.848856,200
1775044627603508087,1775044627603508087,1775044627604241474,0.000000,0.733387,0.733387,200
1775044627618307014,1775044627618307014,1775044627619047063,0.000000,0.740049,0.740049,200
1775044627619561748,1775044627619561748,1775044627620364734,0.000000,0.802986,0.802986,200
1775044627650346894,1775044627650346894,1775044627650913499,0.000000,0.566605,0.566605,200
1775044627669172678,1775044627669172678,1775044627670006266,0.000000,0.833588,0.833588,200
1775044627670363175,1775044627670363175,1775044627671060324,0.000000,0.697149,0.697149,200
1775044627700461491,1775044627700461491,1775044627701342394,0.000000,0.880903,0.880903,200
1775044627713194124,1775044627713194124,1775044627713985078,0.000000,0.790954,0.790954,200
1775044627717191956,1775044627717191956,1775044627717945642,0.000000,0.753686,0.753686,200
1775044627742201483,1775044627742201483,1775044627742970030,0.000000,0.768547,0.768547,200
1775044627750441675,1775044627750441675,1775044627751144502,0.000000,0.702827,0.702827,200
1775044627755289849,1775044627755289849,1775044627756024188,0.000000,0.734339,0.734339,200
1775044627778763412,1775044627778763412,1775044627779556659,0.000000,0.793247,0.793247,200
1775044627790311015,1775044627790311015,1775044627791217548,0.000000,0.906533,0.906533,200
1775044627806961687,1775044627806961687,1775044627807881222,0.000000,0.919535,0.919535,200
1775044627834710450,1775044627834710450,1775044627838151518,0.000000,3.441068,3.441068,200
1775044627842037170,1775044627842037170,1775044627842704630,0.000000,0.667460,0.667460,200
1775044627846849550,1775044627846849550,1775044627847493046,0.000000,0.643496,0.643496,200
1775044627869477280,1775044627869477280,1775044627870213570,0.000000,0.736290,0.736290,200
1775044627877061780,1775044627877061780,1775044627877826791,0.000000,0.765011,0.765011,200
1775044627880677237,1775044627880677237,1775044627881334756,0.000000,0.657519,0.657519,200
1775044627906842536,1775044627906842536,1775044627909010513,0.000000,2.167977,2.167977,200
1775044627915260453,1775044627915260453,1775044627916020526,0.000000,0.760073,0.760073,200
1775044627918186080,1775044627918186080,1775044627918914097,0.000000,0.728017,0.728017,200
1775044627962896016,1775044627962896016,1775044627967363488,0.000000,4.467472,4.467472,200
1775044627969590138,1775044627969590138,1775044627970396712,0.000000,0.806574,0.806574,200
1775044627973796780,1775044627973796780,1775044627974520603,0.000000,0.723823,0.723823,200
1775044627997948812,1775044627997948812,1775044628000695443,0.000000,2.746631,2.746631,200
1775044628024223446,1775044628024223446,1775044628025032355,0.000000,0.808909,0.808909,200
1775044628025425154,1775044628025425154,1775044628029274647,0.000000,3.849493,3.849493,200
1775044628058099587,1775044628058099587,1775044628058805242,0.000000,0.705655,0.705655,200
1775044628071164620,1775044628071164620,1775044628071851335,0.000000,0.686715,0.686715,200
1775044628074502576,1775044628074502576,1775044628075249949,0.000000,0.747373,0.747373,200
1775044628102819735,1775044628102819735,1775044628105125890,0.000000,2.306155,2.306155,200
1775044628113494706,1775044628113494706,1775044628114167887,0.000000,0.673181,0.673181,200
1775044628116747673,1775044628116747673,1775044628117437043,0.000000,0.689370,0.689370,200
