arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044627326822673,1775044627326822673,1775044627327624856,0.000000,0.802183,0.802183,200
1775044627362122057,1775044627362122057,1775044627362911848,0.000000,0.789791,0.789791,200
1775044627437343389,1775044627437343389,1775044627438159903,0.000000,0.816514,0.816514,200
1775044627451492028,1775044627451492028,1775044627452759104,0.000000,1.267076,1.267076,200
1775044627481805056,1775044627481805056,1775044627482614423,0.000000,0.809367,0.809367,200
1775044627514017966,1775044627514017966,1775044627514404096,0.000000,0.386130,0.386130,200
1775044627528075143,1775044627528075143,1775044627529112818,0.000000,1.037675,1.037675,200
1775044627560098071,1775044627560098071,1775044627560848576,0.000000,0.750505,0.750505,200
1775044627573027823,1775044627573027823,1775044627573799037,0.000000,0.771214,0.771214,200
1775044627575472986,1775044627575472986,1775044627576396144,0.000000,0.923158,0.923158,200
1775044627603508087,1775044627603508087,1775044627604491174,0.000000,0.983087,0.983087,200
1775044627618307014,1775044627618307014,1775044627619932975,0.000000,1.625961,1.625961,200
1775044627619561748,1775044627619561748,1775044627620798157,0.000000,1.236409,1.236409,200
1775044627650346894,1775044627650346894,1775044627651267373,0.000000,0.920479,0.920479,200
1775044627669172678,1775044627669172678,1775044627669754564,0.000000,0.581886,0.581886,200
1775044627670363175,1775044627670363175,1775044627670864357,0.000000,0.501182,0.501182,200
1775044627700461491,1775044627700461491,1775044627701452066,0.000000,0.990575,0.990575,200
1775044627713194124,1775044627713194124,1775044627714954988,0.000000,1.760864,1.760864,200
1775044627717191956,1775044627717191956,1775044627718078823,0.000000,0.886867,0.886867,200
1775044627742201483,1775044627742201483,1775044627743020203,0.000000,0.818720,0.818720,200
1775044627750441675,1775044627750441675,1775044627751597425,0.000000,1.155750,1.155750,200
1775044627755289849,1775044627755289849,1775044627755685227,0.000000,0.395378,0.395378,200
1775044627778763412,1775044627778763412,1775044627779495914,0.000000,0.732502,0.732502,200
1775044627790311015,1775044627790311015,1775044627791441191,0.000000,1.130176,1.130176,200
1775044627806961687,1775044627806961687,1775044627808351723,0.000000,1.390036,1.390036,200
1775044627834710450,1775044627834710450,1775044627835471863,0.000000,0.761413,0.761413,200
1775044627842037170,1775044627842037170,1775044627843099971,0.000000,1.062801,1.062801,200
1775044627846849550,1775044627846849550,1775044627847841127,0.000000,0.991577,0.991577,200
1775044627869477280,1775044627869477280,1775044627870800570,0.000000,1.323290,1.323290,200
1775044627877061780,1775044627877061780,1775044627877536971,0.000000,0.475191,0.475191,200
1775044627880677237,1775044627880677237,1775044627881855989,0.000000,1.178752,1.178752,200
1775044627906842536,1775044627906842536,1775044627907225101,0.000000,0.382565,0.382565,200
1775044627915260453,1775044627915260453,1775044627915470986,0.000000,0.210533,0.210533,200
1775044627918186080,1775044627918186080,1775044627918810790,0.000000,0.624710,0.624710,200
1775044627962896016,1775044627962896016,1775044627963424694,0.000000,0.528678,0.528678,200
1775044627969590138,1775044627969590138,1775044627970982134,0.000000,1.391996,1.391996,200
1775044627973796780,1775044627973796780,1775044627975038296,0.000000,1.241516,1.241516,200
1775044627997948812,1775044627997948812,1775044627998397589,0.000000,0.448777,0.448777,200
1775044628024223446,1775044628024223446,1775044628025594060,0.000000,1.370614,1.370614,200
1775044628025425154,1775044628025425154,1775044628025929721,0.000000,0.504567,0.504567,200
1775044628058099587,1775044628058099587,1775044628058927237,0.000000,0.827650,0.827650,200
1775044628071164620,1775044628071164620,1775044628071904431,0.000000,0.739811,0.739811,200
1775044628074502576,1775044628074502576,1775044628075425003,0.000000,0.922427,0.922427,200
1775044628102819735,1775044628102819735,1775044628104169241,0.000000,1.349506,1.349506,200
1775044628113494706,1775044628113494706,1775044628114719001,0.000000,1.224295,1.224295,200
1775044628116747673,1775044628116747673,1775044628117795244,0.000000,1.047571,1.047571,200
1775044628143189097,1775044628143189097,1775044628144421046,0.000000,1.231949,1.231949,200
1775044628157218703,1775044628157218703,1775044628158341654,0.000000,1.122951,1.122951,200
1775044628162217952,1775044628162217952,1775044628162835916,0.000000,0.617964,0.617964,200
1775044628191544742,1775044628191544742,1775044628192133253,0.000000,0.588511,0.588511,200
1775044628199571372,1775044628199571372,1775044628200244049,0.000000,0.672677,0.672677,200
1775044628204279665,1775044628204279665,1775044628205415328,0.000000,1.135663,1.135663,200
1775044628228319745,1775044628228319745,1775044628229077266,0.000000,0.757521,0.757521,200
1775044628249568924,1775044628249568924,1775044628252632038,0.000000,3.063114,3.063114,200
1775044628255914828,1775044628255914828,1775044628256471807,0.000000,0.556979,0.556979,200
1775044628287915386,1775044628287915386,1775044628288394275,0.000000,0.478889,0.478889,200
1775044628293560872,1775044628293560872,1775044628294874294,0.000000,1.313422,1.313422,200
1775044628299267969,1775044628299267969,1775044628301137435,0.000000,1.869466,1.869466,200
1775044628321255648,1775044628321255648,1775044628322395224,0.000000,1.139576,1.139576,200
1775044628327160702,1775044628327160702,1775044628328522794,0.000000,1.362092,1.362092,200
1775044628332434547,1775044628332434547,1775044628334308559,0.000000,1.874012,1.874012,200
1775044628356049181,1775044628356049181,1775044628356873358,0.000000,0.824177,0.824177,200
1775044628392051351,1775044628392051351,1775044628392453317,0.000000,0.401966,0.401966,200
1775044628397430238,1775044628397430238,1775044628398080717,0.000000,0.650479,0.650479,200
1775044628420535480,1775044628420535480,1775044628421986517,0.000000,1.451037,1.451037,200
1775044628435037021,1775044628435037021,1775044628435434512,0.000000,0.397491,0.397491,200
1775044628442349819,1775044628442349819,1775044628443232801,0.000000,0.882982,0.882982,200
1775044628470011387,1775044628470011387,1775044628471005659,0.000000,0.994272,0.994272,200
1775044628478601254,1775044628478601254,1775044628479332445,0.000000,0.731191,0.731191,200
1775044628481925673,1775044628481925673,1775044628483207656,0.000000,1.281983,1.281983,200
1775044628507467960,1775044628507467960,1775044628508654719,0.000000,1.186759,1.186759,200
1775044628514499513,1775044628514499513,1775044628517538977,0.000000,3.039464,3.039464,200
1775044628518821215,1775044628518821215,1775044628520033369,0.000000,1.212154,1.212154,200
1775044628551564855,1775044628551564855,1775044628552188717,0.000000,0.623862,0.623862,200
1775044628580154172,1775044628580154172,1775044628580794289,0.000000,0.640117,0.640117,200
1775044628582474121,1775044628582474121,1775044628583027414,0.000000,0.553293,0.553293,200
1775044628609954995,1775044628609954995,1775044628611405545,0.000000,1.450550,1.450550,200
1775044628618979750,1775044628618979750,1775044628619618128,0.000000,0.638378,0.638378,200
1775044628623255679,1775044628623255679,1775044628624090507,0.000000,0.834828,0.834828,200
1775044628648888197,1775044628648888197,1775044628650188085,0.000000,1.299888,1.299888,200
1775044628662489179,1775044628662489179,1775044628663075756,0.000000,0.586577,0.586577,200
1775044628675987176,1775044628675987176,1775044628676727084,0.000000,0.739908,0.739908,200
1775044628704316393,1775044628704316393,1775044628704637042,0.000000,0.320649,0.320649,200
1775044628720789165,1775044628720789165,1775044628721272316,0.000000,0.483151,0.483151,200
1775044628720972829,1775044628720972829,1775044628721610895,0.000000,0.638066,0.638066,200
1775044628750736041,1775044628750736041,1775044628751821569,0.000000,1.085528,1.085528,200
1775044628762495480,1775044628762495480,1775044628764147952,0.000000,1.652472,1.652472,200
1775044628764931747,1775044628764931747,1775044628765790267,0.000000,0.858520,0.858520,200
1775044628792371495,1775044628792371495,1775044628793370143,0.000000,0.998648,0.998648,200
1775044628802960050,1775044628802960050,1775044628803909555,0.000000,0.949505,0.949505,200
1775044628805853404,1775044628805853404,1775044628807411577,0.000000,1.558173,1.558173,200
1775044628832978895,1775044628832978895,1775044628834383996,0.000000,1.405101,1.405101,200
1775044628845073627,1775044628845073627,1775044628846078949,0.000000,1.005322,1.005322,200
1775044628847032311,1775044628847032311,1775044628847534501,0.000000,0.502190,0.502190,200
1775044628874867684,1775044628874867684,1775044628876280420,0.000000,1.412736,1.412736,200
1775044628888407218,1775044628888407218,1775044628889472576,0.000000,1.065358,1.065358,200
1775044628892286020,1775044628892286020,1775044628893968627,0.000000,1.682607,1.682607,200
1775044628922977514,1775044628922977514,1775044628923830744,0.000000,0.853230,0.853230,200
1775044628935720904,1775044628935720904,1775044628938211908,0.000000,2.491004,2.491004,200
1775044628937405592,1775044628937405592,1775044628938119881,0.000000,0.714289,0.714289,200
1775044628966256937,1775044628966256937,1775044628968307588,0.000000,2.050651,2.050651,200
1775044628978668845,1775044628978668845,1775044628979591621,0.000000,0.922776,0.922776,200
1775044628980340469,1775044628980340469,1775044628980996527,0.000000,0.656058,0.656058,200
1775044629008756711,1775044629008756711,1775044629009228009,0.000000,0.471298,0.471298,200
1775044629031996825,1775044629031996825,1775044629032796005,0.000000,0.799180,0.799180,200
1775044629033764540,1775044629033764540,1775044629035635493,0.000000,1.870953,1.870953,200
1775044629064876809,1775044629064876809,1775044629066224667,0.000000,1.347858,1.347858,200
1775044629077178362,1775044629077178362,1775044629078436501,0.000000,1.258139,1.258139,200
1775044629079373675,1775044629079373675,1775044629079613885,0.000000,0.240210,0.240210,200
1775044629107468370,1775044629107468370,1775044629108741609,0.000000,1.273239,1.273239,200
1775044629116900904,1775044629116900904,1775044629118071786,0.000000,1.170882,1.170882,200
1775044629120260023,1775044629120260023,1775044629120904259,0.000000,0.644236,0.644236,200
1775044629146787449,1775044629146787449,1775044629147405280,0.000000,0.617831,0.617831,200
1775044629155960258,1775044629155960258,1775044629156826305,0.000000,0.866047,0.866047,200
1775044629160109526,1775044629160109526,1775044629162311550,0.000000,2.202024,2.202024,200
1775044629185317117,1775044629185317117,1775044629185807468,0.000000,0.490351,0.490351,200
1775044629194555337,1775044629194555337,1775044629195243514,0.000000,0.688177,0.688177,200
1775044629198375834,1775044629198375834,1775044629200185604,0.000000,1.809770,1.809770,200
1775044629224774844,1775044629224774844,1775044629225456234,0.000000,0.681390,0.681390,200
1775044629232652069,1775044629232652069,1775044629233364287,0.000000,0.712218,0.712218,200
1775044629237411444,1775044629237411444,1775044629238325613,0.000000,0.914169,0.914169,200
1775044629283312665,1775044629283312665,1775044629283756088,0.000000,0.443423,0.443423,200
1775044629309203884,1775044629309203884,1775044629310180432,0.000000,0.976548,0.976548,200
1775044629314017575,1775044629314017575,1775044629314468651,0.000000,0.451076,0.451076,200
1775044629338417650,1775044629338417650,1775044629339816572,0.000000,1.398922,1.398922,200
1775044629354945639,1775044629354945639,1775044629355814260,0.000000,0.868621,0.868621,200
1775044629359768398,1775044629359768398,1775044629362746131,0.000000,2.977733,2.977733,200
1775044629413136909,1775044629413136909,1775044629414146121,0.000000,1.009212,1.009212,200
1775044629434106052,1775044629434106052,1775044629435919644,0.000000,1.813592,1.813592,200
1775044629439267540,1775044629439267540,1775044629439696361,0.000000,0.428821,0.428821,200
1775044629465679730,1775044629465679730,1775044629466491483,0.000000,0.811753,0.811753,200
1775044629474313695,1775044629474313695,1775044629475346240,0.000000,1.032545,1.032545,200
