arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039036239327838,1775039036239327838,1775039036248961277,0.000000,9.633439,9.633439,200
1775039036281436556,1775039036281436556,1775039036290261950,0.000000,8.825394,8.825394,200
1775039036340791952,1775039036340791952,1775039036349926851,0.000000,9.134899,9.134899,200
1775039036381976308,1775039036381976308,1775039036388650809,0.000000,6.674501,6.674501,200
1775039036422505285,1775039036422505285,1775039036429058939,0.000000,6.553654,6.553654,200
1775039036479559546,1775039036479559546,1775039036486795645,0.000000,7.236099,7.236099,200
1775039036526628548,1775039036526628548,1775039036534175737,0.000000,7.547189,7.547189,200
1775039036565129239,1775039036565129239,1775039036572927839,0.000000,7.798600,7.798600,200
1775039036603608903,1775039036603608903,1775039036610408558,0.000000,6.799655,6.799655,200
1775039036666204727,1775039036666204727,1775039036674183378,0.000000,7.978651,7.978651,200
1775039036703702638,1775039036703702638,1775039036711163374,0.000000,7.460736,7.460736,200
1775039036743508009,1775039036743508009,1775039036755092562,0.000000,11.584553,11.584553,200
1775039036805680031,1775039036805680031,1775039036812959088,0.000000,7.279057,7.279057,200
1775039036853521440,1775039036853521440,1775039036862497959,0.000000,8.976519,8.976519,200
1775039036893487146,1775039036893487146,1775039036902628207,0.000000,9.141061,9.141061,200
1775039036932479426,1775039036932479426,1775039036939512317,0.000000,7.032891,7.032891,200
1775039036993655913,1775039036993655913,1775039037001155447,0.000000,7.499534,7.499534,200
1775039037054632104,1775039037054632104,1775039037061642174,0.000000,7.010070,7.010070,200
1775039037101988466,1775039037101988466,1775039037108679764,0.000000,6.691298,6.691298,200
1775039037148154324,1775039037148154324,1775039037156207398,0.000000,8.053074,8.053074,200
1775039037195931850,1775039037195931850,1775039037202384173,0.000000,6.452323,6.452323,200
1775039037234050506,1775039037234050506,1775039037241377308,0.000000,7.326802,7.326802,200
1775039037288072556,1775039037288072556,1775039037294449359,0.000000,6.376803,6.376803,200
1775039037327137550,1775039037327137550,1775039037333367877,0.000000,6.230327,6.230327,200
1775039037368016105,1775039037368016105,1775039037374208692,0.000000,6.192587,6.192587,200
1775039037414075021,1775039037414075021,1775039037422892699,0.000000,8.817678,8.817678,200
1775039037453228056,1775039037453228056,1775039037461270128,0.000000,8.042072,8.042072,200
1775039037491994459,1775039037491994459,1775039037498675421,0.000000,6.680962,6.680962,200
1775039037529927511,1775039037529927511,1775039037538686983,0.000000,8.759472,8.759472,200
1775039037568162801,1775039037568162801,1775039037576752449,0.000000,8.589648,8.589648,200
1775039037607265610,1775039037607265610,1775039037614638737,0.000000,7.373127,7.373127,200
1775039037648069277,1775039037648069277,1775039037654560876,0.000000,6.491599,6.491599,200
1775039037689421851,1775039037689421851,1775039037696353310,0.000000,6.931459,6.931459,200
1775039037729389843,1775039037729389843,1775039037736867937,0.000000,7.478094,7.478094,200
1775039037770183840,1775039037770183840,1775039037778374992,0.000000,8.191152,8.191152,200
1775039037810679506,1775039037810679506,1775039037818539807,0.000000,7.860301,7.860301,200
1775039037858396426,1775039037858396426,1775039037865517145,0.000000,7.120719,7.120719,200
