arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775039141326469233,6.231947,0.113074,6.345021,200
1775039141359900805,6.437755,0.111812,6.549567,200
1775039141391549996,6.356354,0.110188,6.466542,200
1775039141441511254,6.213140,0.112793,6.325933,200
1775039141474586495,6.377546,0.151540,6.529086,200
1775039141508518852,6.575187,0.111100,6.686287,200
1775039141543316984,8.476200,0.111150,8.587350,200
1775039141584898975,10.603754,0.191268,10.795022,200
1775039141628184852,8.694373,0.129677,8.824050,200
1775039141666317588,6.474428,0.112463,6.586891,200
1775039141700837178,8.505800,0.111681,8.617481,200
1775039141737864019,7.025158,0.162722,7.187880,200
1775039141775032775,7.499286,0.119196,7.618482,200
1775039141830420437,6.037403,0.117162,6.154565,200
1775039141863271013,6.888187,0.268181,7.156368,200
1775039141900765994,7.519877,0.157993,7.677870,200
1775039141936040559,7.328478,0.111190,7.439668,200
1775039141973137612,7.119274,0.251759,7.371033,200
1775039142018933256,8.284642,0.115077,8.399719,200
1775039142053961563,6.669293,0.109237,6.778530,200
1775039142088653555,7.822968,0.161680,7.984648,200
1775039142126484385,6.768039,0.109878,6.877917,200
1775039142161763006,7.079826,0.150047,7.229873,200
1775039142197883187,8.767006,0.172682,8.939688,200
1775039142234450948,7.923487,0.163684,8.087171,200
1775039142271739103,7.634834,0.196329,7.831163,200
1775039142313190556,7.137310,0.265576,7.402886,200
1775039142361996259,6.811084,0.127362,6.938446,200
1775039142397398247,6.719103,0.165838,6.884941,200
1775039142454185481,6.293230,0.116160,6.409390,200
1775039142500438911,9.606609,0.168814,9.775423,200
1775039142538720246,6.456793,0.262059,6.718852,200
1775039142593580275,6.450160,0.113895,6.564055,200
1775039142631445051,9.048953,0.179916,9.228869,200
1775039142673905643,8.686698,0.151450,8.838148,200
1775039142713796798,8.947943,0.154786,9.102729,200
1775039142752036373,9.873618,0.151500,10.025118,200
1775039142792849032,8.785322,0.144235,8.929557,200
1775039142832138310,9.827399,0.180107,10.007506,200
1775039142874318939,9.707839,0.188714,9.896553,200
1775039142917777409,8.491341,0.156800,8.648141,200
1775039142961171805,11.144267,0.196849,11.341116,200
1775039143011334214,12.911156,0.296517,13.207673,200
1775039143063118138,13.755532,0.173022,13.928554,200
1775039143115594956,14.266107,0.285145,14.551252,200
1775039143165766056,10.804576,0.147061,10.951637,200
1775039143227392245,6.363839,0.114496,6.478335,200
1775039143260995632,6.503736,0.110939,6.614675,200
1775039143305998571,6.447936,0.173583,6.621519,200
1775039143339360729,6.201126,0.112132,6.313258,200
1775039143370705350,6.299772,0.116009,6.415781,200
1775039143402169164,6.110708,0.110760,6.221468,200
1775039143448293095,6.150777,0.112993,6.263770,200
1775039143494674933,6.134134,0.110639,6.244773,200
1775039143526238146,6.688802,0.113234,6.802036,200
1775039143558537083,7.019757,0.110449,7.130206,200
1775039143590805327,6.095247,0.111240,6.206487,200
1775039143622689186,6.314711,0.118916,6.433627,200
1775039143657377063,6.339030,0.115288,6.454318,200
1775039143711974232,6.314812,0.136059,6.450871,200
1775039143743731920,6.187069,0.150257,6.337326,200
1775039143775601804,6.678531,0.110810,6.789341,200
1775039143820577926,6.255033,0.165588,6.420621,200
1775039143851724542,6.174353,0.110850,6.285203,200
1775039143882579263,6.134555,0.144517,6.279072,200
1775039143913864240,6.184624,0.118935,6.303559,200
1775039143960744842,6.219293,0.128023,6.347316,200
1775039143992297763,6.191347,0.109617,6.300964,200
1775039144023647538,6.831054,0.197932,7.028986,200
1775039144070181824,6.097591,0.113886,6.211477,200
1775039144102443962,6.723601,0.156470,6.880071,200
1775039144135140091,6.267248,0.109086,6.376334,200
1775039144168312298,6.277869,0.109677,6.387546,200
1775039144200530919,6.277047,0.107764,6.384811,200
1775039144231813084,6.402335,0.109768,6.512103,200
1775039144264009932,6.349791,0.111030,6.460821,200
1775039144295496971,6.321425,0.109998,6.431423,200
1775039144347001609,6.162530,0.115388,6.277918,200
1775039144379264447,6.820553,0.476222,7.296775,200
1775039144412074944,6.637029,0.108615,6.745644,200
1775039144444044606,6.398627,0.112693,6.511320,200
1775039144476287278,6.411884,0.110058,6.521942,200
1775039144510086683,6.519417,0.110850,6.630267,200
1775039144565513979,6.136238,0.112984,6.249222,200
1775039144598283009,6.427715,0.113876,6.541591,200
1775039144632363394,6.781276,0.126730,6.908006,200
1775039144667152895,6.890481,0.109327,6.999808,200
1775039144699633128,6.511010,0.110860,6.621870,200
1775039144731330876,6.516590,0.113084,6.629674,200
1775039144763771857,6.223049,0.168644,6.391693,200
1775039144795478171,6.286666,0.111942,6.398608,200
1775039144826791520,6.151108,0.108985,6.260093,200
1775039144857873234,6.414028,0.114567,6.528595,200
1775039144889275097,6.236988,0.120859,6.357847,200
1775039144920727029,6.271837,0.152081,6.423918,200
1775039144952659357,10.525238,0.109807,10.635045,200
1775039144989591457,6.012183,0.110078,6.122261,200
1775039145021444649,6.213411,0.119667,6.333078,200
1775039145053338005,6.331895,0.111301,6.443196,200
1775039145085456612,6.339561,0.123174,6.462735,200
1775039145121101611,8.177715,0.209054,8.386769,200
1775039145155281789,6.564316,0.171830,6.736146,200
1775039145186884294,6.396674,0.109937,6.506611,200
1775039145219784158,6.490750,0.124366,6.615116,200
1775039145261843244,6.595979,0.118404,6.714383,200
1775039145294279871,6.283781,0.111010,6.394791,200
1775039145327494137,6.325964,0.113295,6.439259,200
1775039145359300495,6.158923,0.112092,6.271015,200
1775039145400978608,7.200395,0.180247,7.380642,200
1775039145436430308,6.899700,0.108325,7.008025,200
1775039145479613726,6.163071,0.125799,6.288870,200
1775039145511190885,6.372686,0.170287,6.542973,200
1775039145542985100,6.244943,0.112824,6.357767,200
1775039145587501597,6.252709,0.110108,6.362817,200
1775039145634213095,8.347539,0.110669,8.458208,200
1775039145674830296,11.452807,0.154626,11.607433,200
1775039145717532576,7.510599,0.157852,7.668451,200
1775039145773818270,8.677860,0.187341,8.865201,200
1775039145811283033,6.395922,0.112463,6.508385,200
1775039145848518630,7.129856,0.169235,7.299091,200
1775039145882270310,6.322587,0.111561,6.434148,200
1775039145916167113,6.432685,0.111501,6.544186,200
1775039145960155009,6.815152,0.113104,6.928256,200
1775039145993438245,6.244713,0.111962,6.356675,200
1775039146024996589,6.717510,0.109947,6.827457,200
1775039146058219482,6.357457,0.108434,6.465891,200
1775039146090974172,6.423747,0.111201,6.534948,200
1775039146123450754,6.177210,0.110158,6.287368,200
1775039146155043129,6.606730,0.119687,6.726417,200
1775039146208322583,6.967304,0.118685,7.085989,200
1775039146243568301,6.461162,0.127503,6.588665,200
1775039146286546223,6.520553,0.110589,6.631142,200
1775039146362586197,6.516000,15.750723,22.266723,200
1775039146403776083,9.424388,18.566538,27.990926,200
1775039146436929685,8.812051,0.159446,8.971497,200
1775039146457290408,6.336795,0.130208,6.467003,200
1775039146475030919,6.815093,0.157882,6.972975,200
1775039146494781688,6.868607,0.397938,7.266545,200
1775039146515307568,6.614665,0.118735,6.733400,200
1775039146535523767,6.793119,1.239754,8.032873,200
1775039146559143949,7.653267,0.111490,7.764757,200
1775039146581586333,9.692900,0.226960,9.919860,200
1775039146610933861,8.868848,0.217461,9.086309,200
1775039146632324319,6.673622,0.414721,7.088343,200
1775039146655024583,8.433837,0.552053,8.985890,200
1775039146680675725,8.339939,0.194545,8.534484,200
1775039146708646137,9.825295,0.181550,10.006845,200
1775039146738400904,7.532413,0.217230,7.749643,200
1775039146759268269,7.385231,0.121661,7.506892,200
1775039146780354835,7.114644,0.591461,7.706105,200
1775039146804798765,7.385751,0.159536,7.545287,200
1775039146827090947,10.545833,0.116791,10.662624,200
1775039146853044028,10.006886,0.148213,10.155099,200
1775039146883351128,12.134157,0.166640,12.300797,200
1775039146907934923,8.870902,0.196910,9.067812,200
1775039146932026345,10.247620,0.133405,10.381025,200
1775039146957207436,14.811849,0.265044,15.076893,200
1775039146981948222,7.741794,0.438297,8.180091,200
1775039147002749899,9.889489,0.154576,10.044065,200
1775039147024908096,7.730034,0.174024,7.904058,200
1775039147046984492,8.554305,0.174976,8.729281,200
1775039147068626462,7.868739,0.149295,8.018034,200
1775039147090461701,8.820102,0.182571,9.002673,200
1775039147110832729,7.916824,0.125668,8.042492,200
1775039147135978260,8.718190,0.137051,8.855241,200
1775039147160283260,6.892857,0.143143,7.036000,200
