arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
52997489830,52997489830,53007551183,0.000000,10.061353,10.061353,200
1775045552995898465,1775045552995898465,1775045553005858142,0.000000,9.959677,9.959677,200
1775045553045543772,1775045553045543772,1775045553055722041,0.000000,10.178269,10.178269,200
1775045553048799340,1775045553048799340,1775045553062356991,0.000000,13.557651,13.557651,200
1775045553048969567,1775045553048969567,1775045553059089619,0.000000,10.120052,10.120052,200
1775045553087824129,1775045553087824129,1775045553094068392,0.000000,6.244263,6.244263,200
1775045553087856649,1775045553087856649,1775045553099757863,0.000000,11.901214,11.901214,200
1775045553089135479,1775045553089135479,1775045553098769067,0.000000,9.633588,9.633588,200
1775045553123636702,1775045553123636702,1775045553133442902,0.000000,9.806200,9.806200,200
1775045553123784062,1775045553123784062,1775045553134811047,0.000000,11.026985,11.026985,200
1775045553129301370,1775045553129301370,1775045553140790279,0.000000,11.488909,11.488909,200
1775045553160551911,1775045553160551911,1775045553176505132,0.000000,15.953221,15.953221,200
1775045553160562139,1775045553160562139,1775045553173904790,0.000000,13.342651,13.342651,200
1775045553164647759,1775045553164647759,1775045553175653860,0.000000,11.006101,11.006101,200
1775045553195779084,1775045553195779084,1775045553203938962,0.000000,8.159878,8.159878,200
1775045553195819261,1775045553195819261,1775045553203221751,0.000000,7.402490,7.402490,200
1775045553196808731,1775045553196808731,1775045553208354660,0.000000,11.545929,11.545929,200
1775045553231709762,1775045553231709762,1775045553248514549,0.000000,16.804787,16.804787,200
1775045553231836360,1775045553231836360,1775045553242578554,0.000000,10.742194,10.742194,200
1775045553237095978,1775045553237095978,1775045553247292176,0.000000,10.196198,10.196198,200
1775045553267131276,1775045553267131276,1775045553279899393,0.000000,12.768117,12.768117,200
1775045553267368539,1775045553267368539,1775045553273709979,0.000000,6.341440,6.341440,200
1775045553268409529,1775045553268409529,1775045553277891707,0.000000,9.482178,9.482178,200
1775045553313620963,1775045553313620963,1775045553326204036,0.000000,12.583073,12.583073,200
1775045553316164186,1775045553316164186,1775045553330566351,0.000000,14.402165,14.402165,200
1775045553322414923,1775045553322414923,1775045553332139638,0.000000,9.724715,9.724715,200
1775045553364287580,1775045553364287580,1775045553376376025,0.000000,12.088445,12.088445,200
1775045553364991105,1775045553364991105,1775045553376544653,0.000000,11.553548,11.553548,200
1775045553369569390,1775045553369569390,1775045553383516507,0.000000,13.947117,13.947117,200
1775045553405927179,1775045553405927179,1775045553413076898,0.000000,7.149719,7.149719,200
1775045553406018304,1775045553406018304,1775045553418951649,0.000000,12.933345,12.933345,200
1775045553419626354,1775045553419626354,1775045553425832943,0.000000,6.206589,6.206589,200
1775045553453560076,1775045553453560076,1775045553457763663,0.000000,4.203587,4.203587,200
1775045553453581768,1775045553453581768,1775045553462128593,0.000000,8.546825,8.546825,200
1775045553461203556,1775045553461203556,1775045553468868543,0.000000,7.664987,7.664987,200
1775045553479350100,1775045553479350100,1775045553493765511,0.000000,14.415411,14.415411,200
1775045553482845198,1775045553482845198,1775045553496223781,0.000000,13.378583,13.378583,200
1775045553485110199,1775045553485110199,1775045553491998049,0.000000,6.887850,6.887850,200
1775045553523417354,1775045553523417354,1775045553537687906,0.000000,14.270552,14.270552,200
1775045553523493268,1775045553523493268,1775045553530928342,0.000000,7.435074,7.435074,200
1775045553534622645,1775045553534622645,1775045553544891269,0.000000,10.268624,10.268624,200
1775045553561493357,1775045553561493357,1775045553571037163,0.000000,9.543806,9.543806,200
1775045553561647823,1775045553561647823,1775045553572669115,0.000000,11.021292,11.021292,200
1775045553569163119,1775045553569163119,1775045553583289898,0.000000,14.126779,14.126779,200
1775045553583868828,1775045553583868828,1775045553597126044,0.000000,13.257216,13.257216,200
1775045553583869599,1775045553583869599,1775045553595844739,0.000000,11.975140,11.975140,200
1775045553583891753,1775045553583891753,1775045553597202982,0.000000,13.311229,13.311229,200
1775045553606056185,1775045553606056185,1775045553618586715,0.000000,12.530530,12.530530,200
1775045553641226153,1775045553641226153,1775045553649712650,0.000000,8.486497,8.486497,200
1775045553641393115,1775045553641393115,1775045553649613479,0.000000,8.220364,8.220364,200
1775045553648983916,1775045553648983916,1775045553657953385,0.000000,8.969469,8.969469,200
1775045553670696265,1775045553670696265,1775045553683319162,0.000000,12.622897,12.622897,200
1775045553676935373,1775045553676935373,1775045553686627624,0.000000,9.692251,9.692251,200
1775045553677136251,1775045553677136251,1775045553701252148,0.000000,24.115897,24.115897,200
1775045553693031472,1775045553693031472,1775045553700961735,0.000000,7.930263,7.930263,200
1775045553693304907,1775045553693304907,1775045553700490879,0.000000,7.185972,7.185972,200
1775045553696960874,1775045553700490879,1775045553714370052,3.530005,13.879173,17.409178,200
1775045553712583840,1775045553712583840,1775045553730057787,0.000000,17.473947,17.473947,200
1775045553734811408,1775045553734811408,1775045553747462664,0.000000,12.651256,12.651256,200
1775045553734872776,1775045553734872776,1775045553749085374,0.000000,14.212598,14.212598,200
1775045553745374480,1775045553745374480,1775045553762876137,0.000000,17.501657,17.501657,200
1775045553760619461,1775045553760619461,1775045553770859949,0.000000,10.240488,10.240488,200
1775045553760633147,1775045553760633147,1775045553767043330,0.000000,6.410183,6.410183,200
1775045553781256070,1775045553781256070,1775045553790031297,0.000000,8.775227,8.775227,200
1775045553781407020,1775045553781407020,1775045553796218463,0.000000,14.811443,14.811443,200
1775045553788530031,1775045553788530031,1775045553794893566,0.000000,6.363535,6.363535,200
1775045553803778044,1775045553803778044,1775045553814489513,0.000000,10.711469,10.711469,200
1775045553804202781,1775045553804202781,1775045553815776808,0.000000,11.574027,11.574027,200
1775045553812378176,1775045553812378176,1775045553821849281,0.000000,9.471105,9.471105,200
1775045553823747040,1775045553823747040,1775045553837408549,0.000000,13.661509,13.661509,200
1775045553823972069,1775045553823972069,1775045553836962662,0.000000,12.990593,12.990593,200
1775045553845451524,1775045553845451524,1775045553869445775,0.000000,23.994251,23.994251,200
1775045553845621291,1775045553845621291,1775045553858792583,0.000000,13.171292,13.171292,200
1775045553852983242,1775045553852983242,1775045553861522500,0.000000,8.539258,8.539258,200
1775045553869571798,1775045553869571798,1775045553878255567,0.000000,8.683769,8.683769,200
1775045553873376012,1775045553873376012,1775045553881271997,0.000000,7.895985,7.895985,200
1775045553873719513,1775045553873719513,1775045553888527707,0.000000,14.808194,14.808194,200
1775045553905770019,1775045553905770019,1775045553914438389,0.000000,8.668370,8.668370,200
1775045553905913675,1775045553905913675,1775045553916240318,0.000000,10.326643,10.326643,200
1775045553912683749,1775045553912683749,1775045553926469444,0.000000,13.785695,13.785695,200
1775045553945113031,1775045553945113031,1775045553953315761,0.000000,8.202730,8.202730,200
1775045553945590488,1775045553945590488,1775045553955135107,0.000000,9.544619,9.544619,200
1775045553948805325,1775045553948805325,1775045553954336628,0.000000,5.531303,5.531303,200
1775045553985313100,1775045553985313100,1775045553992540725,0.000000,7.227625,7.227625,200
1775045553985515711,1775045553985515711,1775045553994181320,0.000000,8.665609,8.665609,200
1775045553985554809,1775045553985554809,1775045553997811288,0.000000,12.256479,12.256479,200
1775045554008091037,1775045554008091037,1775045554024213492,0.000000,16.122455,16.122455,200
1775045554008099781,1775045554008099781,1775045554018616698,0.000000,10.516917,10.516917,200
1775045554016670238,1775045554016670238,1775045554028277470,0.000000,11.607232,11.607232,200
1775045554030616725,1775045554030616725,1775045554041848039,0.000000,11.231314,11.231314,200
1775045554030946234,1775045554030946234,1775045554046462313,0.000000,15.516079,15.516079,200
1775045554036848657,1775045554036848657,1775045554051352467,0.000000,14.503810,14.503810,200
1775045554066015388,1775045554066015388,1775045554077673176,0.000000,11.657788,11.657788,200
1775045554066257116,1775045554066257116,1775045554073669314,0.000000,7.412198,7.412198,200
1775045554072883859,1775045554072883859,1775045554087439041,0.000000,14.555182,14.555182,200
1775045554107560793,1775045554107560793,1775045554119668204,0.000000,12.107411,12.107411,200
1775045554107742504,1775045554107742504,1775045554124056181,0.000000,16.313677,16.313677,200
1775045554108103956,1775045554108103956,1775045554118578548,0.000000,10.474592,10.474592,200
1775045554153191264,1775045554153191264,1775045554174264045,0.000000,21.072781,21.072781,200
1775045554153700232,1775045554153700232,1775045554163027922,0.000000,9.327690,9.327690,200
1775045554161174661,1775045554161174661,1775045554179735694,0.000000,18.561033,18.561033,200
1775045554179360935,1775045554179360935,1775045554190384943,0.000000,11.024008,11.024008,200
1775045554179410856,1775045554179410856,1775045554188235118,0.000000,8.824262,8.824262,200
1775045554185181234,1775045554185181234,1775045554192292682,0.000000,7.111448,7.111448,200
1775045554221681516,1775045554221681516,1775045554231718284,0.000000,10.036768,10.036768,200
1775045554224363833,1775045554224363833,1775045554241846843,0.000000,17.483010,17.483010,200
1775045554232478389,1775045554232478389,1775045554246593909,0.000000,14.115520,14.115520,200
1775045554262194657,1775045554262194657,1775045554275689846,0.000000,13.495189,13.495189,200
1775045554262252474,1775045554262252474,1775045554266833745,0.000000,4.581271,4.581271,200
1775045554262733886,1775045554262733886,1775045554276334525,0.000000,13.600639,13.600639,200
1775045554297341513,1775045554297341513,1775045554310218456,0.000000,12.876943,12.876943,200
1775045554304145199,1775045554304145199,1775045554312865384,0.000000,8.720185,8.720185,200
1775045554305060663,1775045554305060663,1775045554313545967,0.000000,8.485304,8.485304,200
1775045554318997473,1775045554318997473,1775045554329574458,0.000000,10.576985,10.576985,200
1775045554319092966,1775045554319092966,1775045554338536815,0.000000,19.443849,19.443849,200
1775045554328263182,1775045554328263182,1775045554335560899,0.000000,7.297717,7.297717,200
1775045554371417484,1775045554371417484,1775045554380521261,0.000000,9.103777,9.103777,200
1775045554371441595,1775045554371441595,1775045554388549445,0.000000,17.107850,17.107850,200
1775045554376847267,1775045554376847267,1775045554385892359,0.000000,9.045092,9.045092,200
1775045554409466984,1775045554409466984,1775045554418777017,0.000000,9.310033,9.310033,200
1775045554409546929,1775045554409546929,1775045554420503748,0.000000,10.956819,10.956819,200
1775045554416917541,1775045554416917541,1775045554423751664,0.000000,6.834123,6.834123,200
1775045554454565480,1775045554454565480,1775045554466004471,0.000000,11.438991,11.438991,200
1775045554454574862,1775045554454574862,1775045554461485713,0.000000,6.910851,6.910851,200
1775045554461042209,1775045554461042209,1775045554475504375,0.000000,14.462166,14.462166,200
1775045554482686448,1775045554482686448,1775045554493283927,0.000000,10.597479,10.597479,200
1775045554482719677,1775045554482719677,1775045554506394851,0.000000,23.675174,23.675174,200
1775045554488380256,1775045554488380256,1775045554500067453,0.000000,11.687197,11.687197,200
1775045554520058586,1775045554520058586,1775045554537190000,0.000000,17.131414,17.131414,200
1775045554524602639,1775045554524602639,1775045554531289078,0.000000,6.686439,6.686439,200
1775045554529716328,1775045554529716328,1775045554539855837,0.000000,10.139509,10.139509,200
1775045554542136725,1775045554542136725,1775045554553999519,0.000000,11.862794,11.862794,200
1775045554542180570,1775045554542180570,1775045554561767817,0.000000,19.587247,19.587247,200
1775045554552012630,1775045554552012630,1775045554557865636,0.000000,5.853006,5.853006,200
1775045554564131691,1775045554564131691,1775045554579141412,0.000000,15.009721,15.009721,200
1775045554568646781,1775045554568646781,1775045554581685887,0.000000,13.039106,13.039106,200
1775045554569358148,1775045554569358148,1775045554587533839,0.000000,18.175691,18.175691,200
1775045554603121943,1775045554603121943,1775045554616729398,0.000000,13.607455,13.607455,200
1775045554608163853,1775045554608163853,1775045554618945556,0.000000,10.781703,10.781703,200
1775045554611921273,1775045554611921273,1775045554620728814,0.000000,8.807541,8.807541,200
1775045554623403889,1775045554623403889,1775045554630221433,0.000000,6.817544,6.817544,200
1775045554628132493,1775045554628132493,1775045554639473026,0.000000,11.340533,11.340533,200
