arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
52997489830,52997489830,53010171122,0.000000,12.681292,12.681292,200
1775045552995898465,1775045552995898465,1775045553010333177,0.000000,14.434712,14.434712,200
1775045553045543772,1775045553045543772,1775045553061879863,0.000000,16.336091,16.336091,200
1775045553048799340,1775045553048799340,1775045553059776166,0.000000,10.976826,10.976826,200
1775045553048969567,1775045553048969567,1775045553060355674,0.000000,11.386107,11.386107,200
1775045553087824129,1775045553087824129,1775045553101364725,0.000000,13.540596,13.540596,200
1775045553087856649,1775045553087856649,1775045553102956573,0.000000,15.099924,15.099924,200
1775045553089135479,1775045553089135479,1775045553099719236,0.000000,10.583757,10.583757,200
1775045553123636702,1775045553123636702,1775045553136846083,0.000000,13.209381,13.209381,200
1775045553123784062,1775045553123784062,1775045553137698579,0.000000,13.914517,13.914517,200
1775045553129301370,1775045553129301370,1775045553138356258,0.000000,9.054888,9.054888,200
1775045553160551911,1775045553160551911,1775045553169360190,0.000000,8.808279,8.808279,200
1775045553160562139,1775045553160562139,1775045553169543381,0.000000,8.981242,8.981242,200
1775045553164647759,1775045553164647759,1775045553172394303,0.000000,7.746544,7.746544,200
1775045553195779084,1775045553195779084,1775045553204442712,0.000000,8.663628,8.663628,200
1775045553195819261,1775045553195819261,1775045553204280262,0.000000,8.461001,8.461001,200
1775045553196808731,1775045553196808731,1775045553206137632,0.000000,9.328901,9.328901,200
1775045553231709762,1775045553231709762,1775045553250098927,0.000000,18.389165,18.389165,200
1775045553231836360,1775045553231836360,1775045553238967254,0.000000,7.130894,7.130894,200
1775045553237095978,1775045553237095978,1775045553249137082,0.000000,12.041104,12.041104,200
1775045553267131276,1775045553267131276,1775045553286728062,0.000000,19.596786,19.596786,200
1775045553267368539,1775045553267368539,1775045553282874481,0.000000,15.505942,15.505942,200
1775045553268409529,1775045553268409529,1775045553277971352,0.000000,9.561823,9.561823,200
1775045553313620963,1775045553313620963,1775045553331394113,0.000000,17.773150,17.773150,200
1775045553316164186,1775045553316164186,1775045553348476321,0.000000,32.312135,32.312135,200
1775045553322414923,1775045553322414923,1775045553343617286,0.000000,21.202363,21.202363,200
1775045553364287580,1775045553364287580,1775045553373857295,0.000000,9.569715,9.569715,200
1775045553364991105,1775045553364991105,1775045553374177072,0.000000,9.185967,9.185967,200
1775045553369569390,1775045553369569390,1775045553384740460,0.000000,15.171070,15.171070,200
1775045553405927179,1775045553405927179,1775045553421542712,0.000000,15.615533,15.615533,200
1775045553406018304,1775045553406018304,1775045553421172662,0.000000,15.154358,15.154358,200
1775045553419626354,1775045553419626354,1775045553434344990,0.000000,14.718636,14.718636,200
1775045553453560076,1775045553453560076,1775045553467767413,0.000000,14.207337,14.207337,200
1775045553453581768,1775045553453581768,1775045553462814698,0.000000,9.232930,9.232930,200
1775045553461203556,1775045553461203556,1775045553472692388,0.000000,11.488832,11.488832,200
1775045553479350100,1775045553479350100,1775045553494413156,0.000000,15.063056,15.063056,200
1775045553482845198,1775045553482845198,1775045553501562318,0.000000,18.717120,18.717120,200
1775045553485110199,1775045553485110199,1775045553501535165,0.000000,16.424966,16.424966,200
1775045553523417354,1775045553523417354,1775045553532164545,0.000000,8.747191,8.747191,200
1775045553523493268,1775045553523493268,1775045553531869386,0.000000,8.376118,8.376118,200
1775045553534622645,1775045553534622645,1775045553542474862,0.000000,7.852217,7.852217,200
1775045553561493357,1775045553561493357,1775045553568698960,0.000000,7.205603,7.205603,200
1775045553561647823,1775045553561647823,1775045553569978782,0.000000,8.330959,8.330959,200
1775045553569163119,1775045553569163119,1775045553576334183,0.000000,7.171064,7.171064,200
1775045553583868828,1775045553583868828,1775045553593272917,0.000000,9.404089,9.404089,200
1775045553583869599,1775045553583869599,1775045553592423109,0.000000,8.553510,8.553510,200
1775045553583891753,1775045553583891753,1775045553594043545,0.000000,10.151792,10.151792,200
1775045553606056185,1775045553606056185,1775045553619533107,0.000000,13.476922,13.476922,200
1775045553641226153,1775045553641226153,1775045553650773056,0.000000,9.546903,9.546903,200
1775045553641393115,1775045553641393115,1775045553652785845,0.000000,11.392730,11.392730,200
1775045553648983916,1775045553648983916,1775045553658416387,0.000000,9.432471,9.432471,200
1775045553670696265,1775045553670696265,1775045553679365008,0.000000,8.668743,8.668743,200
1775045553676935373,1775045553676935373,1775045553685323499,0.000000,8.388126,8.388126,200
1775045553677136251,1775045553677136251,1775045553685736667,0.000000,8.600416,8.600416,200
1775045553693031472,1775045553693031472,1775045553701885816,0.000000,8.854344,8.854344,200
1775045553693304907,1775045553693304907,1775045553713268182,0.000000,19.963275,19.963275,200
1775045553696960874,1775045553696960874,1775045553709803850,0.000000,12.842976,12.842976,200
1775045553712583840,1775045553712583840,1775045553720597985,0.000000,8.014145,8.014145,200
1775045553734811408,1775045553734811408,1775045553741666315,0.000000,6.854907,6.854907,200
1775045553734872776,1775045553734872776,1775045553742148980,0.000000,7.276204,7.276204,200
1775045553745374480,1775045553745374480,1775045553757066288,0.000000,11.691808,11.691808,200
1775045553760619461,1775045553760619461,1775045553769289165,0.000000,8.669704,8.669704,200
1775045553760633147,1775045553760633147,1775045553769362867,0.000000,8.729720,8.729720,200
1775045553781256070,1775045553781256070,1775045553790840717,0.000000,9.584647,9.584647,200
1775045553781407020,1775045553781407020,1775045553788640978,0.000000,7.233958,7.233958,200
1775045553788530031,1775045553788530031,1775045553796136748,0.000000,7.606717,7.606717,200
1775045553803778044,1775045553803778044,1775045553811580420,0.000000,7.802376,7.802376,200
1775045553804202781,1775045553804202781,1775045553812920284,0.000000,8.717503,8.717503,200
1775045553812378176,1775045553812378176,1775045553820581716,0.000000,8.203540,8.203540,200
1775045553823747040,1775045553823747040,1775045553830696966,0.000000,6.949926,6.949926,200
1775045553823972069,1775045553823972069,1775045553831006242,0.000000,7.034173,7.034173,200
1775045553845451524,1775045553845451524,1775045553852235029,0.000000,6.783505,6.783505,200
1775045553845621291,1775045553845621291,1775045553853028252,0.000000,7.406961,7.406961,200
1775045553852983242,1775045553852983242,1775045553859818831,0.000000,6.835589,6.835589,200
1775045553869571798,1775045553869571798,1775045553879054333,0.000000,9.482535,9.482535,200
1775045553873376012,1775045553873376012,1775045553881394766,0.000000,8.018754,8.018754,200
1775045553873719513,1775045553873719513,1775045553881189018,0.000000,7.469505,7.469505,200
1775045553905770019,1775045553905770019,1775045553912455149,0.000000,6.685130,6.685130,200
1775045553905913675,1775045553905913675,1775045553912548746,0.000000,6.635071,6.635071,200
1775045553912683749,1775045553912683749,1775045553920048237,0.000000,7.364488,7.364488,200
1775045553945113031,1775045553945113031,1775045553954191080,0.000000,9.078049,9.078049,200
1775045553945590488,1775045553945590488,1775045553954782706,0.000000,9.192218,9.192218,200
1775045553948805325,1775045553948805325,1775045553956497341,0.000000,7.692016,7.692016,200
1775045553985313100,1775045553985313100,1775045553996724516,0.000000,11.411416,11.411416,200
1775045553985515711,1775045553985515711,1775045553995629027,0.000000,10.113316,10.113316,200
1775045553985554809,1775045553985554809,1775045553996274907,0.000000,10.720098,10.720098,200
1775045554008091037,1775045554008091037,1775045554015386227,0.000000,7.295190,7.295190,200
1775045554008099781,1775045554008099781,1775045554015482354,0.000000,7.382573,7.382573,200
1775045554016670238,1775045554016670238,1775045554023667948,0.000000,6.997710,6.997710,200
1775045554030616725,1775045554030616725,1775045554037206437,0.000000,6.589712,6.589712,200
1775045554030946234,1775045554030946234,1775045554040504020,0.000000,9.557786,9.557786,200
1775045554036848657,1775045554036848657,1775045554043813161,0.000000,6.964504,6.964504,200
1775045554066015388,1775045554066015388,1775045554073967720,0.000000,7.952332,7.952332,200
1775045554066257116,1775045554066257116,1775045554075203530,0.000000,8.946414,8.946414,200
1775045554072883859,1775045554072883859,1775045554082094164,0.000000,9.210305,9.210305,200
1775045554107560793,1775045554107560793,1775045554119775093,0.000000,12.214300,12.214300,200
1775045554107742504,1775045554107742504,1775045554122991927,0.000000,15.249423,15.249423,200
1775045554108103956,1775045554108103956,1775045554120240215,0.000000,12.136259,12.136259,200
1775045554153191264,1775045554153191264,1775045554171255939,0.000000,18.064675,18.064675,200
1775045554153700232,1775045554153700232,1775045554163384648,0.000000,9.684416,9.684416,200
1775045554161174661,1775045554161174661,1775045554170010945,0.000000,8.836284,8.836284,200
1775045554179360935,1775045554179360935,1775045554188469729,0.000000,9.108794,9.108794,200
1775045554179410856,1775045554179410856,1775045554187937175,0.000000,8.526319,8.526319,200
1775045554185181234,1775045554185181234,1775045554193926187,0.000000,8.744953,8.744953,200
1775045554221681516,1775045554221681516,1775045554230839477,0.000000,9.157961,9.157961,200
1775045554224363833,1775045554224363833,1775045554232274121,0.000000,7.910288,7.910288,200
1775045554232478389,1775045554232478389,1775045554241223654,0.000000,8.745265,8.745265,200
1775045554262194657,1775045554262194657,1775045554270030659,0.000000,7.836002,7.836002,200
1775045554262252474,1775045554262252474,1775045554270234495,0.000000,7.982021,7.982021,200
1775045554262733886,1775045554262733886,1775045554270991433,0.000000,8.257547,8.257547,200
1775045554297341513,1775045554297341513,1775045554304680008,0.000000,7.338495,7.338495,200
1775045554304145199,1775045554304145199,1775045554310556146,0.000000,6.410947,6.410947,200
1775045554305060663,1775045554305060663,1775045554312259452,0.000000,7.198789,7.198789,200
1775045554318997473,1775045554318997473,1775045554326258419,0.000000,7.260946,7.260946,200
1775045554319092966,1775045554319092966,1775045554328100910,0.000000,9.007944,9.007944,200
1775045554328263182,1775045554328263182,1775045554336993546,0.000000,8.730364,8.730364,200
1775045554371417484,1775045554371417484,1775045554386565819,0.000000,15.148335,15.148335,200
1775045554371441595,1775045554371441595,1775045554380811267,0.000000,9.369672,9.369672,200
1775045554376847267,1775045554376847267,1775045554388697315,0.000000,11.850048,11.850048,200
1775045554409466984,1775045554409466984,1775045554418245454,0.000000,8.778470,8.778470,200
1775045554409546929,1775045554409546929,1775045554416360263,0.000000,6.813334,6.813334,200
1775045554416917541,1775045554416917541,1775045554423575939,0.000000,6.658398,6.658398,200
1775045554454565480,1775045554454565480,1775045554462565576,0.000000,8.000096,8.000096,200
1775045554454574862,1775045554454574862,1775045554462895433,0.000000,8.320571,8.320571,200
1775045554461042209,1775045554461042209,1775045554469158547,0.000000,8.116338,8.116338,200
1775045554482686448,1775045554482686448,1775045554491591808,0.000000,8.905360,8.905360,200
1775045554482719677,1775045554482719677,1775045554489535225,0.000000,6.815548,6.815548,200
1775045554488380256,1775045554488380256,1775045554495275873,0.000000,6.895617,6.895617,200
1775045554520058586,1775045554520058586,1775045554527999340,0.000000,7.940754,7.940754,200
1775045554524602639,1775045554524602639,1775045554531434530,0.000000,6.831891,6.831891,200
1775045554529716328,1775045554529716328,1775045554536183947,0.000000,6.467619,6.467619,200
1775045554542136725,1775045554542136725,1775045554549137191,0.000000,7.000466,7.000466,200
1775045554542180570,1775045554542180570,1775045554550006984,0.000000,7.826414,7.826414,200
1775045554552012630,1775045554552012630,1775045554558893079,0.000000,6.880449,6.880449,200
1775045554564131691,1775045554564131691,1775045554573324789,0.000000,9.193098,9.193098,200
1775045554568646781,1775045554568646781,1775045554577150927,0.000000,8.504146,8.504146,200
1775045554569358148,1775045554569358148,1775045554576932842,0.000000,7.574694,7.574694,200
1775045554603121943,1775045554603121943,1775045554609776098,0.000000,6.654155,6.654155,200
1775045554608163853,1775045554608163853,1775045554614550752,0.000000,6.386899,6.386899,200
1775045554611921273,1775045554611921273,1775045554618813394,0.000000,6.892121,6.892121,200
1775045554623403889,1775045554623403889,1775045554629905265,0.000000,6.501376,6.501376,200
1775045554628132493,1775045554628132493,1775045554635726986,0.000000,7.594493,7.594493,200
1775045554631797790,1775045554631797790,1775045554638232304,0.000000,6.434514,6.434514,200
1775045554642395555,1775045554642395555,1775045554649254360,0.000000,6.858805,6.858805,200
1775045554648410155,1775045554648410155,1775045554657926577,0.000000,9.516422,9.516422,200
1775045554649221646,1775045554649221646,1775045554658540476,0.000000,9.318830,9.318830,200
1775045554679877464,1775045554679877464,1775045554686654817,0.000000,6.777353,6.777353,200
1775045554679990031,1775045554679990031,1775045554686596195,0.000000,6.606164,6.606164,200
1775045554680028196,1775045554680028196,1775045554689091339,0.000000,9.063143,9.063143,200
1775045554699910556,1775045554699910556,1775045554706445539,0.000000,6.534983,6.534983,200
1775045554699967298,1775045554699967298,1775045554706490998,0.000000,6.523700,6.523700,200
1775045554701063376,1775045554701063376,1775045554707730891,0.000000,6.667515,6.667515,200
1775045554732158373,1775045554732158373,1775045554741015048,0.000000,8.856675,8.856675,200
1775045554732214070,1775045554732214070,1775045554745784641,0.000000,13.570571,13.570571,200
1775045554736999739,1775045554736999739,1775045554745595888,0.000000,8.596149,8.596149,200
1775045554772347086,1775045554772347086,1775045554785687089,0.000000,13.340003,13.340003,200
1775045554777215627,1775045554777215627,1775045554787534180,0.000000,10.318553,10.318553,200
1775045554777657605,1775045554777657605,1775045554787036415,0.000000,9.378810,9.378810,200
1775045554812381440,1775045554812381440,1775045554819168302,0.000000,6.786862,6.786862,200
1775045554812433373,1775045554812433373,1775045554819117872,0.000000,6.684499,6.684499,200
1775045554816305739,1775045554816305739,1775045554823635607,0.000000,7.329868,7.329868,200
1775045554848993169,1775045554848993169,1775045554857586131,0.000000,8.592962,8.592962,200
1775045554849753992,1775045554849753992,1775045554859225474,0.000000,9.471482,9.471482,200
1775045554856805712,1775045554856805712,1775045554865249799,0.000000,8.444087,8.444087,200
1775045554888542658,1775045554888542658,1775045554895216456,0.000000,6.673798,6.673798,200
1775045554892585388,1775045554892585388,1775045554902004136,0.000000,9.418748,9.418748,200
1775045554892731981,1775045554892731981,1775045554902197392,0.000000,9.465411,9.465411,200
1775045554926615351,1775045554926615351,1775045554933239841,0.000000,6.624490,6.624490,200
1775045554926636960,1775045554926636960,1775045554933851540,0.000000,7.214580,7.214580,200
1775045554932453913,1775045554932453913,1775045554939177229,0.000000,6.723316,6.723316,200
1775045554944228948,1775045554944228948,1775045554952934653,0.000000,8.705705,8.705705,200
1775045554944389528,1775045554944389528,1775045554952620402,0.000000,8.230874,8.230874,200
