arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044924150283283,1775044924150283283,1775044924159113117,0.000000,8.829834,8.829834,200
1775044924369744878,1775044924369744878,1775044924377220099,0.000000,7.475221,7.475221,200
1775044924513132689,1775044924513132689,1775044924524719019,0.000000,11.586330,11.586330,200
1775044924656116096,1775044924656116096,1775044924662642647,0.000000,6.526551,6.526551,200
1775044924726345106,1775044924726345106,1775044924736174421,0.000000,9.829315,9.829315,200
1775044924896553196,1775044924896553196,1775044924904683494,0.000000,8.130298,8.130298,200
1775044925008090019,1775044925008090019,1775044925015248589,0.000000,7.158570,7.158570,200
1775044925074717216,1775044925074717216,1775044925082883168,0.000000,8.165952,8.165952,200
1775044925142100222,1775044925142100222,1775044925151892925,0.000000,9.792703,9.792703,200
1775044925258656853,1775044925258656853,1775044925266895487,0.000000,8.238634,8.238634,200
1775044925324621723,1775044925324621723,1775044925339092529,0.000000,14.470806,14.470806,200
1775044925389278365,1775044925389278365,1775044925395907170,0.000000,6.628805,6.628805,200
1775044925464619251,1775044925464619251,1775044925471242018,0.000000,6.622767,6.622767,200
1775044925528328221,1775044925528328221,1775044925536135994,0.000000,7.807773,7.807773,200
1775044925594292996,1775044925594292996,1775044925602972550,0.000000,8.679554,8.679554,200
1775044925661846259,1775044925661846259,1775044925681397907,0.000000,19.551648,19.551648,200
1775044925739476336,1775044925739476336,1775044925746868829,0.000000,7.392493,7.392493,200
1775044925805264870,1775044925805264870,1775044925813888876,0.000000,8.624006,8.624006,200
1775044925870858837,1775044925870858837,1775044925880615156,0.000000,9.756319,9.756319,200
1775044925933561844,1775044925933561844,1775044925942245834,0.000000,8.683990,8.683990,200
1775044925996768927,1775044925996768927,1775044926003052001,0.000000,6.283074,6.283074,200
1775044926061265002,1775044926061265002,1775044926070822247,0.000000,9.557245,9.557245,200
1775044926127331041,1775044926127331041,1775044926136269012,0.000000,8.937971,8.937971,200
1775044926223515706,1775044926223515706,1775044926230078900,0.000000,6.563194,6.563194,200
1775044926310954041,1775044926310954041,1775044926317554493,0.000000,6.600452,6.600452,200
1775044926374725222,1775044926374725222,1775044926385810112,0.000000,11.084890,11.084890,200
1775044926437963478,1775044926437963478,1775044926446757335,0.000000,8.793857,8.793857,200
1775044926501469314,1775044926501469314,1775044926508850773,0.000000,7.381459,7.381459,200
1775044926565189172,1775044926565189172,1775044926575398163,0.000000,10.208991,10.208991,200
1775044926629648858,1775044926629648858,1775044926639051715,0.000000,9.402857,9.402857,200
1775044926719330924,1775044926719330924,1775044926728328309,0.000000,8.997385,8.997385,200
1775044926787111592,1775044926787111592,1775044926795780065,0.000000,8.668473,8.668473,200
1775044926853363970,1775044926853363970,1775044926864573654,0.000000,11.209684,11.209684,200
1775044926917072504,1775044926917072504,1775044926926488408,0.000000,9.415904,9.415904,200
1775044926981463021,1775044926981463021,1775044926990871161,0.000000,9.408140,9.408140,200
1775044927047810617,1775044927047810617,1775044927059137968,0.000000,11.327351,11.327351,200
1775044927110522457,1775044927110522457,1775044927118648868,0.000000,8.126411,8.126411,200
1775044927236125007,1775044927236125007,1775044927245423178,0.000000,9.298171,9.298171,200
1775044927305174611,1775044927305174611,1775044927314176341,0.000000,9.001730,9.001730,200
1775044927372231789,1775044927372231789,1775044927382380130,0.000000,10.148341,10.148341,200
1775044927438697477,1775044927438697477,1775044927446566708,0.000000,7.869231,7.869231,200
1775044927503626808,1775044927503626808,1775044927515165826,0.000000,11.539018,11.539018,200
1775044927588454610,1775044927588454610,1775044927597426657,0.000000,8.972047,8.972047,200
1775044927665386847,1775044927665386847,1775044927672425781,0.000000,7.038934,7.038934,200
1775044927735109638,1775044927735109638,1775044927745588415,0.000000,10.478777,10.478777,200
1775044927800938287,1775044927800938287,1775044927810406013,0.000000,9.467726,9.467726,200
1775044927865551801,1775044927865551801,1775044927877733897,0.000000,12.182096,12.182096,200
1775044927934792698,1775044927934792698,1775044927943816031,0.000000,9.023333,9.023333,200
1775044928020939155,1775044928020939155,1775044928038155306,0.000000,17.216151,17.216151,200
1775044928086119919,1775044928086119919,1775044928092832173,0.000000,6.712254,6.712254,200
1775044928219126514,1775044928219126514,1775044928226542854,0.000000,7.416340,7.416340,200
1775044928283703281,1775044928283703281,1775044928295564053,0.000000,11.860772,11.860772,200
1775044928346819768,1775044928346819768,1775044928354402053,0.000000,7.582285,7.582285,200
1775044928411793953,1775044928411793953,1775044928420458501,0.000000,8.664548,8.664548,200
1775044928477619567,1775044928477619567,1775044928487063486,0.000000,9.443919,9.443919,200
1775044928542814330,1775044928542814330,1775044928554114771,0.000000,11.300441,11.300441,200
1775044928608876583,1775044928608876583,1775044928618284723,0.000000,9.408140,9.408140,200
1775044928672623565,1775044928672623565,1775044928682832556,0.000000,10.208991,10.208991,200
1775044928742283731,1775044928742283731,1775044928759586911,0.000000,17.303180,17.303180,200
1775044928809396834,1775044928809396834,1775044928818168978,0.000000,8.772144,8.772144,200
1775044928890705127,1775044928890705127,1775044928907339081,0.000000,16.633954,16.633954,200
1775044929060524591,1775044929060524591,1775044929069958116,0.000000,9.433525,9.433525,200
1775044929061491843,1775044929061491843,1775044929067991568,0.000000,6.499725,6.499725,200
1775044929151852574,1775044929151852574,1775044929158958505,0.000000,7.105931,7.105931,200
1775044929242917633,1775044929242917633,1775044929254724025,0.000000,11.806392,11.806392,200
1775044929373980817,1775044929373980817,1775044929380893649,0.000000,6.912832,6.912832,200
1775044929374744837,1775044929374744837,1775044929382837258,0.000000,8.092421,8.092421,200
1775044929389653064,1775044929389653064,1775044929398915933,0.000000,9.262869,9.262869,200
1775044929435518834,1775044929435518834,1775044929453444125,0.000000,17.925291,17.925291,200
1775044929437006130,1775044929437006130,1775044929445943995,0.000000,8.937865,8.937865,200
1775044929452688222,1775044929452688222,1775044929459930099,0.000000,7.241877,7.241877,200
1775044929607118164,1775044929607118164,1775044929618002176,0.000000,10.884012,10.884012,200
1775044929683686156,1775044929683686156,1775044929699587581,0.000000,15.901425,15.901425,200
1775044929700274477,1775044929700274477,1775044929709740514,0.000000,9.466037,9.466037,200
1775044929701279803,1775044929701279803,1775044929708926277,0.000000,7.646474,7.646474,200
1775044929708147836,1775044929708147836,1775044929714531657,0.000000,6.383821,6.383821,200
1775044929735422945,1775044929735422945,1775044929744456373,0.000000,9.033428,9.033428,200
1775044929748163320,1775044929748163320,1775044929764121709,0.000000,15.958389,15.958389,200
