arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms
1771215458285639967,1771215458285639967,1771215458285731967,0.000000,0.092000,0.092000
1771215458764045467,1771215458764045467,1771215458764150467,0.000000,0.105000,0.105000
1771215459263770101,1771215459263770101,1771215459263835101,0.000000,0.065000,0.065000
1771215459764266604,1771215459764266604,1771215459764474604,0.000000,0.208000,0.208000
1771215460264033346,1771215460264033346,1771215460264222346,0.000000,0.189000,0.189000
1771215460764747815,1771215460764747815,1771215460764873815,0.000000,0.126000,0.126000
1771215461263966041,1771215461263966041,1771215461264109041,0.000000,0.143000,0.143000
1771215461764089441,1771215461764089441,1771215461764346441,0.000000,0.257000,0.257000
1771215462264181633,1771215462264181633,1771215462264389633,0.000000,0.208000,0.208000
1771215462763997383,1771215462763997383,1771215462764110383,0.000000,0.113000,0.113000
1771215463263898272,1771215463263898272,1771215463263993272,0.000000,0.095000,0.095000
1771215463764193543,1771215463764193543,1771215463764401543,0.000000,0.208000,0.208000
1771215464263816394,1771215464263816394,1771215464263931394,0.000000,0.115000,0.115000
1771215464763976794,1771215464763976794,1771215464764202794,0.000000,0.226000,0.226000
1771215465263729645,1771215465263729645,1771215465263830645,0.000000,0.101000,0.101000
1771215465763924777,1771215465763924777,1771215465764081777,0.000000,0.157000,0.157000
1771215467455331494,1771215467455331494,1771215467455481494,0.000000,0.150000,0.150000
1771215467955406997,1771215467955406997,1771215467955487997,0.000000,0.081000,0.081000
1771215468455985326,1771215468455985326,1771215468456050326,0.000000,0.065000,0.065000
1771215468955072745,1771215468955072745,1771215468955173745,0.000000,0.101000,0.101000
1771215469456417795,1771215469456417795,1771215469456481795,0.000000,0.064000,0.064000
1771215469956336725,1771215469956336725,1771215469956392725,0.000000,0.056000,0.056000
1771215470455689407,1771215470455689407,1771215470455737407,0.000000,0.048000,0.048000
1771215470955612689,1771215470955612689,1771215470955678689,0.000000,0.066000,0.066000
1771215471455396945,1771215471455396945,1771215471455461945,0.000000,0.065000,0.065000
1771215471955645287,1771215471955645287,1771215471956357287,0.000000,0.712000,0.712000
1771215472455323952,1771215472455323952,1771215472455595952,0.000000,0.272000,0.272000
