arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775044320967000000,0.599782,0.039689,0.639471,200
1775044320984000000,0.400266,0.009910,0.410176,200
1775044321003000000,0.180989,0.029299,0.210288,200
1775044321023000000,0.198304,0.033757,0.232061,200
1775044321040000000,0.255007,0.032514,0.287521,200
1775044321059000000,0.131070,0.009970,0.141040,200
1775044321079000000,0.195980,0.018056,0.214036,200
1775044321096000000,36.574477,0.022726,36.597203,200
1775044321174000000,0.221501,0.041001,0.262502,200
1775044321191000000,0.176350,0.008557,0.184907,200
1775044321207000000,0.182282,0.008206,0.190488,200
1775044321224000000,0.178465,0.047595,0.226060,200
1775044321241000000,0.260077,0.008577,0.268654,200
1775044321279000000,0.221931,0.008537,0.230468,200
1775044321296000000,0.135489,0.053196,0.188685,200
1775044321314000000,0.167452,0.008587,0.176039,200
1775044321333000000,0.200719,0.071873,0.272592,200
1775044321351000000,0.187142,0.093185,0.280327,200
1775044321388000000,0.380366,0.010732,0.391098,200
1775044321406000000,0.196751,0.121822,0.318573,200
1775044321429000000,0.309715,0.210058,0.519773,200
1775044321449000000,0.303413,0.011163,0.314576,200
1775044321473000000,0.205288,0.084288,0.289576,200
1775044321512000000,0.132914,0.009659,0.142573,200
1775044321542000000,0.256299,0.127313,0.383612,200
1775044321558000000,0.175619,0.110209,0.285828,200
1775044321579000000,0.216911,0.111792,0.328703,200
1775044321619000000,0.171832,0.032334,0.204166,200
1775044321635000000,0.265678,0.100540,0.366218,200
1775044321655000000,0.132744,0.011713,0.144457,200
1775044321675000000,0.144628,0.027424,0.172052,200
1775044321695000000,0.255217,0.063817,0.319034,200
1775044321717000000,0.243273,0.101923,0.345196,200
1775044321756000000,0.242402,0.015360,0.257762,200
1775044321781000000,0.384804,0.017656,0.402460,200
1775044321818000000,0.226360,0.014729,0.241089,200
1775044321837000000,0.249926,0.134468,0.384394,200
1775044321862000000,0.229516,0.055069,0.284585,200
1775044321885000000,0.216320,0.064198,0.280518,200
1775044321910000000,0.281840,0.495425,0.777265,200
1775044321934000000,0.725480,0.032725,0.758205,200
1775044321972000000,0.196350,0.013647,0.209997,200
1775044322034000000,0.325548,0.207041,0.532589,200
1775044322057000000,0.291339,0.010772,0.302111,200
1775044322090000000,0.245167,0.119026,0.364193,200
1775044322126000000,0.191901,0.013607,0.205508,200
1775044322165000000,0.541837,0.012214,0.554051,200
1775044322190000000,0.291239,0.156850,0.448089,200
1775044322217000000,0.249766,0.631635,0.881401,200
1775044322242000000,0.262501,0.134848,0.397349,200
1775044322264000000,0.253554,0.012856,0.266410,200
1775044322292000000,0.326750,0.195859,0.522609,200
1775044322318000000,0.190709,0.099909,0.290618,200
1775044322345000000,0.232131,0.047314,0.279445,200
1775044322379000000,0.225317,0.136732,0.362049,200
1775044322420000000,0.131972,0.041452,0.173424,200
1775044322442000000,0.253133,0.173475,0.426608,200
1775044322482000000,0.319956,0.100600,0.420556,200
1775044322501000000,0.225248,0.150579,0.375827,200
1775044322525000000,0.275225,0.014989,0.290214,200
1775044322565000000,0.346349,0.012424,0.358773,200
1775044322600000000,0.245077,0.050069,0.295146,200
1775044322631000000,0.230779,0.494534,0.725313,200
1775044322653000000,0.922463,0.099628,1.022091,200
1775044322674000000,0.247552,0.032113,0.279665,200
1775044322697000000,0.255448,0.011814,0.267262,200
1775044322721000000,0.218604,0.079809,0.298413,200
1775044322746000000,0.255528,0.010781,0.266309,200
1775044322768000000,0.339515,0.031352,0.370867,200
1775044322791000000,0.335938,0.102574,0.438512,200
1775044322813000000,0.159567,0.058757,0.218324,200
1775044322855000000,0.325968,0.125720,0.451688,200
1775044322871000000,0.194356,0.029699,0.224055,200
1775044322902000000,0.182232,0.011623,0.193855,200
1775044322933000000,0.129367,0.008938,0.138305,200
1775044322948000000,0.581404,0.012906,0.594310,200
1775044322971000000,0.154877,0.021453,0.176330,200
1775044322991000000,0.207162,0.026943,0.234105,200
1775044323011000000,0.224356,0.044839,0.269195,200
1775044323033000000,0.215618,0.008457,0.224075,200
1775044323053000000,0.129016,0.025361,0.154377,200
1775044323087000000,0.211531,0.010370,0.221901,200
1775044323103000000,0.167593,0.010140,0.177733,200
1775044323133000000,0.132714,0.008788,0.141502,200
1775044323164000000,0.180970,0.009659,0.190629,200
1775044323188000000,0.141311,0.049458,0.190769,200
1775044323208000000,0.125680,0.008927,0.134607,200
1775044323228000000,0.133194,0.008888,0.142082,200
1775044323248000000,0.130129,0.022715,0.152844,200
1775044323271000000,0.141992,0.008587,0.150579,200
1775044323304000000,0.175408,0.008788,0.184196,200
1775044323335000000,0.134989,0.009128,0.144117,200
1775044323366000000,0.191380,0.028707,0.220087,200
1775044323392000000,0.232062,0.012755,0.244817,200
1775044323414000000,0.156080,0.009869,0.165949,200
1775044323435000000,0.177683,0.011614,0.189297,200
1775044323459000000,0.188295,0.013987,0.202282,200
1775044323480000000,0.194697,0.010872,0.205569,200
1775044323503000000,0.162813,0.011483,0.174296,200
1775044323524000000,0.173796,0.021993,0.195789,200
1775044323544000000,0.123145,0.030330,0.153475,200
1775044323565000000,0.252983,0.008607,0.261590,200
1775044323598000000,0.133345,0.009559,0.142904,200
1775044323616000000,0.179577,0.010972,0.190549,200
1775044323638000000,0.135850,0.008286,0.144136,200
1775044323677000000,0.158756,0.008837,0.167593,200
1775044323707000000,0.159507,0.038527,0.198034,200
1775044323723000000,0.129568,0.008727,0.138295,200
1775044323743000000,0.179817,0.011693,0.191510,200
1775044323763000000,0.137073,0.008937,0.146010,200
1775044323802000000,0.142292,0.010020,0.152312,200
1775044323833000000,0.133636,0.024649,0.158285,200
1775044323847000000,0.180589,0.010571,0.191160,200
1775044323880000000,0.158254,0.009479,0.167733,200
1775044323912000000,0.129798,0.009278,0.139076,200
1775044323928000000,0.182673,0.011112,0.193785,200
1775044323946000000,0.127303,0.024649,0.151952,200
1775044323967000000,0.161712,0.009899,0.171611,200
1775044323987000000,0.125449,0.008166,0.133615,200
1775044324021000000,0.243765,0.012043,0.255808,200
1775044324039000000,0.185869,0.011533,0.197402,200
1775044324064000000,0.187924,0.010681,0.198605,200
1775044324092000000,0.180709,0.043737,0.224446,200
1775044324118000000,0.193875,0.029268,0.223143,200
1775044324139000000,0.183265,0.010981,0.194246,200
1775044324167000000,0.203565,0.014839,0.218404,200
1775044324189000000,0.186801,0.032285,0.219086,200
1775044324219000000,0.213996,0.011643,0.225639,200
1775044324248000000,0.128776,0.013266,0.142042,200
1775044324282000000,0.192041,0.013186,0.205227,200
1775044324313000000,0.248414,0.009339,0.257753,200
1775044324330000000,0.140880,0.012515,0.153395,200
1775044324351000000,0.182192,0.012435,0.194627,200
1775044324376000000,0.233905,0.013917,0.247822,200
1775044324398000000,0.142683,0.010561,0.153244,200
1775044324435000000,0.194306,0.058667,0.252973,200
1775044324452000000,0.214356,0.021022,0.235378,200
1775044324481000000,0.217142,0.013166,0.230308,200
1775044324513000000,0.128425,0.008527,0.136952,200
1775044324528000000,0.137273,0.008847,0.146120,200
1775044324559000000,0.137774,0.008316,0.146090,200
1775044324590000000,0.155559,0.008577,0.164136,200
1775044324621000000,0.231130,0.008697,0.239827,200
1775044324651000000,0.206210,0.012795,0.219005,200
1775044324682000000,0.143906,0.009699,0.153605,200
1775044324713000000,0.180689,0.016663,0.197352,200
1775044324732000000,0.146632,0.030801,0.177433,200
1775044324758000000,0.194877,0.027335,0.222212,200
1775044324781000000,0.179627,0.010851,0.190478,200
1775044324821000000,0.216490,0.011803,0.228293,200
1775044324840000000,0.230598,0.011142,0.241740,200
1775044324863000000,0.190158,0.011423,0.201581,200
1775044324901000000,0.190468,0.013026,0.203494,200
1775044324926000000,0.222091,0.013527,0.235618,200
1775044324947000000,0.186861,0.011323,0.198184,200
1775044324970000000,0.141552,0.012424,0.153976,200
1775044324992000000,0.272512,0.029208,0.301720,200
1775044325013000000,0.139858,0.008457,0.148315,200
1775044325033000000,0.171861,0.010692,0.182553,200
1775044325052000000,0.187793,0.034168,0.221961,200
1775044325084000000,0.166571,0.010291,0.176862,200
1775044325100000000,0.151401,0.008357,0.159758,200
1775044325131000000,0.128345,0.009139,0.137484,200
1775044325179000000,0.161431,0.009930,0.171361,200
1775044325210000000,0.164096,0.010110,0.174206,200
1775044325225000000,0.179487,0.011723,0.191210,200
1775044325246000000,0.141782,0.032976,0.174758,200
1775044325264000000,0.128205,0.009278,0.137483,200
1775044325285000000,0.189166,0.012435,0.201601,200
1775044325306000000,0.175800,0.010531,0.186331,200
1775044325326000000,0.191190,0.012575,0.203765,200
1775044325351000000,0.195137,0.037385,0.232522,200
1775044325382000000,0.175529,0.013196,0.188725,200
1775044325413000000,0.157503,0.008708,0.166211,200
1775044325445000000,0.137703,0.008467,0.146170,200
1775044325476000000,0.143485,0.010120,0.153605,200
1775044325507000000,0.139948,0.026082,0.166030,200
1775044325538000000,0.143645,0.008467,0.152112,200
1775044325570000000,0.171230,0.011463,0.182693,200
1775044325588000000,0.175759,0.010581,0.186340,200
1775044325608000000,0.281459,0.010982,0.292441,200
1775044325629000000,0.133245,0.022595,0.155840,200
1775044325664000000,0.229406,0.036432,0.265838,200
1775044325681000000,0.235378,0.010671,0.246049,200
1775044325711000000,0.167453,0.012325,0.179778,200
1775044325741000000,0.194487,0.012655,0.207142,200
1775044325759000000,0.192452,0.013748,0.206200,200
1775044325783000000,0.188775,0.023847,0.212622,200
1775044325807000000,0.168976,0.009228,0.178204,200
1775044325828000000,0.177623,0.010010,0.187633,200
1775044325847000000,0.124588,0.008286,0.132874,200
1775044325878000000,0.145068,0.008828,0.153896,200
1775044325902000000,0.174978,0.009759,0.184737,200
1775044325928000000,0.214306,0.032915,0.247221,200
1775044325946000000,0.186480,0.011673,0.198153,200
1775044325995000000,0.181270,0.012435,0.193705,200
1775044326017000000,0.146010,0.022274,0.168284,200
1775044326008000000,0.216300,0.016282,0.232582,200
1775044326081000000,0.204106,0.021803,0.225909,200
1775044326004000000,0.175930,0.010370,0.186300,200
1775044325998000000,0.245749,0.011673,0.257422,200
1775044326137000000,0.350016,0.012484,0.362500,200
1775044326186000000,0.210829,0.033416,0.244245,200
1775044326212000000,0.329284,0.013828,0.343112,200
1775044326107000000,0.161090,0.021854,0.182944,200
1775044326265000000,0.201972,0.021041,0.223013,200
1775044326047000000,0.138525,0.010140,0.148665,200
1775044326323000000,0.128154,0.064298,0.192452,200
1775044326350000000,0.177503,0.011493,0.188996,200
1775044326294000000,0.196340,0.021072,0.217412,200
1775044326417000000,0.185628,0.018928,0.204556,200
1775044326446000000,0.193805,0.020040,0.213845,200
1775044326238000000,0.228504,0.011142,0.239646,200
1775044326511000000,0.235508,0.015170,0.250678,200
1775044326163000000,0.592277,0.083887,0.676164,200
1775044326573000000,0.178896,0.014449,0.193345,200
1775044326611000000,0.183525,0.013006,0.196531,200
1775044326546000000,0.207924,0.015100,0.223024,200
1775044326693000000,0.193435,0.013707,0.207142,200
1775044326472000000,0.190689,0.021002,0.211691,200
1775044326760000000,0.208875,0.017445,0.226320,200
1775044326384000000,0.261189,0.023938,0.285127,200
1775044326843000000,0.184537,0.014619,0.199156,200
1775044326890000000,0.212322,0.021102,0.233424,200
1775044326816000000,5.881880,0.024308,5.906188,200
1775044326975000000,0.445576,0.022144,0.467720,200
1775044327014000000,0.199948,0.017685,0.217633,200
1775044326723000000,0.217983,0.013577,0.231560,200
1775044326657000000,0.229045,0.016303,0.245348,200
1775044327113000000,0.223474,0.026002,0.249476,200
1775044327084000000,0.209456,0.027144,0.236600,200
1775044327176000000,0.189907,0.013136,0.203043,200
1775044327219000000,0.206660,0.014640,0.221300,200
1775044327053000000,0.298373,0.020450,0.318823,200
1775044327317000000,0.504857,0.021262,0.526119,200
1775044326946000000,0.185609,0.011342,0.196951,200
1775044327397000000,0.214096,0.033146,0.247242,200
1775044327440000000,0.187683,0.013387,0.201070,200
1775044327352000000,0.212051,0.021122,0.233173,200
1775044327508000000,0.195769,0.019479,0.215248,200
1775044327266000000,0.344547,0.016563,0.361110,200
1775044327569000000,0.194437,0.016743,0.211180,200
1775044327148000000,0.188584,0.014479,0.203063,200
1775044327635000000,0.192312,0.019058,0.211370,200
1775044327668000000,0.184587,0.013006,0.197593,200
1775044327599000000,0.154547,0.012615,0.167162,200
1775044327723000000,0.211149,0.012164,0.223313,200
1775044327540000000,0.199787,0.022374,0.222161,200
1775044327780000000,0.197112,0.022314,0.219426,200
1775044327483000000,3.319868,0.014950,3.334818,200
1775044327859000000,0.188795,0.030621,0.219416,200
1775044327887000000,0.174397,0.013376,0.187773,200
1775044327831000000,0.263704,0.019870,0.283574,200
1775044327938000000,0.202402,0.017856,0.220258,200
1775044327750000000,0.207863,0.013998,0.221861,200
1775044327992000000,0.196050,0.013317,0.209367,200
1775044328022000000,0.230708,0.011573,0.242281,200
1775044327694000000,0.190979,0.062424,0.253403,200
1775044328075000000,0.188425,0.012705,0.201130,200
1775044328046000000,0.139096,0.010952,0.150048,200
1775044327968000000,0.204667,0.022354,0.227021,200
1775044328162000000,0.261109,0.015541,0.276650,200
1775044328197000000,0.192733,0.013627,0.206360,200
1775044327915000000,0.187583,0.026973,0.214556,200
1775044328257000000,0.240087,0.035781,0.275868,200
1775044328227000000,0.193525,0.016382,0.209907,200
1775044328315000000,0.193224,0.014088,0.207312,200
1775044328129000000,11.988508,0.014879,12.003387,200
1775044328373000000,0.144838,0.021934,0.166772,200
1775044328401000000,0.202492,0.013938,0.216430,200
1775044328100000000,0.179526,0.010211,0.189737,200
1775044328456000000,0.154638,0.019779,0.174417,200
1775044328481000000,0.165438,0.013297,0.178735,200
1775044328429000000,0.192122,0.011283,0.203405,200
1775044328543000000,0.187864,0.031623,0.219487,200
1775044328342000000,0.177523,0.019539,0.197062,200
1775044328591000000,0.303132,0.014038,0.317170,200
1775044328614000000,0.139307,0.010371,0.149678,200
1775044328283000000,0.215778,0.012515,0.228293,200
1775044328663000000,0.140449,0.016052,0.156501,200
1775044328636000000,0.197132,0.011823,0.208955,200
1775044328565000000,0.188716,0.012715,0.201431,200
1775044328754000000,0.193295,0.014749,0.208044,200
1775044328787000000,0.190077,0.029329,0.219406,200
1775044328517000000,0.190358,0.013988,0.204346,200
1775044328865000000,0.211070,0.016052,0.227122,200
1775044328820000000,0.228754,0.013768,0.242522,200
1775044328927000000,0.195870,0.013336,0.209206,200
1775044328717000000,0.209215,0.577187,0.786402,200
1775044328992000000,0.228534,0.014129,0.242663,200
1775044329029000000,0.278253,0.013426,0.291679,200
1775044328691000000,0.196500,0.012495,0.208995,200
1775044329094000000,0.193936,0.030971,0.224907,200
1775044329062000000,0.185599,0.011954,0.197553,200
1775044329159000000,0.197502,0.013146,0.210648,200
1775044329204000000,0.193094,0.016653,0.209747,200
1775044329237000000,0.191250,0.014339,0.205589,200
1775044328958000000,0.172473,0.026412,0.198885,200
1775044329315000000,0.247482,0.014078,0.261560,200
1775044329351000000,0.712333,0.176901,0.889234,200
1775044328903000000,0.192763,0.017094,0.209857,200
1775044329430000000,0.155329,0.018256,0.173585,200
1775044329464000000,0.230378,0.020420,0.250798,200
1775044329397000000,0.211591,0.032364,0.243955,200
1775044329542000000,0.191180,0.015000,0.206180,200
1775044329571000000,0.195188,0.014138,0.209326,200
1775044329280000000,0.188084,0.013417,0.201501,200
1775044329630000000,0.162884,0.046753,0.209637,200
1775044329659000000,0.253043,0.013737,0.266780,200
1775044329128000000,0.193144,0.014008,0.207152,200
1775044329724000000,0.174407,0.018346,0.192753,200
1775044329760000000,2.072878,0.015461,2.088339,200
1775044329693000000,0.201982,0.014148,0.216130,200
1775044329839000000,0.219997,0.014599,0.234596,200
1775044329602000000,0.222412,0.038546,0.260958,200
1775044329915000000,0.182031,0.013317,0.195348,200
1775044329947000000,0.212542,0.013136,0.225678,200
1775044329497000000,0.282181,0.025030,0.307211,200
1775044330038000000,0.239466,0.026352,0.265818,200
1775044330080000000,0.225989,0.025541,0.251530,200
1775044330116000000,0.185037,0.022936,0.207973,200
1775044329984000000,0.386038,0.035621,0.421659,200
1775044330195000000,0.217292,0.014749,0.232041,200
1775044330228000000,0.233023,0.015080,0.248103,200
1775044329872000000,0.196802,0.012895,0.209697,200
1775044330298000000,0.212582,0.020822,0.233404,200
1775044330328000000,0.209096,0.016463,0.225559,200
1775044329799000000,0.196140,0.032364,0.228504,200
1775044330399000000,0.250618,0.016744,0.267362,200
1775044330360000000,0.482068,0.015691,0.497759,200
1775044330462000000,0.236570,0.018547,0.255117,200
1775044330256000000,0.444484,0.039087,0.483571,200
1775044330554000000,0.238935,0.015371,0.254306,200
1775044330166000000,0.244536,0.020841,0.265377,200
1775044330624000000,0.224295,0.014579,0.238874,200
1775044330655000000,0.223494,0.014929,0.238423,200
1775044330605000000,0.212994,0.014298,0.227292,200
1775044330704000000,0.231230,0.036753,0.267983,200
1775044330730000000,0.205348,0.014740,0.220088,200
1775044330492000000,0.269175,0.014499,0.283674,200
1775044330799000000,0.233884,0.024309,0.258193,200
1775044330841000000,0.192162,0.016212,0.208374,200
1775044330432000000,0.216971,0.028066,0.245037,200
1775044330929000000,0.179176,0.013006,0.192182,200
1775044330976000000,0.223584,0.011814,0.235398,200
1775044330876000000,0.266499,0.015381,0.281880,200
1775044331072000000,0.181420,0.012816,0.194236,200
1775044330762000000,0.263083,0.014920,0.278003,200
1775044331175000000,0.204206,0.031994,0.236200,200
1775044331228000000,0.203795,0.012254,0.216049,200
1775044330680000000,0.201971,0.021893,0.223864,200
1775044331270000000,0.229617,0.014498,0.244115,200
1775044331355000000,0.187522,0.036884,0.224406,200
1775044331133000000,0.792535,0.023918,0.816453,200
1775044331425000000,0.200399,0.014338,0.214737,200
1775044331016000000,0.227332,0.011914,0.239246,200
1775044331479000000,0.201420,0.014068,0.215488,200
1775044331392000000,4.861762,0.013237,4.874999,200
1775044331634000000,0.202573,0.029769,0.232342,200
1775044331331000000,0.882604,0.014519,0.897123,200
1775044331707000000,0.200789,0.015561,0.216350,200
1775044331671000000,0.210489,0.038125,0.248614,200
1775044331792000000,0.523821,0.012134,0.535955,200
1775044331615000000,0.178515,0.019970,0.198485,200
1775044331865000000,0.175619,0.013376,0.188995,200
1775044331535000000,9.451987,0.015842,9.467829,200
1775044331928000000,0.234576,0.015190,0.249766,200
1775044331901000000,0.205689,0.012555,0.218244,200
1775044331988000000,0.230077,0.022054,0.252131,200
1775044331831000000,0.383352,0.014239,0.397591,200
1775044332056000000,0.193865,0.034639,0.228504,200
1775044331769000000,0.200799,0.016523,0.217322,200
1775044332161000000,0.258825,0.015671,0.274496,200
1775044332101000000,0.186130,0.015260,0.201390,200
1775044332297000000,0.210929,0.017194,0.228123,200
1775044332334000000,0.180218,0.032695,0.212913,200
1775044332020000000,0.231480,0.018717,0.250197,200
1775044332472000000,0.180579,0.012274,0.192853,200
1775044331958000000,0.189006,0.014519,0.203525,200
1775044332588000000,0.218775,0.013226,0.232001,200
1775044332516000000,0.292862,0.026272,0.319134,200
1775044332665000000,0.189797,0.019910,0.209707,200
1775044332404000000,0.226480,0.047715,0.274195,200
1775044332742000000,0.201691,0.014419,0.216110,200
1775044332244000000,0.238545,0.013386,0.251931,200
1775044332792000000,1.211829,0.033396,1.245225,200
1775044332703000000,0.191330,0.014940,0.206270,200
1775044332643000000,0.206530,0.013617,0.220147,200
1775044332949000000,0.185438,0.018056,0.203494,200
1775044332988000000,0.206390,0.014569,0.220959,200
1775044332894000000,0.192903,0.012475,0.205378,200
1775044332870000000,0.195078,0.015971,0.211049,200
1775044332831000000,0.434263,0.018998,0.453261,200
1775044333083000000,0.178534,0.013698,0.192232,200
1775044333056000000,0.189096,0.012114,0.201210,200
1775044333153000000,0.230909,0.042334,0.273243,200
1775044333034000000,0.276590,0.013026,0.289616,200
1775044333239000000,0.184426,0.024078,0.208504,200
1775044333010000000,0.415996,0.016333,0.432329,200
1775044333286000000,0.202453,0.022104,0.224557,200
1775044333190000000,0.179838,0.013988,0.193826,200
1775044333386000000,0.201350,0.015341,0.216691,200
1775044333119000000,0.274535,0.016212,0.290747,200
1775044333443000000,0.190168,0.013246,0.203414,200
1775044333469000000,0.339074,0.016683,0.355757,200
1775044333412000000,0.181411,0.036613,0.218024,200
1775044333594000000,0.488571,0.017414,0.505985,200
1775044333349000000,0.353252,0.018827,0.372079,200
1775044333662000000,0.136692,0.013687,0.150379,200
1775044333315000000,15.326422,0.013727,15.340149,200
1775044333751000000,0.224285,0.016052,0.240337,200
1775044333792000000,0.196510,0.014138,0.210648,200
1775044333711000000,0.265177,0.017475,0.282652,200
1775044333868000000,0.231460,0.015821,0.247281,200
1775044333638000000,2.212287,0.013737,2.226024,200
1775044333538000000,0.238213,0.013076,0.251289,200
1775044333967000000,0.138935,0.010210,0.149145,200
1775044333941000000,0.151150,0.028767,0.179917,200
1775044334026000000,0.185147,0.011322,0.196469,200
1775044333908000000,0.215947,0.023898,0.239845,200
1775044334084000000,0.186519,0.013046,0.199565,200
1775044334114000000,0.139045,0.013457,0.152502,200
1775044333820000000,0.337370,0.018677,0.356047,200
1775044334139000000,0.326918,0.015180,0.342098,200
1775044334055000000,0.216659,7.656031,7.872690,200
1775044334226000000,0.139245,0.009830,0.149075,200
1775044333989000000,0.173704,0.017976,0.191680,200
1775044334288000000,0.211158,0.016162,0.227320,200
1775044334318000000,0.209836,0.016623,0.226459,200
1775044334259000000,0.193854,0.026633,0.220487,200
1775044334200000000,0.615068,0.014679,0.629747,200
1775044334171000000,0.206699,0.014168,0.220867,200
1775044334437000000,0.203122,0.031954,0.235076,200
1775044334415000000,0.182201,0.013256,0.195457,200
1775044334504000000,0.208313,0.015240,0.223553,200
1775044334388000000,0.444881,0.013016,0.457897,200
1775044334576000000,0.267840,0.031813,0.299653,200
1775044334348000000,0.173213,0.021793,0.195006,200
1775044334659000000,0.261458,0.011382,0.272840,200
1775044334700000000,0.339492,0.092513,0.432005,200
1775044334615000000,0.261037,0.015361,0.276398,200
1775044334762000000,0.186299,0.029739,0.216038,200
1775044334543000000,0.193072,0.011222,0.204294,200
1775044334818000000,0.142672,0.012896,0.155568,200
1775044334841000000,0.209575,0.013426,0.223001,200
1775044334464000000,0.183793,0.020291,0.204084,200
1775044334902000000,0.160518,0.016783,0.177301,200
1775044334876000000,0.390253,0.015862,0.406115,200
1775044334951000000,0.194655,0.011813,0.206468,200
1775044334796000000,0.198022,0.013977,0.211999,200
1775044334733000000,0.186179,0.011302,0.197481,200
1775044335067000000,0.191019,0.012995,0.204014,200
1775044335028000000,0.714675,0.017104,0.731779,200
1775044335152000000,0.208393,0.014077,0.222470,200
1775044335198000000,0.190166,0.034899,0.225065,200
1775044334997000000,0.239094,0.013586,0.252680,200
1775044335268000000,0.407828,0.289012,0.696840,200
1775044334929000000,0.168273,0.018427,0.186700,200
1775044335299000000,0.209264,0.014729,0.223993,200
1775044335363000000,0.192712,0.017855,0.210567,200
1775044335230000000,0.204064,0.014408,0.218472,200
1775044335423000000,0.229474,0.025882,0.255356,200
1775044335091000000,0.192761,0.015431,0.208192,200
1775044335483000000,0.150327,0.012876,0.163203,200
1775044335458000000,0.140418,0.012625,0.153043,200
1775044335543000000,0.198003,0.031682,0.229685,200
1775044335398000000,0.264904,0.012746,0.277650,200
1775044335597000000,0.131009,0.010241,0.141250,200
1775044335343000000,0.203513,0.032053,0.235566,200
1775044335652000000,0.214485,0.025731,0.240216,200
1775044335629000000,0.134085,0.010461,0.144546,200
1775044335696000000,0.201960,0.018015,0.219975,200
1775044335570000000,0.190968,0.190417,0.381385,200
1775044335750000000,0.197661,0.023907,0.221568,200
1775044335509000000,0.162582,0.010631,0.173213,200
1775044335780000000,0.426164,0.012746,0.438910,200
1775044335835000000,0.266448,0.039127,0.305575,200
1775044335887000000,0.238192,0.015862,0.254054,200
1775044335722000000,0.178654,0.011523,0.190177,200
1775044335953000000,0.189495,0.015040,0.204535,200
1775044335672000000,0.156730,0.020601,0.177331,200
1775044336023000000,0.197822,0.062294,0.260116,200
1775044335988000000,0.309283,0.015761,0.325044,200
1775044336099000000,0.206409,0.013437,0.219846,200
1775044336125000000,0.195107,0.014639,0.209746,200
1775044336149000000,0.279865,0.011362,0.291227,200
1775044335921000000,0.166700,0.036853,0.203553,200
1775044336205000000,0.198353,0.016382,0.214735,200
1775044335810000000,0.191679,0.015080,0.206759,200
1775044336262000000,0.137743,0.012685,0.150428,200
1775044336237000000,0.166861,0.040700,0.207561,200
1775044336307000000,0.146670,0.010892,0.157562,200
1775044336334000000,1.551302,0.029739,1.581041,200
1775044336175000000,0.240185,0.014399,0.254584,200
1775044336389000000,0.194375,0.015441,0.209816,200
1775044336063000000,0.318241,0.014078,0.332319,200
1775044336449000000,0.179886,0.021773,0.201659,200
1775044336426000000,0.197101,0.012284,0.209385,200
1775044336531000000,0.203252,0.014980,0.218232,200
1775044336359000000,0.191449,0.009729,0.201178,200
1775044336604000000,0.233500,0.038656,0.272156,200
1775044336643000000,0.201259,0.012795,0.214054,200
1775044336283000000,0.155528,0.013376,0.168904,200
1775044336703000000,0.177471,0.014850,0.192321,200
1775044336676000000,0.124537,0.010210,0.134747,200
1775044336788000000,0.181219,0.028797,0.210016,200
1775044336827000000,0.199655,0.016974,0.216629,200
1775044336563000000,0.191890,0.013116,0.205006,200
1775044336951000000,0.245566,0.012134,0.257700,200
1775044336504000000,0.192591,0.019549,0.212140,200
1775044336990000000,0.202391,0.013647,0.216038,200
1775044336863000000,0.230116,0.012465,0.242581,200
1775044336756000000,0.230176,0.012214,0.242390,200
1775044337149000000,0.289383,0.013025,0.302408,200
1775044337206000000,0.199495,0.013938,0.213433,200
1775044337253000000,0.213613,0.016713,0.230326,200
1775044337086000000,0.274113,0.014299,0.288412,200
1775044337340000000,0.176169,0.012204,0.188373,200
1775044337377000000,0.218272,0.013988,0.232260,200
1775044337044000000,0.202191,0.013006,0.215197,200
1775044337489000000,0.246038,0.013797,0.259835,200
1775044337016000000,0.698844,0.027023,0.725867,200
1775044337559000000,0.172332,0.015330,0.187662,200
1775044337527000000,0.215427,0.015420,0.230847,200
1775044337629000000,0.240256,0.012945,0.253201,200
1775044337446000000,0.180417,0.012525,0.192942,200
1775044337710000000,0.192411,0.016332,0.208743,200
1775044337735000000,0.133043,0.010201,0.143244,200
1775044337296000000,0.187381,0.014950,0.202331,200
1775044337800000000,0.129677,0.010060,0.139737,200
1775044337770000000,1.213863,0.015261,1.229124,200
1775044337847000000,0.132081,0.009890,0.141971,200
1775044337878000000,0.182411,0.015752,0.198163,200
1775044337677000000,0.195467,0.014449,0.209916,200
1775044337953000000,0.222440,0.013216,0.235656,200
1775044337597000000,0.164074,0.021373,0.185447,200
1775044337990000000,0.721285,0.129808,0.851093,200
1775044338097000000,0.203242,0.013056,0.216298,200
1775044338137000000,0.206929,0.015200,0.222129,200
1775044337912000000,0.188183,0.014198,0.202381,200
1775044338277000000,0.211729,0.015511,0.227240,200
1775044337826000000,0.143434,0.010280,0.153714,200
1775044338398000000,0.236108,0.023927,0.260035,200
1775044338322000000,0.212791,0.016513,0.229304,200
1775044338499000000,0.178303,0.012865,0.191168,200
1775044338206000000,0.199044,0.013878,0.212922,200
1775044338606000000,0.279293,0.012235,0.291528,200
1775044338025000000,1.180628,0.134837,1.315465,200
1775044338716000000,0.198142,0.019669,0.217811,200
1775044338659000000,0.256067,0.013527,0.269594,200
1775044338830000000,0.233201,0.011373,0.244574,200
1775044338574000000,0.216629,0.015431,0.232060,200
