arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775043725755285496,0.645005,0.313634,0.958639,200
1775043725766898069,0.722579,0.212423,0.935002,200
1775043725795752134,0.872337,0.156121,1.028458,200
1775043725828590368,0.596388,0.278585,0.874973,200
1775043725839033557,0.607981,0.178486,0.786467,200
1775043725849237048,0.638773,0.163896,0.802669,200
1775043725860012998,0.624474,0.132153,0.756627,200
1775043725872917308,0.588181,0.129027,0.717208,200
1775043725903258661,0.696447,0.327262,1.023709,200
1775043725915325664,0.816877,0.106642,0.923519,200
1775043725934815504,0.661507,0.163566,0.825073,200
1775043725949603861,0.871997,0.126121,0.998118,200
1775043725961665834,1.013453,0.131983,1.145436,200
1775043725975704453,0.713481,0.170099,0.883580,200
1775043725988212565,0.620856,0.103446,0.724302,200
1775043726001070154,0.877428,0.134067,1.011495,200
1775043726027142756,0.661428,0.470256,1.131684,200
1775043726040322234,0.684102,0.172303,0.856405,200
1775043726053031649,0.857729,0.178826,1.036555,200
1775043726064665118,0.551579,0.144197,0.695776,200
1775043726075934894,0.820554,0.141963,0.962517,200
1775043726088333201,0.816747,0.182794,0.999541,200
1775043726098795311,0.488723,0.128055,0.616778,200
1775043726121306550,0.695876,0.183124,0.879000,200
1775043726133656791,0.729413,0.131171,0.860584,200
1775043726145661385,0.841646,0.166522,1.008168,200
1775043726158679251,0.699082,0.149699,0.848781,200
1775043726171548735,0.604073,0.162724,0.766797,200
1775043726184324265,0.970863,0.162985,1.133848,200
1775043726197547284,0.868900,0.192654,1.061554,200
1775043726210952477,0.752699,0.246260,0.998959,200
1775043726244335393,0.827769,0.260870,1.088639,200
1775043726259340014,0.968740,0.181191,1.149931,200
1775043726271642990,0.804041,0.160209,0.964250,200
1775043726284092896,0.743340,0.200149,0.943489,200
1775043726298813250,0.746376,0.136633,0.883009,200
1775043726311234601,0.579003,0.149197,0.728200,200
1775043726323141784,0.651177,0.149016,0.800193,200
1775043726334590652,0.700214,0.154929,0.855143,200
1775043726367507889,0.494224,0.144037,0.638261,200
1775043726398026083,0.880683,0.201933,1.082616,200
1775043726409276988,0.710956,0.148806,0.859762,200
1775043726420434798,0.628080,0.176612,0.804692,200
1775043726444415558,1.120492,0.311510,1.432002,200
1775043726457556171,0.477391,0.144848,0.622239,200
1775043726490816792,0.747909,0.279748,1.027657,200
1775043726502886470,0.822207,0.212874,1.035081,200
1775043726516297749,0.791356,0.204928,0.996284,200
1775043726530521383,0.779543,0.155790,0.935333,200
1775043726542482809,0.663161,0.156712,0.819873,200
1775043726553263908,0.642599,0.170680,0.813279,200
1775043726564978958,0.709063,0.133576,0.842639,200
1775043726578230890,0.648000,0.274788,0.922788,200
1775043726590936113,0.667460,0.138435,0.805895,200
1775043726604102136,0.866856,0.160129,1.026985,200
1775043726616666790,0.695265,0.182022,0.877287,200
1775043726626832258,0.682669,0.142794,0.825463,200
1775043726637419713,0.853439,0.197353,1.050792,200
1775043726650032669,0.831806,0.161793,0.993599,200
1775043726661641750,1.355571,0.167895,1.523466,200
1775043726690186991,0.816867,0.410046,1.226913,200
1775043726702968274,0.806626,0.176051,0.982677,200
1775043726714659289,0.607119,0.140209,0.747328,200
1775043726725930930,0.774553,0.154167,0.928720,200
1775043726751483139,0.777569,3.584254,4.361823,200
1775043726767814039,0.639734,0.145520,0.785254,200
1775043726781814706,0.825294,0.127163,0.952457,200
1775043726797045229,0.854322,0.150630,1.004952,200
1775043726815199432,0.923209,0.263445,1.186654,200
1775043726831164119,0.770184,0.153005,0.923189,200
1775043726846966561,0.807579,0.186110,0.993689,200
1775043726874567617,0.882167,0.180990,1.063157,200
1775043726892861775,2.404256,0.172243,2.576499,200
1775043726908788391,0.785354,0.213586,0.998940,200
1775043726922794690,0.764923,0.161111,0.926034,200
1775043726934897579,0.820144,0.165159,0.985303,200
1775043726949575132,1.099600,0.222894,1.322494,200
1775043726965924281,0.847909,0.199016,1.046925,200
1775043726978194603,0.858720,0.180991,1.039711,200
1775043726990443096,0.450647,0.147183,0.597830,200
1775043727011510153,0.897267,0.213004,1.110271,200
1775043727022717083,0.635024,0.199177,0.834201,200
1775043727033384728,0.565055,0.133686,0.698741,200
1775043727057345736,0.810374,0.223966,1.034340,200
1775043727067508117,0.486048,0.128015,0.614063,200
1775043727078458847,0.878600,0.161471,1.040071,200
1775043727088776716,0.530687,0.190389,0.721076,200
1775043727097989078,0.626738,0.116462,0.743200,200
1775043727119651321,0.642540,0.220148,0.862688,200
1775043727128845106,0.557060,0.165770,0.722830,200
1775043727150620668,0.486780,0.159658,0.646438,200
1775043727159577959,0.676718,0.139618,0.816336,200
1775043727170079211,0.901064,0.168085,1.069149,200
1775043727180521087,0.523914,0.106081,0.629995,200
1775043727190317059,0.722078,0.362542,1.084620,200
1775043727200931676,0.526449,0.167283,0.693732,200
1775043727209914701,0.612490,0.128516,0.741006,200
1775043727220561501,0.598542,0.186060,0.784602,200
1775043727229600818,0.978057,0.158897,1.136954,200
1775043727259694127,0.538673,0.214507,0.753180,200
1775043727269773921,0.812839,0.216171,1.029010,200
1775043727281727147,0.734182,0.128255,0.862437,200
1775043727292314092,0.636298,0.167784,0.804082,200
1775043727303326906,0.675765,0.159298,0.835063,200
1775043727315236123,0.613502,0.135039,0.748541,200
1775043727326570227,0.687880,0.131572,0.819452,200
1775043727339925693,0.766957,0.129849,0.896806,200
1775043727351258838,0.713712,0.194217,0.907929,200
1775043727363207882,0.556538,0.189157,0.745695,200
1775043727374022820,0.779783,0.168475,0.948258,200
1775043727384210283,0.486298,0.116913,0.603211,200
1775043727393854096,0.868029,0.125449,0.993478,200
1775043727404667422,0.476760,0.214597,0.691357,200
1775043727431081011,0.741947,0.153636,0.895583,200
1775043727441625536,0.422802,0.142103,0.564905,200
1775043727451208211,0.420938,0.102715,0.523653,200
1775043727460092295,0.462441,0.127944,0.590385,200
1775043727470229919,0.657369,0.222383,0.879752,200
1775043727480566220,0.428493,0.100881,0.529374,200
1775043727489335649,0.518182,0.100340,0.618522,200
1775043727498529816,0.564825,0.186482,0.751307,200
1775043727507997486,0.488643,0.127835,0.616478,200
1775043727540181142,0.620105,0.185940,0.806045,200
1775043727552346317,0.648110,0.175780,0.823890,200
1775043727571216878,0.539525,0.152874,0.692399,200
1775043727580982146,0.471499,0.139949,0.611448,200
1775043727590808209,0.502079,0.119007,0.621086,200
1775043727599922217,0.431910,0.143025,0.574935,200
1775043727609304656,0.491849,0.107855,0.599704,200
1775043727618680405,0.446910,0.102794,0.549704,200
1775043727647872934,0.433764,0.129338,0.563102,200
1775043727656758260,0.424946,0.111612,0.536558,200
1775043727665828695,0.633452,0.104408,0.737860,200
1775043727675592950,0.478373,0.152884,0.631257,200
1775043727685551815,0.682479,0.114077,0.796556,200
1775043727695505642,0.539024,0.197373,0.736397,200
1775043727704038125,0.538903,0.186541,0.725444,200
1775043727713276380,0.527180,0.115940,0.643120,200
1775043727740739655,0.483543,0.178736,0.662279,200
1775043727749798397,0.549044,0.113456,0.662500,200
1775043727758706177,0.445317,0.098136,0.543453,200
1775043727767189958,0.424856,0.104669,0.529525,200
1775043727776542950,0.432953,0.102213,0.535166,200
1775043727785695939,0.736657,0.110941,0.847598,200
1775043727818908479,0.626799,0.134337,0.761136,200
1775043727850628727,0.581759,0.134037,0.715796,200
1775043727880649289,0.484254,0.206612,0.690866,200
1775043727911971317,0.781536,0.212573,0.994109,200
1775043727922270091,0.484114,0.239096,0.723210,200
1775043727943118981,0.774823,0.264346,1.039169,200
1775043727974728682,0.765945,0.232443,0.998388,200
1775043727986037876,0.774743,0.214017,0.988760,200
1775043728005330573,0.697348,0.178596,0.875944,200
1775043728016134234,0.425407,0.110119,0.535526,200
1775043728025939895,0.544385,0.121351,0.665736,200
1775043728036049441,0.747769,0.171892,0.919661,200
1775043728047673732,0.448182,0.125661,0.573843,200
1775043728058380125,0.477150,0.192944,0.670094,200
1775043728067272801,0.563282,0.131021,0.694303,200
1775043728076875379,0.484585,0.167243,0.651828,200
1775043728086542989,0.820193,0.178977,0.999170,200
1775043728097058541,0.499805,0.142945,0.642750,200
1775043728107724818,0.489585,0.118386,0.607971,200
1775043728118020913,0.677048,0.118496,0.795544,200
1775043728145734067,0.654303,0.192043,0.846346,200
1775043728154823388,0.532901,0.127274,0.660175,200
1775043728163618174,0.415687,0.104569,0.520256,200
1775043728191719771,0.400157,0.110931,0.511088,200
1775043728200792379,0.393313,0.084879,0.478192,200
1775043728222588314,0.405378,0.126822,0.532200,200
1775043728231898029,0.419996,0.083727,0.503723,200
1775043728240915624,0.541588,0.110701,0.652289,200
1775043728249862592,0.553542,0.148546,0.702088,200
1775043728259931285,0.467411,0.113757,0.581168,200
1775043728270646078,0.629434,0.182373,0.811807,200
1775043728282051529,0.602560,0.103206,0.705766,200
1775043728291840359,0.716456,0.149598,0.866054,200
1775043728301768767,0.441850,0.133626,0.575476,200
1775043728311404973,0.753771,0.164237,0.918008,200
1775043728321669455,0.580777,0.114859,0.695636,200
1775043728345104158,0.625917,0.166190,0.792107,200
1775043728375538319,0.615847,0.163365,0.779212,200
1775043728384855341,0.394606,0.084829,0.479435,200
1775043728393807881,0.582521,0.081171,0.663692,200
1775043728402996624,0.741046,0.118005,0.859051,200
1775043728421603958,0.763180,0.207904,0.971084,200
1775043728431825115,0.675846,0.136592,0.812438,200
1775043728442897017,0.465988,0.145400,0.611388,200
1775043728453045490,0.618993,0.139618,0.758611,200
1775043728462295950,0.788500,0.239146,1.027646,200
1775043728474503745,0.530267,0.147002,0.677269,200
1775043728484302391,0.769051,0.161632,0.930683,200
1775043728493746326,0.726957,0.126041,0.852998,200
1775043728506185178,0.729954,0.133495,0.863449,200
1775043728516190825,0.429145,0.109107,0.538252,200
1775043728527240355,0.452491,0.083717,0.536208,200
1775043728536800425,0.501689,0.110210,0.611899,200
1775043728546164514,0.834732,0.130300,0.965032,200
1775043728558318349,0.466779,0.272964,0.739743,200
1775043728569046772,0.642660,0.131201,0.773861,200
1775043728578646596,0.526358,0.183435,0.709793,200
1775043728607066064,0.686006,0.197373,0.883379,200
1775043728618799099,0.745946,0.144006,0.889952,200
1775043728636821941,0.747699,0.255970,1.003669,200
1775043728647284489,0.571889,0.130931,0.702820,200
1775043728659464016,0.596899,0.125229,0.722128,200
1775043728670328693,0.503292,0.178316,0.681608,200
1775043728682298906,0.538122,0.221882,0.760004,200
1775043728713531920,0.439335,0.115230,0.554565,200
1775043728723277965,0.397471,0.103236,0.500707,200
1775043728744725981,0.812798,0.158296,0.971094,200
1775043728776384645,0.449555,0.171161,0.620716,200
1775043728785619142,0.575195,0.102795,0.677990,200
1775043728795521044,0.715195,0.163105,0.878300,200
1775043728806194760,0.688221,0.114979,0.803200,200
1775043728823130028,0.521869,0.150600,0.672469,200
1775043728832416202,0.442932,0.127013,0.569945,200
1775043728841617718,0.498383,0.126472,0.624855,200
1775043728870627717,0.438824,0.116221,0.555045,200
1775043728900995667,0.399085,0.112003,0.511088,200
1775043728909899266,0.447992,0.093186,0.541178,200
1775043728918970402,0.460958,0.110149,0.571107,200
1775043728927682672,0.627560,0.143926,0.771486,200
1775043728946348381,0.518693,0.271631,0.790324,200
1775043728960964045,0.679925,0.178786,0.858711,200
