id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
1,0,1771215458285639967,1771215458285645483,1771215458285719438,1771215458285724375,0.006,0.074,0.084,200,3
2,1,1771215458764045467,1771215458764050577,1771215458764271326,1771215458764277217,0.005,0.221,0.232,200,3
3,2,1771215459263770101,1771215459263775944,1771215459263959040,1771215459263965346,0.006,0.183,0.195,200,3
4,3,1771215459764266604,1771215459764273547,1771215459764338121,1771215459764345719,0.007,0.065,0.079,200,3
5,4,1771215460264033346,1771215460264038485,1771215460264119672,1771215460264124735,0.005,0.081,0.091,200,3
6,5,1771215460764747815,1771215460764756426,1771215460765055343,1771215460765072535,0.009,0.299,0.325,200,3
7,6,1771215461263966041,1771215461263971199,1771215461264144836,1771215461264150525,0.005,0.174,0.184,200,3
8,7,1771215461764089441,1771215461764097029,1771215461764214597,1771215461764248296,0.008,0.118,0.159,200,3
9,8,1771215462264181633,1771215462264188865,1771215462264271759,1771215462264280408,0.007,0.083,0.099,200,3
10,9,1771215462763997383,1771215462764005271,1771215462764100651,1771215462764106350,0.008,0.095,0.109,200,3
11,10,1771215463263898272,1771215463263903183,1771215463264102746,1771215463264107976,0.005,0.200,0.210,200,3
12,11,1771215463764193543,1771215463764202344,1771215463764303230,1771215463764314665,0.009,0.101,0.121,200,3
13,12,1771215464263816394,1771215464263821808,1771215464263917300,1771215464263923138,0.005,0.096,0.107,200,3
14,13,1771215464763976794,1771215464763984302,1771215464764096970,1771215464764106465,0.007,0.113,0.130,200,3
15,14,1771215465263729645,1771215465263734866,1771215465263839544,1771215465263872479,0.005,0.105,0.143,200,3
16,15,1771215465763924777,1771215465763931494,1771215465764413201,1771215465764424607,0.007,0.482,0.500,200,3
17,16,1771215467455331494,1771215467455337119,1771215467455458260,1771215467455464002,0.006,0.121,0.133,200,3
18,17,1771215467955406997,1771215467955412207,1771215467955668780,1771215467955674174,0.005,0.257,0.267,200,3
19,18,1771215468455985326,1771215468455993528,1771215468456240731,1771215468456256026,0.008,0.248,0.271,200,3
20,19,1771215468955072745,1771215468955077802,1771215468955211159,1771215468955217557,0.005,0.133,0.145,200,3
21,20,1771215469456417795,1771215469456424936,1771215469456607718,1771215469456679376,0.007,0.183,0.262,200,3
22,21,1771215469956336725,1771215469956344811,1771215469956403124,1771215469956410187,0.008,0.058,0.073,200,3
23,22,1771215470455689407,1771215470455698333,1771215470455872990,1771215470455884106,0.009,0.175,0.195,200,3
24,23,1771215470955612689,1771215470955619492,1771215470955758311,1771215470955808672,0.007,0.139,0.196,200,3
25,24,1771215471455396945,1771215471455402446,1771215471455464531,1771215471455472752,0.005,0.062,0.076,200,3
26,25,1771215471955645287,1771215471955659106,1771215471955930722,1771215471955935913,0.014,0.272,0.291,200,3
27,26,1771215472455323952,1771215472455329460,1771215472455514106,1771215472455518998,0.006,0.185,0.195,200,3
28,27,1771215472955145299,1771215472955150595,1771215472955214569,1771215472955220087,0.005,0.064,0.075,200,3
29,28,1771215473455680308,1771215473455687563,1771215473455830117,1771215473455840449,0.007,0.143,0.160,200,3
30,29,1771215473955290265,1771215473955295900,1771215473955352338,1771215473955386587,0.006,0.056,0.096,200,3
31,30,1771215474456112279,1771215474456121348,1771215474456537914,1771215474456553794,0.009,0.417,0.441,200,3
32,31,1771215474955419275,1771215474955424436,1771215474955550917,1771215474955556320,0.005,0.126,0.137,200,3
33,32,1771215475456055820,1771215475456062901,1771215475456194630,1771215475456204538,0.007,0.132,0.149,200,3
34,33,1771215475955672751,1771215475955678337,1771215475955760641,1771215475955765774,0.006,0.082,0.093,200,3
35,34,1771215476455738454,1771215476455744098,1771215476455905088,1771215476455910548,0.006,0.161,0.172,200,3
36,35,1771215476955232538,1771215476955237893,1771215476955426465,1771215476955431714,0.005,0.189,0.199,200,3
37,36,1771215477455853562,1771215477455861647,1771215477455922533,1771215477455965041,0.008,0.061,0.111,200,3
38,37,1771215477955334742,1771215477955340136,1771215477955572122,1771215477955578596,0.005,0.232,0.244,200,3
39,38,1771215478455524219,1771215478455531590,1771215478455636875,1771215478455644371,0.007,0.105,0.120,200,3
40,39,1771215478956097783,1771215478956105038,1771215478956266578,1771215478956276303,0.007,0.162,0.179,200,3
41,40,1771215479456224373,1771215479456231348,1771215479456397413,1771215479456404822,0.007,0.166,0.181,200,3
42,41,1771215479956017262,1771215479956030277,1771215479956194036,1771215479956210475,0.013,0.164,0.193,200,3
43,42,1771215480455384687,1771215480455390214,1771215480455486246,1771215480455491300,0.006,0.096,0.107,200,3
44,43,1771215480955536893,1771215480955542931,1771215480955670167,1771215480955675925,0.006,0.127,0.139,200,3
45,44,1771215481455460923,1771215481455466171,1771215481455636840,1771215481455643380,0.005,0.171,0.182,200,3
46,45,1771215481955762366,1771215481955769311,1771215481955878326,1771215481955887200,0.007,0.109,0.125,200,3
47,46,1771215482455424274,1771215482455429647,1771215482455597422,1771215482455602631,0.005,0.168,0.178,200,3
48,47,1771215482955627966,1771215482955637129,1771215482955833899,1771215482955841355,0.009,0.197,0.213,200,3
49,48,1771215483456607134,1771215483456613239,1771215483456758348,1771215483456768582,0.006,0.145,0.161,200,3
50,49,1771215483955440221,1771215483955445787,1771215483955551069,1771215483955556268,0.006,0.105,0.116,200,3
51,50,1771215484455493333,1771215484455499718,1771215484455649273,1771215484455656739,0.006,0.150,0.163,200,3
52,51,1771215484957395661,1771215484957402316,1771215484957501097,1771215484957660847,0.007,0.099,0.265,200,3
53,52,1771215485455374697,1771215485455380098,1771215485455527763,1771215485455534322,0.005,0.148,0.160,200,3
54,53,1771215485955091880,1771215485955097292,1771215485955279777,1771215485955290127,0.005,0.183,0.198,200,3
55,54,1771215486455498015,1771215486455504284,1771215486455654476,1771215486455661575,0.006,0.150,0.164,200,3
56,55,1771215486955802481,1771215486955809677,1771215486955915046,1771215486955923842,0.007,0.105,0.121,200,3
57,56,1771215487455239570,1771215487455245049,1771215487455388035,1771215487455412101,0.005,0.143,0.173,200,3
58,57,1771215487955158614,1771215487955166157,1771215487955257250,1771215487955266992,0.008,0.091,0.108,200,3
59,58,1771215488455251746,1771215488455257379,1771215488455358001,1771215488455397818,0.006,0.101,0.146,200,3
