arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831624552662016,1774831624552662016,1774831624555368011,0.000000,2.705995,2.705995,200
1774831624554318848,1774831624555368011,1774831624559067940,1.049163,3.699929,4.749092,200
1774831624566020096,1774831624566020096,1774831624568215875,0.000000,2.195779,2.195779,200
1774831624582369024,1774831624582369024,1774831624585660014,0.000000,3.290990,3.290990,200
1774831624585306880,1774831624585660014,1774831624588643910,0.353134,2.983896,3.337030,200
1774831624590732032,1774831624590732032,1774831624635211377,0.000000,44.479345,44.479345,200
1774831624600628992,1774831624635211377,1774831624639232066,34.582385,4.020689,38.603074,200
1774831624606048000,1774831624639232066,1774831624645532915,33.184066,6.300849,39.484915,200
1774831624624641024,1774831624645532915,1774831625044912862,20.891891,399.379947,420.271838,200
1774831624629755136,1774831625044912862,1774831625142298719,415.157726,97.385857,512.543583,200
1774831624636802816,1774831625142298719,1774831625220350387,505.495903,78.051668,583.547571,200
1774831624636972032,1774831625220350387,1774831625223248255,583.378355,2.897868,586.276223,200
1774831624647322880,1774831625223248255,1774831625227729918,575.925375,4.481663,580.407038,200
1774831624647553024,1774831625227729918,1774831625265210067,580.176894,37.480149,617.657043,200
1774831624647710208,1774831625265210067,1774831625301085586,617.499859,35.875519,653.375378,200
1774831624661526016,1774831625301085586,1774831625303735471,639.559570,2.649885,642.209455,200
1774831624674291968,1774831625303735471,1774831625306397953,629.443503,2.662482,632.105985,200
1774831624674430976,1774831625306397953,1774831625338119949,631.966977,31.721996,663.688973,200
1774831624677571072,1774831625338119949,1774831625360904454,660.548877,22.784505,683.333382,200
1774831624685111040,1774831625360904454,1774831625472251183,675.793414,111.346729,787.140143,200
1774831624700498176,1774831625472251183,1774831625491462854,771.753007,19.211671,790.964678,200
1774831624706660096,1774831625491462854,1774831625779065995,784.802758,287.603141,1072.405899,200
1774831624714817024,1774831625779065995,1774831625800571793,1064.248971,21.505798,1085.754769,200
1774831624719436800,1774831625800571793,1774831625805251112,1081.134993,4.679319,1085.814312,200
1774831624721126144,1774831625805251112,1774831625827089717,1084.124968,21.838605,1105.963573,200
1774831624741060096,1774831625827089717,1774831625863556877,1086.029621,36.467160,1122.496781,200
1774831624744657152,1774831625863556877,1774831625880573043,1118.899725,17.016166,1135.915891,200
1774831624751770880,1774831625880573043,1774831625883612576,1128.802163,3.039533,1131.841696,200
1774831624755248896,1774831625883612576,1774831625985364661,1128.363680,101.752085,1230.115765,200
1774831624761656064,1774831625985364661,1774831626171315444,1223.708597,185.950783,1409.659380,200
1774831624764605952,1774831626171315444,1774831626242964227,1406.709492,71.648783,1478.358275,200
1774831624767126016,1774831626242964227,1774831626437724021,1475.838211,194.759794,1670.598005,200
1774831624777309952,1774831626437724021,1774831626440853849,1660.414069,3.129828,1663.543897,200
1774831624787652096,1774831626440853849,1774831626445105030,1653.201753,4.251181,1657.452934,200
1774831624792023808,1774831626445105030,1774831626448822372,1653.081222,3.717342,1656.798564,200
1774831624815602176,1774831626448822372,1774831626475512274,1633.220196,26.689902,1659.910098,200
1774831624819403008,1774831626475512274,1774831626561563801,1656.109266,86.051527,1742.160793,200
1774831624822781952,1774831626561563801,1774831626564591650,1738.781849,3.027849,1741.809698,200
1774831624824388096,1774831626564591650,1774831626591537947,1740.203554,26.946297,1767.149851,200
