arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831233243812096,1774831233243812096,1774831233246216613,0.000000,2.404517,2.404517,200
1774831233272849152,1774831233272849152,1774831233275239910,0.000000,2.390758,2.390758,200
1774831233295970816,1774831233295970816,1774831233298391079,0.000000,2.420263,2.420263,200
1774831233318202112,1774831233318202112,1774831233321047933,0.000000,2.845821,2.845821,200
1774831233360187136,1774831233360187136,1774831233362599568,0.000000,2.412432,2.412432,200
1774831233484772864,1774831233484772864,1774831233486609316,0.000000,1.836452,1.836452,200
1774831233591273984,1774831233591273984,1774831233593917817,0.000000,2.643833,2.643833,200
1774831233809639936,1774831233809639936,1774831233811986150,0.000000,2.346214,2.346214,200
1774831233826364928,1774831233826364928,1774831233828734801,0.000000,2.369873,2.369873,200
1774831233864065792,1774831233864065792,1774831233866598085,0.000000,2.532293,2.532293,200
1774831233902108928,1774831233902108928,1774831233904700617,0.000000,2.591689,2.591689,200
1774831233911813888,1774831233911813888,1774831233914933717,0.000000,3.119829,3.119829,200
1774831233980745984,1774831233980745984,1774831233983566219,0.000000,2.820235,2.820235,200
1774831233985054976,1774831233985054976,1774831233987584558,0.000000,2.529582,2.529582,200
1774831234010938880,1774831234010938880,1774831234013075025,0.000000,2.136145,2.136145,200
1774831234091939072,1774831234091939072,1774831234093960829,0.000000,2.021757,2.021757,200
1774831234170660096,1774831234170660096,1774831234173259044,0.000000,2.598948,2.598948,200
1774831234194475776,1774831234194475776,1774831234197688626,0.000000,3.212850,3.212850,200
1774831234296071168,1774831234296071168,1774831234298566301,0.000000,2.495133,2.495133,200
1774831234450117120,1774831234450117120,1774831234452539791,0.000000,2.422671,2.422671,200
1774831234462651904,1774831234462651904,1774831234465402873,0.000000,2.750969,2.750969,200
1774831234613492992,1774831234613492992,1774831234615345536,0.000000,1.852544,1.852544,200
1774831234732772096,1774831234732772096,1774831234735097405,0.000000,2.325309,2.325309,200
1774831234773967872,1774831234773967872,1774831234776696245,0.000000,2.728373,2.728373,200
1774831234809134848,1774831234809134848,1774831234812079502,0.000000,2.944654,2.944654,200
1774831235112688896,1774831235112688896,1774831235115047623,0.000000,2.358727,2.358727,200
1774831235165835008,1774831235165835008,1774831235168502260,0.000000,2.667252,2.667252,200
1774831235186428928,1774831235186428928,1774831235189028845,0.000000,2.599917,2.599917,200
1774831235190778880,1774831235190778880,1774831235193670603,0.000000,2.891723,2.891723,200
1774831235355546880,1774831235355546880,1774831235357529339,0.000000,1.982459,1.982459,200
1774831235447683072,1774831235447683072,1774831235450454098,0.000000,2.771026,2.771026,200
1774831235611469056,1774831235611469056,1774831235613299240,0.000000,1.830184,1.830184,200
1774831235743817984,1774831235743817984,1774831235745286514,0.000000,1.468530,1.468530,200
1774831235830759168,1774831235830759168,1774831235832951966,0.000000,2.192798,2.192798,200
1774831236180880128,1774831236180880128,1774831236182942083,0.000000,2.061955,2.061955,200
1774831236227451136,1774831236227451136,1774831236230397320,0.000000,2.946184,2.946184,200
1774831236324503808,1774831236324503808,1774831236327328332,0.000000,2.824524,2.824524,200
1774831236485323008,1774831236485323008,1774831236487264112,0.000000,1.941104,1.941104,200
1774831236581142784,1774831236581142784,1774831236584072205,0.000000,2.929421,2.929421,200
1774831236779185920,1774831236779185920,1774831236781212701,0.000000,2.026781,2.026781,200
1774831236863652864,1774831236863652864,1774831236866085242,0.000000,2.432378,2.432378,200
1774831236984983040,1774831236984983040,1774831236987316876,0.000000,2.333836,2.333836,200
1774831237013164032,1774831237013164032,1774831237015695586,0.000000,2.531554,2.531554,200
1774831237039846912,1774831237039846912,1774831237042759622,0.000000,2.912710,2.912710,200
1774831237071380992,1774831237071380992,1774831237074191011,0.000000,2.810019,2.810019,200
1774831237082298880,1774831237082298880,1774831237084951979,0.000000,2.653099,2.653099,200
1774831237098962944,1774831237098962944,1774831237101779425,0.000000,2.816481,2.816481,200
1774831237113368064,1774831237113368064,1774831237116089994,0.000000,2.721930,2.721930,200
1774831237131987200,1774831237131987200,1774831237134171240,0.000000,2.184040,2.184040,200
1774831237228593152,1774831237228593152,1774831237230738228,0.000000,2.145076,2.145076,200
1774831237273804800,1774831237273804800,1774831237276058217,0.000000,2.253417,2.253417,200
1774831237319580160,1774831237319580160,1774831237322313408,0.000000,2.733248,2.733248,200
1774831237344075008,1774831237344075008,1774831237346429284,0.000000,2.354276,2.354276,200
1774831237375844096,1774831237375844096,1774831237379784293,0.000000,3.940197,3.940197,200
1774831237664627200,1774831237664627200,1774831237666729174,0.000000,2.101974,2.101974,200
1774831237754343936,1774831237754343936,1774831237756332068,0.000000,1.988132,1.988132,200
1774831237866960128,1774831237866960128,1774831237869843884,0.000000,2.883756,2.883756,200
1774831237898246912,1774831237898246912,1774831237901531427,0.000000,3.284515,3.284515,200
1774831237996568064,1774831237996568064,1774831237999304780,0.000000,2.736716,2.736716,200
1774831238017957888,1774831238017957888,1774831238020880582,0.000000,2.922694,2.922694,200
1774831238063457024,1774831238063457024,1774831238066744481,0.000000,3.287457,3.287457,200
1774831238519367936,1774831238519367936,1774831238521796547,0.000000,2.428611,2.428611,200
1774831238620220928,1774831238620220928,1774831238622084791,0.000000,1.863863,1.863863,200
1774831238701662976,1774831238701662976,1774831238703888691,0.000000,2.225715,2.225715,200
1774831238815996928,1774831238815996928,1774831238818988571,0.000000,2.991643,2.991643,200
1774831239008980992,1774831239008980992,1774831239010837180,0.000000,1.856188,1.856188,200
1774831239150309120,1774831239150309120,1774831239152800218,0.000000,2.491098,2.491098,200
1774831239176420864,1774831239176420864,1774831239179023383,0.000000,2.602519,2.602519,200
1774831239196993024,1774831239196993024,1774831239199316799,0.000000,2.323775,2.323775,200
1774831239216739840,1774831239216739840,1774831239219597957,0.000000,2.858117,2.858117,200
1774831239247764992,1774831239247764992,1774831239250542941,0.000000,2.777949,2.777949,200
1774831239288461824,1774831239288461824,1774831239292390779,0.000000,3.928955,3.928955,200
1774831239557661952,1774831239557661952,1774831239560461666,0.000000,2.799714,2.799714,200
1774831239766489856,1774831239766489856,1774831239768681557,0.000000,2.191701,2.191701,200
1774831239818448128,1774831239818448128,1774831239820660707,0.000000,2.212579,2.212579,200
1774831239938056960,1774831239938056960,1774831239940153796,0.000000,2.096836,2.096836,200
1774831239985624064,1774831239985624064,1774831239988615337,0.000000,2.991273,2.991273,200
1774831240217745920,1774831240217745920,1774831240219956282,0.000000,2.210362,2.210362,200
1774831240278925824,1774831240278925824,1774831240281365957,0.000000,2.440133,2.440133,200
1774831240317587968,1774831240317587968,1774831240320460735,0.000000,2.872767,2.872767,200
1774831240354774016,1774831240354774016,1774831240356916492,0.000000,2.142476,2.142476,200
